Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.38,13.40,13.30,13.30,42000,13.30
2016-03-10,13.35,13.37,13.30,13.34,27200,13.34
2016-03-09,13.24,13.34,13.24,13.27,13100,13.27
2016-03-08,13.25,13.35,13.23,13.25,39400,13.25
2016-03-07,13.28,13.28,13.22,13.28,26100,13.28
2016-03-04,13.18,13.38,13.16,13.24,52500,13.24
2016-03-03,13.10,13.20,13.08,13.15,28700,13.15
2016-03-02,13.09,13.21,13.07,13.10,31100,13.10
2016-03-01,13.13,13.19,13.11,13.12,14200,13.12
2016-02-29,13.12,13.15,13.05,13.15,17500,13.15
2016-02-26,13.13,13.13,13.02,13.03,16500,13.03
2016-02-25,13.10,13.17,13.10,13.12,14600,13.12
2016-02-24,13.07,13.19,13.07,13.12,25600,13.12
2016-02-23,12.95,13.13,12.95,13.13,32100,13.13
2016-02-22,13.02,13.07,12.98,12.98,43600,12.98
2016-02-19,13.04,13.10,13.03,13.08,23300,13.08
2016-02-18,13.03,13.12,13.02,13.06,31600,13.06
2016-02-17,13.10,13.10,13.02,13.05,18900,12.992001
2016-02-16,13.19,13.22,13.10,13.10,25200,13.041778
2016-02-12,13.24,13.31,13.19,13.19,45500,13.131378
2016-02-11,13.35,13.35,13.22,13.25,65500,13.191111
2016-02-10,13.31,13.32,13.27,13.32,7200,13.2608
2016-02-09,13.34,13.37,13.25,13.27,13900,13.211023
2016-02-08,13.35,13.43,13.33,13.33,20700,13.270756
2016-02-05,13.32,13.43,13.32,13.43,8000,13.370312
2016-02-04,13.38,13.38,13.33,13.33,10400,13.270756
2016-02-03,13.36,13.38,13.28,13.28,24200,13.220978
2016-02-02,13.45,13.46,13.30,13.43,25700,13.370312
2016-02-01,13.50,13.50,13.33,13.33,30200,13.270756
2016-01-29,13.18,13.43,13.18,13.43,38000,13.370312
2016-01-28,13.20,13.20,13.05,13.16,29500,13.101511
2016-01-27,13.15,13.18,13.01,13.01,32200,12.952178
2016-01-26,12.91,13.11,12.91,13.05,27600,12.992001
2016-01-25,13.06,13.06,12.91,12.98,48100,12.922311
2016-01-22,12.97,13.11,12.97,12.99,18000,12.932267
2016-01-21,12.98,13.06,12.96,13.01,25100,12.952178
2016-01-20,13.00,13.00,12.79,12.81,32700,12.753067
2016-01-19,13.17,13.18,13.00,13.00,17800,12.88448
2016-01-15,13.16,13.25,13.14,13.14,17800,13.023236
2016-01-14,13.24,13.25,13.12,13.22,16700,13.102525
2016-01-13,13.08,13.29,13.08,13.20,46100,13.082703
2016-01-12,13.07,13.16,13.07,13.15,15800,13.033147
2016-01-11,13.29,13.37,13.10,13.12,66200,13.003413
2016-01-08,13.31,13.39,13.17,13.23,38000,13.112436
2016-01-07,13.39,13.49,13.25,13.27,29300,13.152081
2016-01-06,13.48,13.48,13.39,13.45,14400,13.330481
2016-01-05,13.40,13.46,13.32,13.41,46800,13.290836
2016-01-04,13.25,13.37,13.15,13.30,17800,13.181814
2015-12-31,13.20,13.29,13.18,13.18,54400,13.062881
2015-12-30,13.18,13.25,13.07,13.21,15000,13.092614
2015-12-29,13.15,13.25,13.05,13.12,33700,13.003413
2015-12-28,13.04,13.21,12.90,13.17,60400,13.052969
2015-12-24,13.02,13.08,12.94,13.06,32000,12.943947
2015-12-23,13.13,13.15,12.95,13.00,58400,12.88448
2015-12-22,13.11,13.15,12.99,13.11,74000,12.993502
2015-12-21,13.18,13.19,13.12,13.15,17300,13.033147
2015-12-18,13.23,13.24,13.12,13.23,12100,13.051978
2015-12-17,12.88,13.18,12.88,13.18,38000,13.002651
2015-12-16,12.87,12.89,12.83,12.88,18100,12.706688
2015-12-15,12.69,12.89,12.64,12.82,38700,12.647495
2015-12-14,12.78,12.80,12.64,12.69,25300,12.519244
2015-12-11,12.77,12.88,12.75,12.82,20900,12.647495
2015-12-10,12.79,12.86,12.72,12.75,39600,12.578437
2015-12-09,12.73,12.82,12.72,12.82,23600,12.647495
2015-12-08,12.50,12.64,12.50,12.64,16600,12.469917
2015-12-07,12.57,12.64,12.53,12.53,21300,12.361397
2015-12-04,12.61,12.71,12.55,12.55,30700,12.381128
2015-12-03,12.72,12.72,12.58,12.58,23300,12.410724
2015-12-02,12.68,12.76,12.65,12.72,20200,12.548841
2015-12-01,12.67,12.78,12.67,12.73,10300,12.558706
