Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.55,13.55,13.55,13.55,000,13.55
2016-03-10,13.55,13.55,13.55,13.55,000,13.55
2016-03-09,13.55,13.55,13.55,13.55,1600,13.55
2016-03-08,13.71,13.71,13.57,13.57,1000,13.511
2016-03-07,13.54,13.55,13.54,13.55,1600,13.491087
2016-03-04,13.49,13.56,13.49,13.55,4900,13.491087
2016-03-03,13.56,13.56,13.46,13.52,6400,13.461218
2016-03-02,13.56,13.56,13.49,13.53,3100,13.471174
2016-03-01,13.50,13.50,13.50,13.50,1500,13.441305
2016-02-29,13.44,13.55,13.44,13.55,2300,13.491087
2016-02-26,13.43,13.47,13.42,13.43,4000,13.371609
2016-02-25,13.43,13.43,13.42,13.43,4200,13.371609
2016-02-24,13.42,13.42,13.42,13.42,800,13.361653
2016-02-23,13.30,13.41,13.30,13.39,6300,13.331783
2016-02-22,13.37,13.37,13.36,13.37,1500,13.31187
2016-02-19,13.29,13.41,13.29,13.31,3100,13.252131
2016-02-18,13.36,13.42,13.30,13.36,2000,13.301913
2016-02-17,13.41,13.41,13.25,13.27,4200,13.212305
2016-02-16,13.30,13.31,13.30,13.30,1000,13.242174
2016-02-12,13.44,13.44,13.35,13.43,1600,13.371609
2016-02-11,13.37,13.45,13.20,13.44,9200,13.381565
2016-02-10,13.38,13.38,13.38,13.38,400,13.321827
2016-02-09,13.38,13.38,13.38,13.38,000,13.321827
2016-02-08,13.44,13.44,13.38,13.38,3500,13.263083
2016-02-05,13.41,13.44,13.39,13.41,2000,13.29282
2016-02-04,13.16,13.42,13.16,13.42,5000,13.302733
2016-02-03,13.31,13.31,13.31,13.31,000,13.193695
2016-02-02,13.13,13.32,13.13,13.31,10700,13.193695
2016-02-01,13.01,13.01,13.01,13.01,000,12.896316
2016-01-29,13.13,13.20,13.01,13.01,5800,12.896316
2016-01-28,12.98,13.03,12.98,12.98,5000,12.866577
2016-01-27,13.01,13.16,12.93,12.93,2400,12.817015
2016-01-26,13.20,13.20,12.92,13.06,7800,12.945879
2016-01-25,12.92,13.06,12.92,13.06,7900,12.945879
2016-01-22,12.95,13.01,12.95,12.99,2900,12.87649
2016-01-21,12.87,12.94,12.80,12.94,600,12.826927
2016-01-20,12.96,12.98,12.83,12.89,5200,12.777365
2016-01-19,13.21,13.24,12.98,12.98,8200,12.866577
2016-01-15,13.16,13.17,13.09,13.17,1300,13.054918
2016-01-14,13.07,13.07,13.06,13.07,1200,12.955791
2016-01-13,13.06,13.06,13.06,13.06,000,12.945879
2016-01-12,13.01,13.09,13.01,13.06,5200,12.945879
2016-01-11,13.13,13.27,13.12,13.14,1300,12.966696
2016-01-08,13.34,13.34,13.34,13.34,1000,13.164058
2016-01-07,13.16,13.17,13.16,13.16,2000,12.986432
2016-01-06,13.13,13.15,13.05,13.15,5800,12.976563
2016-01-05,13.12,13.13,13.12,13.13,2400,12.956828
