Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.08,14.10,14.00,14.09,4900,14.09
2016-03-10,14.01,14.07,13.95,14.07,12400,14.07
2016-03-09,13.95,14.03,13.85,14.02,28000,14.02
2016-03-08,13.68,13.84,13.68,13.84,8200,13.84
2016-03-07,13.62,13.97,13.62,13.97,13300,13.97
2016-03-04,13.65,13.65,13.60,13.62,3500,13.62
2016-03-03,13.65,13.69,13.65,13.65,4600,13.65
2016-03-02,13.58,13.73,13.58,13.65,5700,13.65
2016-03-01,13.65,13.77,13.58,13.64,18100,13.64
2016-02-29,13.79,13.80,13.71,13.71,16400,13.71
2016-02-26,13.80,13.90,13.79,13.80,15400,13.80
2016-02-25,13.80,13.86,13.80,13.81,8200,13.81
2016-02-24,13.80,14.00,13.80,13.87,6000,13.87
2016-02-23,14.05,14.05,13.90,13.91,4300,13.91
2016-02-22,13.95,13.95,13.95,13.95,300,13.95
2016-02-19,13.88,13.97,13.88,13.95,1800,13.95
2016-02-18,13.89,14.04,13.89,13.99,3200,13.99
2016-02-17,13.97,14.06,13.83,14.06,6500,13.997001
2016-02-16,13.75,14.09,13.75,13.86,2300,13.797896
2016-02-12,14.10,14.10,13.82,13.82,3100,13.758075
2016-02-11,13.99,13.99,13.99,13.99,000,13.927314
2016-02-10,13.92,13.99,13.90,13.99,3200,13.927314
2016-02-09,13.86,14.05,13.86,13.93,6700,13.867583
2016-02-08,14.00,14.14,13.88,13.97,8200,13.907404
2016-02-05,13.99,14.03,13.99,14.03,4400,13.967134
2016-02-04,14.00,14.05,13.79,14.05,2400,13.987045
2016-02-03,13.94,13.98,13.82,13.97,6500,13.907404
2016-02-02,13.76,13.88,13.71,13.88,4500,13.817807
2016-02-01,13.84,13.87,13.64,13.72,4900,13.658524
2016-01-29,13.77,13.92,13.63,13.78,13900,13.718255
2016-01-28,13.60,13.79,13.48,13.72,5100,13.658524
2016-01-27,13.61,13.76,13.53,13.69,7900,13.628658
2016-01-26,13.79,13.79,13.64,13.67,15500,13.608748
2016-01-25,13.99,13.99,13.71,13.75,12900,13.688389
2016-01-22,13.64,13.87,13.36,13.85,14800,13.787942
2016-01-21,13.66,13.70,13.41,13.50,8700,13.439509
2016-01-20,13.91,14.09,13.48,13.72,11500,13.658524
2016-01-19,13.90,13.96,13.83,13.86,4600,13.735178
2016-01-15,13.96,14.01,13.89,13.90,6000,13.774818
2016-01-14,13.77,13.99,13.69,13.83,6100,13.705448
2016-01-13,13.83,14.01,13.83,13.90,3200,13.774818
2016-01-12,14.08,14.08,13.88,13.95,7400,13.824367
2016-01-11,13.95,14.03,13.95,14.00,900,13.873917
