Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.25,13.30,13.22,13.22,20200,13.22
2016-03-10,13.25,13.29,13.22,13.26,29300,13.26
2016-03-09,13.24,13.30,13.24,13.28,32100,13.28
2016-03-08,13.29,13.34,13.21,13.21,29100,13.21
2016-03-07,13.23,13.27,13.21,13.27,20400,13.27
2016-03-04,13.31,13.31,13.21,13.21,19600,13.21
2016-03-03,13.27,13.31,13.25,13.31,35000,13.31
2016-03-02,13.31,13.32,13.25,13.26,37100,13.26
2016-03-01,13.33,13.37,13.29,13.32,64700,13.32
2016-02-29,13.25,13.34,13.25,13.33,48800,13.33
2016-02-26,13.33,13.35,13.22,13.22,51600,13.22
2016-02-25,13.34,13.38,13.31,13.33,81900,13.33
2016-02-24,13.32,13.34,13.24,13.32,38700,13.32
2016-02-23,13.24,13.29,13.19,13.29,25100,13.29
2016-02-22,13.23,13.24,13.19,13.20,43600,13.20
2016-02-19,13.18,13.23,13.10,13.20,36800,13.20
2016-02-18,13.14,13.14,13.08,13.11,25600,13.11
2016-02-17,13.10,13.15,13.10,13.10,24400,13.040001
2016-02-16,13.19,13.22,13.08,13.10,51200,13.040001
2016-02-12,13.24,13.25,13.07,13.14,55800,13.079817
2016-02-11,13.33,13.35,13.19,13.19,40500,13.129588
2016-02-10,13.29,13.36,13.27,13.27,60700,13.209222
2016-02-09,13.20,13.30,13.20,13.23,63200,13.169404
2016-02-08,13.22,13.27,13.18,13.21,29900,13.149496
2016-02-05,13.21,13.25,13.17,13.19,35900,13.129588
2016-02-04,13.23,13.29,13.19,13.19,44800,13.129588
2016-02-03,13.23,13.26,13.18,13.23,57500,13.169404
2016-02-02,13.18,13.27,13.15,13.19,73500,13.129588
2016-02-01,13.13,13.15,13.09,13.12,24500,13.059908
2016-01-29,13.05,13.16,12.98,13.09,88100,13.030046
2016-01-28,12.93,13.02,12.90,12.97,47800,12.910596
2016-01-27,12.90,12.98,12.83,12.89,44300,12.830962
2016-01-26,12.78,12.93,12.77,12.90,51100,12.840916
2016-01-25,12.84,12.86,12.75,12.75,40500,12.691603
2016-01-22,12.90,12.93,12.80,12.80,66000,12.741374
2016-01-21,12.84,12.87,12.77,12.87,37600,12.811053
2016-01-20,12.95,12.95,12.75,12.79,52100,12.73142
2016-01-19,13.09,13.09,12.95,12.95,42300,12.830962
2016-01-15,12.91,13.06,12.91,13.03,42600,12.910227
2016-01-14,12.94,13.00,12.92,13.00,31700,12.880503
2016-01-13,13.06,13.08,12.94,13.02,35600,12.900319
2016-01-12,13.03,13.05,12.95,13.03,43300,12.910227
2016-01-11,13.03,13.08,12.96,12.96,34400,12.84087
2016-01-08,13.07,13.11,13.05,13.07,63400,12.949859
2016-01-07,13.07,13.10,13.03,13.05,32100,12.930043
2016-01-06,13.06,13.11,13.05,13.05,49500,12.930043
2016-01-05,13.13,13.13,13.08,13.10,74700,12.979584
2016-01-04,13.13,13.14,13.08,13.10,8400,12.979584
2015-12-31,13.11,13.15,13.04,13.13,40700,13.009308
2015-12-30,12.81,13.07,12.80,13.07,63100,12.949859
2015-12-29,13.15,13.15,12.95,12.99,37100,12.870594
2015-12-28,13.15,13.15,13.08,13.10,5600,12.979584
2015-12-24,13.12,13.15,13.07,13.14,8300,13.019216
2015-12-23,13.11,13.14,13.07,13.12,20400,12.999399
2015-12-22,13.17,13.17,13.10,13.14,26700,13.019216
2015-12-21,12.98,13.15,12.98,13.14,32300,13.019216
2015-12-18,12.90,13.04,12.90,12.97,25400,12.79133
2015-12-17,12.77,12.89,12.77,12.88,31500,12.70257
2015-12-16,12.68,12.79,12.65,12.79,28900,12.613809
2015-12-15,12.68,12.80,12.68,12.74,24400,12.564498
2015-12-14,12.82,12.82,12.68,12.68,12600,12.505325
2015-12-11,12.85,12.89,12.75,12.79,18700,12.613809
2015-12-10,12.80,12.80,12.78,12.79,9000,12.613809
2015-12-09,12.82,12.82,12.79,12.80,17600,12.623672
2015-12-08,12.84,12.88,12.82,12.84,16400,12.663121
2015-12-07,12.87,12.87,12.79,12.79,29300,12.613809
2015-12-04,12.80,12.90,12.80,12.84,16800,12.663121
2015-12-03,12.85,12.85,12.79,12.80,6600,12.623672
2015-12-02,12.84,12.89,12.80,12.86,20000,12.682845
2015-12-01,12.91,12.91,12.75,12.87,34600,12.692707
2015-11-30,12.84,12.90,12.81,12.89,21500,12.712432
2015-11-27,12.81,12.85,12.71,12.75,14200,12.574361
2015-11-25,12.81,12.85,12.73,12.73,14800,12.554636
2015-11-24,12.80,12.83,12.70,12.76,22600,12.584223
2015-11-23,12.82,12.89,12.70,12.75,51800,12.574361
2015-11-20,12.85,12.93,12.73,12.75,15000,12.574361
2015-11-19,12.83,12.83,12.78,12.80,8300,12.623672
2015-11-18,12.77,12.83,12.77,12.83,29200,12.594085
2015-11-17,12.82,12.85,12.75,12.77,10900,12.535188
2015-11-16,12.82,12.89,12.75,12.76,30400,12.525372
2015-11-13,12.83,12.84,12.75,12.83,32700,12.594085
2015-11-12,12.72,12.83,12.64,12.79,26400,12.55482
2015-11-11,12.59,12.74,12.59,12.71,26700,12.476291
2015-11-10,12.55,12.65,12.54,12.62,26600,12.387946
2015-11-09,12.60,12.67,12.50,12.67,16000,12.437027
2015-11-06,12.70,12.71,12.58,12.68,22300,12.446843
2015-11-05,12.70,12.77,12.70,12.70,11800,12.466475
2015-11-04,12.71,12.85,12.70,12.71,24900,12.476291
2015-11-03,12.75,12.83,12.70,12.74,14100,12.505739
2015-11-02,12.80,12.87,12.76,12.76,33000,12.525372
2015-10-30,12.73,12.89,12.63,12.85,39000,12.613717
2015-10-29,12.72,12.77,12.63,12.74,16600,12.505739
2015-10-28,12.74,12.76,12.66,12.72,16000,12.486108
2015-10-27,12.73,12.77,12.62,12.69,14300,12.456658
2015-10-26,12.85,12.85,12.66,12.73,21300,12.495923
2015-10-23,12.90,12.92,12.83,12.84,28500,12.603901
2015-10-22,12.70,12.91,12.70,12.90,20400,12.662797
2015-10-21,12.71,12.77,12.62,12.66,16500,12.42721
2015-10-20,12.82,12.82,12.70,12.70,10100,12.407578
2015-10-19,12.61,12.82,12.61,12.80,50400,12.505276
2015-10-16,12.74,12.79,12.63,12.64,17700,12.34896
2015-10-15,12.73,12.76,12.67,12.70,14500,12.407578
2015-10-14,12.72,12.84,12.65,12.77,9700,12.475967
2015-10-13,12.76,12.77,12.65,12.74,13200,12.446657
2015-10-12,12.79,12.81,12.69,12.71,10600,12.417348
2015-10-09,12.79,12.80,12.75,12.78,4700,12.485736
2015-10-08,12.75,12.79,12.71,12.78,6000,12.485736
2015-10-07,12.80,12.80,12.71,12.72,14500,12.427118
2015-10-06,12.73,12.74,12.60,12.74,9600,12.446657
2015-10-05,12.65,12.71,12.58,12.71,8700,12.417348
2015-10-02,12.69,12.74,12.60,12.60,11000,12.309881
2015-10-01,12.67,12.70,12.60,12.69,18800,12.397808
2015-09-30,12.66,12.66,12.57,12.60,14800,12.309881
2015-09-29,12.64,12.67,12.59,12.63,15100,12.33919
2015-09-28,12.61,12.64,12.59,12.64,8200,12.34896
2015-09-25,12.61,12.67,12.51,12.66,14900,12.368499
2015-09-24,12.60,12.67,12.53,12.57,15900,12.280571
2015-09-23,12.43,12.67,12.37,12.60,39400,12.309881
2015-09-22,12.33,12.43,12.29,12.40,20700,12.114485
2015-09-21,12.40,12.43,12.32,12.37,20100,12.085177
2015-09-18,12.32,12.47,12.30,12.44,14500,12.094946
2015-09-17,12.31,12.42,12.28,12.33,23100,11.987997
2015-09-16,12.43,12.43,12.33,12.33,11900,11.987997
2015-09-15,12.46,12.48,12.38,12.39,5500,12.046333
2015-09-14,12.49,12.55,12.44,12.45,9500,12.104669
2015-09-11,12.48,12.59,12.48,12.49,8500,12.143559
2015-09-10,12.59,12.66,12.51,12.52,17200,12.172728
2015-09-09,12.59,12.73,12.57,12.62,17200,12.269953
2015-09-08,12.49,12.58,12.45,12.58,38600,12.231063
2015-09-04,12.49,12.52,12.47,12.52,9200,12.172728
2015-09-03,12.49,12.50,12.47,12.49,10000,12.143559
2015-09-02,12.42,12.56,12.42,12.44,26100,12.094946
2015-09-01,12.49,12.51,12.38,12.45,21900,12.104669
2015-08-31,12.34,12.45,12.34,12.45,18300,12.104669
2015-08-28,12.30,12.36,12.29,12.34,31100,11.99772
2015-08-27,12.46,12.48,12.36,12.36,26800,12.017165
2015-08-26,12.49,12.49,12.43,12.48,18700,12.133836
2015-08-25,12.34,12.48,12.34,12.41,22900,12.065778
2015-08-24,12.51,12.51,12.32,12.39,29000,12.046333
2015-08-21,12.44,12.54,12.40,12.46,9600,12.114392
2015-08-20,12.38,12.48,12.38,12.48,18600,12.133836
2015-08-19,12.43,12.52,12.42,12.50,19500,12.094946
2015-08-18,12.46,12.48,12.42,12.47,14100,12.065919
2015-08-17,12.53,12.55,12.44,12.46,27300,12.056242
2015-08-14,12.51,12.54,12.45,12.51,12400,12.104622
2015-08-13,12.54,12.55,12.45,12.47,16900,12.065919
2015-08-12,12.55,12.59,12.54,12.57,14800,12.162678
2015-08-11,12.45,12.53,12.40,12.53,37100,12.123974
2015-08-10,12.43,12.50,12.43,12.45,10600,12.046566
2015-08-07,12.40,12.49,12.37,12.38,13600,11.978835
2015-08-06,12.39,12.44,12.37,12.37,25500,11.969159
2015-08-05,12.54,12.54,12.36,12.36,15900,11.959482
2015-08-04,12.55,12.57,12.46,12.49,22600,12.08527
2015-08-03,12.57,12.57,12.50,12.52,26800,12.114299
2015-07-31,12.50,12.57,12.49,12.57,43200,12.162678
2015-07-30,12.48,12.56,12.44,12.47,26900,12.065919
2015-07-29,12.50,12.56,12.48,12.51,19400,12.104622
2015-07-28,12.52,12.55,12.49,12.55,14400,12.143326
2015-07-27,12.50,12.56,12.48,12.49,31400,12.08527
2015-07-24,12.39,12.50,12.37,12.50,41900,12.094946
2015-07-23,12.48,12.50,12.45,12.45,12600,12.046566
2015-07-22,12.32,12.48,12.32,12.45,25400,12.046566
2015-07-21,12.38,12.44,12.38,12.44,16500,11.978834
2015-07-20,12.36,12.40,12.35,12.35,12600,11.892171
2015-07-17,12.37,12.42,12.35,12.36,16200,11.9018
2015-07-16,12.41,12.42,12.37,12.37,17500,11.91143
2015-07-15,12.38,12.42,12.35,12.42,20300,11.959576
2015-07-14,12.25,12.45,12.25,12.35,67500,11.892171
2015-07-13,12.50,12.57,12.34,12.34,33000,11.882542
2015-07-10,12.47,12.52,12.42,12.45,14800,11.988464
2015-07-09,12.54,12.54,12.41,12.44,19700,11.978834
2015-07-08,12.49,12.54,12.42,12.48,22000,12.017351
2015-07-07,12.37,12.52,12.37,12.46,23400,11.998093
2015-07-06,12.52,12.52,12.33,12.33,28000,11.872912
2015-07-02,12.49,12.51,12.39,12.45,23200,11.988464
2015-07-01,12.48,12.48,12.38,12.41,24500,11.949947
2015-06-30,12.26,12.35,12.25,12.34,21900,11.882542
2015-06-29,12.38,12.38,12.22,12.29,8900,11.834395
2015-06-26,12.44,12.44,12.30,12.34,28600,11.882542
2015-06-25,12.50,12.50,12.43,12.44,13000,11.978834
2015-06-24,12.56,12.56,12.50,12.51,8200,12.04624
2015-06-23,12.56,12.57,12.50,12.50,24000,12.03661
2015-06-22,12.56,12.56,12.49,12.52,49600,12.055869
2015-06-19,12.58,12.63,12.54,12.63,10300,12.161791
2015-06-18,12.42,12.60,12.42,12.56,45700,12.036611
2015-06-17,12.46,12.51,12.40,12.40,39400,11.883278
2015-06-16,12.39,12.47,12.38,12.42,22900,11.902445
2015-06-15,12.49,12.49,12.41,12.43,20100,11.912029
2015-06-12,12.40,12.49,12.40,12.43,24500,11.912029
2015-06-11,12.39,12.40,12.34,12.37,32300,11.854528
2015-06-10,12.27,12.38,12.27,12.37,31600,11.854528
2015-06-09,12.34,12.36,12.22,12.36,36100,11.844945
2015-06-08,12.36,12.40,12.27,12.35,26600,11.835362
2015-06-05,12.40,12.48,12.33,12.37,45400,11.854528
2015-06-04,12.44,12.57,12.43,12.43,30000,11.912029
2015-06-03,12.53,12.57,12.48,12.48,11200,11.959944
2015-06-02,12.60,12.63,12.54,12.55,17900,12.027028
2015-06-01,12.64,12.65,12.57,12.57,26500,12.046194
2015-05-29,12.62,12.62,12.53,12.55,41500,12.027028
2015-05-28,12.59,12.65,12.57,12.62,21100,12.094111
2015-05-27,12.50,12.63,12.50,12.63,32000,12.103694
2015-05-26,12.56,12.62,12.50,12.50,49600,11.979111
2015-05-22,12.69,12.69,12.63,12.63,20200,12.103694
2015-05-21,12.69,12.69,12.67,12.67,8000,12.142027
2015-05-20,12.69,12.69,12.64,12.65,17800,12.12286
2015-05-19,12.68,12.71,12.67,12.71,8800,12.12286
2015-05-18,12.83,12.83,12.68,12.70,35800,12.113322
2015-05-15,12.72,12.88,12.68,12.77,44100,12.180089
2015-05-14,12.50,12.71,12.50,12.66,38300,12.07517
2015-05-13,12.56,12.58,12.51,12.51,24900,11.9321
2015-05-12,12.60,12.62,12.53,12.60,34900,12.017942
2015-05-11,12.67,12.69,12.60,12.62,29300,12.037018
