Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,4.79,4.95,4.71,4.78,46000,4.78
2016-03-10,4.83,4.84,4.625,4.76,32800,4.71
2016-03-09,4.84,4.855,4.61,4.74,48000,4.69021
2016-03-08,5.00,5.00,4.65,4.73,117700,4.680315
2016-03-07,4.70,5.09,4.65,4.97,71600,4.917794
2016-03-04,4.49,4.73,4.33,4.65,159900,4.601156
2016-03-03,4.40,4.55,4.40,4.52,229200,4.472521
2016-03-02,4.41,4.55,4.41,4.49,73600,4.442836
2016-03-01,4.29,4.51,4.15,4.49,33300,4.442836
2016-02-29,4.36,4.39,4.26,4.32,50800,4.274622
2016-02-26,4.25,4.57,4.16,4.34,92400,4.294412
2016-02-25,4.09,4.23,3.887,4.21,47200,4.165777
2016-02-24,4.11,4.22,3.93,4.13,52700,4.086618
2016-02-23,4.39,4.45,4.13,4.21,62400,4.165777
2016-02-22,4.30,4.48,4.23,4.42,53600,4.373572
2016-02-19,4.46,4.47,4.19,4.24,292100,4.195462
2016-02-18,4.50,4.51,4.37,4.48,126900,4.432941
2016-02-17,4.44,4.51,4.35,4.51,143900,4.462626
2016-02-16,4.50,4.50,4.35,4.44,47700,4.393361
2016-02-12,4.47,4.52,4.38,4.45,28400,4.403256
2016-02-11,4.35,4.497,4.18,4.41,46600,4.363676
2016-02-10,4.46,4.70,4.36,4.45,70300,4.403256
2016-02-09,4.71,4.71,4.35,4.46,54300,4.413151
2016-02-08,4.32,4.87,4.32,4.81,72500,4.759475
2016-02-05,4.68,4.747,4.43,4.43,145400,4.383466
2016-02-04,4.55,4.77,4.55,4.74,77800,4.69021
2016-02-03,4.53,4.75,4.40,4.75,34600,4.700105
2016-02-02,4.42,4.54,4.33,4.45,34900,4.403256
2016-02-01,4.72,4.73,4.44,4.52,28600,4.472521
2016-01-29,4.47,4.69,4.47,4.66,51600,4.61105
2016-01-28,4.36,4.60,4.36,4.49,48500,4.442836
2016-01-27,4.22,4.41,4.11,4.23,45700,4.185567
2016-01-26,4.13,4.36,4.00,4.21,48900,4.165777
2016-01-25,4.30,4.415,4.04,4.05,43100,4.007458
2016-01-22,4.28,4.40,4.25,4.33,72100,4.284517
2016-01-21,3.83,4.22,3.83,4.16,63000,4.116302
2016-01-20,3.74,3.92,3.60,3.90,129800,3.859034
2016-01-19,3.94,3.95,3.77,3.83,87700,3.789769
2016-01-15,3.81,4.00,3.81,3.92,141000,3.878824
2016-01-14,3.89,4.00,3.80,3.95,92200,3.908509
2016-01-13,4.01,4.10,3.799,3.88,96200,3.839244
2016-01-12,4.35,4.37,3.96,4.01,133100,3.967878
2016-01-11,4.37,4.43,4.19,4.21,78000,4.165777
2016-01-08,4.47,4.52,4.21,4.44,130900,4.393361
2016-01-07,4.55,4.70,4.46,4.48,60000,4.432941
2016-01-06,4.67,4.79,4.66,4.70,52300,4.65063
2016-01-05,4.73,4.79,4.53,4.74,52300,4.69021
2016-01-04,4.84,4.88,4.61,4.75,50700,4.700105
2015-12-31,4.86,4.92,4.80,4.81,86900,4.759475
2015-12-30,4.82,4.91,4.78,4.86,104400,4.80895
2015-12-29,4.99,5.08,4.85,4.93,78600,4.878214
2015-12-28,4.86,4.97,4.86,4.94,138700,4.888109
2015-12-24,5.00,5.03,4.93,4.97,47500,4.917794
2015-12-23,4.97,5.01,4.73,5.00,146000,4.947479
2015-12-22,4.97,5.01,4.89,4.97,92300,4.917794
2015-12-21,4.80,5.05,4.80,4.96,58600,4.907899
2015-12-18,4.99,5.30,4.70,4.80,230300,4.74958
2015-12-17,5.30,5.41,4.88,5.00,61400,4.947479
2015-12-16,5.34,5.42,5.20,5.34,190100,5.283908
2015-12-15,5.15,5.39,5.07,5.34,48400,5.283908
