Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.66,11.80,11.66,11.71,80300,11.71
2016-03-10,11.75,11.82,11.70,11.73,148000,11.633
2016-03-09,11.71,11.75,11.65,11.72,62100,11.623083
2016-03-08,11.68,11.68,11.63,11.67,33100,11.573497
2016-03-07,11.68,11.71,11.60,11.71,208800,11.613166
2016-03-04,11.54,11.69,11.49,11.68,78100,11.583414
2016-03-03,11.48,11.57,11.46,11.57,72800,11.474323
2016-03-02,11.51,11.55,11.45,11.47,71400,11.375151
2016-03-01,11.50,11.55,11.39,11.55,144600,11.454489
2016-02-29,11.25,11.44,11.25,11.44,160800,11.345398
2016-02-26,11.23,11.29,11.20,11.29,56200,11.196639
2016-02-25,11.19,11.23,11.16,11.22,101200,11.127218
2016-02-24,11.09,11.22,11.07,11.20,181600,11.107383
2016-02-23,11.12,11.18,11.06,11.15,95200,11.057796
2016-02-22,11.07,11.17,11.02,11.16,186700,11.067714
2016-02-19,10.95,10.99,10.88,10.99,124200,10.899119
2016-02-18,10.93,11.04,10.89,10.89,116700,10.799947
2016-02-17,10.92,10.97,10.82,10.95,221900,10.85945
2016-02-16,10.84,10.91,10.78,10.89,216800,10.799947
2016-02-12,10.65,10.85,10.62,10.85,81600,10.760278
2016-02-11,10.71,10.72,10.58,10.62,64000,10.532179
2016-02-10,10.85,10.87,10.80,10.87,46200,10.683914
2016-02-09,10.78,10.88,10.76,10.84,54800,10.654428
2016-02-08,11.03,11.06,10.81,10.84,78500,10.654428
2016-02-05,11.10,11.15,11.00,11.15,104100,10.95912
2016-02-04,11.00,11.11,11.00,11.11,46300,10.919805
2016-02-03,11.06,11.09,11.00,11.05,63300,10.860833
2016-02-02,11.01,11.06,11.00,11.05,66500,10.860833
2016-02-01,10.95,11.12,10.94,11.07,181900,10.88049
2016-01-29,10.93,11.00,10.93,10.96,171000,10.772373
2016-01-28,10.87,10.96,10.87,10.95,105500,10.762544
2016-01-27,10.79,10.91,10.79,10.85,139600,10.664257
2016-01-26,10.65,10.87,10.64,10.87,105600,10.683914
2016-01-25,10.65,10.80,10.61,10.67,158400,10.487338
2016-01-22,10.63,10.81,10.62,10.74,104300,10.556139
2016-01-21,10.57,10.69,10.45,10.57,139600,10.389049
2016-01-20,10.59,10.64,10.32,10.51,318400,10.330077
2016-01-19,10.85,10.85,10.60,10.67,216200,10.487338
2016-01-15,10.89,10.90,10.66,10.85,146600,10.664257
2016-01-14,10.98,11.02,10.90,11.00,103300,10.811688
2016-01-13,11.26,11.29,11.08,11.11,196300,10.824466
2016-01-12,11.37,11.37,11.25,11.29,83400,10.99984
2016-01-11,11.50,11.50,11.32,11.40,130100,11.107012
2016-01-08,11.49,11.50,11.42,11.44,110700,11.145984
2016-01-07,11.58,11.60,11.47,11.50,154500,11.204443
2016-01-06,11.50,11.68,11.46,11.68,413700,11.379817
2016-01-05,11.42,11.58,11.37,11.58,393600,11.282387
2016-01-04,11.29,11.46,11.20,11.46,396900,11.165471
2015-12-31,11.35,11.36,11.28,11.32,153800,11.029069
2015-12-30,11.38,11.38,11.28,11.33,140200,11.038812
2015-12-29,11.36,11.38,11.31,11.38,195000,11.087527
2015-12-28,11.29,11.38,11.20,11.31,186200,11.019326
2015-12-24,11.39,11.42,11.35,11.40,126100,11.107012
2015-12-23,11.32,11.48,11.30,11.39,220700,11.09727
2015-12-22,11.18,11.31,11.17,11.30,328900,11.009583
2015-12-21,11.20,11.26,11.15,11.25,408500,10.960868
2015-12-18,11.22,11.24,11.16,11.21,236300,10.921896
2015-12-17,11.14,11.20,11.07,11.20,250300,10.912153
2015-12-16,10.88,11.13,10.88,11.11,226300,10.824466
2015-12-15,10.65,10.94,10.65,10.94,354700,10.658835
2015-12-14,10.77,10.87,10.53,10.72,319600,10.44449
2015-12-11,11.09,11.12,10.85,10.85,345900,10.571149
2015-12-10,11.20,11.28,11.18,11.22,96600,10.837132
2015-12-09,11.30,11.36,11.19,11.24,116500,10.856449
2015-12-08,11.23,11.31,11.20,11.29,130800,10.904743
2015-12-07,11.38,11.41,11.29,11.31,162400,10.924061
2015-12-04,11.37,11.46,11.36,11.42,124500,11.030307
2015-12-03,11.43,11.51,11.39,11.41,101500,11.020648
2015-12-02,11.42,11.49,11.42,11.42,143700,11.030307
2015-12-01,11.46,11.54,11.40,11.46,133100,11.068942
2015-11-30,11.49,11.51,11.40,11.40,123500,11.010989
2015-11-27,11.47,11.49,11.45,11.49,24200,11.097918
2015-11-25,11.51,11.52,11.45,11.49,71100,11.097918
2015-11-24,11.42,11.51,11.39,11.51,109800,11.117236
2015-11-23,11.38,11.50,11.36,11.49,216200,11.097918
2015-11-20,11.42,11.47,11.40,11.40,101000,11.010989
2015-11-19,11.47,11.47,11.41,11.45,78000,11.059283
2015-11-18,11.36,11.47,11.36,11.47,125300,11.078601
2015-11-17,11.45,11.51,11.35,11.38,120100,10.991672
2015-11-16,11.45,11.50,11.44,11.50,111500,11.107577
2015-11-13,11.55,11.57,11.46,11.48,76000,11.088259
2015-11-12,11.58,11.61,11.55,11.56,133900,11.16553
2015-11-11,11.80,11.80,11.68,11.68,89800,11.187745
2015-11-10,11.74,11.80,11.73,11.78,54800,11.28353
2015-11-09,11.90,11.91,11.76,11.79,168700,11.293109
2015-11-06,11.97,11.99,11.88,11.94,125500,11.436787
2015-11-05,12.03,12.03,11.92,12.02,165800,11.513416
2015-11-04,12.06,12.06,11.97,12.00,71400,11.494258
