Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.88,12.95,12.65,12.94,24800,12.94
2016-03-10,12.86,12.97,12.80,12.92,21900,12.845
2016-03-09,12.59,12.89,12.45,12.86,27300,12.785348
2016-03-08,12.50,12.60,12.47,12.60,19800,12.526858
2016-03-07,12.41,12.50,12.41,12.49,21700,12.417496
2016-03-04,12.45,12.45,12.38,12.40,18700,12.328018
2016-03-03,12.35,12.45,12.30,12.45,37000,12.377728
2016-03-02,12.36,12.39,12.28,12.37,31700,12.298193
2016-03-01,12.26,12.30,12.13,12.30,44600,12.228599
2016-02-29,12.04,12.24,11.98,12.23,51600,12.159005
2016-02-26,11.91,12.05,11.91,11.98,21900,11.910456
2016-02-25,11.80,11.99,11.80,11.93,27400,11.860747
2016-02-24,11.71,11.88,11.69,11.71,14600,11.642024
2016-02-23,11.80,11.83,11.75,11.81,15500,11.741444
2016-02-22,11.82,11.82,11.74,11.77,11700,11.701676
2016-02-19,11.66,11.73,11.49,11.69,27200,11.62214
2016-02-18,11.69,11.90,11.55,11.73,23800,11.661907
2016-02-17,11.33,11.69,11.26,11.69,43300,11.62214
2016-02-16,11.42,11.42,11.32,11.34,18000,11.274172
2016-02-12,11.16,11.31,11.10,11.31,28300,11.244346
2016-02-11,11.33,11.47,10.96,11.07,74000,11.005739
2016-02-10,11.63,11.67,11.34,11.46,19200,11.318911
2016-02-09,11.81,11.84,11.23,11.51,92100,11.368295
2016-02-08,12.00,12.09,11.63,11.84,66700,11.694232
2016-02-05,12.11,12.20,12.01,12.03,39700,11.881893
2016-02-04,12.15,12.15,11.90,12.09,53700,11.941155
2016-02-03,11.98,12.22,11.89,12.17,50900,12.02017
2016-02-02,11.89,11.94,11.71,11.89,39200,11.743617
2016-02-01,11.67,11.87,11.60,11.87,46500,11.723863
2016-01-29,11.49,11.64,11.38,11.64,46200,11.496695
2016-01-28,11.30,11.47,11.25,11.45,25900,11.309034
2016-01-27,11.20,11.35,11.15,11.25,21700,11.111496
2016-01-26,10.91,11.17,10.90,11.16,16900,11.022604
2016-01-25,10.93,11.08,10.93,10.93,14500,10.795436
2016-01-22,10.96,11.11,10.82,10.93,41300,10.795436
2016-01-21,10.83,10.90,10.70,10.75,26100,10.617652
2016-01-20,11.22,11.36,10.54,10.70,75000,10.568267
2016-01-19,11.18,11.32,11.15,11.25,35700,11.111496
2016-01-15,11.07,11.22,11.07,11.16,15900,11.022604
2016-01-14,11.16,11.35,11.08,11.24,37400,11.101619
2016-01-13,11.40,11.43,11.23,11.23,33400,11.017665
2016-01-12,11.43,11.45,11.36,11.44,14800,11.223695
2016-01-11,11.43,11.45,11.35,11.43,22700,11.213884
2016-01-08,11.42,11.44,11.35,11.42,35800,11.204073
2016-01-07,11.39,11.47,11.28,11.45,26400,11.233506
2016-01-06,11.27,11.46,11.25,11.46,37100,11.243317
2016-01-05,11.18,11.34,11.18,11.32,34100,11.105964
2016-01-04,11.15,11.26,11.10,11.14,25100,10.929368
2015-12-31,11.41,11.47,11.20,11.20,23200,10.988233
2015-12-30,11.49,11.49,11.42,11.48,15800,11.262938
2015-12-29,11.35,11.51,11.35,11.49,36600,11.272749
2015-12-28,11.41,11.41,11.35,11.36,31900,11.145207
2015-12-24,11.29,11.48,11.20,11.35,15600,11.135397
2015-12-23,11.03,11.26,11.01,11.25,36700,11.037287
2015-12-22,11.09,11.10,10.88,11.02,37100,10.811637
2015-12-21,11.09,11.13,11.00,11.03,31000,10.821447
2015-12-18,11.05,11.24,10.98,11.09,51200,10.880313
2015-12-17,11.00,11.16,10.92,11.09,47300,10.880313
2015-12-16,10.66,11.00,10.66,11.00,43200,10.792014
2015-12-15,10.40,10.73,10.40,10.69,59500,10.487875
2015-12-14,10.55,10.58,10.38,10.43,62300,10.232792
2015-12-11,10.61,10.66,10.53,10.55,29100,10.350523
2015-12-10,10.79,10.80,10.74,10.74,23500,10.463348
2015-12-09,10.82,10.87,10.70,10.76,20200,10.482834
2015-12-08,10.84,10.87,10.75,10.78,26000,10.502318
2015-12-07,10.90,10.90,10.81,10.84,17200,10.560773
2015-12-04,10.97,10.97,10.89,10.94,24100,10.658196
2015-12-03,11.05,11.07,10.95,10.97,29700,10.687424
2015-12-02,11.12,11.14,11.05,11.07,23300,10.784848
2015-12-01,11.13,11.21,11.12,11.17,18700,10.882272
2015-11-30,11.15,11.18,11.12,11.17,16200,10.882272
2015-11-27,11.17,11.22,11.13,11.17,6800,10.882272
2015-11-25,11.08,11.14,11.06,11.12,25500,10.83356
2015-11-24,11.07,11.10,11.02,11.05,29700,10.765363
2015-11-23,11.14,11.15,11.02,11.04,21800,10.755621
2015-11-20,11.12,11.19,11.06,11.12,21600,10.83356
2015-11-19,11.17,11.17,11.07,11.13,25900,10.843303
2015-11-18,11.05,11.13,11.05,11.12,16800,10.83356
2015-11-17,11.18,11.22,11.05,11.07,36000,10.784848
2015-11-16,11.06,11.24,11.06,11.18,46800,10.892015
2015-11-13,11.17,11.22,11.10,11.16,21900,10.87253
2015-11-12,11.33,11.33,11.16,11.16,24700,10.87253
