Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,24.700001,24.950001,24.700001,24.700001,2100,24.700001
2016-03-10,24.940001,25.01,24.66,24.66,3900,24.66
2016-03-09,25.01,25.370001,24.59,24.65,6300,24.65
2016-03-08,24.75,25.99,24.75,24.91,5300,24.91
2016-03-07,25.10,25.629999,25.10,25.26,4700,25.010001
2016-03-04,26.200001,26.200001,25.84,25.84,1700,25.58426
2016-03-03,25.77,25.77,25.77,25.77,300,25.514953
2016-03-02,24.99,25.93,24.99,25.93,3200,25.67337
2016-03-01,25.309999,25.309999,24.99,24.99,300,24.742672
2016-02-29,24.85,25.48,24.85,25.48,1300,25.227823
2016-02-26,25.360001,25.40,24.799999,24.799999,7200,24.554552
2016-02-25,25.030001,25.50,24.27,24.27,2600,24.029799
2016-02-24,24.91,24.940001,24.90,24.940001,1800,24.693168
2016-02-23,25.299999,25.299999,25.299999,25.299999,000,25.049604
2016-02-22,24.75,25.48,24.75,25.299999,2600,25.049604
2016-02-19,24.879999,24.879999,24.879999,24.879999,000,24.63376
2016-02-18,23.10,24.879999,23.10,24.879999,9300,24.63376
2016-02-17,25.459999,25.459999,25.459999,25.459999,400,25.20802
2016-02-16,25.16,25.16,25.16,25.16,000,24.91099
2016-02-12,25.16,25.16,25.16,25.16,000,24.91099
2016-02-11,24.90,25.17,24.02,25.16,7300,24.91099
2016-02-10,25.780001,25.799999,25.26,25.799999,1400,25.544655
2016-02-09,24.75,25.77,24.75,25.77,700,25.514953
2016-02-08,25.790001,25.790001,24.799999,24.799999,1000,24.554552
2016-02-05,25.26,25.26,25.26,25.26,300,25.010001
2016-02-04,25.780001,25.780001,25.780001,25.780001,000,25.524855
2016-02-03,25.32,25.780001,25.32,25.780001,500,25.524855
2016-02-02,25.77,25.77,25.219999,25.27,400,25.019902
2016-02-01,24.50,25.60,24.50,25.60,2400,25.346636
2016-01-29,24.60,24.60,24.60,24.60,300,24.356533
2016-01-28,24.879999,24.950001,24.75,24.75,4600,24.505048
2016-01-27,24.799999,24.799999,24.799999,24.799999,000,24.554552
2016-01-26,24.290001,24.799999,24.290001,24.799999,1100,24.554552
2016-01-25,24.75,24.75,24.549999,24.549999,9200,24.307027
2016-01-22,24.75,24.780001,24.629999,24.75,6200,24.505048
2016-01-21,24.75,24.90,24.629999,24.700001,7900,24.455544
2016-01-20,24.75,24.75,24.75,24.75,900,24.505048
2016-01-19,25.40,25.40,25.40,25.40,700,25.148614
2016-01-15,25.74,25.74,25.74,25.74,000,25.48525
2016-01-14,25.74,25.74,25.74,25.74,300,25.48525
2016-01-13,25.75,25.75,25.75,25.75,400,25.495151
2016-01-12,25.799999,25.799999,25.790001,25.790001,300,25.534756
2016-01-11,24.549999,25.950001,24.549999,25.799999,3000,25.544655
2016-01-08,24.639999,25.280001,24.60,24.76,1600,24.514949
2016-01-07,24.85,24.85,24.549999,24.549999,1000,24.307027
2016-01-06,24.549999,24.85,24.549999,24.60,4100,24.356533
2016-01-05,24.969999,25.25,24.91,25.08,3600,24.831782
2016-01-04,25.25,25.35,25.25,25.35,400,25.09911
2015-12-31,26.379999,26.379999,25.75,25.75,500,25.495151
2015-12-30,26.889999,26.889999,26.889999,26.889999,000,26.623868
2015-12-29,26.889999,26.889999,26.889999,26.889999,000,26.623868
2015-12-28,26.950001,26.950001,26.02,26.889999,1600,26.623868
2015-12-24,25.709999,25.709999,25.709999,25.709999,000,25.455546
2015-12-23,26.809999,26.85,25.709999,25.709999,1500,25.455546
2015-12-22,26.559999,26.559999,26.030001,26.549999,1500,26.287232
2015-12-21,26.99,27.00,26.02,26.40,1300,26.138717
2015-12-18,26.469999,26.700001,26.469999,26.700001,3100,26.435749
2015-12-17,25.98,26.389999,25.75,26.200001,1500,25.940698
2015-12-16,25.25,25.50,25.25,25.50,700,25.247625
2015-12-15,25.25,25.25,25.25,25.25,900,24.752574
2015-12-14,25.25,25.25,24.549999,25.25,1900,24.752574
2015-12-11,24.93,25.40,24.93,25.40,1400,24.899618
2015-12-10,25.00,25.00,24.93,24.93,500,24.438878
2015-12-09,25.10,25.10,24.99,25.00,700,24.507499
2015-12-08,25.17,25.17,25.17,25.17,200,24.67415
2015-12-07,25.389999,25.50,25.389999,25.50,400,24.997649
2015-12-04,25.50,25.50,25.00,25.00,1000,24.507499
2015-12-03,25.26,25.26,25.26,25.26,000,24.762377
2015-12-02,25.139999,25.26,25.049999,25.26,1100,24.762377
2015-12-01,25.50,25.50,25.02,25.02,800,24.527105
2015-11-30,25.50,25.50,25.50,25.50,300,24.997649
2015-11-27,25.02,25.50,25.02,25.50,500,24.997649
2015-11-25,25.50,25.50,25.50,25.50,000,24.997649
2015-11-24,25.10,25.50,25.10,25.50,500,24.997649
2015-11-23,25.24,25.50,25.24,25.50,300,24.997649
2015-11-20,24.91,25.50,24.91,25.32,4900,24.821194
2015-11-19,24.700001,25.00,24.700001,25.00,3300,24.507499
2015-11-18,25.42,25.42,24.950001,24.950001,600,24.458484
2015-11-17,25.15,25.15,24.799999,24.879999,1800,24.389862
2015-11-16,25.50,25.50,24.959999,24.959999,500,24.468286
2015-11-13,24.75,25.299999,24.75,25.299999,1300,24.801588
2015-11-12,24.90,25.01,24.40,24.60,6200,24.115379
2015-11-11,25.00,25.030001,24.90,25.030001,3300,24.536908
2015-11-10,25.389999,25.40,25.00,25.00,9000,24.507499
2015-11-09,25.40,25.40,25.40,25.40,000,24.899618
2015-11-06,25.40,25.40,25.40,25.40,000,24.899618
2015-11-05,25.450001,25.450001,25.40,25.40,1000,24.899618
2015-11-04,24.809999,24.85,24.799999,24.85,600,24.360454
2015-11-03,25.469999,25.469999,25.379999,25.379999,400,24.880012
2015-11-02,25.190001,25.190001,25.190001,25.190001,200,24.693756
2015-10-30,24.90,25.34,24.75,25.200001,2700,24.703559
2015-10-29,25.84,25.84,25.84,25.84,000,25.330951
2015-10-28,26.200001,26.200001,25.75,25.84,2900,25.330951
2015-10-27,24.700001,25.559999,21.93,25.540001,6500,25.036862
2015-10-26,24.700001,24.700001,24.700001,24.700001,100,24.21341
2015-10-23,25.00,25.00,24.700001,24.700001,900,24.21341
2015-10-22,24.799999,24.959999,24.799999,24.959999,700,24.468286
2015-10-21,25.200001,25.200001,24.809999,24.809999,700,24.321241
2015-10-20,25.200001,25.200001,25.200001,25.200001,000,24.703559
2015-10-19,25.200001,25.200001,25.200001,25.200001,000,24.703559
2015-10-16,25.450001,26.00,25.200001,25.200001,1800,24.703559
2015-10-15,25.10,25.610001,25.10,25.610001,1300,25.105482
2015-10-14,25.10,25.10,25.10,25.10,900,24.605529
2015-10-13,25.60,25.60,25.60,25.60,300,25.095679
2015-10-12,24.90,24.90,24.90,24.90,800,24.409468
2015-10-09,25.25,25.25,25.25,25.25,000,24.752574
2015-10-08,25.25,25.25,25.25,25.25,100,24.752574
2015-10-07,24.950001,24.950001,24.950001,24.950001,300,24.458484
2015-10-06,25.200001,25.200001,25.200001,25.200001,000,24.703559
2015-10-05,25.10,25.200001,25.10,25.200001,2300,24.703559
2015-10-02,25.50,25.50,24.50,25.00,1000,24.507499
2015-10-01,25.50,25.50,25.50,25.50,200,24.997649
2015-09-30,24.549999,24.549999,24.549999,24.549999,000,24.066363
2015-09-29,24.549999,25.309999,24.25,24.549999,1600,24.066363
2015-09-28,24.610001,25.360001,24.610001,25.360001,2000,24.860407
2015-09-25,24.50,24.50,24.50,24.50,800,24.017349
2015-09-24,24.549999,24.549999,24.25,24.25,500,23.772274
2015-09-23,24.799999,24.799999,24.799999,24.799999,300,24.311438
2015-09-22,24.799999,24.799999,24.799999,24.799999,300,24.311438
2015-09-21,24.91,24.91,24.91,24.91,000,24.174196
2015-09-18,24.92,24.92,24.91,24.91,1300,24.174196
2015-09-17,25.040001,25.209999,25.02,25.209999,500,24.465333
2015-09-16,25.469999,25.50,25.469999,25.50,1200,24.746768
2015-09-15,26.00,26.00,25.299999,25.41,1500,24.659426
2015-09-14,24.83,25.950001,24.41,25.950001,2800,25.183476
2015-09-11,26.00,26.00,24.75,24.809999,1200,24.077149
2015-09-10,26.299999,26.299999,26.299999,26.299999,000,25.523136
2015-09-09,26.299999,26.299999,26.299999,26.299999,300,25.523136
2015-09-08,26.450001,26.450001,25.00,25.00,1300,24.261537
2015-09-04,25.35,25.35,25.35,25.35,300,24.601199
2015-09-03,25.950001,25.99,25.00,25.99,1800,25.222294
2015-09-02,25.00,25.84,25.00,25.00,2700,24.261537
2015-09-01,24.00,25.870001,24.00,25.360001,1400,24.610904
2015-08-31,24.50,25.98,24.50,25.00,1200,24.261537
2015-08-28,25.549999,25.549999,24.120001,24.120001,2600,23.407532
2015-08-27,25.190001,25.190001,24.75,25.10,1000,24.358584
2015-08-26,25.540001,25.540001,24.26,24.26,2400,23.543396
2015-08-25,25.540001,26.00,24.67,24.67,4400,23.941285
2015-08-24,25.200001,25.700001,24.690001,24.700001,10500,23.970399
2015-08-21,25.200001,25.85,25.200001,25.85,400,25.08643
2015-08-20,25.969999,25.969999,25.969999,25.969999,000,25.202884
2015-08-19,25.969999,25.969999,25.969999,25.969999,400,25.202884
2015-08-18,26.50,26.50,26.50,26.50,000,25.717229
2015-08-17,26.50,26.50,26.50,26.50,400,25.717229
2015-08-14,25.309999,26.07,25.309999,26.07,600,25.299931
2015-08-13,25.09,26.85,25.09,26.82,800,26.027777
2015-08-12,26.99,26.99,26.99,26.99,100,26.192755
2015-08-11,26.50,27.25,26.50,26.950001,1000,26.153938
2015-08-10,26.50,26.50,26.07,26.07,300,25.299931
2015-08-07,26.51,26.51,26.51,26.51,000,25.726934
2015-08-06,27.15,27.15,26.51,26.51,300,25.726934
2015-08-05,26.50,26.540001,26.50,26.50,2200,25.717229
