Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.61,5.66,5.61,5.64,165600,5.64
2016-03-10,5.64,5.65,5.58,5.60,118400,5.60
2016-03-09,5.59,5.63,5.59,5.61,100300,5.61
2016-03-08,5.59,5.63,5.56,5.62,163600,5.586
2016-03-07,5.54,5.64,5.54,5.62,78500,5.586
2016-03-04,5.52,5.59,5.50,5.57,100300,5.536303
2016-03-03,5.43,5.51,5.43,5.51,124400,5.476666
2016-03-02,5.43,5.47,5.41,5.44,110300,5.407089
2016-03-01,5.35,5.45,5.35,5.43,155600,5.397149
2016-02-29,5.32,5.36,5.29,5.35,69900,5.317633
2016-02-26,5.32,5.34,5.31,5.33,69400,5.297754
2016-02-25,5.31,5.33,5.28,5.33,104400,5.297754
2016-02-24,5.26,5.32,5.24,5.32,111300,5.287815
2016-02-23,5.29,5.30,5.28,5.30,101900,5.267936
2016-02-22,5.26,5.30,5.26,5.29,135300,5.257996
2016-02-19,5.23,5.26,5.22,5.26,141200,5.228178
2016-02-18,5.30,5.30,5.24,5.24,187500,5.208299
2016-02-17,5.26,5.31,5.24,5.30,166000,5.267936
2016-02-16,5.26,5.26,5.21,5.25,154100,5.218238
2016-02-12,5.23,5.27,5.21,5.22,100900,5.18842
2016-02-11,5.23,5.24,5.17,5.23,221500,5.19836
2016-02-10,5.29,5.32,5.24,5.24,295100,5.208299
2016-02-09,5.22,5.31,5.22,5.30,226400,5.267936
2016-02-08,5.33,5.34,5.26,5.28,87500,5.214263
2016-02-05,5.40,5.42,5.38,5.38,37400,5.313018
2016-02-04,5.44,5.44,5.38,5.39,188400,5.322893
2016-02-03,5.46,5.46,5.40,5.43,134400,5.362395
2016-02-02,5.48,5.50,5.42,5.42,207300,5.35252
2016-02-01,5.43,5.50,5.43,5.48,163300,5.411772
2016-01-29,5.47,5.50,5.46,5.46,143100,5.392022
2016-01-28,5.46,5.48,5.42,5.45,82700,5.382146
2016-01-27,5.46,5.47,5.43,5.47,51400,5.401897
2016-01-26,5.40,5.46,5.39,5.44,87600,5.372271
2016-01-25,5.44,5.47,5.39,5.39,119400,5.322893
2016-01-22,5.46,5.46,5.40,5.43,91900,5.362395
2016-01-21,5.37,5.39,5.31,5.39,454300,5.322893
2016-01-20,5.39,5.40,5.26,5.33,135100,5.26364
2016-01-19,5.45,5.45,5.41,5.43,140300,5.362395
2016-01-15,5.49,5.49,5.38,5.41,136200,5.342644
2016-01-14,5.59,5.59,5.51,5.52,101100,5.451274
2016-01-13,5.66,5.66,5.57,5.57,129800,5.500652
2016-01-12,5.66,5.67,5.63,5.65,49700,5.579656
2016-01-11,5.68,5.68,5.62,5.66,113400,5.589531
2016-01-08,5.71,5.71,5.64,5.65,150800,5.579656
2016-01-07,5.72,5.72,5.61,5.68,235400,5.609282
2016-01-06,5.78,5.82,5.73,5.74,81500,5.668535
2016-01-05,5.76,5.80,5.75,5.79,43800,5.717913
2016-01-04,5.75,5.77,5.65,5.77,125300,5.698162
2015-12-31,5.75,5.86,5.74,5.77,262400,5.698162
2015-12-30,5.74,5.80,5.71,5.79,135400,5.717913
2015-12-29,5.71,5.75,5.67,5.75,234300,5.678411
2015-12-28,5.75,5.77,5.68,5.75,182600,5.643847
2015-12-24,5.77,5.79,5.73,5.73,81300,5.624216
2015-12-23,5.73,5.79,5.72,5.75,223000,5.643847
2015-12-22,5.70,5.73,5.68,5.72,148100,5.614401
2015-12-21,5.73,5.74,5.67,5.69,112300,5.584955
2015-12-18,5.66,5.74,5.64,5.71,180300,5.604585
2015-12-17,5.66,5.71,5.65,5.68,138900,5.575139
2015-12-16,5.57,5.68,5.57,5.66,235000,5.555508
2015-12-15,5.51,5.60,5.50,5.59,265200,5.486801
2015-12-14,5.60,5.63,5.48,5.49,231000,5.388647
2015-12-11,5.64,5.67,5.62,5.62,146200,5.516247
2015-12-10,5.72,5.74,5.65,5.65,215400,5.545693
2015-12-09,5.75,5.79,5.73,5.73,262100,5.624216
2015-12-08,5.82,5.87,5.82,5.82,121100,5.678201
2015-12-07,5.92,5.93,5.85,5.87,72400,5.726982
2015-12-04,5.95,6.00,5.91,5.93,128600,5.78552
