Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.06,13.13,12.95,13.10,15900,13.10
2016-03-10,12.94,13.03,12.88,13.00,25600,13.00
2016-03-09,12.82,12.94,12.81,12.91,21600,12.91
2016-03-08,12.66,12.80,12.66,12.78,19000,12.719
2016-03-07,12.63,12.96,12.60,12.96,39900,12.898141
2016-03-04,12.65,12.70,12.65,12.66,6600,12.599573
2016-03-03,12.65,12.79,12.61,12.69,13100,12.629429
2016-03-02,12.62,12.71,12.62,12.69,11700,12.629429
2016-03-01,12.62,12.71,12.62,12.65,11500,12.58962
2016-02-29,12.71,12.74,12.64,12.66,17000,12.599573
2016-02-26,12.66,12.82,12.64,12.64,16400,12.579669
2016-02-25,12.69,12.75,12.68,12.72,7400,12.659287
2016-02-24,12.76,12.76,12.70,12.70,5800,12.639382
2016-02-23,12.68,12.74,12.67,12.67,9300,12.609525
2016-02-22,12.65,12.66,12.65,12.66,1500,12.599573
2016-02-19,12.55,12.68,12.55,12.64,6900,12.579669
2016-02-18,12.69,12.69,12.62,12.63,12700,12.569716
2016-02-17,12.59,12.78,12.52,12.78,7400,12.719
2016-02-16,12.53,12.64,12.52,12.53,12600,12.470193
2016-02-12,12.69,12.69,12.51,12.60,8800,12.53986
2016-02-11,12.78,12.78,12.63,12.68,6500,12.619478
2016-02-10,12.64,12.68,12.64,12.68,3500,12.619478
2016-02-09,12.50,12.66,12.50,12.65,3600,12.58962
2016-02-08,12.63,12.74,12.60,12.65,6200,12.528911
2016-02-05,12.69,12.76,12.69,12.70,9300,12.578433
2016-02-04,12.68,12.76,12.65,12.73,4100,12.608145
2016-02-03,12.55,12.65,12.54,12.63,14400,12.509103
2016-02-02,12.54,12.70,12.49,12.55,6800,12.429869
2016-02-01,12.44,12.57,12.41,12.49,11400,12.370443
2016-01-29,12.37,12.53,12.37,12.42,16300,12.301113
2016-01-28,12.38,12.47,12.35,12.37,36800,12.251592
2016-01-27,12.45,12.56,12.38,12.39,13300,12.271401
2016-01-26,12.36,12.53,12.34,12.41,17900,12.291209
2016-01-25,12.55,12.65,12.39,12.41,21500,12.291209
2016-01-22,12.47,12.64,12.42,12.49,22100,12.370443
2016-01-21,12.73,12.73,12.35,12.55,11800,12.429869
2016-01-20,12.66,12.66,12.35,12.64,14600,12.519008
2016-01-19,12.79,12.84,12.54,12.57,14500,12.449677
2016-01-15,12.59,13.04,12.44,12.75,14700,12.627954
2016-01-14,12.53,12.57,12.53,12.54,6100,12.419964
2016-01-13,12.63,12.63,12.50,12.53,16300,12.41006
2016-01-12,12.47,12.70,12.47,12.70,8000,12.578433
2016-01-11,12.60,12.66,12.57,12.60,5100,12.418975
2016-01-08,12.81,12.84,12.63,12.64,4000,12.4584
2016-01-07,12.75,12.75,12.62,12.74,8700,12.556963
2016-01-06,12.71,12.89,12.62,12.77,6800,12.586533
2016-01-05,12.62,12.77,12.60,12.77,5900,12.586533
2016-01-04,12.61,12.65,12.56,12.59,3000,12.409118
2015-12-31,12.52,12.99,12.52,12.69,13000,12.507681
2015-12-30,12.87,12.92,12.56,12.56,24600,12.37955
2015-12-29,12.76,12.88,12.48,12.88,10300,12.694952
2015-12-28,12.57,12.82,12.42,12.82,16500,12.635813
2015-12-24,12.49,12.85,12.35,12.85,6200,12.665383
2015-12-23,12.36,12.46,12.32,12.46,13200,12.280986
2015-12-22,12.38,12.42,12.33,12.34,8800,12.16271
2015-12-21,12.51,12.51,12.43,12.43,7400,12.251417
2015-12-18,12.30,12.48,12.29,12.43,45000,12.251417
2015-12-17,12.21,12.33,12.21,12.30,16000,12.123285
2015-12-16,12.22,12.30,12.19,12.20,5300,12.024721
2015-12-15,12.22,12.30,12.10,12.29,10200,12.113428
2015-12-14,12.23,12.30,12.15,12.30,4200,12.123285
2015-12-11,12.23,12.30,12.20,12.30,6600,12.123285
2015-12-10,12.27,12.44,12.26,12.30,17700,12.123285
2015-12-09,12.21,12.30,12.21,12.30,5000,12.123285
2015-12-08,12.25,12.37,12.25,12.27,10100,12.033592
2015-12-07,12.26,12.36,12.25,12.27,9100,12.033592
2015-12-04,12.33,12.33,12.20,12.25,4100,12.013977
2015-12-03,12.26,12.39,12.26,12.26,8100,12.023784
2015-12-02,12.42,12.42,12.24,12.26,5700,12.023784
2015-12-01,12.30,12.36,12.29,12.35,10900,12.11205
2015-11-30,12.49,12.51,12.32,12.32,4600,12.082628
2015-11-27,12.30,12.45,12.29,12.31,1900,12.072821
2015-11-25,12.34,12.42,12.31,12.32,3200,12.082628
2015-11-24,12.50,12.55,12.30,12.33,12300,12.092435
2015-11-23,12.38,12.66,12.24,12.52,13500,12.278775
2015-11-20,12.58,12.58,12.28,12.32,4100,12.082628
2015-11-19,12.44,12.73,12.29,12.54,4400,12.298389
2015-11-18,12.40,12.72,12.20,12.41,2200,12.170894
2015-11-17,12.35,12.37,12.20,12.37,3900,12.131665
2015-11-16,12.24,12.38,12.21,12.30,5600,12.063014
2015-11-13,12.20,12.20,12.20,12.20,000,11.96494
2015-11-12,12.18,12.21,12.18,12.20,2400,11.96494
