Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.68,12.68,12.58,12.59,41400,12.59
2016-03-10,12.70,12.70,12.58,12.67,25900,12.67
2016-03-09,12.67,12.75,12.61,12.67,23100,12.67
2016-03-08,12.80,12.80,12.61,12.64,77700,12.64
2016-03-07,12.72,12.72,12.57,12.70,52500,12.70
2016-03-04,12.71,12.79,12.65,12.67,50300,12.67
2016-03-03,12.62,12.70,12.59,12.63,38500,12.63
2016-03-02,12.65,12.65,12.55,12.56,78000,12.56
2016-03-01,12.74,12.74,12.57,12.60,149500,12.60
2016-02-29,12.60,12.75,12.54,12.67,68300,12.67
2016-02-26,12.80,12.81,12.51,12.55,139000,12.55
2016-02-25,12.84,12.87,12.81,12.82,36600,12.82
2016-02-24,12.77,12.88,12.77,12.86,39000,12.86
2016-02-23,12.67,12.85,12.67,12.81,55000,12.81
2016-02-22,12.79,12.80,12.65,12.65,20400,12.65
2016-02-19,12.54,12.72,12.49,12.70,33600,12.70
2016-02-18,12.48,12.60,12.42,12.56,76700,12.56
2016-02-17,12.48,12.79,12.48,12.54,69700,12.483
2016-02-16,12.59,12.61,12.48,12.55,45600,12.492955
2016-02-12,12.78,12.78,12.59,12.59,30000,12.532773
2016-02-11,12.99,12.99,12.77,12.77,59600,12.711955
2016-02-10,12.94,13.07,12.91,12.92,50900,12.861273
2016-02-09,12.77,12.94,12.68,12.93,119800,12.871228
2016-02-08,12.86,12.86,12.66,12.70,45500,12.642273
2016-02-05,12.94,12.99,12.79,12.80,49400,12.741818
2016-02-04,12.86,12.97,12.83,12.87,60100,12.8115
2016-02-03,12.74,12.93,12.70,12.79,55100,12.731864
2016-02-02,12.76,12.76,12.60,12.69,54900,12.632318
2016-02-01,12.65,12.75,12.51,12.70,52500,12.642273
2016-01-29,12.56,12.71,12.54,12.61,36000,12.552682
2016-01-28,12.53,12.56,12.43,12.56,48500,12.50291
2016-01-27,12.38,12.51,12.37,12.49,41000,12.433227
2016-01-26,12.47,12.48,12.38,12.46,31600,12.403364
2016-01-25,12.42,12.49,12.35,12.41,59600,12.353591
2016-01-22,12.38,12.58,12.34,12.40,78800,12.343636
2016-01-21,12.24,12.32,12.20,12.32,34300,12.264
2016-01-20,12.18,12.19,12.05,12.19,40900,12.134591
2016-01-19,12.28,12.37,12.19,12.19,57800,12.07785
2016-01-15,12.22,12.33,12.22,12.24,52100,12.12739
2016-01-14,12.21,12.26,12.14,12.22,64100,12.107574
2016-01-13,12.29,12.29,12.15,12.16,63900,12.048126
2016-01-12,12.32,12.33,12.22,12.28,40600,12.167022
2016-01-11,12.35,12.35,12.28,12.28,40600,12.167022
2016-01-08,12.36,12.41,12.27,12.33,92300,12.216562
2016-01-07,12.35,12.35,12.30,12.32,37300,12.206654
2016-01-06,12.28,12.32,12.24,12.30,31300,12.186838
2016-01-05,12.18,12.24,12.17,12.20,25800,12.087758
2016-01-04,12.17,12.18,12.10,12.16,53700,12.048126
2015-12-31,12.16,12.18,12.12,12.15,27400,12.038218
2015-12-30,12.07,12.16,12.03,12.14,77400,12.02831
2015-12-29,12.06,12.10,12.01,12.07,59300,11.958954
2015-12-28,12.08,12.09,12.00,12.03,33700,11.919322
2015-12-24,12.04,12.09,11.97,12.07,29400,11.958954
2015-12-23,11.99,12.04,11.95,12.03,57300,11.919322
2015-12-22,11.99,12.00,11.91,11.95,47600,11.840058
2015-12-21,11.95,12.04,11.91,11.97,58400,11.859874
2015-12-18,12.05,12.12,11.93,11.97,113800,11.803398
2015-12-17,11.88,12.03,11.88,12.01,55200,11.842842
2015-12-16,11.82,11.95,11.81,11.93,62000,11.763955
2015-12-15,11.80,11.83,11.73,11.83,54900,11.665347
2015-12-14,11.97,11.97,11.72,11.87,56300,11.70479
2015-12-11,11.92,12.19,11.91,11.97,98900,11.803398
2015-12-10,11.85,11.93,11.82,11.86,25500,11.694929
2015-12-09,11.87,11.90,11.77,11.81,51000,11.645626
2015-12-08,11.84,11.90,11.77,11.90,32200,11.734372
2015-12-07,11.79,11.95,11.77,11.87,43000,11.70479
2015-12-04,11.80,11.85,11.76,11.82,42500,11.655486
2015-12-03,11.89,11.92,11.72,11.76,52700,11.596321
2015-12-02,12.00,12.01,11.88,11.89,37600,11.724512
2015-12-01,11.97,12.05,11.90,11.98,70500,11.813259
2015-11-30,11.96,11.97,11.87,11.88,30700,11.714651
2015-11-27,11.89,11.92,11.86,11.92,20600,11.754094
2015-11-25,11.99,11.99,11.85,11.94,71100,11.773815
2015-11-24,12.02,12.07,11.92,11.97,52300,11.803398
2015-11-23,11.94,12.08,11.91,11.98,127900,11.813259
2015-11-20,11.98,12.08,11.89,11.90,100400,11.734372
2015-11-19,12.01,12.08,11.96,12.00,34800,11.832981
2015-11-18,12.01,12.02,11.97,12.02,18500,11.796497
2015-11-17,12.01,12.03,11.96,11.98,25200,11.75724
2015-11-16,12.07,12.08,12.06,12.08,14000,11.85538
2015-11-13,12.10,12.15,12.04,12.08,33400,11.85538
2015-11-12,11.93,12.19,11.93,12.14,41200,11.914265
2015-11-11,11.95,12.12,11.95,11.96,24200,11.737612
2015-11-10,11.85,11.95,11.85,11.92,26600,11.698356
2015-11-09,11.95,11.98,11.84,11.90,48500,11.678727
2015-11-06,12.19,12.19,12.00,12.00,53000,11.776868
2015-11-05,12.26,12.31,12.20,12.20,70900,11.973149
2015-11-04,12.16,12.18,12.07,12.18,53900,11.953521
2015-11-03,12.15,12.16,12.07,12.13,45400,11.904451
2015-11-02,12.10,12.18,12.09,12.12,68400,11.894637
2015-10-30,11.98,12.04,11.97,12.04,39800,11.816124
2015-10-29,11.94,11.99,11.92,11.95,38800,11.727798
2015-10-28,11.90,11.99,11.89,11.92,24400,11.698356
2015-10-27,12.00,12.12,11.92,11.92,31100,11.698356
2015-10-26,11.97,12.10,11.96,11.96,29300,11.737612
2015-10-23,12.05,12.07,11.90,11.94,52100,11.717983
2015-10-22,11.95,12.03,11.92,11.97,44100,11.747426
2015-10-21,11.89,11.95,11.89,11.94,63700,11.717983
2015-10-20,11.84,11.94,11.84,11.93,37100,11.65223
2015-10-19,11.88,11.95,11.84,11.84,36800,11.564325
2015-10-16,11.87,11.90,11.84,11.84,28500,11.564325
2015-10-15,11.89,11.90,11.82,11.82,19200,11.54479
2015-10-14,11.89,11.94,11.84,11.84,38300,11.564325
2015-10-13,11.91,11.93,11.80,11.86,39900,11.583859
2015-10-12,11.89,11.93,11.81,11.87,18000,11.593626
2015-10-09,11.88,11.92,11.84,11.87,62600,11.593626
2015-10-08,11.86,11.87,11.83,11.85,34900,11.574093
2015-10-07,11.87,11.89,11.80,11.80,45200,11.525257
2015-10-06,11.85,11.88,11.80,11.85,58000,11.574093
2015-10-05,11.86,11.87,11.78,11.83,28000,11.554558
2015-10-02,11.75,11.85,11.75,11.82,43800,11.54479
2015-10-01,11.70,11.76,11.66,11.68,26100,11.408051
2015-09-30,11.80,11.81,11.63,11.63,66800,11.359215
2015-09-29,11.74,11.80,11.74,11.75,29300,11.47642
2015-09-28,11.77,11.77,11.70,11.70,33200,11.427584
2015-09-25,11.75,11.76,11.66,11.75,35900,11.47642
2015-09-24,11.71,11.74,11.66,11.73,40200,11.456886
2015-09-23,11.68,11.69,11.54,11.69,14400,11.417817
2015-09-22,11.62,11.68,11.60,11.68,38600,11.408051
2015-09-21,11.65,11.66,11.59,11.66,48400,11.388516
2015-09-18,11.60,11.66,11.57,11.66,29400,11.332843
2015-09-17,11.52,11.58,11.46,11.58,32000,11.255088
2015-09-16,11.48,11.54,11.45,11.54,34400,11.21621
2015-09-15,11.53,11.54,11.43,11.44,22300,11.119015
2015-09-14,11.51,11.57,11.47,11.50,35200,11.177332
2015-09-11,11.43,11.52,11.43,11.47,28400,11.148174
2015-09-10,11.40,11.45,11.39,11.40,51400,11.080138
2015-09-09,11.40,11.44,11.38,11.41,75600,11.089857
2015-09-08,11.40,11.43,11.36,11.43,86800,11.109297
2015-09-04,11.39,11.44,11.39,11.39,39800,11.070419
2015-09-03,11.45,11.48,11.30,11.36,82100,11.04126
2015-09-02,11.48,11.48,11.40,11.42,55100,11.099577
2015-09-01,11.45,11.47,11.38,11.45,94000,11.128735
2015-08-31,11.37,11.50,11.34,11.50,82500,11.177332
2015-08-28,11.30,11.37,11.26,11.30,46500,10.982944
2015-08-27,11.58,11.58,11.31,11.37,83000,11.05098
2015-08-26,11.55,11.58,11.49,11.53,74700,11.20649
2015-08-25,11.48,11.56,11.47,11.51,55400,11.187052
2015-08-24,11.23,11.54,11.20,11.40,53900,11.080138
2015-08-21,11.50,11.57,11.42,11.54,55200,11.21621
2015-08-20,11.49,11.51,11.43,11.47,40600,11.148174
2015-08-19,11.52,11.57,11.47,11.56,41000,11.180249
2015-08-18,11.58,11.58,11.50,11.51,32300,11.131891
2015-08-17,11.49,11.58,11.46,11.58,58800,11.199591
2015-08-14,11.48,11.50,11.46,11.48,24800,11.102876
2015-08-13,11.52,11.52,11.45,11.49,34800,11.112547
2015-08-12,11.55,11.58,11.49,11.52,50200,11.141563
2015-08-11,11.46,11.55,11.46,11.55,56900,11.170577
2015-08-10,11.52,11.52,11.43,11.49,53400,11.112547
2015-08-07,11.49,11.53,11.48,11.52,27400,11.141563
2015-08-06,11.43,11.50,11.42,11.49,32300,11.112547
2015-08-05,11.46,11.47,11.36,11.42,29300,11.044847
2015-08-04,11.49,11.49,11.38,11.46,22100,11.083533
2015-08-03,11.49,11.51,11.44,11.49,26900,11.112547
2015-07-31,11.36,11.49,11.35,11.49,55100,11.112547
2015-07-30,11.33,11.36,11.28,11.36,52900,10.986818
2015-07-29,11.39,11.46,11.20,11.36,78800,10.986818
2015-07-28,11.41,11.41,11.33,11.40,17300,11.025504
2015-07-27,11.39,11.43,11.35,11.41,35800,11.035176
2015-07-24,11.38,11.44,11.36,11.41,17900,11.035176
2015-07-23,11.44,11.48,11.33,11.35,36900,10.977147
2015-07-22,11.45,11.47,11.38,11.41,53200,11.035176
2015-07-21,11.46,11.50,11.44,11.49,48900,11.05742
2015-07-20,11.45,11.49,11.38,11.45,38800,11.018926
2015-07-17,11.45,11.49,11.38,11.44,50300,11.009302
2015-07-16,11.49,11.49,11.39,11.45,32800,11.018926
2015-07-15,11.49,11.49,11.39,11.49,47600,11.05742
2015-07-14,11.40,11.50,11.39,11.49,46400,11.05742
2015-07-13,11.50,11.52,11.40,11.40,35400,10.970808
2015-07-10,11.42,11.53,11.42,11.51,73800,11.076667
2015-07-09,11.43,11.47,11.39,11.46,28700,11.02855
2015-07-08,11.39,11.41,11.35,11.41,24200,10.980432
2015-07-07,11.39,11.43,11.36,11.42,27900,10.990056
2015-07-06,11.38,11.38,11.31,11.36,33400,10.932314
2015-07-02,11.35,11.38,11.30,11.34,55100,10.913068
2015-07-01,11.27,11.34,11.25,11.33,38000,10.903444
2015-06-30,11.19,11.30,11.12,11.29,39700,10.86495
2015-06-29,11.29,11.32,11.13,11.20,113900,10.778338
2015-06-26,11.28,11.34,11.22,11.22,61100,10.797585
2015-06-25,11.30,11.36,11.25,11.29,61500,10.86495
2015-06-24,11.47,11.47,11.32,11.32,42300,10.89382
2015-06-23,11.47,11.53,11.41,11.41,82200,10.980432
2015-06-22,11.50,11.50,11.41,11.46,57400,11.02855
2015-06-19,11.40,11.48,11.39,11.48,50800,11.047796
2015-06-18,11.44,11.49,11.43,11.47,37300,10.983319
2015-06-17,11.43,11.52,11.43,11.46,49800,10.973744
2015-06-16,11.41,11.50,11.36,11.42,44700,10.935441
2015-06-15,11.39,11.47,11.33,11.40,69500,10.916289
2015-06-12,11.40,11.41,11.34,11.34,126800,10.858835
2015-06-11,11.43,11.43,11.35,11.38,80200,10.897138
2015-06-10,11.39,11.49,11.38,11.42,114200,10.935441
2015-06-09,11.57,11.57,11.36,11.44,71100,10.954592
2015-06-08,11.72,11.76,11.57,11.57,46700,11.079076
2015-06-05,11.72,11.80,11.65,11.71,52800,11.213136
2015-06-04,11.80,11.80,11.71,11.76,47700,11.261014
2015-06-03,11.83,11.85,11.76,11.78,78700,11.280165
2015-06-02,11.78,11.89,11.74,11.85,77300,11.347196
2015-06-01,11.70,11.80,11.70,11.78,43900,11.280165
2015-05-29,11.75,11.75,11.62,11.65,101200,11.155681
2015-05-28,11.76,11.78,11.71,11.71,42000,11.213136
2015-05-27,11.77,11.79,11.66,11.76,159000,11.261014
2015-05-26,11.91,11.91,11.71,11.71,99100,11.213136
2015-05-22,11.98,11.98,11.89,11.89,27800,11.385499
2015-05-21,11.99,11.99,11.91,11.96,43100,11.452528
2015-05-20,11.95,12.02,11.93,11.97,28600,11.462104
2015-05-19,11.90,12.08,11.90,11.98,71600,11.417097
2015-05-18,11.99,12.06,11.95,12.03,93400,11.464748
2015-05-15,11.97,12.03,11.88,11.99,71000,11.426628
2015-05-14,11.95,11.99,11.93,11.95,61100,11.388507
2015-05-13,12.02,12.07,11.91,11.98,57600,11.417097
2015-05-12,12.02,12.03,11.96,12.00,36000,11.436158
2015-05-11,12.12,12.14,12.03,12.08,75800,11.512399
2015-05-08,12.05,12.12,12.03,12.12,60700,11.55052
2015-05-07,11.95,12.02,11.92,11.98,51400,11.417097
2015-05-06,12.14,12.16,11.96,11.96,140900,11.343716
2015-05-05,12.18,12.21,12.11,12.18,70200,11.55238
2015-05-04,12.14,12.19,12.12,12.14,36000,11.514441
2015-05-01,12.20,12.24,12.14,12.16,52500,11.53341
2015-04-30,12.26,12.31,12.12,12.12,43000,11.495471
2015-04-29,12.34,12.37,12.27,12.27,60600,11.637743
2015-04-28,12.30,12.41,12.30,12.38,52400,11.742074
2015-04-27,12.22,12.35,12.21,12.30,73800,11.666197
2015-04-24,12.32,12.32,12.21,12.25,36800,11.618773
2015-04-23,12.21,12.32,12.21,12.32,38500,11.685165
2015-04-22,12.20,12.24,12.18,12.20,33800,11.571349
2015-04-21,12.24,12.27,12.13,12.15,32600,11.523925
2015-04-20,12.37,12.40,12.17,12.27,117200,11.583679
2015-04-17,12.29,12.39,12.25,12.35,45900,11.659204
2015-04-16,12.19,12.30,12.18,12.30,29600,11.612001
2015-04-15,12.24,12.29,12.12,12.17,41100,11.489272
2015-04-14,12.16,12.27,12.09,12.26,48800,11.574238
2015-04-13,12.08,12.16,12.08,12.14,51400,11.460951
2015-04-10,12.07,12.19,12.07,12.09,51300,11.413747
2015-04-09,12.06,12.11,12.02,12.03,32400,11.357103
2015-04-08,12.06,12.12,12.04,12.08,30900,11.404306
2015-04-07,12.07,12.09,12.03,12.08,38800,11.404306
2015-04-06,12.13,12.13,12.01,12.06,47700,11.385425
2015-04-02,12.09,12.12,12.00,12.09,79700,11.413747
2015-04-01,12.07,12.19,12.06,12.07,42300,11.394865
2015-03-31,12.06,12.12,12.01,12.02,63300,11.347663
2015-03-30,12.12,12.12,12.03,12.07,25500,11.394865
2015-03-27,12.10,12.16,12.07,12.10,17000,11.423188
2015-03-26,12.08,12.24,12.04,12.05,48500,11.375985
2015-03-25,12.10,12.10,12.03,12.07,25100,11.394865
2015-03-24,12.06,12.09,11.96,12.09,25600,11.413747
2015-03-23,12.19,12.19,12.02,12.06,57000,11.385425
2015-03-20,12.00,12.19,11.95,12.15,124900,11.470391
2015-03-19,12.03,12.09,11.98,12.06,66600,11.331614
2015-03-18,12.01,12.12,11.92,12.07,51100,11.34101
2015-03-17,11.96,11.98,11.88,11.98,53000,11.256445
2015-03-16,12.03,12.05,11.92,11.93,42200,11.209466
2015-03-13,11.97,12.01,11.90,11.97,44700,11.24705
2015-03-12,12.00,12.03,11.94,11.94,34300,11.218861
2015-03-11,12.05,12.07,11.91,11.93,57600,11.209466
2015-03-10,12.05,12.10,12.02,12.02,23400,11.29403
2015-03-09,12.01,12.05,11.96,12.01,35200,11.284634
2015-03-06,12.14,12.14,11.93,11.93,100800,11.209466
2015-03-05,12.17,12.27,12.15,12.20,27100,11.463158
2015-03-04,12.13,12.20,12.08,12.13,63300,11.397386
2015-03-03,12.08,12.13,11.99,12.10,56700,11.369198
2015-03-02,12.12,12.12,12.08,12.09,54300,11.359802
