Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.32,14.38,14.32,14.32,32600,14.32
2016-03-10,14.21,14.40,14.21,14.35,73400,14.35
2016-03-09,14.27,14.29,14.17,14.24,29500,14.24
2016-03-08,14.17,14.30,14.17,14.29,31900,14.219
2016-03-07,14.25,14.37,14.15,14.17,74300,14.099596
2016-03-04,14.32,14.37,14.25,14.25,34600,14.179199
2016-03-03,14.31,14.36,14.28,14.30,50600,14.22895
2016-03-02,14.29,14.31,14.18,14.31,52400,14.238901
2016-03-01,14.20,14.30,14.17,14.25,59500,14.179199
2016-02-29,14.09,14.22,14.09,14.17,80500,14.099596
2016-02-26,14.09,14.13,14.05,14.05,87400,13.980192
2016-02-25,14.10,14.16,14.05,14.06,48200,13.990143
2016-02-24,14.12,14.14,14.03,14.05,57400,13.980192
2016-02-23,14.02,14.12,13.97,14.08,65700,14.010043
2016-02-22,14.11,14.11,13.93,13.93,74000,13.860789
2016-02-19,14.02,14.08,13.93,14.05,55300,13.980192
2016-02-18,13.98,14.01,13.91,14.00,54400,13.930441
2016-02-17,13.98,13.98,13.89,13.91,44300,13.840888
2016-02-16,14.01,14.05,13.89,13.96,67600,13.890639
2016-02-12,14.16,14.19,14.03,14.07,43100,14.000093
2016-02-11,14.10,14.16,14.07,14.09,64200,14.019994
2016-02-10,14.25,14.29,14.14,14.14,55500,14.069745
2016-02-09,14.22,14.22,14.13,14.21,42100,14.139397
2016-02-08,14.25,14.27,14.20,14.24,46400,14.098601
2016-02-05,14.30,14.31,14.20,14.20,35500,14.058998
2016-02-04,14.19,14.29,14.13,14.28,121200,14.138203
2016-02-03,14.22,14.22,14.14,14.16,36100,14.019395
2016-02-02,14.10,14.25,14.05,14.14,76600,13.999594
2016-02-01,14.03,14.09,14.01,14.02,35900,13.880786
2016-01-29,13.98,14.04,13.97,14.02,25900,13.880786
2016-01-28,13.90,13.96,13.85,13.96,36100,13.821381
2016-01-27,13.88,13.91,13.80,13.85,45700,13.712474
2016-01-26,13.95,14.01,13.76,13.84,90700,13.702573
2016-01-25,14.03,14.05,13.86,13.87,53600,13.732275
2016-01-22,13.90,13.99,13.89,13.97,68900,13.831282
2016-01-21,13.70,13.90,13.70,13.86,54600,13.722374
2016-01-20,13.87,13.87,13.60,13.75,121500,13.613466
2016-01-19,13.90,13.90,13.77,13.83,80100,13.692672
2016-01-15,13.83,13.99,13.79,13.80,191700,13.66297
2016-01-14,13.92,13.92,13.76,13.78,75400,13.643168
2016-01-13,13.95,13.95,13.84,13.88,72200,13.742176
2016-01-12,13.86,13.95,13.81,13.90,53800,13.761977
2016-01-11,13.89,13.94,13.85,13.90,41700,13.691682
2016-01-08,13.85,13.91,13.80,13.91,32100,13.701532
2016-01-07,13.89,13.95,13.84,13.87,48300,13.662132
2016-01-06,13.84,14.00,13.82,13.85,97500,13.642432
2016-01-05,13.71,13.86,13.71,13.83,47600,13.622731
2016-01-04,13.71,13.86,13.64,13.71,44000,13.50453
2015-12-31,13.70,13.74,13.67,13.73,27400,13.52423
2015-12-30,13.56,13.67,13.55,13.67,29600,13.46513
2015-12-29,13.45,13.59,13.45,13.55,47300,13.346928
2015-12-28,13.47,13.50,13.42,13.47,27600,13.268127
2015-12-24,13.36,13.51,13.36,13.42,30000,13.218876
2015-12-23,13.46,13.47,13.32,13.35,56500,13.149926
2015-12-22,13.43,13.43,13.33,13.39,44500,13.189326
2015-12-21,13.38,13.43,13.34,13.40,54700,13.199176
2015-12-18,13.31,13.37,13.27,13.33,67700,13.130225
2015-12-17,13.22,13.30,13.21,13.28,82000,13.080974
2015-12-16,13.13,13.20,13.07,13.20,66700,13.002173
2015-12-15,13.05,13.15,13.05,13.10,76900,12.903672
2015-12-14,13.22,13.22,13.06,13.06,58100,12.864272
2015-12-11,13.28,13.30,13.19,13.22,69000,13.021874
2015-12-10,13.29,13.34,13.25,13.26,37200,13.061274
2015-12-09,13.59,13.59,13.29,13.29,67200,13.090824
2015-12-08,13.40,13.60,13.34,13.59,55200,13.316392
2015-12-07,13.41,13.43,13.28,13.37,43000,13.100821
2015-12-04,13.22,13.37,13.21,13.37,34700,13.100821
2015-12-03,13.39,13.39,13.19,13.19,69500,12.924445
2015-12-02,13.49,13.51,13.40,13.44,38900,13.169412
2015-12-01,13.44,13.50,13.37,13.45,38000,13.179211
2015-11-30,13.33,13.41,13.30,13.39,47900,13.120419
2015-11-27,13.32,13.34,13.29,13.33,7700,13.061627
2015-11-25,13.22,13.26,13.18,13.26,39500,12.993036
2015-11-24,13.18,13.20,13.12,13.20,22800,12.934244
2015-11-23,13.27,13.30,13.08,13.08,57500,12.81666
2015-11-20,13.22,13.27,13.19,13.27,66200,13.002835
2015-11-19,13.18,13.22,13.12,13.22,54800,12.953842
2015-11-18,13.15,13.18,13.11,13.14,43900,12.875452
2015-11-17,13.07,13.13,13.05,13.10,46400,12.836258
2015-11-16,13.07,13.10,13.02,13.03,41000,12.767667
2015-11-13,12.79,13.13,12.79,13.00,104500,12.738271
2015-11-12,12.84,12.87,12.72,12.73,67700,12.473706
2015-11-11,12.87,12.87,12.79,12.80,20500,12.542298
2015-11-10,12.83,12.88,12.80,12.83,76800,12.571693
2015-11-09,12.89,12.91,12.82,12.91,49600,12.580512
2015-11-06,12.95,12.95,12.86,12.93,47500,12.600002
2015-11-05,13.05,13.05,12.97,13.00,50500,12.668215
2015-11-04,13.00,13.07,12.99,13.03,77600,12.697449
2015-11-03,13.15,13.17,13.05,13.09,60100,12.755918
2015-11-02,13.00,13.12,12.98,13.11,48700,12.775407
2015-10-30,12.96,12.99,12.91,12.99,50800,12.65847
2015-10-29,12.93,12.96,12.88,12.96,44400,12.629236
2015-10-28,12.92,12.95,12.87,12.87,45600,12.541533
2015-10-27,12.92,12.95,12.90,12.95,48600,12.619491
2015-10-26,12.90,12.93,12.90,12.90,18000,12.570767
2015-10-23,12.96,12.96,12.92,12.94,27900,12.609746
2015-10-22,12.93,12.97,12.87,12.94,52100,12.609746
2015-10-21,12.90,12.95,12.89,12.93,46600,12.600002
2015-10-20,12.82,12.90,12.82,12.90,51600,12.570767
2015-10-19,12.86,12.91,12.81,12.81,41800,12.483064
2015-10-16,12.91,12.91,12.81,12.89,74700,12.561023
2015-10-15,12.88,12.88,12.83,12.88,22600,12.551278
2015-10-14,12.84,12.88,12.84,12.85,29200,12.522044
2015-10-13,12.86,12.87,12.80,12.82,38200,12.492809
2015-10-12,12.83,12.87,12.81,12.84,42100,12.512299
2015-10-09,12.80,12.88,12.80,12.84,28400,12.512299
2015-10-08,12.89,12.89,12.82,12.82,18800,12.492809
2015-10-07,12.89,12.91,12.88,12.90,41000,12.501579
2015-10-06,12.88,13.00,12.86,12.86,261000,12.462814
2015-10-05,12.81,12.97,12.81,12.84,103500,12.443432
2015-10-02,13.00,13.02,12.73,12.80,167100,12.404668
2015-10-01,12.97,13.12,12.97,13.07,67600,12.666328
2015-09-30,13.06,13.11,12.90,12.97,70700,12.569417
2015-09-29,12.89,13.05,12.89,13.00,140000,12.598491
2015-09-28,12.95,12.95,12.85,12.85,29400,12.453124
2015-09-25,12.91,12.93,12.88,12.90,30500,12.501579
2015-09-24,12.92,12.96,12.90,12.90,42300,12.501579
2015-09-23,12.92,12.96,12.90,12.94,29800,12.540343
2015-09-22,12.89,12.97,12.89,12.90,46300,12.501579
2015-09-21,12.96,12.98,12.87,12.90,74500,12.501579
2015-09-18,12.86,12.96,12.72,12.93,29500,12.530653
2015-09-17,12.70,12.91,12.65,12.86,39000,12.462814
2015-09-16,12.56,12.75,12.56,12.68,39800,12.288374
2015-09-15,12.67,12.74,12.53,12.53,43100,12.143006
2015-09-14,12.79,12.81,12.66,12.66,44000,12.268991
2015-09-11,12.84,12.84,12.74,12.82,27100,12.42405
2015-09-10,12.83,12.85,12.76,12.85,49000,12.453124
2015-09-09,12.88,12.88,12.82,12.86,28500,12.462814
2015-09-08,12.87,12.94,12.83,12.94,66600,12.46766
2015-09-04,12.70,12.88,12.67,12.84,63200,12.371311
2015-09-03,12.68,12.73,12.66,12.70,36100,12.236421
2015-09-02,12.63,12.66,12.57,12.61,59000,12.149706
2015-09-01,12.58,12.67,12.58,12.67,75000,12.207516
2015-08-31,12.76,12.84,12.56,12.56,56000,12.101531
2015-08-28,12.68,12.83,12.68,12.71,30300,12.246056
2015-08-27,12.69,12.73,12.62,12.73,34100,12.265325
2015-08-26,12.72,12.75,12.62,12.71,53400,12.246056
2015-08-25,12.77,12.80,12.71,12.72,57000,12.255691
2015-08-24,12.83,12.94,12.68,12.68,139700,12.217151
2015-08-21,12.83,12.94,12.71,12.78,89300,12.3135
2015-08-20,12.96,12.96,12.86,12.86,52400,12.39058
2015-08-19,12.85,12.94,12.77,12.94,59400,12.46766
2015-08-18,12.83,12.86,12.80,12.86,37800,12.39058
2015-08-17,12.83,12.86,12.77,12.81,51700,12.342406
2015-08-14,12.77,12.81,12.68,12.78,43100,12.3135
2015-08-13,12.88,12.88,12.74,12.76,46000,12.294231
2015-08-12,12.83,12.89,12.83,12.89,29900,12.419486
2015-08-11,12.78,12.89,12.71,12.79,63100,12.323136
2015-08-10,12.87,12.87,12.81,12.86,35300,12.318318
2015-08-07,12.84,12.90,12.81,12.85,70700,12.308739
2015-08-06,12.56,12.79,12.56,12.77,44800,12.232109
2015-08-05,12.65,12.71,12.58,12.59,59900,12.059691
2015-08-04,12.74,12.86,12.66,12.66,39600,12.126742
2015-08-03,12.71,12.76,12.67,12.71,44000,12.174636
2015-07-31,12.75,12.76,12.64,12.64,107900,12.107585
2015-07-30,12.88,12.88,12.66,12.66,54800,12.126742
2015-07-29,12.91,12.91,12.79,12.82,44200,12.280002
2015-07-28,12.90,12.90,12.78,12.84,31100,12.29916
2015-07-27,12.89,12.98,12.77,12.80,86700,12.260845
2015-07-24,12.72,12.96,12.67,12.96,79700,12.414106
2015-07-23,12.68,12.72,12.62,12.65,31100,12.117163
2015-07-22,12.71,12.72,12.65,12.70,45600,12.165057
2015-07-21,12.77,12.78,12.64,12.69,70300,12.155478
2015-07-20,12.78,12.83,12.74,12.76,36000,12.22253
2015-07-17,12.75,12.82,12.74,12.76,55200,12.22253
