Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.71,14.97,14.71,14.97,1400,14.97
2016-03-10,14.71,16.389999,14.71,15.00,5400,15.00
2016-03-09,14.39,14.65,14.39,14.57,1700,14.57
2016-03-08,14.94,14.94,14.54,14.55,3700,14.489001
2016-03-07,14.89,14.89,14.72,14.72,2100,14.658288
2016-03-04,14.89,15.52,14.75,14.87,2600,14.807659
2016-03-03,14.74,14.74,14.70,14.70,1400,14.638371
2016-03-02,14.78,14.78,14.57,14.57,1200,14.508916
2016-03-01,14.40,14.74,14.40,14.74,2300,14.678204
2016-02-29,14.54,14.75,14.37,14.37,5400,14.309755
2016-02-26,14.59,14.62,14.38,14.53,6200,14.469084
2016-02-25,14.51,14.51,14.28,14.28,4500,14.220132
2016-02-24,14.34,14.34,14.33,14.33,1900,14.269923
2016-02-23,14.17,14.23,14.17,14.23,2100,14.170342
2016-02-22,14.29,14.34,14.13,14.34,6800,14.279881
2016-02-19,14.63,14.63,14.24,14.24,4300,14.1803
2016-02-18,14.50,14.56,14.42,14.47,10300,14.409336
2016-02-17,14.45,14.45,14.45,14.45,200,14.389419
2016-02-16,14.35,14.47,14.35,14.35,2000,14.289839
2016-02-12,14.38,14.46,14.35,14.42,2800,14.359545
2016-02-11,14.38,14.40,14.35,14.35,4000,14.289839
2016-02-10,14.36,14.50,14.36,14.36,3500,14.299797
2016-02-09,14.36,14.43,14.36,14.43,600,14.369504
2016-02-08,14.48,14.50,14.35,14.39,5800,14.268927
2016-02-05,14.47,14.47,14.47,14.47,900,14.348254
2016-02-04,14.43,14.47,14.36,14.36,2800,14.239178
2016-02-03,14.36,14.36,14.36,14.36,500,14.239178
2016-02-02,14.30,14.35,14.30,14.35,2400,14.229263
2016-02-01,14.47,14.48,14.21,14.21,6000,14.090441
2016-01-29,14.35,14.43,14.35,14.43,1200,14.30859
2016-01-28,14.17,14.17,14.17,14.17,500,14.050777
2016-01-27,14.15,14.22,13.86,14.15,22600,14.030945
2016-01-26,14.18,14.26,14.15,14.21,2200,14.090441
2016-01-25,14.12,14.18,14.12,14.15,3100,14.030945
2016-01-22,14.37,14.37,14.13,14.13,3300,14.011114
2016-01-21,14.29,14.29,14.16,14.27,1800,14.149936
2016-01-20,14.20,14.20,14.16,14.16,400,14.040861
2016-01-19,14.20,14.27,14.18,14.18,3700,14.060694
2016-01-15,14.13,14.29,14.13,14.20,3600,14.080525
2016-01-14,14.20,14.20,14.02,14.12,14100,14.001198
2016-01-13,14.12,14.12,14.09,14.09,2900,13.971451
2016-01-12,14.02,14.27,14.02,14.09,19200,13.971451
2016-01-11,14.51,14.73,14.51,14.53,33000,14.347261
2016-01-08,14.48,15.18,14.37,14.52,11900,14.337388
2016-01-07,14.46,14.46,14.33,14.33,400,14.149777
2016-01-06,14.21,14.40,14.15,14.37,4700,14.189274
2016-01-05,14.33,14.38,14.25,14.38,10700,14.199148
2016-01-04,14.04,14.23,14.04,14.23,7700,14.051034
2015-12-31,14.00,14.06,13.96,14.02,21400,13.843676
2015-12-30,14.08,14.14,13.95,14.14,1600,13.962167
2015-12-29,13.98,14.18,13.98,14.10,400,13.92267
2015-12-28,14.10,14.10,14.09,14.09,400,13.912795
2015-12-24,14.17,14.22,14.17,14.18,1200,14.001664
2015-12-23,14.09,14.15,14.02,14.07,2700,13.893046
2015-12-22,13.91,14.09,13.90,13.95,4300,13.774556
2015-12-21,14.01,14.07,14.00,14.00,500,13.823927
2015-12-18,13.96,14.07,13.88,13.94,1900,13.764681
2015-12-17,13.89,13.89,13.89,13.89,600,13.715311
2015-12-16,13.85,13.94,13.85,13.85,2900,13.675814
2015-12-15,13.92,13.95,13.81,13.94,4000,13.764681
2015-12-14,14.00,14.00,13.75,13.75,4400,13.577071
2015-12-11,13.85,13.92,13.85,13.87,5300,13.695562
2015-12-10,13.85,13.85,13.72,13.85,1700,13.675814
2015-12-09,13.70,13.86,13.69,13.69,2800,13.517825
2015-12-08,13.57,13.83,13.56,13.83,3600,13.595833
2015-12-07,13.58,13.59,13.57,13.57,2900,13.340235
2015-12-04,13.84,13.84,13.68,13.68,4900,13.448373
2015-12-03,13.80,13.85,13.72,13.80,3800,13.566341
2015-12-02,13.78,13.79,13.74,13.79,13600,13.55651
2015-12-01,13.73,13.80,13.73,13.78,5300,13.546679
2015-11-30,13.57,13.70,13.52,13.70,2200,13.468034
2015-11-27,13.64,13.64,13.64,13.64,000,13.40905
2015-11-25,13.63,13.64,13.63,13.64,1200,13.40905
2015-11-24,13.59,13.62,13.59,13.60,1700,13.369727
2015-11-23,13.64,13.64,13.55,13.56,600,13.330405
2015-11-20,13.61,13.64,13.61,13.62,2700,13.389388
2015-11-19,13.54,13.54,13.54,13.54,200,13.310743
2015-11-18,13.38,13.48,13.38,13.48,1700,13.251758
2015-11-17,13.43,13.43,13.43,13.43,400,13.202606
2015-11-16,13.46,13.46,13.39,13.39,1500,13.163283
2015-11-13,13.46,13.46,13.37,13.37,2500,13.143621
2015-11-12,13.52,13.53,13.40,13.53,3100,13.300912
2015-11-11,13.56,13.57,13.52,13.52,1600,13.291082
2015-11-10,13.47,13.48,13.47,13.48,1400,13.251758
2015-11-09,13.45,13.45,13.45,13.45,1100,13.162299
2015-11-06,13.57,13.57,13.54,13.54,1500,13.250374
2015-11-05,13.66,13.66,13.66,13.66,000,13.367807
2015-11-04,13.77,13.77,13.63,13.66,1400,13.367807
2015-11-03,13.76,13.77,13.76,13.77,200,13.475455
2015-11-02,13.74,13.74,13.67,13.67,800,13.377594
2015-10-30,13.60,13.67,13.60,13.67,5200,13.377594
2015-10-29,13.53,13.60,13.52,13.60,2800,13.309091
2015-10-28,13.60,13.64,13.46,13.47,14700,13.181872
2015-10-27,13.65,13.65,13.60,13.60,300,13.309091
2015-10-26,13.51,13.59,13.51,13.59,3600,13.299305
2015-10-23,13.49,13.51,13.48,13.51,6700,13.221016
2015-10-22,13.65,13.67,13.50,13.60,14400,13.309091
2015-10-21,13.67,13.77,13.64,13.70,4400,13.406952
2015-10-20,13.68,13.68,13.56,13.60,3400,13.309091
2015-10-19,13.50,13.58,13.50,13.58,700,13.289519
2015-10-16,13.50,13.53,13.50,13.50,1700,13.21123
2015-10-15,13.50,13.50,13.43,13.43,1600,13.142728
2015-10-14,13.43,13.49,13.43,13.48,2900,13.191657
2015-10-13,13.42,13.49,13.42,13.46,4800,13.172086
2015-10-12,13.42,13.43,13.42,13.42,3600,13.132941
2015-10-09,13.53,13.53,13.39,13.39,1800,13.103583
2015-10-08,13.26,13.43,13.26,13.43,900,13.142728
2015-10-07,13.46,13.46,13.37,13.40,4300,13.053674
2015-10-06,13.29,13.53,13.29,13.48,6800,13.131606
2015-10-05,13.33,13.40,13.30,13.37,5800,13.024449
2015-10-02,13.30,13.40,13.30,13.38,3500,13.034191
2015-10-01,13.39,13.40,13.30,13.31,4900,12.966
2015-09-30,13.32,13.32,13.32,13.32,000,12.975741
2015-09-29,13.32,13.32,13.32,13.32,000,12.975741
2015-09-28,13.30,13.39,13.30,13.32,4700,12.975741
2015-09-25,13.30,13.30,13.23,13.26,1500,12.917292
2015-09-24,13.31,13.52,13.31,13.38,1200,13.034191
2015-09-23,13.30,13.47,13.29,13.36,4500,13.014707
2015-09-22,13.23,13.38,13.23,13.37,2400,13.024449
2015-09-21,13.41,13.41,13.26,13.28,5000,12.936775
2015-09-18,13.55,13.66,13.32,13.34,27600,12.995225
2015-09-17,13.23,13.36,13.23,13.36,1000,13.014707
2015-09-16,13.19,13.27,13.19,13.20,2400,12.858843
2015-09-15,13.12,13.24,13.12,13.24,2700,12.897809
2015-09-14,13.24,13.24,13.18,13.21,3200,12.868585
2015-09-11,13.29,13.33,13.23,13.26,9600,12.917292
2015-09-10,13.29,13.29,13.22,13.26,2800,12.917292
2015-09-09,13.44,13.44,13.22,13.24,17100,12.897809
2015-09-08,13.26,13.30,13.11,13.22,23900,12.818903
2015-09-04,13.21,13.22,13.17,13.22,3000,12.818903
2015-09-03,13.15,13.33,13.14,13.14,2800,12.74133
2015-09-02,13.48,13.48,13.09,13.09,4600,12.692847
2015-09-01,13.13,13.29,13.13,13.22,6500,12.818903
2015-08-31,13.15,13.25,13.12,13.22,2700,12.818903
2015-08-28,13.15,13.23,13.15,13.23,400,12.828599
2015-08-27,13.23,13.23,13.11,13.11,2300,12.71224
2015-08-26,13.19,13.19,13.15,13.15,200,12.751026
2015-08-25,13.14,13.15,13.13,13.14,1000,12.74133
2015-08-24,13.39,13.40,13.10,13.11,12200,12.71224
2015-08-21,13.39,13.40,13.19,13.24,12600,12.838296
2015-08-20,13.51,13.51,13.27,13.30,5300,12.896476
2015-08-19,13.43,13.45,13.29,13.45,600,13.041924
2015-08-18,13.48,13.48,13.21,13.23,800,12.828599
2015-08-17,13.25,13.43,13.25,13.25,5700,12.847992
