Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.70,12.81,12.70,12.81,286200,12.81
2016-03-10,12.74,12.76,12.62,12.70,272300,12.70
2016-03-09,12.63,12.73,12.61,12.71,231400,12.71
2016-03-08,12.72,12.73,12.67,12.67,178200,12.568
2016-03-07,12.70,12.74,12.65,12.72,288700,12.617598
2016-03-04,12.63,12.74,12.61,12.73,205900,12.627517
2016-03-03,12.50,12.64,12.47,12.64,299100,12.538242
2016-03-02,12.51,12.52,12.46,12.52,229800,12.419208
2016-03-01,12.42,12.53,12.38,12.48,425900,12.379529
2016-02-29,12.27,12.40,12.27,12.40,230100,12.300173
2016-02-26,12.25,12.31,12.21,12.31,199400,12.210899
2016-02-25,12.16,12.27,12.15,12.24,286500,12.141462
2016-02-24,12.10,12.20,12.08,12.19,223000,12.091864
2016-02-23,12.10,12.20,12.08,12.16,262200,12.062106
2016-02-22,12.13,12.20,12.10,12.14,342700,12.042267
2016-02-19,11.96,12.08,11.90,12.05,250900,11.952992
2016-02-18,12.06,12.13,11.97,12.01,423000,11.913314
2016-02-17,11.88,12.08,11.87,12.08,378900,11.98275
2016-02-16,11.76,11.92,11.76,11.90,348600,11.804199
2016-02-12,11.72,11.80,11.70,11.75,246400,11.655407
2016-02-11,11.79,11.83,11.67,11.69,256800,11.595889
2016-02-10,11.90,11.94,11.87,11.88,255000,11.78436
2016-02-09,11.82,11.92,11.82,11.90,371500,11.804199
2016-02-08,12.19,12.20,11.96,11.98,411200,11.782375
2016-02-05,12.24,12.27,12.20,12.23,168700,12.028251
2016-02-04,12.32,12.35,12.25,12.31,247300,12.106932
2016-02-03,12.34,12.36,12.29,12.35,196300,12.146273
2016-02-02,12.34,12.36,12.25,12.35,213300,12.146273
2016-02-01,12.31,12.39,12.25,12.38,280300,12.175777
2016-01-29,12.28,12.41,12.28,12.33,394900,12.126602
2016-01-28,12.24,12.37,12.20,12.32,279100,12.116767
2016-01-27,12.20,12.31,12.19,12.23,327900,12.028251
2016-01-26,12.03,12.28,12.02,12.28,360200,12.077427
2016-01-25,12.05,12.09,11.99,12.03,330700,11.831551
2016-01-22,12.04,12.13,12.01,12.08,494600,11.880726
2016-01-21,11.84,12.12,11.84,12.01,833400,11.811881
2016-01-20,11.82,11.89,11.63,11.88,880100,11.684025
2016-01-19,12.18,12.21,11.96,12.00,638600,11.802046
2016-01-15,12.16,12.26,12.13,12.18,488600,11.979077
2016-01-14,12.28,12.36,12.24,12.26,424300,12.057757
2016-01-13,12.49,12.54,12.30,12.30,396500,12.097097
2016-01-12,12.52,12.57,12.41,12.45,349800,12.244622
2016-01-11,12.62,12.67,12.48,12.59,552800,12.281996
2016-01-08,12.64,12.68,12.62,12.62,283400,12.311262
2016-01-07,12.62,12.70,12.60,12.64,532400,12.330773
2016-01-06,12.60,12.75,12.60,12.70,370600,12.389305
2016-01-05,12.63,12.77,12.61,12.70,342100,12.389305
2016-01-04,12.67,12.67,12.54,12.56,414800,12.25273
2015-12-31,12.57,12.76,12.53,12.76,498200,12.447837
2015-12-30,12.54,12.61,12.54,12.57,539500,12.262485
2015-12-29,12.63,12.66,12.52,12.59,572000,12.281996
2015-12-28,12.63,12.71,12.59,12.64,502500,12.330773
2015-12-24,12.65,12.77,12.65,12.72,241000,12.408816
2015-12-23,12.62,12.75,12.62,12.67,410000,12.360039
2015-12-22,12.50,12.60,12.50,12.58,537900,12.27224
2015-12-21,12.55,12.61,12.54,12.54,511000,12.233219
2015-12-18,12.49,12.74,12.45,12.55,610600,12.242975
2015-12-17,12.37,12.58,12.30,12.57,506900,12.262485
2015-12-16,12.21,12.45,12.21,12.44,860700,12.135665
2015-12-15,12.15,12.31,12.15,12.21,653600,11.911292
2015-12-14,12.23,12.25,12.02,12.11,605800,11.813738
2015-12-11,12.40,12.44,12.20,12.28,886400,11.979579
2015-12-10,12.46,12.57,12.42,12.47,410100,12.164932
2015-12-09,12.61,12.74,12.53,12.54,459600,12.233219
2015-12-08,12.68,12.82,12.68,12.78,352600,12.367843
2015-12-07,12.92,12.92,12.78,12.78,379800,12.367843
2015-12-04,12.75,12.92,12.75,12.90,430600,12.483972
2015-12-03,12.73,12.79,12.72,12.78,312100,12.367843
2015-12-02,12.75,12.80,12.75,12.75,374500,12.33881
2015-12-01,12.73,12.79,12.69,12.76,424000,12.348488
2015-11-30,12.80,12.81,12.69,12.69,368600,12.280745
2015-11-27,12.78,12.80,12.74,12.76,86000,12.348488
2015-11-25,12.70,12.78,12.69,12.75,343300,12.33881
2015-11-24,12.66,12.76,12.66,12.74,339900,12.329133
2015-11-23,12.72,12.77,12.68,12.72,404400,12.309778
2015-11-20,12.83,12.87,12.68,12.75,966100,12.33881
2015-11-19,12.71,12.83,12.65,12.83,406000,12.41623
2015-11-18,12.70,12.77,12.67,12.75,468000,12.33881
2015-11-17,12.77,12.80,12.70,12.74,321800,12.329133
2015-11-16,12.80,12.86,12.76,12.80,306400,12.387198
2015-11-13,12.81,12.86,12.77,12.77,195000,12.358166
2015-11-12,12.81,12.89,12.79,12.86,293800,12.445263
2015-11-11,12.95,12.95,12.85,12.85,176200,12.435586
2015-11-10,12.87,12.96,12.80,12.90,284700,12.483972
2015-11-09,13.17,13.18,12.94,13.02,424200,12.501393
2015-11-06,13.19,13.19,13.08,13.15,244000,12.626214
2015-11-05,13.19,13.21,13.11,13.19,270500,12.664621
2015-11-04,13.26,13.29,13.13,13.14,369700,12.616613
2015-11-03,13.28,13.29,13.22,13.22,270200,12.693427
2015-11-02,13.33,13.33,13.29,13.31,271400,12.779842
2015-10-30,13.23,13.34,13.21,13.33,311300,12.799045
2015-10-29,13.21,13.26,13.18,13.24,273100,12.71263
2015-10-28,13.20,13.30,13.20,13.24,314400,12.71263
2015-10-27,13.13,13.26,13.10,13.23,476000,12.703028
2015-10-26,13.12,13.24,13.12,13.16,247900,12.635816
2015-10-23,13.22,13.30,13.15,13.15,294600,12.626214
2015-10-22,13.15,13.30,13.11,13.15,422200,12.626214
2015-10-21,13.16,13.19,13.10,13.14,313600,12.616613
2015-10-20,13.04,13.21,13.00,13.20,675300,12.674223
2015-10-19,12.96,13.07,12.94,13.02,417400,12.501393
2015-10-16,12.86,12.95,12.84,12.95,372200,12.434181
2015-10-15,12.85,12.95,12.78,12.93,522300,12.414978
2015-10-14,12.85,12.92,12.77,12.82,350900,12.309359
2015-10-13,12.91,12.98,12.83,12.90,402100,12.386172
2015-10-12,13.14,13.20,12.89,12.90,750000,12.386172
2015-10-09,12.98,13.19,12.94,13.16,647200,12.635816
2015-10-08,12.73,13.05,12.69,12.89,617700,12.376571
2015-10-07,12.76,12.86,12.72,12.80,647300,12.192218
2015-10-06,12.56,12.77,12.55,12.65,628000,12.04934
2015-10-05,12.54,12.62,12.51,12.58,491300,11.982664
2015-10-02,12.47,12.55,12.40,12.52,419700,11.925514
2015-10-01,12.62,12.64,12.54,12.60,327200,12.001715
2015-09-30,12.60,12.68,12.57,12.68,397300,12.077916
2015-09-29,12.63,12.67,12.56,12.56,292000,11.963614
2015-09-28,12.77,12.81,12.63,12.65,353200,12.04934
2015-09-25,12.93,12.93,12.81,12.81,260600,12.201744
2015-09-24,12.86,12.91,12.80,12.86,355900,12.249369
2015-09-23,12.99,13.05,12.86,12.94,475200,12.32557
2015-09-22,12.85,13.03,12.85,12.99,326400,12.373196
2015-09-21,13.00,13.08,12.96,12.98,229600,12.363671
2015-09-18,12.98,13.15,12.93,13.03,404600,12.411297
2015-09-17,12.79,13.02,12.76,13.02,372900,12.401772
2015-09-16,12.84,12.92,12.81,12.84,383000,12.230319
2015-09-15,12.85,12.90,12.82,12.88,599200,12.268419
2015-09-14,12.89,12.97,12.87,12.87,380200,12.258894
2015-09-11,12.98,13.07,12.96,12.96,582600,12.344621
2015-09-10,12.95,13.11,12.83,13.01,1672400,12.392247
2015-09-09,13.32,13.32,13.01,13.06,796300,12.439873
2015-09-08,13.32,13.43,13.30,13.42,244400,12.685623
2015-09-04,13.24,13.32,13.24,13.32,157200,12.591095
2015-09-03,13.40,13.40,13.28,13.34,278900,12.610001
2015-09-02,13.28,13.39,13.23,13.39,295100,12.657265
2015-09-01,13.00,13.25,13.00,13.23,268300,12.506019
2015-08-31,13.31,13.32,13.10,13.10,330400,12.383134
2015-08-28,13.23,13.34,13.23,13.31,231800,12.581642
2015-08-27,13.18,13.30,13.15,13.30,310500,12.57219
2015-08-26,13.06,13.20,13.06,13.18,344800,12.458756
2015-08-25,12.97,13.11,12.96,13.09,400500,12.373681
2015-08-24,12.77,13.12,11.00,12.92,783500,12.212984
2015-08-21,13.26,13.32,13.17,13.20,392200,12.477661
2015-08-20,13.35,13.45,13.30,13.30,445100,12.57219
2015-08-19,13.25,13.36,13.25,13.36,268400,12.628906
2015-08-18,13.25,13.31,13.25,13.28,252800,12.553284
2015-08-17,13.34,13.34,13.21,13.22,226500,12.496567
2015-08-14,13.23,13.35,13.21,13.35,216600,12.619454
2015-08-13,13.27,13.36,13.25,13.26,284300,12.534378
2015-08-12,13.24,13.32,13.23,13.31,298100,12.581642
2015-08-11,13.39,13.40,13.27,13.30,303700,12.57219
2015-08-10,13.44,13.52,13.44,13.49,271600,12.655373
2015-08-07,13.42,13.50,13.42,13.43,205400,12.599086
2015-08-06,13.50,13.56,13.42,13.42,298000,12.589704
2015-08-05,13.57,13.61,13.53,13.53,302900,12.692898
2015-08-04,13.66,13.69,13.56,13.61,265500,12.767948
2015-08-03,13.55,13.68,13.54,13.68,267600,12.833618
2015-07-31,13.49,13.58,13.48,13.55,248700,12.711661
2015-07-30,13.49,13.54,13.43,13.47,327500,12.636611
2015-07-29,13.40,13.50,13.40,13.49,299800,12.655373
2015-07-28,13.36,13.44,13.36,13.40,347100,12.570941
2015-07-27,13.47,13.47,13.35,13.38,350600,12.552179
2015-07-24,13.49,13.55,13.45,13.50,360700,12.664754
2015-07-23,13.64,13.65,13.56,13.60,327800,12.758568
2015-07-22,13.63,13.64,13.58,13.63,176200,12.786711
2015-07-21,13.66,13.68,13.59,13.65,370600,12.805474
2015-07-20,13.72,13.78,13.65,13.70,406200,12.85238
2015-07-17,13.71,13.75,13.62,13.70,389000,12.85238
2015-07-16,13.63,13.75,13.63,13.74,268700,12.889905
2015-07-15,13.60,13.65,13.57,13.60,241300,12.758568
2015-07-14,13.66,13.68,13.56,13.56,286300,12.721043
2015-07-13,13.70,13.73,13.61,13.64,248100,12.796093
2015-07-10,13.62,13.71,13.62,13.68,264300,12.833618
2015-07-09,13.63,13.65,13.59,13.64,259800,12.796093
2015-07-08,13.73,13.77,13.58,13.69,264600,12.74731
2015-07-07,13.73,13.78,13.65,13.78,256100,12.831112
2015-07-06,13.72,13.78,13.67,13.76,189700,12.81249
2015-07-02,13.66,13.77,13.65,13.77,296600,12.821802
2015-07-01,13.60,13.71,13.58,13.71,346200,12.765933
2015-06-30,13.47,13.86,13.47,13.47,474000,12.542459
2015-06-29,13.55,13.55,13.42,13.46,489900,12.533148
2015-06-26,13.73,13.77,13.54,13.56,398800,12.626262
2015-06-25,13.83,13.87,13.75,13.75,278900,12.803178
2015-06-24,13.79,13.86,13.78,13.86,250100,12.905603
2015-06-23,13.85,13.93,13.81,13.84,246700,12.886981
2015-06-22,13.82,13.86,13.80,13.85,219600,12.896293
2015-06-19,13.80,13.87,13.80,13.85,229200,12.896293
2015-06-18,13.90,13.95,13.77,13.77,438300,12.821802
2015-06-17,13.80,13.90,13.74,13.87,383900,12.914915
2015-06-16,13.73,13.85,13.71,13.84,315700,12.886981
2015-06-15,13.77,13.84,13.71,13.75,463900,12.803178
2015-06-12,13.80,13.85,13.75,13.77,441500,12.821802
2015-06-11,13.94,13.98,13.81,13.86,508600,12.905603
2015-06-10,13.95,14.01,13.86,13.97,468800,13.008029
2015-06-09,13.95,14.03,13.86,13.97,579200,13.008029
2015-06-08,14.11,14.15,14.01,14.08,526800,13.015479
2015-06-05,14.19,14.19,14.06,14.13,432700,13.061698
2015-06-04,14.24,14.24,14.12,14.20,433800,13.126406
2015-06-03,14.27,14.29,14.18,14.24,374100,13.163382
2015-06-02,14.19,14.27,14.15,14.27,279700,13.191114
2015-06-01,14.19,14.20,14.15,14.20,279400,13.126406
2015-05-29,14.20,14.25,14.14,14.14,299300,13.070943
2015-05-28,14.22,14.25,14.21,14.23,260300,13.154137
2015-05-27,14.22,14.25,14.20,14.25,340800,13.172626
2015-05-26,14.18,14.26,14.17,14.26,328100,13.18187
2015-05-22,14.28,14.29,14.17,14.20,318500,13.126406
2015-05-21,14.33,14.38,14.19,14.26,643300,13.18187
2015-05-20,14.37,14.38,14.32,14.35,157200,13.265066
2015-05-19,14.32,14.38,14.32,14.34,267200,13.255821
2015-05-18,14.37,14.43,14.31,14.34,381100,13.255821
2015-05-15,14.29,14.38,14.28,14.32,171300,13.237333
2015-05-14,14.29,14.34,14.26,14.26,254200,13.18187
2015-05-13,14.21,14.30,14.18,14.26,280700,13.18187
2015-05-12,14.16,14.27,14.02,14.27,424100,13.191114
2015-05-11,14.32,14.33,14.22,14.27,342300,13.191114
2015-05-08,14.34,14.41,14.32,14.35,335800,13.265066
2015-05-07,14.31,14.40,14.30,14.31,329100,13.22809
2015-05-06,14.50,14.53,14.41,14.46,459500,13.27246
2015-05-05,14.55,14.59,14.50,14.52,370100,13.327533
2015-05-04,14.63,14.65,14.53,14.58,476400,13.382605
2015-05-01,14.58,14.69,14.55,14.69,317000,13.483571
2015-04-30,14.54,14.63,14.51,14.58,275600,13.382605
2015-04-29,14.53,14.64,14.53,14.59,259500,13.391784
2015-04-28,14.54,14.58,14.51,14.55,229300,13.355069
2015-04-27,14.67,14.67,14.50,14.50,334300,13.309175
2015-04-24,14.58,14.66,14.58,14.66,213000,13.456035
2015-04-23,14.60,14.62,14.55,14.60,339200,13.400963
2015-04-22,14.55,14.59,14.51,14.59,299800,13.391784
2015-04-21,14.46,14.56,14.45,14.56,319900,13.364248
2015-04-20,14.50,14.52,14.43,14.44,397500,13.254102
2015-04-17,14.45,14.48,14.39,14.43,280900,13.244924
2015-04-16,14.41,14.47,14.41,14.47,181500,13.281639
2015-04-15,14.40,14.52,14.40,14.41,337000,13.226566
