Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.53,14.54,14.32,14.36,5000,14.36
2016-03-10,14.44,14.55,14.33,14.55,27100,14.55
2016-03-09,14.38,14.41,14.22,14.31,8800,14.31
2016-03-08,14.33,14.33,14.26,14.33,8400,14.268
2016-03-07,14.33,14.57,14.25,14.57,10200,14.506961
2016-03-04,14.40,14.42,14.25,14.27,19400,14.20826
2016-03-03,14.05,14.44,14.05,14.43,34900,14.367568
2016-03-02,14.08,14.16,14.05,14.16,4800,14.098735
2016-03-01,14.02,14.15,13.97,13.97,36200,13.909558
2016-02-29,14.07,14.18,14.02,14.09,11700,14.029039
2016-02-26,14.08,14.14,14.00,14.04,22300,13.979255
2016-02-25,14.06,14.08,14.00,14.00,8200,13.939428
2016-02-24,14.04,14.08,14.01,14.08,22300,14.019082
2016-02-23,14.04,14.04,13.97,14.03,4800,13.969298
2016-02-22,13.98,14.03,13.96,13.99,5400,13.929471
2016-02-19,13.99,13.99,13.93,13.96,8900,13.899601
2016-02-18,13.89,13.92,13.84,13.91,8500,13.849817
2016-02-17,13.85,13.96,13.79,13.80,11600,13.740293
2016-02-16,13.92,13.92,13.87,13.88,10300,13.819947
2016-02-12,14.04,14.04,13.90,13.94,5000,13.879687
2016-02-11,14.04,14.04,13.96,13.96,6200,13.899601
2016-02-10,14.04,14.04,13.97,14.00,3600,13.939428
2016-02-09,14.01,14.01,13.87,13.95,5100,13.889644
2016-02-08,14.00,14.04,13.97,13.97,3000,13.847826
2016-02-05,14.06,14.06,13.92,14.02,10900,13.897389
2016-02-04,13.94,13.95,13.89,13.95,900,13.828
2016-02-03,13.92,13.99,13.88,13.89,10100,13.768525
2016-02-02,14.04,14.10,13.92,13.96,15400,13.837913
2016-02-01,13.88,14.04,13.88,13.94,5500,13.818087
2016-01-29,13.86,14.01,13.75,13.93,22900,13.808176
2016-01-28,13.60,13.86,13.60,13.84,10700,13.718963
2016-01-27,13.59,13.76,13.54,13.55,11800,13.431499
2016-01-26,13.58,13.70,13.57,13.57,18900,13.451323
2016-01-25,13.79,13.79,13.54,13.54,22900,13.421586
2016-01-22,13.76,13.76,13.62,13.73,13600,13.609924
2016-01-21,13.71,13.85,13.61,13.65,17500,13.530624
2016-01-20,13.76,13.86,13.51,13.60,7600,13.481062
2016-01-19,13.82,13.82,13.69,13.78,5900,13.659487
2016-01-15,13.83,13.86,13.73,13.80,4600,13.679312
2016-01-14,14.02,14.04,13.80,13.80,17400,13.679312
2016-01-13,14.09,14.09,13.95,13.95,16600,13.828
2016-01-12,14.02,14.04,13.95,14.04,5000,13.917213
2016-01-11,14.00,14.08,13.90,14.01,17200,13.826019
2016-01-08,13.98,14.03,13.97,14.00,8800,13.81615
2016-01-07,14.00,14.00,13.87,13.90,28000,13.717463
2016-01-06,14.16,14.16,14.01,14.10,14700,13.914837
2016-01-05,14.12,14.14,14.06,14.06,9000,13.875362
2016-01-04,14.15,14.15,14.14,14.14,1900,13.954312
2015-12-31,14.15,14.16,14.01,14.15,7900,13.96418
2015-12-30,14.09,14.18,14.03,14.09,9000,13.904968
2015-12-29,14.07,14.11,13.95,14.05,5000,13.865493
2015-12-28,14.03,14.07,13.91,14.05,4200,13.865493
2015-12-24,13.99,14.07,13.91,14.07,13600,13.88523
2015-12-23,13.91,14.06,13.73,13.94,15000,13.756937
2015-12-22,13.81,13.81,13.65,13.81,11400,13.628645
2015-12-21,13.81,13.81,13.65,13.80,14300,13.618776
