Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,4.86,4.89,4.84,4.87,1303100,4.87
2016-03-10,4.85,4.86,4.82,4.84,896700,4.84
2016-03-09,4.79,4.89,4.78,4.85,650500,4.85
2016-03-08,4.83,4.83,4.75,4.79,489900,4.79
2016-03-07,4.79,4.83,4.75,4.81,765500,4.81
2016-03-04,4.71,4.80,4.70,4.79,1494700,4.79
2016-03-03,4.63,4.71,4.63,4.69,1074500,4.69
2016-03-02,4.60,4.65,4.58,4.64,762300,4.64
2016-03-01,4.61,4.62,4.58,4.61,988700,4.61
2016-02-29,4.60,4.61,4.55,4.59,666400,4.59
2016-02-26,4.61,4.65,4.56,4.59,1603700,4.59
2016-02-25,4.60,4.62,4.57,4.60,844600,4.60
2016-02-24,4.54,4.59,4.51,4.58,465600,4.58
2016-02-23,4.57,4.57,4.51,4.55,617400,4.55
2016-02-22,4.53,4.58,4.53,4.57,518100,4.57
2016-02-19,4.50,4.51,4.49,4.51,361300,4.51
2016-02-18,4.50,4.53,4.49,4.52,290800,4.52
2016-02-17,4.50,4.50,4.48,4.50,422500,4.50
2016-02-16,4.51,4.51,4.47,4.48,1708500,4.48
2016-02-12,4.50,4.52,4.48,4.50,1331900,4.465
2016-02-11,4.46,4.52,4.46,4.47,831400,4.435233
2016-02-10,4.49,4.54,4.48,4.48,558700,4.445156
2016-02-09,4.48,4.53,4.45,4.48,818900,4.445156
2016-02-08,4.49,4.52,4.46,4.50,759700,4.465
2016-02-05,4.58,4.61,4.52,4.53,878100,4.494767
2016-02-04,4.55,4.60,4.53,4.55,579700,4.514611
2016-02-03,4.51,4.55,4.48,4.54,490800,4.504689
2016-02-02,4.49,4.52,4.47,4.49,712600,4.455078
2016-02-01,4.46,4.52,4.44,4.52,1021000,4.484845
2016-01-29,4.46,4.49,4.46,4.46,738900,4.425311
2016-01-28,4.47,4.48,4.44,4.45,576300,4.415389
2016-01-27,4.41,4.44,4.36,4.43,670500,4.395544
2016-01-26,4.38,4.41,4.37,4.40,651100,4.365778
2016-01-25,4.42,4.43,4.40,4.40,670200,4.365778
2016-01-22,4.38,4.41,4.35,4.40,824900,4.365778
2016-01-21,4.27,4.35,4.26,4.35,852300,4.316167
2016-01-20,4.30,4.33,4.22,4.27,1604000,4.236789
2016-01-19,4.40,4.40,4.32,4.33,1310100,4.296322
2016-01-15,4.41,4.43,4.34,4.38,1190700,4.311206
2016-01-14,4.43,4.45,4.38,4.43,1041500,4.36042
2016-01-13,4.47,4.48,4.41,4.42,910700,4.350577
2016-01-12,4.52,4.54,4.45,4.46,858100,4.389949
2016-01-11,4.52,4.52,4.46,4.47,824800,4.399792
2016-01-08,4.55,4.56,4.46,4.47,845100,4.399792
2016-01-07,4.55,4.64,4.52,4.56,1223700,4.488378
2016-01-06,4.59,4.62,4.56,4.60,885400,4.52775
2016-01-05,4.59,4.63,4.57,4.62,1007900,4.547436
2016-01-04,4.54,4.60,4.52,4.60,1084200,4.52775
2015-12-31,4.56,4.60,4.55,4.57,1111200,4.498222
2015-12-30,4.57,4.59,4.55,4.57,1471400,4.498222
2015-12-29,4.59,4.60,4.56,4.57,1175600,4.498222
2015-12-28,4.62,4.63,4.59,4.60,811000,4.4933
2015-12-24,4.62,4.65,4.62,4.64,244300,4.532372
2015-12-23,4.58,4.63,4.58,4.62,950700,4.512836
2015-12-22,4.56,4.59,4.55,4.58,1258600,4.473764
2015-12-21,4.52,4.58,4.52,4.57,904600,4.463996
2015-12-18,4.52,4.55,4.50,4.53,1346700,4.424924
2015-12-17,4.48,4.53,4.48,4.51,1656700,4.405388
2015-12-16,4.47,4.50,4.46,4.48,1615800,4.376083
2015-12-15,4.40,4.47,4.40,4.47,934400,4.366315
2015-12-14,4.42,4.46,4.35,4.40,1777600,4.297939
2015-12-11,4.49,4.50,4.42,4.42,1061600,4.317475
2015-12-10,4.52,4.53,4.50,4.50,784100,4.395619
2015-12-09,4.52,4.56,4.50,4.50,519300,4.395619
2015-12-08,4.48,4.51,4.42,4.50,864200,4.395619
2015-12-07,4.55,4.57,4.48,4.48,998900,4.376083
2015-12-04,4.58,4.60,4.57,4.57,548200,4.463996
2015-12-03,4.53,4.58,4.53,4.57,586400,4.463996
2015-12-02,4.57,4.59,4.54,4.54,853100,4.434692
2015-12-01,4.51,4.57,4.51,4.57,1216600,4.463996
2015-11-30,4.55,4.55,4.50,4.50,859200,4.395619
2015-11-27,4.53,4.54,4.52,4.52,245200,4.415155
2015-11-25,4.49,4.55,4.49,4.53,787100,4.424924
2015-11-24,4.48,4.51,4.47,4.50,2100700,4.395619
2015-11-23,4.49,4.50,4.48,4.48,728500,4.376083
2015-11-20,4.50,4.53,4.48,4.49,818500,4.385851
2015-11-19,4.49,4.53,4.48,4.49,1004300,4.385851
2015-11-18,4.50,4.52,4.48,4.49,718100,4.351663
2015-11-17,4.51,4.55,4.50,4.51,531300,4.371047
2015-11-16,4.48,4.53,4.48,4.51,918700,4.371047
2015-11-13,4.48,4.51,4.48,4.49,602300,4.351663
2015-11-12,4.51,4.55,4.47,4.49,1417500,4.351663
2015-11-11,4.53,4.56,4.50,4.50,774800,4.361355
2015-11-10,4.53,4.56,4.52,4.52,623900,4.380739
2015-11-09,4.61,4.61,4.54,4.55,764400,4.409815
2015-11-06,4.64,4.66,4.58,4.61,834800,4.467966
2015-11-05,4.68,4.69,4.65,4.66,507700,4.516425
2015-11-04,4.73,4.74,4.67,4.68,1008400,4.535809
2015-11-03,4.76,4.77,4.73,4.73,460600,4.584269
2015-11-02,4.74,4.77,4.73,4.75,465100,4.603653
2015-10-30,4.79,4.80,4.74,4.75,621800,4.603653
2015-10-29,4.80,4.81,4.78,4.79,398400,4.64242
2015-10-28,4.80,4.82,4.77,4.80,738700,4.652112
2015-10-27,4.80,4.82,4.77,4.77,485600,4.623036
2015-10-26,4.75,4.81,4.75,4.81,705900,4.661804
2015-10-23,4.73,4.77,4.71,4.74,662000,4.59396
2015-10-22,4.71,4.73,4.69,4.73,493300,4.584269
2015-10-21,4.72,4.72,4.70,4.72,523800,4.574577
2015-10-20,4.71,4.72,4.69,4.70,461000,4.555193
2015-10-19,4.70,4.71,4.68,4.70,650500,4.555193
2015-10-16,4.74,4.75,4.70,4.74,571400,4.560039
2015-10-15,4.70,4.73,4.69,4.73,961600,4.550419
2015-10-14,4.68,4.70,4.66,4.67,1058200,4.492697
2015-10-13,4.74,4.75,4.68,4.68,1772500,4.502317
2015-10-12,4.71,4.75,4.68,4.75,985200,4.569659
2015-10-09,4.63,4.71,4.62,4.70,1016400,4.521558
2015-10-08,4.57,4.63,4.55,4.62,695900,4.444595
2015-10-07,4.55,4.60,4.54,4.57,898600,4.396494
2015-10-06,4.53,4.54,4.52,4.54,379300,4.367632
2015-10-05,4.49,4.52,4.49,4.52,492600,4.348392
2015-10-02,4.47,4.51,4.46,4.51,320900,4.338772
2015-10-01,4.50,4.50,4.46,4.50,775000,4.329151
2015-09-30,4.48,4.50,4.46,4.50,1090800,4.329151
2015-09-29,4.47,4.48,4.44,4.46,854000,4.29067
2015-09-28,4.52,4.53,4.45,4.47,596100,4.30029
2015-09-25,4.49,4.52,4.49,4.51,755300,4.338772
2015-09-24,4.50,4.50,4.47,4.49,606900,4.319531
2015-09-23,4.51,4.52,4.50,4.50,455200,4.329151
2015-09-22,4.49,4.51,4.48,4.49,399700,4.319531
2015-09-21,4.53,4.55,4.51,4.51,773300,4.338772
2015-09-18,4.52,4.54,4.51,4.53,547200,4.358012
2015-09-17,4.49,4.52,4.43,4.52,752500,4.348392
2015-09-16,4.48,4.52,4.48,4.50,550600,4.29548
2015-09-15,4.48,4.49,4.46,4.48,601300,4.276389
2015-09-14,4.50,4.52,4.48,4.48,552500,4.276389
2015-09-11,4.48,4.50,4.46,4.49,643300,4.285934
2015-09-10,4.51,4.52,4.46,4.50,968200,4.29548
2015-09-09,4.54,4.55,4.52,4.54,448400,4.333662
2015-09-08,4.49,4.56,4.49,4.54,736100,4.333662
2015-09-04,4.52,4.53,4.47,4.50,739200,4.29548
2015-09-03,4.54,4.55,4.52,4.53,725900,4.324117
2015-09-02,4.50,4.53,4.48,4.52,813500,4.314571
2015-09-01,4.49,4.50,4.46,4.49,864600,4.285934
2015-08-31,4.52,4.53,4.50,4.50,854400,4.29548
2015-08-28,4.51,4.53,4.50,4.51,373600,4.305026
2015-08-27,4.51,4.55,4.50,4.51,1056100,4.305026
2015-08-26,4.54,4.54,4.47,4.49,825100,4.285934
2015-08-25,4.50,4.54,4.47,4.50,693900,4.29548
2015-08-24,4.61,4.62,4.38,4.45,1191000,4.247752
2015-08-21,4.65,4.68,4.55,4.65,1803600,4.438663
2015-08-20,4.67,4.69,4.66,4.67,677300,4.457754
2015-08-19,4.69,4.71,4.69,4.71,631800,4.462526
2015-08-18,4.69,4.72,4.69,4.71,952600,4.462526
2015-08-17,4.72,4.73,4.69,4.72,748700,4.472001
2015-08-14,4.73,4.74,4.70,4.74,541600,4.49095
2015-08-13,4.71,4.74,4.71,4.72,399700,4.472001
2015-08-12,4.70,4.74,4.70,4.72,920400,4.472001
2015-08-11,4.74,4.75,4.70,4.72,744100,4.472001
2015-08-10,4.73,4.76,4.73,4.76,496000,4.509899
2015-08-07,4.73,4.76,4.69,4.74,807500,4.49095
2015-08-06,4.75,4.77,4.73,4.73,481200,4.481475
2015-08-05,4.75,4.77,4.75,4.77,638400,4.519374
2015-08-04,4.69,4.75,4.69,4.73,599500,4.481475
2015-08-03,4.71,4.72,4.68,4.69,1119000,4.443577
2015-07-31,4.70,4.75,4.70,4.73,620000,4.481475
2015-07-30,4.68,4.72,4.68,4.71,937700,4.462526
2015-07-29,4.68,4.73,4.67,4.70,1690600,4.453051
2015-07-28,4.71,4.75,4.71,4.75,705700,4.500425
2015-07-27,4.70,4.71,4.67,4.70,892200,4.453051
2015-07-24,4.74,4.74,4.69,4.72,887000,4.472001
2015-07-23,4.74,4.77,4.73,4.73,1013600,4.481475
2015-07-22,4.76,4.79,4.74,4.75,780200,4.500425
2015-07-21,4.76,4.80,4.72,4.80,915200,4.547798
2015-07-20,4.80,4.81,4.77,4.78,784300,4.528848
2015-07-17,4.81,4.82,4.79,4.81,673400,4.557272
2015-07-16,4.83,4.85,4.82,4.85,548100,4.562009
2015-07-15,4.83,4.85,4.81,4.81,563900,4.524384
2015-07-14,4.85,4.88,4.81,4.84,987400,4.552603
2015-07-13,4.89,4.90,4.85,4.86,812900,4.571416
2015-07-10,4.94,4.94,4.89,4.90,959900,4.60904
2015-07-09,4.87,4.91,4.86,4.91,854300,4.618446
2015-07-08,4.87,4.89,4.85,4.87,677000,4.580822
2015-07-07,4.86,4.90,4.84,4.90,802900,4.60904
2015-07-06,4.90,4.90,4.85,4.87,1669100,4.580822
2015-07-02,4.95,4.96,4.92,4.92,728800,4.627853
2015-07-01,4.95,4.97,4.94,4.97,696000,4.674884
2015-06-30,4.93,4.98,4.92,4.96,1346500,4.665478
2015-06-29,4.94,4.94,4.89,4.90,895100,4.60904
2015-06-26,4.93,4.98,4.91,4.95,1359400,4.656071
2015-06-25,5.05,5.06,4.99,5.00,1144900,4.703102
2015-06-24,5.04,5.06,5.03,5.05,889700,4.750134
2015-06-23,5.01,5.05,5.00,5.05,894600,4.750134
2015-06-22,5.04,5.06,4.99,5.00,1127800,4.703102
2015-06-19,5.03,5.06,5.02,5.03,669100,4.731321
2015-06-18,5.01,5.03,5.01,5.03,585000,4.731321
2015-06-17,5.03,5.04,5.00,5.04,1071700,4.707806
2015-06-16,5.02,5.05,5.02,5.04,755600,4.707806
2015-06-15,5.05,5.07,5.00,5.02,1249800,4.689124
2015-06-12,5.08,5.09,5.04,5.05,407400,4.717147
2015-06-11,5.05,5.09,5.04,5.06,967300,4.726487
2015-06-10,5.04,5.11,5.04,5.05,877200,4.717147
2015-06-09,5.05,5.07,5.02,5.04,1089800,4.707806
2015-06-08,5.07,5.09,5.04,5.06,1076400,4.726487
2015-06-05,5.18,5.18,5.08,5.10,954200,4.763851
2015-06-04,5.29,5.31,4.67,5.20,2143900,4.85726
2015-06-03,5.35,5.36,5.29,5.30,767100,4.950669
2015-06-02,5.30,5.33,5.29,5.33,467300,4.978691
2015-06-01,5.32,5.33,5.27,5.29,708200,4.941328
2015-05-29,5.36,5.37,5.30,5.30,626300,4.950669
2015-05-28,5.33,5.34,5.31,5.33,444100,4.978691
2015-05-27,5.37,5.38,5.31,5.34,1026300,4.988032
2015-05-26,5.40,5.44,5.37,5.37,655800,5.016055
2015-05-22,5.43,5.44,5.42,5.43,383300,5.0721
2015-05-21,5.44,5.45,5.42,5.43,537100,5.0721
2015-05-20,5.45,5.46,5.43,5.46,513400,5.100123
2015-05-19,5.48,5.49,5.47,5.49,374600,5.095452
2015-05-18,5.47,5.49,5.47,5.49,517400,5.095452
2015-05-15,5.47,5.49,5.47,5.47,324600,5.076889
2015-05-14,5.46,5.48,5.46,5.47,404300,5.076889
2015-05-13,5.45,5.49,5.45,5.45,440800,5.058327
2015-05-12,5.45,5.49,5.44,5.45,391400,5.058327
2015-05-11,5.49,5.50,5.45,5.46,357000,5.067608
2015-05-08,5.48,5.49,5.46,5.48,460100,5.086171
2015-05-07,5.50,5.50,5.47,5.48,304400,5.086171
2015-05-06,5.51,5.55,5.49,5.51,1103800,5.114015
2015-05-05,5.46,5.50,5.46,5.49,582000,5.095452
2015-05-04,5.53,5.53,5.46,5.46,684900,5.067608
2015-05-01,5.53,5.55,5.50,5.51,341400,5.114015
2015-04-30,5.58,5.59,5.53,5.55,438700,5.15114
2015-04-29,5.55,5.59,5.54,5.57,726900,5.169703
2015-04-28,5.51,5.55,5.51,5.53,791600,5.132578
2015-04-27,5.48,5.57,5.48,5.49,1059200,5.095452
2015-04-24,5.48,5.49,5.47,5.49,418200,5.095452
2015-04-23,5.49,5.50,5.47,5.47,629300,5.076889
2015-04-22,5.47,5.51,5.47,5.51,625800,5.114015
2015-04-21,5.45,5.49,5.44,5.49,618100,5.095452
2015-04-20,5.45,5.47,5.45,5.45,492000,5.058327
2015-04-17,5.43,5.46,5.42,5.45,554300,5.058327
2015-04-16,5.45,5.50,5.45,5.48,682400,5.053686
2015-04-15,5.45,5.47,5.43,5.46,513900,5.035242
2015-04-14,5.45,5.47,5.45,5.46,509500,5.035242
2015-04-13,5.48,5.48,5.44,5.44,860600,5.016798
2015-04-10,5.47,5.49,5.45,5.47,358000,5.044464
2015-04-09,5.48,5.50,5.45,5.45,277800,5.02602
2015-04-08,5.45,5.48,5.44,5.48,339200,5.053686
2015-04-07,5.46,5.49,5.42,5.45,739100,5.02602
2015-04-06,5.43,5.48,5.42,5.47,445500,5.044464
2015-04-02,5.45,5.47,5.42,5.46,1032900,5.035242
2015-04-01,5.41,5.43,5.41,5.43,700000,5.007576
2015-03-31,5.45,5.47,5.38,5.38,1302900,4.961466
2015-03-30,5.50,5.50,5.46,5.46,619700,5.035242
2015-03-27,5.49,5.50,5.47,5.48,480000,5.053686
2015-03-26,5.47,5.49,5.46,5.49,688100,5.062908
2015-03-25,5.49,5.50,5.47,5.47,606000,5.044464
2015-03-24,5.46,5.50,5.46,5.50,613100,5.07213
2015-03-23,5.42,5.49,5.42,5.46,837000,5.035242
2015-03-20,5.41,5.45,5.41,5.43,641800,5.007576
2015-03-19,5.42,5.43,5.37,5.41,624000,4.989132
2015-03-18,5.36,5.46,5.36,5.43,467600,4.975298
2015-03-17,5.42,5.42,5.36,5.38,505800,4.929486
2015-03-16,5.40,5.44,5.39,5.41,638200,4.956973
2015-03-13,5.41,5.42,5.37,5.40,638200,4.947811
2015-03-12,5.45,5.47,5.40,5.40,773600,4.947811
2015-03-11,5.42,5.42,5.39,5.42,657700,4.966136
2015-03-10,5.44,5.45,5.41,5.42,653800,4.966136
2015-03-09,5.45,5.48,5.45,5.46,454200,5.002786
2015-03-06,5.51,5.52,5.46,5.48,667000,5.021112
2015-03-05,5.52,5.53,5.51,5.53,456500,5.066925
2015-03-04,5.53,5.54,5.51,5.53,272500,5.066925
2015-03-03,5.53,5.54,5.50,5.54,501600,5.076087
2015-03-02,5.57,5.59,5.54,5.55,536900,5.08525
2015-02-27,5.56,5.57,5.53,5.57,885500,5.103575
2015-02-26,5.54,5.56,5.53,5.53,612900,5.066925
2015-02-25,5.50,5.55,5.48,5.55,1026700,5.08525
2015-02-24,5.48,5.51,5.47,5.51,550800,5.0486
2015-02-23,5.48,5.51,5.46,5.49,759800,5.030274
2015-02-20,5.49,5.50,5.47,5.48,656300,5.021112
2015-02-19,5.47,5.50,5.46,5.49,482200,5.030274
2015-02-18,5.48,5.51,5.48,5.50,531300,5.007368
2015-02-17,5.49,5.52,5.48,5.48,849500,4.989159
2015-02-13,5.50,5.52,5.48,5.49,465300,4.998264
2015-02-12,5.51,5.52,5.49,5.49,530100,4.998264
2015-02-11,5.52,5.53,5.50,5.50,727600,5.007368
2015-02-10,5.54,5.55,5.52,5.54,377400,5.043785
2015-02-09,5.52,5.56,5.51,5.54,496400,5.043785
2015-02-06,5.59,5.59,5.51,5.55,684100,5.05289
2015-02-05,5.61,5.63,5.58,5.59,784900,5.089307
2015-02-04,5.61,5.63,5.58,5.62,845000,5.11662
2015-02-03,5.55,5.60,5.55,5.58,1768800,5.080202
2015-02-02,5.51,5.59,5.49,5.56,1153400,5.061994
2015-01-30,5.53,5.55,5.52,5.52,787700,5.025577
2015-01-29,5.51,5.53,5.49,5.53,907300,5.034681
2015-01-28,5.57,5.58,5.54,5.54,478100,5.043785
2015-01-27,5.53,5.57,5.52,5.57,447800,5.071098
2015-01-26,5.54,5.57,5.54,5.54,582300,5.043785
2015-01-23,5.60,5.60,5.54,5.57,1148500,5.071098
2015-01-22,5.65,5.65,5.63,5.63,610200,5.125724
2015-01-21,5.65,5.65,5.61,5.63,479200,5.125724
2015-01-20,5.68,5.70,5.66,5.68,765800,5.13938
2015-01-16,5.67,5.69,5.65,5.68,850300,5.13938
2015-01-15,5.67,5.69,5.65,5.67,564600,5.130332
2015-01-14,5.65,5.68,5.60,5.64,840300,5.103188
2015-01-13,5.66,5.72,5.64,5.67,795400,5.130332
2015-01-12,5.64,5.67,5.63,5.67,1720200,5.130332
2015-01-09,5.63,5.64,5.60,5.63,575600,5.09414
2015-01-08,5.59,5.62,5.58,5.62,838700,5.085091
2015-01-07,5.58,5.60,5.57,5.60,1050500,5.066995
2015-01-06,5.55,5.59,5.53,5.59,1320600,5.057947
2015-01-05,5.52,5.55,5.50,5.51,1438200,4.985561
2015-01-02,5.52,5.55,5.47,5.55,542100,5.021754
2014-12-31,5.39,5.55,5.39,5.55,2612700,5.021754
2014-12-30,5.40,5.43,5.37,5.41,2190600,4.895079
2014-12-29,5.40,5.47,5.40,5.42,1423600,4.904127
2014-12-26,5.46,5.49,5.45,5.46,1173500,4.908651
2014-12-24,5.42,5.46,5.41,5.46,910000,4.908651
