Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,23.18,23.58,23.18,23.370001,39800,23.370001
2016-03-10,23.35,23.35,22.799999,23.00,24000,23.00
2016-03-09,23.16,23.42,22.99,23.01,46900,23.01
2016-03-08,23.389999,23.389999,22.719999,22.85,66000,22.85
2016-03-07,23.309999,23.50,23.139999,23.40,63700,23.40
2016-03-04,24.469999,24.469999,23.360001,23.559999,63200,23.559999
2016-03-03,23.58,24.049999,23.379999,24.00,113100,24.00
2016-03-02,22.48,23.799999,22.33,23.799999,76000,23.799999
2016-03-01,23.280001,23.280001,22.42,22.66,155800,22.66
2016-02-29,22.790001,23.02,22.49,22.98,96500,22.98
2016-02-26,21.639999,22.610001,21.620001,22.610001,244300,22.610001
2016-02-25,21.49,21.75,21.25,21.309999,93700,21.309999
2016-02-24,19.889999,21.77,19.75,21.700001,184400,21.700001
2016-02-23,20.809999,21.049999,20.23,20.27,96600,20.27
2016-02-22,20.65,21.469999,20.65,21.25,70400,21.25
2016-02-19,20.389999,20.41,19.90,20.190001,52900,20.190001
2016-02-18,20.83,20.83,20.23,20.530001,39400,20.530001
2016-02-17,19.870001,20.52,19.780001,20.469999,90800,20.469999
2016-02-16,18.559999,19.52,18.559999,19.389999,87100,19.389999
2016-02-12,17.91,18.639999,17.91,18.370001,129900,18.370001
2016-02-11,18.25,18.690001,17.379999,17.73,139900,17.73
2016-02-10,18.48,19.139999,18.27,18.549999,119000,18.549999
2016-02-09,18.280001,19.049999,18.040001,18.49,174800,18.49
2016-02-08,19.83,19.83,18.33,18.799999,196900,18.799999
2016-02-05,20.52,20.700001,20.02,20.25,113700,20.25
2016-02-04,20.41,20.959999,20.23,20.709999,88000,20.709999
2016-02-03,19.860001,20.379999,19.549999,20.110001,109200,20.110001
2016-02-02,19.83,20.040001,19.620001,19.690001,108800,19.690001
2016-02-01,20.549999,20.549999,19.82,20.35,99200,20.35
2016-01-29,20.559999,21.00,20.40,20.85,161300,20.85
2016-01-28,19.60,20.35,19.57,20.35,171600,20.35
2016-01-27,19.09,19.379999,18.530001,19.10,143300,19.10
2016-01-26,18.709999,19.450001,18.200001,18.98,99700,18.98
2016-01-25,18.620001,19.33,18.280001,18.440001,116500,18.440001
2016-01-22,18.58,19.200001,18.440001,18.99,144800,18.99
2016-01-21,17.110001,18.73,17.110001,18.620001,373200,18.04
2016-01-20,17.77,17.77,15.67,16.950001,248700,16.42202
2016-01-19,19.48,19.969999,18.120001,18.27,183600,17.700902
2016-01-15,19.60,19.85,19.059999,19.43,148700,18.824769
2016-01-14,19.139999,20.469999,19.120001,20.379999,115100,19.745176
2016-01-13,20.700001,21.120001,18.73,19.08,259500,18.485671
2016-01-12,21.549999,22.25,19.98,20.360001,289100,19.7258
2016-01-11,22.01,22.40,21.09,21.32,103900,20.655896
2016-01-08,21.620001,22.450001,21.469999,22.129999,103500,21.440665
2016-01-07,21.76,22.41,21.33,21.50,177000,20.830289
2016-01-06,23.059999,23.059999,21.93,22.139999,98700,21.450353
2016-01-05,23.549999,23.719999,23.040001,23.280001,110400,22.554844
2016-01-04,22.709999,23.84,22.219999,23.389999,172400,22.661417
2015-12-31,21.530001,23.40,21.530001,23.00,149900,22.283565
2015-12-30,22.120001,22.43,21.73,21.73,219300,21.053125
2015-12-29,22.35,22.799999,21.91,22.50,276400,21.79914
2015-12-28,22.83,22.84,21.940001,22.16,236600,21.469731
2015-12-24,23.40,23.58,22.870001,23.00,73400,22.283565
2015-12-23,22.469999,23.540001,22.379999,23.50,324500,22.767991
2015-12-22,20.52,22.10,20.459999,22.030001,298900,21.343781
2015-12-21,20.18,20.629999,20.17,20.60,178500,19.958324
2015-12-18,20.469999,21.040001,19.950001,20.33,252600,19.696734
2015-12-17,20.860001,21.02,20.450001,20.65,327300,20.006766
2015-12-16,19.620001,21.059999,19.59,21.059999,367000,20.403995
2015-12-15,19.08,19.85,18.879999,19.790001,327000,19.173556
2015-12-14,19.50,19.67,18.629999,18.85,245100,18.262836
2015-12-11,20.309999,20.32,19.610001,19.66,215900,19.047604
2015-12-10,20.360001,20.940001,20.17,20.530001,182200,19.890505
2015-12-09,19.83,20.85,19.83,20.50,342600,19.861439
2015-12-08,18.860001,19.950001,18.559999,19.780001,428000,19.163867
2015-12-07,20.139999,20.40,18.92,19.41,429900,18.805391
2015-12-04,21.200001,21.40,20.57,20.57,173300,19.929258
2015-12-03,22.00,22.190001,21.379999,21.379999,174200,20.714027
2015-12-02,22.50,22.59,21.98,21.98,148900,21.295337
2015-12-01,23.030001,23.23,22.709999,22.73,160400,22.021975
2015-11-30,23.10,23.360001,23.01,23.120001,98900,22.399828
2015-11-27,23.030001,23.25,22.92,22.99,27900,22.273877
2015-11-25,23.209999,23.440001,23.10,23.43,51100,22.700172
2015-11-24,23.059999,23.58,22.99,23.440001,116600,22.70986
2015-11-23,22.99,23.450001,22.99,22.99,84700,22.273877
2015-11-20,23.17,23.389999,22.879999,23.129999,109900,22.409515
2015-11-19,23.65,23.66,23.059999,23.139999,77600,22.419204
2015-11-18,23.620001,23.870001,23.41,23.60,91800,22.864876
2015-11-17,23.959999,24.16,23.33,23.33,101400,22.603286
2015-11-16,23.700001,24.42,23.540001,24.15,108500,23.397743
2015-11-13,23.01,24.059999,22.82,23.610001,146400,22.874565
2015-11-12,23.26,23.59,23.01,23.02,128600,22.302943
2015-11-11,24.809999,24.90,23.58,23.58,147400,22.845499
2015-11-10,24.790001,25.370001,24.73,24.90,117600,24.124381
2015-11-09,25.42,25.799999,25.01,25.01,86900,24.230956
2015-11-06,26.200001,26.23,25.540001,25.719999,123700,24.918839
2015-11-05,26.40,26.719999,26.10,26.24,56500,25.422641
2015-11-04,27.18,27.34,26.50,26.50,87700,25.674543
2015-11-03,27.040001,27.32,26.93,27.219999,48100,26.372115
2015-11-02,27.00,27.530001,26.870001,27.09,59400,26.246165
2015-10-30,26.889999,27.120001,26.360001,27.09,100700,26.246165
2015-10-29,26.25,26.790001,26.139999,26.59,83600,25.76174
2015-10-28,25.34,26.43,25.24,26.42,104700,25.597035
2015-10-27,25.629999,25.629999,25.10,25.280001,148300,24.492546
2015-10-26,26.290001,26.32,25.77,25.77,68300,24.967282
2015-10-23,27.200001,27.24,26.290001,26.309999,80100,25.490461
2015-10-22,27.48,27.74,26.860001,27.34,78700,26.488378
2015-10-21,27.92,28.129999,27.73,28.02,35700,26.585264
2015-10-20,28.00,28.34,27.90,28.120001,58900,26.680144
2015-10-19,28.450001,28.66,27.83,28.15,40600,26.708606
2015-10-16,28.00,28.74,27.68,28.74,104700,27.268396
2015-10-15,28.049999,28.27,27.48,27.889999,70500,26.461919
2015-10-14,27.690001,28.370001,27.219999,28.139999,59400,26.699118
2015-10-13,27.73,28.26,27.709999,27.76,46400,26.338576
2015-10-12,28.459999,28.459999,27.66,27.85,57600,26.423968
2015-10-09,28.26,28.50,28.09,28.50,38600,27.040685
2015-10-08,27.940001,28.379999,27.76,28.209999,40200,26.765534
2015-10-07,27.780001,28.129999,27.40,28.110001,66200,26.670655
2015-10-06,27.24,27.92,27.120001,27.67,63700,26.253185
2015-10-05,26.860001,27.52,26.860001,27.00,117600,25.617491
2015-10-02,25.360001,26.85,25.25,26.809999,98700,25.43722
2015-10-01,25.42,26.139999,25.42,25.83,92600,24.5074
2015-09-30,24.02,25.49,24.02,25.389999,139300,24.089929
2015-09-29,25.27,25.299999,23.83,23.83,169300,22.609808
2015-09-28,25.959999,25.959999,25.120001,25.15,124500,23.862218
2015-09-25,26.48,26.719999,26.00,26.110001,48300,24.773063
2015-09-24,26.01,26.35,25.629999,26.35,141900,25.000774
2015-09-23,26.879999,27.08,26.110001,26.110001,53800,24.773063
2015-09-22,26.709999,26.940001,26.629999,26.790001,76400,25.418245
2015-09-21,27.23,27.40,27.00,27.190001,65500,25.797763
2015-09-18,26.98,27.379999,26.950001,27.379999,47700,25.978033
2015-09-17,27.00,27.370001,27.00,27.25,61500,25.85469
2015-09-16,26.799999,27.25,26.530001,27.129999,96000,25.740834
2015-09-15,26.10,26.950001,26.10,26.780001,120600,25.408757
2015-09-14,26.10,26.23,25.85,26.219999,109200,24.87743
2015-09-11,26.450001,26.57,26.10,26.16,110600,24.820503
2015-09-10,26.799999,26.99,26.51,26.530001,108300,25.171558
2015-09-09,27.459999,27.610001,26.629999,26.82,64200,25.446708
2015-09-08,27.02,27.459999,26.98,27.309999,77000,25.911618
2015-09-04,27.08,27.23,26.90,27.00,60300,25.617491
2015-09-03,26.959999,27.540001,26.959999,27.370001,67400,25.968547
2015-09-02,27.719999,27.719999,26.82,26.959999,78200,25.579539
2015-09-01,27.25,27.790001,27.25,27.389999,97500,25.987521
2015-08-31,27.40,28.17,27.01,27.969999,154100,26.537823
2015-08-28,27.549999,28.190001,27.549999,27.85,182000,26.423968
2015-08-27,27.049999,28.41,27.049999,27.950001,106200,26.518848
2015-08-26,26.389999,26.940001,26.040001,26.940001,63400,25.560564
2015-08-25,26.74,26.969999,26.07,26.26,120700,24.915383
2015-08-24,26.139999,27.59,26.07,26.43,180000,25.076678
2015-08-21,27.74,28.25,27.200001,27.23,143700,25.835714
2015-08-20,28.16,28.51,28.09,28.09,125900,26.651679
2015-08-19,28.360001,28.60,28.120001,28.469999,77800,27.012221
2015-08-18,28.549999,28.73,28.35,28.690001,56000,27.220957
2015-08-17,28.27,28.59,28.27,28.41,52300,26.955293
