Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.50,5.50,5.40,5.42,9500,5.42
2016-03-10,5.47,5.50,5.45,5.45,2400,5.45
2016-03-09,5.46,5.56,5.46,5.47,600,5.47
2016-03-08,5.45,5.72,5.45,5.54,1900,5.54
2016-03-07,5.60,5.75,5.60,5.61,4900,5.61
2016-03-04,5.60,5.66,5.48,5.48,3400,5.48
2016-03-03,5.60,5.70,5.47,5.47,700,5.47
2016-03-02,5.55,5.56,5.50,5.50,11900,5.50
2016-03-01,5.35,5.68,5.34,5.57,8200,5.57
2016-02-29,5.20,5.30,5.20,5.22,2100,5.22
2016-02-26,5.09,5.11,5.09,5.11,1100,5.11
2016-02-25,5.10,5.10,5.10,5.10,000,5.10
2016-02-24,5.10,5.10,5.10,5.10,000,5.10
2016-02-23,5.13,5.13,5.10,5.10,3600,5.10
2016-02-22,4.99,5.19,4.99,5.14,3500,5.14
2016-02-19,5.08,5.14,4.99,4.99,1900,4.99
2016-02-18,5.05,5.05,5.04,5.05,1900,5.05
2016-02-17,4.95,5.11,4.90,5.10,16700,5.10
2016-02-16,4.79,4.90,4.72,4.89,12200,4.89
2016-02-12,4.80,4.80,4.80,4.80,000,4.80
2016-02-11,4.63,4.88,4.61,4.80,3100,4.80
2016-02-10,4.63,4.63,4.63,4.63,200,4.63
2016-02-09,4.64,4.78,4.64,4.66,8400,4.66
2016-02-08,4.59,4.65,4.56,4.65,1900,4.65
2016-02-05,4.51,4.72,4.51,4.72,400,4.72
2016-02-04,4.53,4.63,4.53,4.63,1800,4.63
2016-02-03,4.64,4.64,4.63,4.63,2000,4.63
2016-02-02,4.55,4.65,4.50,4.65,4000,4.65
2016-02-01,4.65,4.78,4.64,4.66,3000,4.66
2016-01-29,4.83,4.85,4.75,4.80,3000,4.80
2016-01-28,4.78,4.87,4.72,4.80,3900,4.80
2016-01-27,4.65,4.69,4.57,4.68,2700,4.68
2016-01-26,4.40,4.70,4.40,4.57,7200,4.57
2016-01-25,4.52,4.52,4.50,4.50,4400,4.50
2016-01-22,4.53,4.53,4.52,4.53,3300,4.53
2016-01-21,4.42,4.55,4.42,4.52,1100,4.52
2016-01-20,4.47,4.47,4.35,4.42,12600,4.42
2016-01-19,4.54,4.66,4.54,4.57,8200,4.57
2016-01-15,4.60,4.66,4.54,4.55,8600,4.55
2016-01-14,4.83,4.85,4.63,4.65,13200,4.65
2016-01-13,4.89,4.90,4.75,4.75,12800,4.75
2016-01-12,4.99,4.99,4.89,4.90,9000,4.89
2016-01-11,5.10,5.21,4.97,5.01,18000,4.999776
2016-01-08,5.11,5.26,5.11,5.15,14100,5.13949
2016-01-07,5.30,5.38,5.24,5.25,8700,5.239286
2016-01-06,5.43,5.50,5.32,5.32,20300,5.309143
2016-01-05,5.59,5.59,5.50,5.50,10000,5.488776
2016-01-04,5.50,5.58,5.50,5.58,2900,5.568612
2015-12-31,5.62,5.63,5.51,5.53,15800,5.518715
2015-12-30,5.61,5.66,5.56,5.60,7400,5.588571
2015-12-29,5.60,5.66,5.56,5.63,11400,5.61851
