Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,3.21,3.29,3.09,3.28,32500,3.28
2016-03-10,3.04,3.28,3.01,3.14,158900,3.08
2016-03-09,3.10,3.13,2.90,3.01,101600,2.952484
2016-03-08,3.35,3.35,3.10,3.10,61200,3.040764
2016-03-07,3.18,3.45,3.18,3.29,84900,3.227134
2016-03-04,3.43,3.43,3.18,3.18,72000,3.119236
2016-03-03,3.34,3.54,3.28,3.35,135700,3.285987
2016-03-02,3.15,3.40,3.08,3.34,69400,3.276178
2016-03-01,3.24,3.29,3.00,3.12,70000,3.060382
2016-02-29,3.14,3.19,3.07,3.19,62300,3.129045
2016-02-26,3.13,3.21,3.05,3.20,103300,3.138854
2016-02-25,3.29,3.29,2.99,3.16,127200,3.099618
2016-02-24,3.00,3.235,2.91,3.19,227800,3.129045
2016-02-23,3.25,3.30,2.76,3.18,820000,3.119236
2016-02-22,3.65,3.67,3.24,3.34,979300,3.276178
2016-02-19,3.00,4.60,3.00,3.77,7377400,3.697962
2016-02-18,1.84,1.93,1.74,1.86,55900,1.824459
2016-02-17,1.72,1.91,1.71,1.81,58400,1.775414
2016-02-16,1.53,1.81,1.53,1.75,59600,1.71656
2016-02-12,1.35,1.555,1.35,1.51,50400,1.481146
2016-02-11,1.50,1.51,1.31,1.31,68700,1.284968
2016-02-10,1.68,1.68,1.47,1.47,71800,1.441911
2016-02-09,1.67,1.71,1.55,1.67,31100,1.579236
2016-02-08,1.71,1.74,1.55,1.67,72000,1.579236
2016-02-05,1.71,1.75,1.67,1.68,77600,1.588692
2016-02-04,1.78,1.78,1.71,1.73,118900,1.635975
2016-02-03,1.90,1.90,1.71,1.75,118500,1.654888
2016-02-02,1.97,1.98,1.81,1.90,108700,1.796735
2016-02-01,2.10,2.30,1.96,2.00,83000,1.8913
2016-01-29,2.18,2.53,2.04,2.10,89500,1.985865
2016-01-28,2.23,2.32,2.11,2.16,58500,2.042604
2016-01-27,2.43,2.44,2.22,2.25,42300,2.127713
2016-01-26,2.58,2.69,2.33,2.45,76600,2.316843
2016-01-25,2.68,2.78,2.52,2.53,18600,2.392495
2016-01-22,2.73,3.15,2.70,2.75,70600,2.600538
2016-01-21,2.38,2.62,2.38,2.50,48200,2.364125
2016-01-20,2.46,2.53,2.27,2.36,94300,2.231734
2016-01-19,2.50,2.64,2.47,2.50,45200,2.364125
2016-01-15,2.64,2.71,2.40,2.50,341900,2.364125
2016-01-14,2.809,2.89,2.69,2.71,31900,2.562712
2016-01-13,2.99,3.09,2.775,2.84,27600,2.685646
2016-01-12,2.99,3.04,2.86,2.94,307100,2.780211
2016-01-11,3.15,3.17,2.91,2.93,108100,2.770755
2016-01-08,3.42,3.42,3.14,3.19,43200,3.016624
2016-01-07,3.43,3.515,3.28,3.44,71300,3.253036
2016-01-06,3.54,3.79,3.39,3.46,76100,3.271949
2016-01-05,3.65,3.80,3.42,3.61,39700,3.413797
2016-01-04,3.37,3.74,3.31,3.58,105900,3.385427
2015-12-31,3.35,3.48,3.25,3.26,98400,3.082819
2015-12-30,3.47,3.48,3.30,3.34,64000,3.158471
2015-12-29,3.76,3.80,3.48,3.50,63700,3.309775
2015-12-28,4.03,4.03,3.76,3.84,75600,3.470536
2015-12-24,4.01,4.08,4.01,4.03,22100,3.642255
2015-12-23,4.00,4.07,3.924,3.97,56400,3.588028
2015-12-22,3.76,4.01,3.61,3.95,57000,3.569952
2015-12-21,3.68,3.96,3.59,3.73,60800,3.37112
2015-12-18,3.57,3.69,3.50,3.66,89100,3.307855
2015-12-17,3.70,3.70,3.48,3.60,52800,3.253627
2015-12-16,3.59,3.75,3.45,3.48,57400,3.145173
2015-12-15,3.67,4.07,3.47,3.64,27100,3.289779
2015-12-14,3.72,3.72,3.40,3.60,43700,3.253627
2015-12-11,3.90,3.90,3.585,3.72,41700,3.362082
2015-12-10,4.02,4.06,3.96,3.98,11000,3.597066
2015-12-09,4.05,4.11,3.99,4.03,118200,3.642255
2015-12-08,4.03,4.12,4.03,4.07,37100,3.678407
2015-12-07,4.40,4.43,4.06,4.09,42900,3.696482
2015-12-04,4.44,4.635,4.29,4.40,73000,3.976656
2015-12-03,4.57,4.57,4.34,4.36,32800,3.940504
2015-12-02,4.55,4.59,4.46,4.50,19900,4.067034
2015-12-01,4.52,4.64,4.40,4.53,22500,4.094148
2015-11-30,4.69,4.79,4.43,4.56,166400,4.121261
2015-11-27,4.54,4.68,4.53,4.59,11900,4.148375
2015-11-25,4.53,4.58,4.42,4.52,20200,4.08511
2015-11-24,4.57,4.71,4.51,4.58,30500,4.139337
2015-11-23,4.55,4.70,4.50,4.60,41900,4.157413
2015-11-20,4.55,4.63,4.41,4.50,20900,4.067034
2015-11-19,4.29,4.68,4.28,4.51,75200,4.076072
2015-11-18,4.71,4.71,4.33,4.40,54800,3.976656
