Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.02,5.09,4.92,4.98,731400,4.98
2016-03-10,5.02,5.08,4.97,5.05,471900,4.99
2016-03-09,5.02,5.13,4.99,5.04,1012700,4.980119
2016-03-08,5.15,5.19,4.96,5.00,1214200,4.940594
2016-03-07,5.17,5.25,5.12,5.16,886600,5.098693
2016-03-04,5.19,5.30,5.15,5.16,1041900,5.098693
2016-03-03,5.03,5.20,5.03,5.16,1231300,5.098693
2016-03-02,4.80,5.04,4.75,5.02,1230700,4.960356
2016-03-01,5.00,5.02,4.79,4.81,1677500,4.752852
2016-02-29,4.86,4.99,4.84,4.95,1760900,4.891188
2016-02-26,4.80,4.95,4.76,4.88,1289800,4.82202
2016-02-25,4.55,4.79,4.55,4.73,1326400,4.673802
2016-02-24,4.47,4.59,4.40,4.54,1722800,4.486059
2016-02-23,4.62,4.72,4.55,4.55,1328100,4.495941
2016-02-22,4.62,4.71,4.53,4.61,2352000,4.555228
2016-02-19,4.75,4.78,4.43,4.62,2586100,4.565109
2016-02-18,4.94,4.99,4.84,4.85,380400,4.792376
2016-02-17,4.79,4.96,4.78,4.92,492100,4.861545
2016-02-16,4.74,4.88,4.66,4.74,542500,4.683683
2016-02-12,4.65,4.70,4.58,4.69,614400,4.634277
2016-02-11,4.73,4.74,4.53,4.63,804300,4.57499
2016-02-10,4.99,5.00,4.61,4.78,2028400,4.723208
2016-02-09,5.48,5.55,5.08,5.16,1111500,5.039406
2016-02-08,5.79,5.86,5.57,5.63,1051200,5.498422
2016-02-05,5.70,5.89,5.67,5.86,856900,5.723047
2016-02-04,5.85,5.94,5.70,5.74,740100,5.605851
2016-02-03,5.75,5.88,5.63,5.87,706900,5.732813
2016-02-02,5.92,5.98,5.67,5.71,880100,5.576552
2016-02-01,5.74,5.99,5.59,5.98,1257200,5.840242
2016-01-29,5.72,5.85,5.62,5.74,1539800,5.605851
2016-01-28,5.54,5.79,5.53,5.68,1433600,5.547253
2016-01-27,5.46,5.55,5.39,5.47,1294600,5.342161
2016-01-26,5.26,5.51,5.22,5.45,1160900,5.322628
2016-01-25,5.21,5.35,5.18,5.28,1267800,5.156602
2016-01-22,5.07,5.35,5.07,5.26,1477600,5.137069
2016-01-21,4.95,5.17,4.94,4.99,1117000,4.873379
2016-01-20,5.06,5.09,4.75,4.92,2355700,4.805015
2016-01-19,5.20,5.24,5.02,5.15,1256200,5.02964
2016-01-15,5.01,5.14,4.65,5.13,3874200,5.010107
2016-01-14,5.23,5.28,5.01,5.24,2168600,5.117536
2016-01-13,5.52,5.53,5.19,5.24,1525800,5.117536
2016-01-12,5.80,5.86,5.53,5.60,2270000,5.410525
2016-01-11,6.09,6.16,5.79,5.84,862400,5.642405
2016-01-08,6.22,6.22,6.06,6.06,652300,5.854961
2016-01-07,6.40,6.40,6.15,6.17,1236400,5.961239
2016-01-06,6.30,6.52,6.26,6.47,1238900,6.251089
2016-01-05,6.43,6.43,6.31,6.39,450700,6.173795
2016-01-04,6.28,6.41,6.25,6.41,663100,6.193119
2015-12-31,6.25,6.50,6.25,6.38,1650900,6.164134
2015-12-30,6.25,6.41,6.23,6.29,1338600,6.077179
2015-12-29,6.18,6.39,6.18,6.30,1290200,6.086841
2015-12-28,6.41,6.45,6.12,6.16,1782600,5.951577
2015-12-24,6.27,6.52,6.27,6.46,817700,6.241427
2015-12-23,6.07,6.36,6.01,6.29,1457100,6.077179
2015-12-22,6.12,6.14,6.05,6.07,1656900,5.864623
2015-12-21,6.03,6.17,6.02,6.14,996900,5.932254
2015-12-18,6.10,6.14,6.02,6.03,957600,5.825976
2015-12-17,6.11,6.19,6.08,6.08,1165000,5.874284
2015-12-16,6.05,6.20,6.05,6.13,1393700,5.922593
2015-12-15,5.94,6.10,5.90,6.06,1287000,5.854961
2015-12-14,6.21,6.31,5.84,5.96,3890200,5.758345
2015-12-11,6.33,6.41,6.25,6.27,1940800,6.057856
2015-12-10,6.30,6.51,6.27,6.45,1499700,6.173795
2015-12-09,6.30,6.38,6.26,6.30,1522100,6.030219
2015-12-08,6.26,6.36,6.25,6.31,1432900,6.03979
2015-12-07,6.35,6.36,6.29,6.30,1834100,6.030219
2015-12-04,6.33,6.43,6.30,6.42,1239000,6.14508
2015-12-03,6.38,6.42,6.34,6.34,1176000,6.068506
2015-12-02,6.41,6.49,6.38,6.38,1417700,6.106793
2015-12-01,6.30,6.53,6.30,6.45,1640500,6.173795
2015-11-30,6.45,6.48,6.40,6.47,1186300,6.192939
2015-11-27,6.44,6.47,6.37,6.43,512600,6.154652
2015-11-25,6.37,6.43,6.29,6.42,693900,6.14508
2015-11-24,6.34,6.42,6.32,6.36,696700,6.08765
2015-11-23,6.39,6.51,6.38,6.43,1070100,6.154652
2015-11-20,6.36,6.43,6.28,6.37,1075500,6.097221
2015-11-19,6.25,6.47,6.22,6.44,1758300,6.164224
2015-11-18,6.18,6.28,6.14,6.27,1353200,6.001503
2015-11-17,6.01,6.21,6.01,6.19,1954900,5.924929
2015-11-16,6.00,6.10,6.00,6.01,439700,5.752637
2015-11-13,6.00,6.07,5.95,6.05,732600,5.790925
2015-11-12,5.93,6.06,5.91,6.04,1005700,5.781353
2015-11-11,6.08,6.13,6.00,6.09,1015500,5.771781
2015-11-10,6.08,6.16,6.02,6.10,716100,5.781258
2015-11-09,6.15,6.16,6.08,6.11,850500,5.790736
2015-11-06,6.04,6.19,6.03,6.18,1165700,5.857078
2015-11-05,6.02,6.10,5.95,6.09,1532400,5.771781
2015-11-04,5.89,6.01,5.85,6.00,987600,5.686484
2015-11-03,5.81,5.93,5.81,5.91,933400,5.601186
2015-11-02,5.73,5.83,5.70,5.83,982000,5.525367
2015-10-30,5.71,5.73,5.63,5.73,1521900,5.430592
2015-10-29,5.68,5.71,5.65,5.68,1131600,5.383204
2015-10-28,5.62,5.68,5.59,5.68,1022500,5.383204
2015-10-27,5.64,5.64,5.56,5.63,1490200,5.335817
2015-10-26,5.64,5.69,5.60,5.67,1425900,5.373727
2015-10-23,5.54,5.66,5.54,5.64,1536100,5.345295
2015-10-22,5.65,5.74,5.53,5.55,2042200,5.259998
2015-10-21,5.88,5.90,5.65,5.69,1629000,5.392682
2015-10-20,5.98,6.05,5.88,5.90,1008300,5.591709
2015-10-19,6.00,6.08,5.99,6.00,575900,5.686484
2015-10-16,6.08,6.11,6.00,6.03,1585100,5.714916
2015-10-15,6.16,6.19,6.04,6.11,1222400,5.790736
2015-10-14,6.20,6.27,6.17,6.18,508200,5.857078
2015-10-13,6.20,6.33,6.20,6.22,418600,5.894988
2015-10-12,6.42,6.44,6.30,6.31,570500,5.92342
2015-10-09,6.45,6.45,6.39,6.40,461100,6.007907
2015-10-08,6.48,6.48,6.38,6.47,424400,6.073618
2015-10-07,6.35,6.50,6.32,6.50,724000,6.10178
2015-10-06,6.26,6.35,6.26,6.35,614100,5.96097
2015-10-05,6.30,6.32,6.24,6.28,947300,5.895259
2015-10-02,6.35,6.37,6.15,6.25,1322600,5.867096
2015-10-01,6.15,6.41,6.13,6.39,1942300,5.998519
2015-09-30,6.18,6.23,6.14,6.17,1484700,5.791998
2015-09-29,6.23,6.33,6.08,6.13,1586000,5.754448
2015-09-28,6.60,6.61,6.20,6.25,2321100,5.867096
2015-09-25,6.63,6.72,6.58,6.60,843900,6.195654
2015-09-24,6.50,6.77,6.50,6.63,1932200,6.223816
