Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.84,9.96,9.77,9.96,233300,9.96
2016-03-10,9.98,9.98,9.63,9.71,193100,9.71
2016-03-09,9.97,10.11,9.86,9.91,258900,9.91
2016-03-08,9.94,10.01,9.89,9.93,370600,9.93
2016-03-07,9.83,10.01,9.79,10.01,430500,10.01
2016-03-04,9.75,9.86,9.71,9.86,353900,9.86
2016-03-03,9.75,9.82,9.60,9.80,303300,9.80
2016-03-02,9.44,9.81,9.41,9.69,301500,9.69
2016-03-01,9.58,9.61,9.48,9.57,282900,9.57
2016-02-29,9.47,9.64,9.42,9.51,431300,9.51
2016-02-26,9.78,9.81,9.42,9.46,266900,9.46
2016-02-25,9.40,9.65,9.36,9.63,307700,9.63
2016-02-24,9.13,9.34,9.03,9.34,376500,9.34
2016-02-23,9.27,9.32,9.12,9.25,290400,9.25
2016-02-22,9.22,9.38,9.20,9.28,221500,9.28
2016-02-19,9.17,9.29,9.10,9.17,459700,9.17
2016-02-18,9.25,9.25,8.97,9.18,472000,9.18
2016-02-17,9.12,9.42,8.75,9.26,494400,9.26
2016-02-16,8.81,9.04,8.75,8.98,349300,8.98
2016-02-12,8.85,8.93,8.67,8.81,302400,8.81
2016-02-11,8.87,8.90,8.70,8.81,207800,8.81
2016-02-10,8.86,9.09,8.84,8.93,490400,8.93
2016-02-09,9.05,9.16,8.78,8.83,410200,8.83
2016-02-08,9.12,9.24,8.88,9.18,328200,9.18
2016-02-05,9.30,9.34,9.16,9.16,384100,9.16
2016-02-04,9.39,9.44,9.31,9.33,285900,9.33
2016-02-03,9.52,9.68,9.31,9.40,300500,9.40
2016-02-02,9.53,9.53,9.34,9.48,284500,9.48
2016-02-01,9.66,9.69,9.22,9.60,266900,9.60
2016-01-29,9.49,9.76,9.45,9.76,546800,9.76
2016-01-28,9.46,9.55,9.39,9.46,247500,9.46
2016-01-27,9.64,9.66,9.35,9.39,250900,9.39
2016-01-26,9.40,9.69,9.36,9.69,348300,9.69
2016-01-25,9.49,9.55,9.30,9.36,337900,9.36
2016-01-22,9.32,9.56,9.29,9.49,462500,9.49
2016-01-21,9.43,9.58,9.25,9.28,326600,9.28
2016-01-20,9.53,9.57,9.06,9.38,478700,9.38
2016-01-19,9.83,9.98,9.50,9.85,384200,9.660001
2016-01-15,9.90,9.97,9.75,9.93,462000,9.738457
2016-01-14,9.88,10.09,9.77,10.07,479400,9.875756
2016-01-13,10.00,10.09,9.77,9.85,279700,9.660001
2016-01-12,10.24,10.43,9.92,10.00,374300,9.807107
2016-01-11,9.93,10.29,9.93,10.19,435500,9.993441
2016-01-08,10.02,10.15,9.92,9.94,355300,9.748264
2016-01-07,10.44,10.44,10.09,10.09,244300,9.895371
2016-01-06,10.37,10.57,10.37,10.44,331600,10.238619
2016-01-05,10.30,10.52,10.24,10.48,240500,10.277848
2016-01-04,10.22,10.28,10.07,10.28,334900,10.081706
2015-12-31,10.41,10.42,10.24,10.35,307300,10.150356
2015-12-30,10.47,10.52,10.37,10.41,187700,10.209198
2015-12-29,10.41,10.52,10.36,10.52,353700,10.317077
2015-12-28,10.26,10.42,10.20,10.42,360300,10.219005
2015-12-24,10.30,10.34,10.22,10.30,177000,10.10132
2015-12-23,10.34,10.34,10.18,10.24,376900,10.042477
2015-12-22,10.27,10.37,10.24,10.28,517400,10.081706
2015-12-21,10.41,10.41,10.15,10.26,568800,10.062092
2015-12-18,10.10,10.29,10.03,10.26,1852100,10.062092
2015-12-17,10.13,10.13,10.03,10.09,353300,9.895371
2015-12-16,9.89,10.14,9.85,10.13,421700,9.934599
2015-12-15,9.55,9.89,9.55,9.89,367200,9.699229
2015-12-14,9.70,9.81,9.45,9.54,453100,9.35598
2015-12-11,9.62,9.73,9.60,9.68,507100,9.49328
2015-12-10,9.85,9.95,9.77,9.80,316100,9.610965
2015-12-09,9.82,9.95,9.70,9.77,215200,9.581544
2015-12-08,9.87,9.95,9.80,9.83,245200,9.640386
2015-12-07,10.02,10.02,9.79,9.89,311000,9.699229
2015-12-04,10.03,10.16,9.97,10.00,241400,9.807107
2015-12-03,10.22,10.22,9.98,9.98,373200,9.787492
2015-12-02,10.43,10.43,10.16,10.17,431400,9.973828
2015-12-01,10.54,10.67,10.50,10.58,194600,10.375919
2015-11-30,10.60,10.84,10.44,10.47,407800,10.268041
2015-11-27,10.40,10.60,10.31,10.60,119300,10.395534
2015-11-25,10.39,10.42,10.35,10.42,160300,10.219005
2015-11-24,10.36,10.42,10.25,10.41,173100,10.209198
2015-11-23,10.40,10.47,10.36,10.41,193300,10.209198
2015-11-20,10.41,10.50,10.34,10.42,273400,10.219005
2015-11-19,10.23,10.34,10.15,10.33,158900,10.130741
2015-11-18,10.22,10.25,10.09,10.24,254600,10.042477
2015-11-17,10.10,10.24,10.09,10.15,169400,9.954213
2015-11-16,10.04,10.14,10.04,10.12,201300,9.924792
2015-11-13,10.10,10.22,10.06,10.08,188900,9.885564
2015-11-12,10.28,10.28,10.09,10.16,235200,9.96402
2015-11-11,10.26,10.31,10.18,10.26,129100,10.062092
2015-11-10,10.15,10.30,10.12,10.27,327100,10.071899
2015-11-09,10.24,10.31,10.02,10.12,313200,9.924792
2015-11-06,10.40,10.46,10.16,10.29,358200,10.091513
2015-11-05,10.43,10.53,10.35,10.53,305500,10.326883
2015-11-04,10.46,10.50,10.33,10.41,209000,10.209198
2015-11-03,10.56,10.57,10.40,10.47,267800,10.268041
2015-11-02,10.47,10.56,10.27,10.56,467000,10.356305
2015-10-30,11.48,11.48,10.40,10.42,537200,10.219005
2015-10-29,10.65,10.66,10.47,10.59,562100,10.385726
2015-10-28,11.31,11.49,10.43,10.50,1003700,10.297462
2015-10-27,11.62,11.62,11.33,11.35,526300,11.131067
2015-10-26,11.47,11.51,11.40,11.48,267200,11.258558
2015-10-23,11.58,11.67,11.36,11.49,200600,11.268366
2015-10-22,11.56,11.62,11.41,11.55,329700,11.327209
2015-10-21,11.58,11.61,11.39,11.46,209900,11.238944
2015-10-20,11.70,11.77,11.61,11.70,319900,11.287979
2015-10-19,11.75,11.81,11.63,11.67,446100,11.259036
2015-10-16,11.64,11.65,11.53,11.63,335300,11.220445
2015-10-15,11.34,11.51,11.31,11.50,266600,11.095022
2015-10-14,11.39,11.48,11.30,11.31,253200,10.911714
2015-10-13,11.45,11.54,11.35,11.41,224300,11.008192
2015-10-12,11.38,11.53,11.35,11.46,223000,11.056431
2015-10-09,11.39,11.39,11.26,11.31,262800,10.911714
2015-10-08,11.31,11.40,11.21,11.37,355400,10.9696
2015-10-07,11.37,11.37,11.10,11.29,532700,10.892418
2015-10-06,11.07,11.17,11.01,11.07,296900,10.680165
2015-10-05,10.90,11.06,10.84,11.06,314200,10.670518
2015-10-02,10.71,10.87,10.65,10.87,482100,10.487208
2015-10-01,10.73,10.80,10.63,10.77,309700,10.39073
2015-09-30,10.83,10.90,10.73,10.75,542700,10.371434
2015-09-29,10.67,10.88,10.67,10.76,357600,10.381082
2015-09-28,10.75,10.79,10.58,10.68,393200,10.303899
2015-09-25,10.68,10.86,10.62,10.76,365300,10.381082
2015-09-24,10.64,10.74,10.57,10.64,433500,10.265308
2015-09-23,10.54,10.69,10.54,10.65,568800,10.274955
2015-09-22,10.72,10.78,10.35,10.54,5896400,10.168829
2015-09-21,10.75,10.89,10.70,10.71,777900,10.332843
2015-09-18,10.64,10.82,10.63,10.71,807300,10.332843
2015-09-17,10.63,10.91,10.60,10.74,361200,10.361786
2015-09-16,10.51,10.71,10.51,10.66,326500,10.284603
2015-09-15,10.43,10.55,10.37,10.47,327000,10.101295
2015-09-14,10.52,10.52,10.44,10.45,175100,10.081998
2015-09-11,10.29,10.53,10.29,10.46,318300,10.091647
2015-09-10,10.25,10.49,10.25,10.36,337500,9.995168
2015-09-09,10.40,10.43,10.27,10.28,283000,9.917985
2015-09-08,10.30,10.36,10.25,10.31,190400,9.946929
2015-09-04,10.32,10.38,10.17,10.22,323900,9.860098
2015-09-03,10.41,10.47,10.37,10.42,253100,10.053055
2015-09-02,10.31,10.41,10.24,10.35,482400,9.985521
2015-09-01,10.30,10.40,10.18,10.22,292400,9.860098
2015-08-31,10.59,10.63,10.38,10.41,568100,10.043407
2015-08-28,10.59,10.65,10.53,10.62,223200,10.246012
2015-08-27,10.59,10.69,10.46,10.63,268800,10.25566
2015-08-26,10.52,10.61,10.30,10.54,289300,10.168829
2015-08-25,10.96,11.02,10.33,10.35,328700,9.985521
2015-08-24,10.85,10.91,10.54,10.63,402900,10.25566
2015-08-21,11.49,11.55,11.16,11.16,641400,10.766996
2015-08-20,11.53,11.60,11.41,11.49,263300,11.085374
2015-08-19,11.50,11.58,11.40,11.54,201300,11.133614
2015-08-18,11.53,11.58,11.36,11.58,368500,11.172205
2015-08-17,11.49,11.57,11.40,11.57,180800,11.162557
2015-08-14,11.40,11.50,11.31,11.50,195300,11.095022
2015-08-13,11.44,11.51,11.21,11.45,172400,11.046783
2015-08-12,11.50,11.54,11.38,11.43,248200,11.027488
2015-08-11,11.24,11.64,11.24,11.58,345000,11.172205
2015-08-10,11.64,11.68,11.49,11.59,332100,11.181853
2015-08-07,11.54,11.74,11.47,11.61,291600,11.201148
2015-08-06,11.53,11.61,11.38,11.56,354600,11.15291
2015-08-05,11.68,11.71,11.50,11.54,192500,11.133614
2015-08-04,11.83,11.86,11.66,11.69,214200,11.278331
2015-08-03,11.83,11.85,11.71,11.84,261100,11.423049
2015-07-31,11.68,11.86,11.68,11.77,355700,11.355515
2015-07-30,11.61,11.69,11.56,11.69,421000,11.278331
2015-07-29,11.55,11.75,11.33,11.71,341900,11.297627
2015-07-28,11.64,11.79,11.57,11.68,569100,11.268684
2015-07-27,11.61,11.72,11.60,11.65,235500,11.23974
2015-07-24,11.53,11.69,11.53,11.63,316400,11.220445
2015-07-23,11.83,11.90,11.55,11.62,291300,11.210797
2015-07-22,11.66,12.03,11.66,11.80,239900,11.384458
2015-07-21,11.98,12.04,11.86,11.93,191800,11.326571
2015-07-20,11.90,12.03,11.84,11.95,310500,11.345559
2015-07-17,12.02,12.02,11.85,11.85,413500,11.250618
2015-07-16,11.82,11.96,11.76,11.96,350500,11.355054
2015-07-15,11.61,11.78,11.59,11.78,271600,11.184158
2015-07-14,11.65,11.71,11.58,11.68,126800,11.089217
2015-07-13,11.68,11.85,11.62,11.63,248200,11.041745
2015-07-10,11.49,11.73,11.37,11.61,306000,11.022757
2015-07-09,11.63,11.65,11.49,11.49,373200,10.908826
2015-07-08,11.53,11.65,11.52,11.58,486200,10.994274
2015-07-07,11.50,11.65,11.50,11.62,427600,11.032251
2015-07-06,11.35,11.51,11.31,11.46,479300,10.880344
2015-07-02,11.50,11.61,11.37,11.37,378800,10.794896
2015-07-01,11.36,11.45,11.33,11.39,553900,10.813885
2015-06-30,11.33,11.44,11.28,11.31,691600,10.737932
2015-06-29,11.56,11.65,11.30,11.30,595800,10.728437
2015-06-26,11.51,11.60,11.44,11.55,685000,10.965792
2015-06-25,11.60,11.60,11.44,11.48,307800,10.899332
2015-06-24,11.55,11.76,11.53,11.55,249700,10.965792
2015-06-23,11.63,11.65,11.53,11.56,344800,10.975286
2015-06-22,11.84,11.88,11.60,11.66,276000,11.070228
2015-06-19,11.85,11.87,11.73,11.79,571600,11.193652
2015-06-18,11.66,11.88,11.63,11.83,271600,11.231629
2015-06-17,11.66,11.70,11.53,11.66,250100,11.070228
2015-06-16,11.50,11.67,11.43,11.66,262300,11.070228
2015-06-15,11.58,11.75,11.47,11.50,387600,10.918321
2015-06-12,11.65,11.69,11.55,11.64,217900,11.05124
2015-06-11,11.68,11.68,11.59,11.64,217000,11.05124
2015-06-10,11.50,11.68,11.46,11.61,497200,11.022757
2015-06-09,11.48,11.51,11.38,11.48,330500,10.899332
2015-06-08,11.45,11.54,11.40,11.48,225500,10.899332
2015-06-05,11.48,11.51,11.38,11.48,262900,10.899332
2015-06-04,11.63,11.66,11.57,11.58,202400,10.994274
2015-06-03,11.69,11.69,11.55,11.65,412000,11.060733
2015-06-02,11.70,11.72,11.59,11.69,319500,11.09871
2015-06-01,11.62,11.76,11.54,11.72,227000,11.127193
2015-05-29,11.59,11.62,11.52,11.61,853700,11.022757
2015-05-28,11.65,11.70,11.52,11.64,280100,11.05124
2015-05-27,11.62,11.69,11.55,11.68,225100,11.089217
2015-05-26,11.64,11.65,11.48,11.62,296500,11.032251
2015-05-22,11.65,11.76,11.61,11.65,235700,11.060733
2015-05-21,11.73,11.73,11.60,11.70,305500,11.108204
2015-05-20,11.77,11.78,11.70,11.71,196400,11.117699
2015-05-19,11.71,11.78,11.69,11.75,180200,11.155676
2015-05-18,11.77,11.81,11.70,11.78,245300,11.184158
