Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.03,11.10,11.03,11.07,87500,11.07
2016-03-10,11.05,11.07,11.01,11.01,81500,11.01
2016-03-09,10.99,11.04,10.99,11.02,79800,11.02
2016-03-08,10.93,11.05,10.92,10.97,74700,10.97
2016-03-07,10.94,10.98,10.91,10.96,59700,10.96
2016-03-04,10.86,11.00,10.86,10.94,50500,10.94
2016-03-03,10.79,10.91,10.78,10.86,63200,10.86
2016-03-02,10.79,10.79,10.72,10.77,76300,10.77
2016-03-01,10.74,10.83,10.70,10.83,69800,10.83
2016-02-29,10.64,10.76,10.64,10.73,38800,10.73
2016-02-26,10.62,10.68,10.61,10.67,151600,10.67
2016-02-25,10.56,10.61,10.54,10.60,279800,10.60
2016-02-24,10.57,10.69,10.57,10.68,63000,10.618
2016-02-23,10.57,10.68,10.55,10.63,110500,10.56829
2016-02-22,10.60,10.64,10.56,10.59,56800,10.528523
2016-02-19,10.53,10.57,10.46,10.53,54700,10.46887
2016-02-18,10.52,10.57,10.49,10.53,70600,10.46887
2016-02-17,10.48,10.57,10.47,10.57,64900,10.508638
2016-02-16,10.40,10.47,10.35,10.46,54100,10.399277
2016-02-12,10.29,10.51,10.24,10.37,69900,10.309799
2016-02-11,10.36,10.36,10.25,10.25,47700,10.190496
2016-02-10,10.40,10.44,10.37,10.43,23200,10.369452
2016-02-09,10.35,10.45,10.35,10.39,50000,10.329684
2016-02-08,10.50,10.50,10.41,10.44,39000,10.379393
2016-02-05,10.56,10.62,10.55,10.55,47900,10.488755
2016-02-04,10.56,10.62,10.56,10.60,48500,10.538465
2016-02-03,10.57,10.61,10.51,10.59,43900,10.528523
2016-02-02,10.42,10.58,10.40,10.50,139600,10.439045
2016-02-01,10.66,10.68,10.60,10.66,44200,10.598116
2016-01-29,10.74,10.74,10.56,10.72,76800,10.657768
2016-01-28,10.63,10.74,10.60,10.62,21700,10.558348
2016-01-27,10.58,10.64,10.43,10.61,74600,10.548406
2016-01-26,10.42,10.69,10.39,10.69,57500,10.566301
2016-01-25,10.43,10.51,10.36,10.49,54800,10.368616
2016-01-22,10.26,10.49,10.26,10.46,98100,10.338963
2016-01-21,10.18,10.37,10.18,10.22,88900,10.10174
2016-01-20,10.20,10.23,10.11,10.18,111400,10.062203
2016-01-19,10.53,10.60,10.24,10.30,102600,10.180815
2016-01-15,10.54,10.55,10.41,10.53,117400,10.408153
2016-01-14,10.51,10.65,10.46,10.64,197800,10.516881
2016-01-13,10.62,10.67,10.54,10.55,111300,10.427922
2016-01-12,10.67,10.77,10.62,10.63,291900,10.506996
2016-01-11,10.74,10.77,10.59,10.62,90800,10.497112
2016-01-08,10.84,10.97,10.70,10.76,92500,10.635492
2016-01-07,10.79,10.87,10.78,10.82,53300,10.694797
2016-01-06,10.72,10.92,10.71,10.89,85200,10.763988
2016-01-05,10.74,10.83,10.74,10.83,18400,10.704682
2016-01-04,10.67,10.82,10.64,10.71,43900,10.58607
2015-12-31,10.78,10.80,10.69,10.72,84100,10.595955
2015-12-30,10.75,10.80,10.71,10.75,45600,10.625607
2015-12-29,10.95,10.95,10.77,10.79,88200,10.665144
2015-12-28,10.92,10.99,10.88,10.94,84000,10.752126
2015-12-24,10.99,11.05,10.99,10.99,31400,10.801267
2015-12-23,10.88,11.05,10.87,11.05,96700,10.860237
2015-12-22,10.83,10.88,10.77,10.88,116600,10.693157
2015-12-21,10.75,10.83,10.75,10.82,98900,10.634187
2015-12-18,10.73,10.77,10.70,10.77,96900,10.585046
2015-12-17,10.59,10.73,10.55,10.73,97700,10.545732
2015-12-16,10.45,10.67,10.45,10.63,54800,10.44745
2015-12-15,10.32,10.45,10.32,10.45,100500,10.270541
2015-12-14,10.42,10.52,10.18,10.28,131600,10.10346
2015-12-11,10.51,10.58,10.38,10.44,90000,10.260712
2015-12-10,10.67,10.70,10.58,10.60,75800,10.417965
2015-12-09,10.68,10.71,10.62,10.68,59700,10.496591
2015-12-08,10.69,10.69,10.60,10.66,57400,10.476934
2015-12-07,10.76,10.79,10.70,10.72,61600,10.535905
2015-12-04,10.85,10.86,10.80,10.83,52600,10.644015
2015-12-03,10.95,10.95,10.82,10.87,28400,10.683328
2015-12-02,10.95,10.96,10.91,10.92,30700,10.73247
2015-12-01,10.92,10.95,10.90,10.93,25900,10.742298
2015-11-30,10.89,10.94,10.88,10.90,41700,10.712813
2015-11-27,10.86,10.93,10.84,10.89,18200,10.702985
2015-11-25,10.86,10.89,10.82,10.89,29500,10.702985
2015-11-24,10.87,10.94,10.84,10.94,42300,10.691191
2015-11-23,10.89,10.93,10.85,10.88,49300,10.632556
2015-11-20,10.90,10.93,10.84,10.91,46200,10.661873
2015-11-19,10.88,10.99,10.78,10.92,138800,10.671646
2015-11-18,10.90,10.92,10.83,10.92,52300,10.671646
2015-11-17,10.95,10.96,10.83,10.87,43200,10.622783
2015-11-16,10.96,10.99,10.89,10.93,46300,10.681419
2015-11-13,11.03,11.04,10.95,10.99,32300,10.740054
2015-11-12,11.01,11.07,10.98,11.04,29400,10.788917
2015-11-11,11.15,11.15,11.05,11.07,27700,10.818234
2015-11-10,11.12,11.18,11.10,11.12,34600,10.867097
2015-11-09,11.24,11.24,11.15,11.17,55900,10.91596
2015-11-06,11.25,11.25,11.19,11.24,38900,10.984368
2015-11-05,11.28,11.30,11.23,11.30,34100,11.043004
2015-11-04,11.25,11.30,11.23,11.29,34900,11.033231
2015-11-03,11.19,11.27,11.19,11.26,42800,11.003914
2015-11-02,11.22,11.28,11.19,11.21,49500,10.95505
2015-10-30,11.23,11.23,11.18,11.23,36200,10.974595
2015-10-29,11.26,11.32,11.18,11.20,36800,10.945278
2015-10-28,11.26,11.30,11.22,11.30,86100,11.043004
2015-10-27,11.28,11.35,11.26,11.35,66400,11.031277
2015-10-26,11.34,11.35,11.30,11.32,26900,11.002119
2015-10-23,11.40,11.41,11.32,11.37,290600,11.050715
2015-10-22,11.32,11.41,11.32,11.41,93600,11.089592
2015-10-21,11.31,11.34,11.22,11.32,50000,11.002119
2015-10-20,11.17,11.35,11.17,11.35,68700,11.031277
2015-10-19,11.14,11.26,11.11,11.26,77300,10.943804
2015-10-16,11.01,11.13,10.98,11.13,78200,10.817455
2015-10-15,11.00,11.07,10.97,11.03,75800,10.720262
2015-10-14,11.09,11.24,10.88,10.88,113900,10.574475
2015-10-13,11.07,11.15,11.02,11.05,80000,10.739701
2015-10-12,11.23,11.26,11.08,11.08,33900,10.768858
2015-10-09,11.24,11.32,11.21,11.25,63300,10.934085
2015-10-08,11.09,11.30,11.05,11.30,142100,10.982681
2015-10-07,10.94,11.10,10.94,11.10,45300,10.788297
2015-10-06,10.92,10.98,10.89,10.98,28000,10.671666
2015-10-05,10.78,10.92,10.78,10.90,50600,10.593913
2015-10-02,10.79,10.82,10.61,10.80,80700,10.496722
2015-10-01,10.87,10.91,10.71,10.84,69500,10.535598
2015-09-30,10.90,10.93,10.78,10.90,88900,10.593913
2015-09-29,10.85,10.91,10.71,10.90,65000,10.593913
2015-09-28,11.06,11.06,10.79,10.90,69900,10.593913
2015-09-25,11.05,11.14,11.04,11.14,44400,10.766915
2015-09-24,11.06,11.07,11.04,11.06,22400,10.689594
2015-09-23,11.12,11.12,11.04,11.09,33400,10.718589
2015-09-22,11.03,11.12,11.03,11.08,53600,10.708924
2015-09-21,11.12,11.17,11.07,11.09,23600,10.718589
2015-09-18,11.17,11.20,11.13,11.13,34800,10.75725
2015-09-17,11.11,11.20,11.08,11.19,52400,10.81524
2015-09-16,11.14,11.16,11.10,11.14,64900,10.766915
2015-09-15,11.17,11.20,11.12,11.15,75400,10.776579
2015-09-14,11.20,11.23,11.15,11.19,42000,10.81524
2015-09-11,11.20,11.23,11.20,11.22,22300,10.844236
2015-09-10,11.24,11.26,11.21,11.25,56200,10.873231
2015-09-09,11.26,11.26,11.23,11.23,34800,10.8539
2015-09-08,11.28,11.31,11.23,11.25,45200,10.873231
2015-09-04,11.25,11.26,11.23,11.25,30800,10.873231
2015-09-03,11.24,11.29,11.23,11.27,34900,10.892561
2015-09-02,11.22,11.24,11.17,11.24,31500,10.863565
2015-09-01,11.09,11.24,11.09,11.22,46900,10.844236
2015-08-31,11.16,11.20,11.13,11.19,54400,10.81524
2015-08-28,11.15,11.21,11.15,11.19,93600,10.81524
2015-08-27,11.16,11.21,11.12,11.17,55800,10.79591
2015-08-26,11.12,11.24,11.10,11.21,114800,10.774647
2015-08-25,11.05,11.14,11.05,11.12,106500,10.688142
2015-08-24,11.02,11.04,10.42,11.01,205600,10.582415
2015-08-21,11.18,11.23,11.10,11.12,87300,10.688142
