Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,47.27,47.43,47.27,47.43,50200,47.43
2016-03-10,47.200001,47.330002,47.189999,47.299999,51400,47.299999
2016-03-09,47.189999,47.220001,47.09,47.200001,36800,47.200001
2016-03-08,47.09,47.200001,47.080002,47.130001,55100,47.130001
2016-03-07,47.099998,47.099998,47.02,47.049999,116500,47.049999
2016-03-04,46.959999,47.02,46.900002,47.00,75100,47.00
2016-03-03,46.830002,46.950001,46.82,46.880001,29900,46.880001
2016-03-02,46.669998,46.75,46.66,46.740002,71900,46.740002
2016-03-01,46.59,46.68,46.450001,46.68,63400,46.68
2016-02-29,46.400002,46.540001,46.400002,46.490002,54000,46.490002
2016-02-26,46.380001,46.400002,46.330002,46.400002,54600,46.400002
2016-02-25,46.209999,46.32,46.200001,46.220001,54400,46.220001
2016-02-24,46.209999,46.299999,46.18,46.27,56000,46.27
2016-02-23,46.220001,46.369999,46.220001,46.25,49400,46.25
2016-02-22,46.41,46.529999,46.360001,46.43,62300,46.279999
2016-02-19,46.360001,46.580002,46.32,46.330002,87700,46.180324
2016-02-18,46.299999,46.509998,46.299999,46.34,48300,46.19029
2016-02-17,46.25,46.439999,46.25,46.299999,61500,46.150418
2016-02-16,46.459999,46.599998,46.18,46.18,56000,46.030807
2016-02-12,46.43,46.490002,46.299999,46.439999,36200,46.289965
2016-02-11,46.630001,46.630001,46.34,46.349998,116700,46.200256
2016-02-10,46.619999,46.66,46.50,46.52,34200,46.369709
2016-02-09,46.470001,46.700001,46.470001,46.66,76600,46.509256
2016-02-08,46.599998,46.73,46.509998,46.57,74500,46.419546
2016-02-05,46.720001,46.799999,46.630001,46.669998,52900,46.519222
2016-02-04,46.709999,46.779999,46.66,46.669998,39400,46.519222
2016-02-03,46.610001,46.720001,46.610001,46.650002,47000,46.49929
2016-02-02,46.700001,46.84,46.619999,46.619999,173300,46.469384
2016-02-01,46.82,46.84,46.669998,46.709999,107800,46.559094
2016-01-29,46.799999,46.82,46.610001,46.759998,44400,46.608931
2016-01-28,46.77,46.810001,46.610001,46.720001,67500,46.569063
2016-01-27,46.580002,46.720001,46.549999,46.689999,54100,46.539158
2016-01-26,46.73,46.75,46.599998,46.720001,267100,46.569063
2016-01-25,46.59,46.759998,46.59,46.650002,103200,46.49929
2016-01-22,46.509998,46.709999,46.509998,46.57,57900,46.419546
2016-01-21,46.639999,46.66,46.279999,46.650002,180400,46.49929
2016-01-20,46.720001,46.919998,46.380001,46.830002,242700,46.529193
2016-01-19,46.98,46.98,46.73,46.740002,242700,46.439771
2016-01-15,46.830002,47.049999,46.68,46.990002,50500,46.688165
2016-01-14,47.060001,47.07,46.830002,46.970001,88300,46.668293
2016-01-13,47.110001,47.110001,46.939999,46.970001,28800,46.668293
2016-01-12,46.939999,47.110001,46.939999,46.990002,49100,46.688165
2016-01-11,46.950001,47.119999,46.950001,46.950001,35200,46.648421
2016-01-08,46.889999,47.029999,46.880001,46.970001,50500,46.668293
2016-01-07,46.849998,47.040001,46.849998,47.029999,113100,46.727906
2016-01-06,46.810001,47.009998,46.810001,46.98,49600,46.678228
2016-01-05,46.950001,46.970001,46.889999,46.939999,75900,46.638484
2016-01-04,46.990002,47.040001,46.84,46.98,251900,46.678228
2015-12-31,46.939999,47.029999,46.849998,46.869999,229200,46.568934
2015-12-30,46.849998,47.09,46.84,46.93,205700,46.628549
2015-12-29,46.970001,47.00,46.830002,46.950001,240100,46.648421
2015-12-28,46.869999,46.970001,46.709999,46.779999,200400,46.479511
2015-12-24,46.950001,47.00,46.900002,46.939999,28800,46.638484
2015-12-23,47.009998,47.040001,46.849998,46.880001,89300,46.578871
2015-12-22,47.130001,47.130001,46.830002,47.02,97800,46.558999
2015-12-21,47.169998,47.169998,46.950001,47.099998,87900,46.638213
2015-12-18,47.09,47.369999,47.00,47.099998,159600,46.638213
2015-12-17,47.00,47.080002,47.00,47.049999,73100,46.588704
2015-12-16,47.049999,47.099998,46.959999,47.07,306900,46.608508
2015-12-15,46.98,47.049999,46.919998,46.98,94700,46.51939
2015-12-14,47.18,47.25,47.130001,47.16,71200,46.697626
2015-12-11,47.389999,47.43,47.169998,47.27,163300,46.806548
2015-12-10,47.48,47.50,47.41,47.41,58800,46.945175
2015-12-09,47.459999,47.52,47.41,47.50,64500,47.034293
2015-12-08,47.490002,47.529999,47.41,47.419998,111800,46.955075
2015-12-07,47.48,47.509998,47.439999,47.439999,52000,46.974879
2015-12-04,47.490002,47.549999,47.400002,47.450001,89200,46.984783
2015-12-03,47.540001,47.560001,47.43,47.509998,63500,47.044193
2015-12-02,47.490002,47.52,47.41,47.470001,42900,47.004588
2015-12-01,47.450001,47.470001,47.400002,47.439999,69300,46.974879
2015-11-30,47.470001,47.470001,47.34,47.450001,49300,46.984783
2015-11-27,47.360001,47.419998,47.360001,47.41,13000,46.945175
2015-11-25,47.41,47.41,47.299999,47.400002,50300,46.935274
2015-11-24,47.240002,47.419998,47.240002,47.400002,29500,46.935274
2015-11-23,47.459999,47.459999,47.299999,47.400002,165900,46.935274
2015-11-20,47.450001,47.459999,47.299999,47.419998,61700,46.955075
2015-11-19,47.75,47.75,47.560001,47.580002,60200,46.95508
2015-11-18,47.75,47.75,47.619999,47.700001,39400,47.073503
2015-11-17,47.669998,47.75,47.580002,47.68,46100,47.053765
2015-11-16,47.84,47.84,47.599998,47.740002,59100,47.112979
2015-11-13,47.919998,48.09,47.82,47.82,55600,47.191926
2015-11-12,48.080002,48.080002,48.00,48.009998,460900,47.379429
2015-11-11,48.119999,48.16,48.009998,48.080002,57200,47.448513
2015-11-10,48.150002,48.169998,48.00,48.139999,114300,47.507723
2015-11-09,48.110001,48.169998,48.00,48.110001,62800,47.478118
2015-11-06,48.220001,48.279999,48.07,48.169998,71200,47.537328
2015-11-05,48.189999,48.299999,48.16,48.25,339400,47.616279
2015-11-04,48.259998,48.259998,48.189999,48.23,46700,47.596541
2015-11-03,48.25,48.259998,48.09,48.23,103100,47.596541
2015-11-02,48.220001,48.779999,48.040001,48.110001,38800,47.478118
2015-10-30,48.240002,48.25,48.150002,48.240002,142900,47.606412
2015-10-29,48.240002,48.25,48.110001,48.23,161800,47.596541
2015-10-28,48.169998,48.220001,48.009998,48.150002,29400,47.517594
2015-10-27,48.119999,48.200001,48.060001,48.130001,42100,47.497856
2015-10-26,47.990002,48.200001,47.990002,48.02,40700,47.3893
2015-10-23,48.209999,48.209999,47.869999,47.990002,59800,47.359695
2015-10-22,48.110001,48.25,48.110001,48.220001,117000,47.586674
2015-10-21,48.27,48.279999,48.110001,48.240002,46200,47.606412
2015-10-20,48.400002,48.41,48.27,48.400002,42100,47.60641
2015-10-19,48.389999,48.419998,48.240002,48.34,34900,47.547392
2015-10-16,48.299999,48.32,48.200001,48.220001,54100,47.429361
2015-10-15,48.290001,48.43,48.25,48.32,71800,47.52772
2015-10-14,48.369999,48.419998,48.25,48.400002,32900,47.60641
2015-10-13,48.220001,48.43,48.220001,48.400002,19100,47.60641
2015-10-12,48.380001,48.43,48.25,48.400002,15300,47.60641
2015-10-09,48.310001,48.360001,48.209999,48.23,20800,47.439195
2015-10-08,48.330002,48.349998,48.25,48.310001,31100,47.517885
2015-10-07,48.220001,48.34,48.169998,48.299999,86800,47.508047
2015-10-06,48.049999,48.25,48.02,48.169998,30400,47.380178
2015-10-05,48.200001,48.240002,48.00,48.18,55500,47.390016
2015-10-02,48.23,48.290001,48.099998,48.099998,44800,47.311326
2015-10-01,48.310001,48.389999,48.18,48.18,191700,47.390016
2015-09-30,48.389999,48.419998,48.25,48.279999,52400,47.488375
2015-09-29,48.50,48.52,48.290001,48.459999,115200,47.665424
2015-09-28,48.639999,48.68,48.560001,48.580002,57100,47.783459
2015-09-25,48.689999,48.700001,48.610001,48.689999,22700,47.891652
2015-09-24,48.619999,48.759998,48.57,48.759998,189700,47.960504
2015-09-23,48.68,48.790001,48.560001,48.709999,105600,47.911324
2015-09-22,48.970001,49.00,48.91,48.98,51800,48.019523
2015-09-21,49.00,49.02,48.950001,48.98,34000,48.019523
2015-09-18,48.91,49.029999,48.900002,48.990002,60400,48.029329
2015-09-17,49.080002,49.150002,48.959999,49.009998,96700,48.048933
2015-09-16,49.00,49.060001,48.950001,49.049999,26600,48.08815
2015-09-15,49.080002,49.080002,48.98,49.009998,31900,48.048933
2015-09-14,49.060001,49.080002,48.869999,49.040001,68500,48.078348
2015-09-11,48.91,49.009998,48.849998,49.00,65000,48.039131
2015-09-10,48.77,48.939999,48.77,48.880001,66900,47.921485
2015-09-09,48.98,48.98,48.740002,48.82,43900,47.86266
2015-09-08,48.93,48.93,48.799999,48.869999,41700,47.911679
2015-09-04,48.669998,48.889999,48.669998,48.860001,26300,47.901877
2015-09-03,48.900002,48.900002,48.720001,48.849998,98300,47.892071
2015-09-02,48.830002,48.849998,48.759998,48.82,61000,47.86266
2015-09-01,48.599998,48.849998,48.599998,48.84,48900,47.882269
2015-08-31,48.73,48.830002,48.66,48.77,35500,47.813642
2015-08-28,48.66,48.919998,48.619999,48.830002,118100,47.872466
2015-08-27,48.830002,48.939999,48.470001,48.799999,55700,47.843052
2015-08-26,48.50,48.619999,48.369999,48.490002,114500,47.539134
2015-08-25,48.639999,48.759998,48.27,48.59,105700,47.637171
2015-08-24,48.48,48.709999,48.419998,48.490002,98300,47.539134
2015-08-21,48.810001,48.849998,48.740002,48.799999,38800,47.843052
2015-08-20,48.950001,49.00,48.950001,48.98,43700,47.867563
2015-08-19,48.919998,49.009998,48.91,49.00,30500,47.887109
2015-08-18,48.91,49.00,48.91,48.970001,44400,47.857792
2015-08-17,49.00,49.00,48.91,48.98,47000,47.867563
2015-08-14,48.860001,49.040001,48.84,49.040001,45000,47.926202
2015-08-13,48.939999,48.950001,48.82,48.82,38200,47.711197
2015-08-12,48.900002,48.98,48.900002,48.950001,19800,47.838246
2015-08-11,48.93,49.049999,48.93,49.009998,16600,47.896881
