Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,2.36,2.37,2.33,2.34,43700,2.34
2016-03-10,2.29,2.35,2.29,2.33,50900,2.33
2016-03-09,2.33,2.35,2.28,2.30,22600,2.30
2016-03-08,2.29,2.35,2.28,2.31,53600,2.31
2016-03-07,2.31,2.36,2.27,2.31,37300,2.31
2016-03-04,2.29,2.36,2.29,2.36,22700,2.36
2016-03-03,2.32,2.32,2.30,2.31,29500,2.31
2016-03-02,2.28,2.32,2.27,2.32,34300,2.32
2016-03-01,2.27,2.28,2.26,2.27,139100,2.27
2016-02-29,2.20,2.28,2.20,2.27,56900,2.27
2016-02-26,2.19,2.27,2.15,2.19,53400,2.19
2016-02-25,2.15,2.22,2.15,2.22,28700,2.22
2016-02-24,2.15,2.21,2.13,2.21,41100,2.175
2016-02-23,2.15,2.19,2.12,2.13,77100,2.096267
2016-02-22,2.18,2.22,2.15,2.17,62300,2.135633
2016-02-19,2.25,2.25,2.17,2.19,133900,2.155317
2016-02-18,2.20,2.25,2.20,2.25,81100,2.214366
2016-02-17,2.07,2.27,2.04,2.26,306300,2.224208
2016-02-16,2.20,2.28,2.18,2.27,95000,2.23405
2016-02-12,2.13,2.19,2.10,2.15,231900,2.11595
2016-02-11,2.08,2.16,2.08,2.10,39500,2.066742
2016-02-10,2.26,2.28,2.09,2.09,93400,2.0569
2016-02-09,2.19,2.28,2.19,2.28,20400,2.243891
2016-02-08,2.31,2.33,2.23,2.26,38900,2.224208
2016-02-05,2.41,2.41,2.34,2.38,8300,2.342308
2016-02-04,2.36,2.41,2.36,2.39,6700,2.352149
2016-02-03,2.37,2.37,2.33,2.36,13600,2.322624
2016-02-02,2.42,2.42,2.35,2.35,27500,2.312783
2016-02-01,2.35,2.43,2.35,2.42,31300,2.381674
2016-01-29,2.36,2.38,2.35,2.35,11800,2.312783
2016-01-28,2.38,2.50,2.34,2.37,29400,2.332466
2016-01-27,2.33,2.43,2.32,2.32,90600,2.283258
2016-01-26,2.30,2.39,2.30,2.33,43800,2.258654
2016-01-25,2.31,2.32,2.28,2.30,31900,2.229572
2016-01-22,2.24,2.30,2.23,2.27,56000,2.200491
2016-01-21,2.16,2.23,2.16,2.21,10600,2.142328
2016-01-20,2.22,2.24,2.15,2.18,88500,2.113247
2016-01-19,2.27,2.34,2.21,2.22,78800,2.152022
