Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.05,7.11,7.01,7.09,179200,7.09
2016-03-10,7.04,7.13,7.00,7.05,113700,7.05
2016-03-09,7.02,7.11,6.99,7.06,108800,7.06
2016-03-08,7.09,7.13,6.97,7.02,131200,7.02
2016-03-07,6.95,7.20,6.95,7.11,153800,7.11
2016-03-04,6.99,7.06,6.97,6.97,108600,6.97
2016-03-03,7.03,7.07,6.98,6.99,101400,6.99
2016-03-02,6.99,7.04,6.97,7.01,95100,7.01
2016-03-01,6.96,7.03,6.91,7.02,208000,7.02
2016-02-29,6.73,6.97,6.71,6.93,131300,6.93
2016-02-26,6.66,6.78,6.64,6.73,142500,6.73
2016-02-25,6.61,6.71,6.60,6.65,94700,6.65
2016-02-24,6.61,6.68,6.52,6.58,68400,6.58
2016-02-23,6.51,6.68,6.51,6.61,95000,6.61
2016-02-22,6.65,6.70,6.56,6.58,158500,6.58
2016-02-19,6.76,6.78,6.60,6.67,80100,6.67
2016-02-18,6.62,6.82,6.54,6.77,128100,6.77
2016-02-17,6.53,6.68,6.50,6.56,118400,6.56
2016-02-16,6.60,6.60,6.45,6.54,110600,6.54
2016-02-12,6.49,6.61,6.47,6.54,118900,6.477
2016-02-11,6.52,6.55,6.40,6.46,232000,6.397771
2016-02-10,6.61,6.67,6.52,6.59,127200,6.526519
2016-02-09,6.61,6.70,6.57,6.60,198300,6.536422
2016-02-08,6.85,7.03,6.57,6.71,285200,6.645363
2016-02-05,6.99,7.00,6.82,6.87,208800,6.803821
2016-02-04,7.15,7.18,6.88,6.98,426200,6.912762
2016-02-03,7.27,7.32,7.18,7.24,113200,7.170257
2016-02-02,7.34,7.41,7.19,7.22,151500,7.150449
2016-02-01,7.20,7.45,7.10,7.34,202200,7.269294
2016-01-29,7.35,7.50,7.19,7.26,229200,7.190065
2016-01-28,7.25,7.35,7.23,7.30,88200,7.229679
2016-01-27,7.16,7.31,7.11,7.18,126300,7.110835
