Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,23.65,23.84,23.65,23.84,2200,23.84
2016-03-10,23.889999,23.889999,23.559999,23.85,1400,23.85
2016-03-09,23.796,23.796,23.796,23.796,000,23.796
2016-03-08,23.40,23.796,23.40,23.796,900,23.796
2016-03-07,23.341,23.341,23.341,23.341,200,23.341
2016-03-04,23.34,23.49,23.332001,23.332001,1300,23.332001
2016-03-03,23.35,23.35,23.25,23.299999,1400,23.299999
2016-03-02,23.202,23.34,23.00,23.25,3800,23.25
2016-03-01,22.90,23.00,22.620001,23.00,9000,23.00
2016-02-29,23.16,23.16,22.99,22.99,700,22.99
2016-02-26,23.00,23.00,22.940001,22.969999,2400,22.969999
2016-02-25,23.34,23.34,22.799999,22.950001,3500,22.950001
2016-02-24,23.15,23.360001,22.85,23.360001,6400,23.360001
2016-02-23,23.15,23.15,23.15,23.15,400,23.15
2016-02-22,22.662001,23.15,22.660999,22.711,600,22.711
2016-02-19,23.42,23.42,22.719999,23.23,1500,23.23
2016-02-18,22.51,23.440001,22.51,23.09,1000,23.09
2016-02-17,23.539,23.539,23.539,23.539,1200,23.539
2016-02-16,22.422001,23.200001,22.42,22.42,1300,22.42
2016-02-12,22.99,22.99,22.99,22.99,500,22.854999
2016-02-11,22.993,22.993,22.993,22.993,000,22.857982
2016-02-10,23.389999,23.389999,22.993,22.993,500,22.857982
2016-02-09,23.690001,23.73,22.638,23.549999,3300,23.411711
2016-02-08,23.245001,23.790001,22.700001,23.325001,1300,23.188033
2016-02-05,23.50,23.50,23.50,23.50,000,23.362005
2016-02-04,23.50,23.50,23.50,23.50,000,23.362005
2016-02-03,23.301001,23.709999,23.201,23.50,2600,23.362005
2016-02-02,23.23,23.438999,22.65,23.43,5400,23.292416
2016-02-01,23.51,23.716,22.860001,22.860001,900,22.725764
2016-01-29,23.858999,23.858999,23.858999,23.858999,600,23.718896
2016-01-28,23.50,23.51,23.375999,23.375999,1400,23.238733
2016-01-27,22.75,23.448999,22.75,23.448999,3200,23.311304
2016-01-26,22.41,23.399,22.34,22.999001,7600,22.863947
2016-01-25,23.290001,23.399,22.10,23.239,1600,23.102538
2016-01-22,23.40,23.49,22.74,23.301001,4100,23.164174
2016-01-21,22.25,23.51,22.25,23.51,9500,23.371946
2016-01-20,23.120001,23.50,21.440001,21.610001,33200,21.483104
2016-01-19,23.190001,23.43,22.75,22.950001,3300,22.681028
2016-01-15,23.299,23.299,21.861,22.99,4000,22.720558
2016-01-14,24.40,24.40,23.17,23.50,11900,23.224581
2016-01-13,24.530001,24.870001,23.93,24.02,4600,23.738487
2016-01-12,24.959999,25.030001,24.860001,24.860001,9700,24.568643
2016-01-11,24.822001,25.087999,24.822001,25.087999,3600,24.793969
2016-01-08,24.99,24.99,24.99,24.99,500,24.697118
2016-01-07,24.90,25.108999,24.90,25.00,1900,24.707001
2016-01-06,24.82,24.969,24.82,24.90,1000,24.608173
2016-01-05,25.034,25.034,24.969999,24.969999,1200,24.677352
2016-01-04,24.77,25.030001,24.77,25.028999,900,24.735661
2015-12-31,24.93,24.995001,24.93,24.995001,400,24.702061
2015-12-30,25.030001,25.030001,25.030001,25.030001,000,24.736651
2015-12-29,25.030001,25.030001,25.030001,25.030001,400,24.736651
2015-12-28,24.950001,25.27,24.837999,24.889999,3900,24.59829
2015-12-24,25.00,25.00,25.00,25.00,000,24.707001
2015-12-23,25.15,25.15,25.00,25.00,3500,24.707001
2015-12-22,25.290001,25.290001,25.105,25.105,1000,24.81077
2015-12-21,25.011999,25.25,25.01,25.10,6400,24.80583
2015-12-18,24.91,25.299999,24.450001,25.26,3000,24.963954
2015-12-17,24.721001,24.809999,24.721001,24.809999,2200,24.519228
2015-12-16,24.34,25.00,24.34,25.00,9200,24.707001
2015-12-15,25.360001,25.360001,24.26,24.596001,4200,24.174319
2015-12-14,25.059999,25.124001,24.02,24.959999,8700,24.532077
2015-12-11,25.25,25.274,25.059999,25.160999,6600,24.729631
2015-12-10,25.200001,25.370001,25.18,25.18,3300,24.748306
2015-12-09,25.370001,25.377001,25.17,25.18,2500,24.748306
2015-12-08,25.299999,25.40,25.299999,25.309999,5300,24.876077
2015-12-07,25.25,25.26,25.25,25.25,900,24.817106
2015-12-04,25.209999,25.294001,25.200001,25.209999,700,24.777791
2015-12-03,25.33,25.33,25.17,25.24,1600,24.807277
2015-12-02,25.059999,25.32,25.059999,25.32,5400,24.885905
2015-12-01,25.16,25.25,25.16,25.25,1200,24.817106
2015-11-30,25.18,25.18,25.02,25.030001,5900,24.600878
2015-11-27,25.159,25.17,25.150999,25.150999,600,24.719802
2015-11-25,25.10,25.200001,25.10,25.129999,700,24.699162
2015-11-24,25.24,25.24,25.040001,25.09,6200,24.659849
2015-11-23,25.124001,25.23,25.101999,25.17,5800,24.738477
2015-11-20,25.23,25.243999,25.200001,25.219999,3900,24.78762
2015-11-19,25.27,25.290001,25.27,25.290001,1000,24.856421
2015-11-18,25.200001,25.290001,25.200001,25.25,10100,24.817106
2015-11-17,25.200001,25.25,25.200001,25.25,900,24.817106
2015-11-16,25.108,25.18,25.108,25.17,1100,24.738477
2015-11-13,25.10,25.10,24.92,25.02,5800,24.59105
2015-11-12,25.200001,25.26,25.049999,25.110001,5000,24.546822
2015-11-11,25.049999,25.25,25.049999,25.049999,5100,24.488167
2015-11-10,25.299999,25.379999,25.040001,25.040001,1300,24.478392
2015-11-09,25.379999,25.379999,25.174999,25.200001,3300,24.634804
2015-11-06,25.389999,25.389999,25.07,25.290001,7200,24.722785
2015-11-05,25.290001,25.290001,25.15,25.290001,8400,24.722785
2015-11-04,25.290001,25.290001,25.030001,25.139999,7800,24.576148
2015-11-03,25.00,25.190001,24.860001,25.190001,10300,24.625028
2015-11-02,24.948999,25.049999,24.92,25.049999,3500,24.488167
2015-10-30,24.52,24.950001,24.52,24.85,11300,24.292653
2015-10-29,24.43,24.77,24.40,24.60,28700,24.04826
2015-10-28,24.690001,24.99,24.32,24.50,86600,23.950503
2015-10-27,24.60,24.73,24.40,24.66,12400,24.106914
2015-10-26,24.459999,24.65,24.059999,24.65,12000,24.097138
2015-10-23,24.200001,24.50,24.200001,24.379999,15700,23.833193
2015-10-22,24.489,24.489,24.10,24.370001,9000,23.823419
2015-10-21,24.200001,24.51,24.195,24.440001,20000,23.759876
2015-10-20,24.299999,24.34,24.09,24.09,9500,23.419616
2015-10-19,24.17,24.379999,24.049999,24.24,26700,23.565441
2015-10-16,24.299999,24.450001,23.92,24.08,140500,23.409894
2015-10-15,24.49,24.66,24.209999,24.299999,40400,23.623771
2015-10-14,24.684999,24.684999,24.27,24.32,9100,23.643215
2015-10-13,24.74,24.74,24.60,24.60,3200,23.915423
2015-10-12,24.65,24.82,24.569,24.60,8600,23.915423
2015-10-09,24.780001,24.780001,24.60,24.65,6500,23.964031
2015-10-08,24.621,24.780001,24.59,24.639999,12200,23.954309
2015-10-07,24.799999,25.10,24.51,24.51,107900,23.827928
2015-10-06,24.940001,24.940001,24.77,24.77,1800,24.080693
2015-10-05,24.92,25.02,24.780001,24.82,26400,24.1293
2015-10-02,24.879999,25.00,24.85,24.959999,27500,24.265404
2015-10-01,25.049999,25.27,24.90,24.940001,156000,24.245962
2015-09-30,25.219999,25.23,24.709999,24.90,51500,24.207074
2015-09-29,24.83,25.42,24.74,25.07,185200,24.372343
2015-09-28,25.139999,25.139999,24.766001,24.870001,8200,24.17791
2015-09-25,25.25,25.25,25.049999,25.15,18200,24.450117
2015-09-24,25.24,25.24,25.10,25.18,2400,24.479283
2015-09-23,25.26,25.290001,25.129999,25.16,11900,24.459839
2015-09-22,25.32,25.40,25.15,25.15,31400,24.450117
2015-09-21,25.49,25.530001,25.25,25.25,34500,24.547335
2015-09-18,25.60,25.917,25.290001,25.41,84600,24.702882
2015-09-17,25.16,26.74,25.040001,25.52,333200,24.809821
2015-09-16,25.15,25.440001,25.15,25.200001,75900,24.367485
2015-09-15,25.15,25.27,25.120001,25.16,32600,24.328805
2015-09-14,25.10,25.219999,25.10,25.15,2800,24.319135
2015-09-11,25.41,25.41,25.02,25.15,45800,24.319135
2015-09-10,25.24,25.75,25.014,25.549999,211700,24.70592
2015-09-09,25.35,25.360001,24.879999,25.110001,78900,24.280458
2015-09-08,25.280001,25.398001,25.16,25.209999,79200,24.377153
2015-09-04,25.17,25.389999,25.110001,25.280001,81800,24.444842
2015-09-03,25.35,25.41,25.110001,25.139999,109600,24.309466
2015-09-02,25.02,25.440001,24.92,25.370001,126200,24.531869
2015-09-01,25.09,25.200001,24.76,24.93,106500,24.106404
2015-08-31,24.940001,25.360001,24.629999,25.049999,176500,24.222439
2015-08-28,25.184,25.25,24.681999,25.01,90900,24.183761
2015-08-27,25.309999,25.309999,24.879999,25.049999,8400,24.222439
2015-08-26,25.379999,25.43,25.049999,25.15,58700,24.319135
2015-08-25,25.370001,25.450001,24.896,25.190001,138100,24.357815
2015-08-24,25.10,25.10,24.950001,24.99,56400,24.164421
2015-08-21,25.238001,25.238001,25.238001,25.238001,200,24.404229
2015-08-20,25.139999,25.48,25.10,25.360001,107700,24.522199
2015-08-19,25.120001,25.219999,25.08,25.200001,68700,24.367485
2015-08-18,25.219999,25.24,25.136,25.16,5100,24.328805
2015-08-17,25.120001,25.474001,25.120001,25.445,79400,24.473849
2015-08-14,25.42,25.43,25.23,25.24,37300,24.276674
2015-08-13,25.190001,25.370001,25.15,25.360001,18400,24.392095
2015-08-12,25.24,25.389999,25.235001,25.35,1900,24.382476
2015-08-11,25.24,25.440001,25.17,25.370001,50900,24.401713
2015-08-10,25.469999,25.469999,25.25,25.26,2800,24.295911
