Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,22.65,22.65,22.49,22.50,61000,22.50
2016-03-10,22.59,22.65,22.469999,22.65,67600,22.511999
2016-03-09,22.42,22.65,22.42,22.620001,43500,22.482183
2016-03-08,22.459999,22.459999,22.35,22.42,52900,22.283401
2016-03-07,22.440001,22.440001,22.26,22.32,94100,22.18401
2016-03-04,22.27,22.40,22.23,22.360001,80400,22.223767
2016-03-03,22.26,22.290001,22.16,22.27,44800,22.134315
2016-03-02,22.23,22.290001,22.10,22.16,53600,22.024985
2016-03-01,22.32,22.35,22.190001,22.24,98000,22.104498
2016-02-29,22.18,22.32,22.07,22.32,105400,22.18401
2016-02-26,22.35,22.35,22.09,22.18,87500,22.044864
2016-02-25,22.24,22.360001,22.24,22.360001,50700,22.223767
2016-02-24,22.08,22.24,22.08,22.23,114100,22.094558
2016-02-23,21.92,22.10,21.84,22.059999,109600,21.925594
2016-02-22,21.959999,21.98,21.889999,21.90,70500,21.766569
2016-02-19,21.82,22.040001,21.77,21.940001,65700,21.806326
2016-02-18,21.719999,21.860001,21.690001,21.77,90900,21.637362
2016-02-17,21.65,21.700001,21.559999,21.68,124800,21.54791
2016-02-16,21.73,21.77,21.549999,21.559999,111400,21.42864
2016-02-12,21.809999,21.809999,21.58,21.709999,117400,21.577726
2016-02-11,22.07,22.139999,21.780001,21.790001,171600,21.65724
2016-02-10,22.049999,22.190001,22.040001,22.16,107100,22.024985
2016-02-09,21.92,22.33,21.65,22.200001,506400,21.927584
2016-02-08,23.469999,23.559999,22.209999,22.379999,430000,22.105373
2016-02-05,23.50,23.610001,23.360001,23.41,43900,23.122735
2016-02-04,23.870001,23.889999,23.540001,23.57,108300,23.280771
2016-02-03,23.10,23.76,22.98,23.700001,86400,23.409177
2016-02-02,22.91,23.379999,22.91,23.34,86800,23.053594
2016-02-01,22.42,22.799999,22.42,22.780001,62000,22.500466
2016-01-29,22.50,22.610001,22.40,22.610001,74900,22.332552
2016-01-28,22.440001,22.469999,22.40,22.469999,42000,22.194269
2016-01-27,22.42,22.440001,22.33,22.379999,47400,22.105373
2016-01-26,22.389999,22.48,22.290001,22.450001,49800,22.174516
2016-01-25,22.40,22.42,22.26,22.27,95100,21.996724
2016-01-22,22.50,22.51,22.35,22.43,104700,22.154761
2016-01-21,22.360001,22.370001,22.18,22.370001,74600,22.095498
2016-01-20,22.389999,22.440001,22.16,22.34,74900,22.065865
2016-01-19,22.35,22.50,22.26,22.370001,115600,22.095498
2016-01-15,22.049999,22.34,22.040001,22.32,65500,22.04611
2016-01-14,21.940001,22.15,21.84,22.09,73100,21.818933
2016-01-13,21.860001,21.870001,21.75,21.85,60100,21.581878
2016-01-12,21.969999,21.969999,21.82,21.92,73100,21.514712
2016-01-11,21.809999,21.92,21.75,21.879999,46100,21.475451
2016-01-08,21.940001,21.940001,21.799999,21.879999,77600,21.475451
2016-01-07,21.940001,21.940001,21.66,21.93,94100,21.524527
2016-01-06,21.99,22.049999,21.91,21.940001,63200,21.534343
2016-01-05,21.74,21.950001,21.690001,21.879999,52600,21.475451
2016-01-04,21.32,21.780001,21.32,21.700001,128400,21.29878
2015-12-31,21.49,21.65,21.32,21.32,98100,20.925805
2015-12-30,21.66,21.66,21.52,21.58,53800,21.180998
2015-12-29,21.73,21.73,21.559999,21.59,83700,21.190814
2015-12-28,21.879999,21.93,21.620001,21.68,143000,21.27915
2015-12-24,21.91,21.969999,21.860001,21.889999,26400,21.485266
2015-12-23,21.90,22.15,21.85,22.08,88500,21.671754
2015-12-22,21.889999,22.139999,21.860001,21.91,78200,21.504897
2015-12-21,21.75,21.940001,21.75,21.940001,50600,21.534343
2015-12-18,21.719999,21.799999,21.67,21.74,64000,21.33804
2015-12-17,21.60,21.83,21.59,21.700001,53200,21.29878
2015-12-16,21.629999,21.639999,21.26,21.559999,81100,21.161368
2015-12-15,21.65,21.75,21.530001,21.57,43600,21.171183
2015-12-14,22.209999,22.23,21.700001,21.700001,49500,21.29878
2015-12-11,22.200001,22.290001,22.15,22.24,25300,21.828795
2015-12-10,22.41,22.49,22.00,22.33,83100,21.781682
2015-12-09,22.34,22.41,22.27,22.41,30600,21.859718
2015-12-08,22.049999,22.389999,21.93,22.35,46700,21.801192
2015-12-07,21.98,22.07,21.83,22.059999,43500,21.518312
2015-12-04,21.82,22.07,21.75,22.07,50600,21.528066
2015-12-03,22.00,22.00,21.719999,21.74,59900,21.20617
2015-12-02,22.290001,22.299999,22.07,22.09,54900,21.547576
2015-12-01,22.049999,22.299999,21.99,22.299999,59900,21.752418
2015-11-30,21.76,21.950001,21.709999,21.93,75200,21.391505
2015-11-27,21.629999,21.709999,21.57,21.66,29200,21.128134
2015-11-25,21.389999,21.85,21.34,21.530001,135500,21.001327
2015-11-24,21.299999,21.52,21.26,21.34,74500,20.815992
2015-11-23,21.33,21.33,21.15,21.26,37700,20.737957
2015-11-20,21.32,21.33,21.25,21.280001,21000,20.757466
2015-11-19,21.299999,21.360001,21.26,21.27,38700,20.747711
2015-11-18,21.23,21.299999,21.209999,21.26,30500,20.737957
2015-11-17,21.27,21.309999,21.200001,21.200001,41800,20.67943
2015-11-16,21.290001,21.360001,21.200001,21.280001,50900,20.757466
2015-11-13,21.35,21.379999,21.200001,21.24,41700,20.718447
2015-11-12,21.25,21.40,21.25,21.309999,59600,20.786728
2015-11-11,21.26,21.360001,21.24,21.25,42200,20.728202
2015-11-10,21.219999,21.450001,21.219999,21.360001,40200,20.835501
