Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.50,5.60,5.48,5.54,709900,5.54
2016-03-10,5.41,5.47,5.39,5.47,544300,5.47
2016-03-09,5.30,5.40,5.21,5.35,495300,5.35
2016-03-08,5.56,5.60,5.32,5.39,567800,5.39
2016-03-07,5.48,5.55,5.47,5.54,763300,5.54
2016-03-04,5.37,5.50,5.36,5.42,886700,5.42
2016-03-03,5.12,5.38,5.10,5.36,757600,5.36
2016-03-02,5.02,5.12,5.02,5.12,355600,5.12
2016-03-01,5.10,5.12,4.96,5.04,387400,5.04
2016-02-29,5.00,5.08,4.93,5.08,473500,5.08
2016-02-26,5.05,5.13,4.90,4.98,669300,4.98
2016-02-25,4.97,5.02,4.92,5.02,414100,5.02
2016-02-24,4.95,5.01,4.90,4.97,635900,4.97
2016-02-23,4.85,4.88,4.82,4.87,669000,4.87
2016-02-22,4.80,4.83,4.73,4.82,653300,4.82
2016-02-19,4.81,4.84,4.75,4.81,416200,4.81
2016-02-18,4.64,4.84,4.64,4.83,532500,4.83
2016-02-17,4.60,4.69,4.56,4.69,581500,4.69
2016-02-16,4.60,4.65,4.51,4.51,939700,4.51
2016-02-12,4.63,4.65,4.54,4.63,339600,4.63
2016-02-11,4.61,4.63,4.47,4.61,1055200,4.61
2016-02-10,4.37,4.41,4.30,4.38,483900,4.38
2016-02-09,4.75,4.80,4.46,4.49,1485100,4.42
2016-02-08,4.73,4.82,4.73,4.79,1109600,4.715323
2016-02-05,4.65,4.73,4.50,4.73,664500,4.656258
2016-02-04,4.65,4.70,4.56,4.70,750100,4.626726
2016-02-03,4.31,4.54,4.26,4.53,774400,4.459377
2016-02-02,4.25,4.33,4.25,4.25,626700,4.183742
2016-02-01,4.32,4.42,4.30,4.41,391100,4.341247
2016-01-29,4.27,4.33,4.26,4.31,563800,4.242806
2016-01-28,4.21,4.33,4.21,4.29,372400,4.223118
2016-01-27,4.17,4.26,4.13,4.22,396500,4.154209
2016-01-26,4.07,4.21,4.02,4.20,584800,4.134521
