Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.16,7.35,7.16,7.33,74400,7.33
2016-03-10,7.18,7.30,7.01,7.11,95200,7.11
2016-03-09,7.04,7.38,7.03,7.32,145600,7.32
2016-03-08,7.16,7.18,7.00,7.02,125600,7.02
2016-03-07,7.10,7.34,7.03,7.09,219200,7.09
2016-03-04,6.97,7.25,6.94,7.00,185900,7.00
2016-03-03,6.69,7.06,6.65,6.91,164100,6.91
2016-03-02,6.67,6.79,6.63,6.75,102300,6.75
2016-03-01,6.89,6.93,6.68,6.71,127600,6.71
2016-02-29,6.62,6.94,6.59,6.82,195500,6.82
2016-02-26,6.41,6.59,6.35,6.55,109100,6.55
2016-02-25,6.36,6.42,6.23,6.42,76700,6.42
2016-02-24,6.12,6.46,6.12,6.37,114400,6.37
2016-02-23,6.11,6.24,6.11,6.15,78000,6.15
2016-02-22,6.15,6.27,6.10,6.17,114300,6.17
2016-02-19,6.09,6.18,6.03,6.18,54500,6.18
2016-02-18,6.18,6.29,6.10,6.18,81300,6.18
2016-02-17,6.38,6.38,6.08,6.18,128500,6.18
2016-02-16,5.99,6.32,5.94,6.32,151100,6.32
2016-02-12,5.65,6.00,5.63,5.99,123200,5.92
2016-02-11,5.84,5.91,5.63,5.73,196600,5.663038
2016-02-10,5.65,5.94,5.60,5.92,152300,5.850818
2016-02-09,5.99,6.00,5.58,5.71,234000,5.643272
2016-02-08,6.00,6.25,5.63,6.20,328500,6.127546
2016-02-05,6.13,6.20,6.05,6.06,65100,5.989182
2016-02-04,6.13,6.28,6.11,6.16,80200,6.088013
2016-02-03,6.08,6.28,5.98,6.24,134300,6.167078
2016-02-02,6.33,6.36,5.95,5.99,205800,5.92
2016-02-01,6.02,6.37,5.95,6.33,193700,6.256027
2016-01-29,6.37,6.37,6.02,6.05,232000,5.979299
2016-01-28,6.31,6.49,6.24,6.32,130500,6.246144
2016-01-27,5.98,6.28,5.98,6.22,116600,6.147312
2016-01-26,5.79,6.13,5.77,6.07,209300,5.999065
2016-01-25,6.07,6.08,5.72,5.81,185200,5.742103
2016-01-22,5.75,6.15,5.71,6.07,327400,5.999065
2016-01-21,5.11,6.28,5.11,5.77,658300,5.702571
2016-01-20,4.96,5.03,4.74,4.97,336000,4.91192
2016-01-19,4.87,5.22,4.87,5.02,434100,4.892154
2016-01-15,5.10,5.25,4.71,4.87,505200,4.745974
2016-01-14,6.09,6.10,4.81,5.33,1021200,5.194259
2016-01-13,6.29,6.44,6.15,6.19,315500,6.032357
2016-01-12,6.94,6.98,6.21,6.45,450200,6.285735
2016-01-11,7.07,7.07,6.91,6.92,179900,6.743766
2016-01-08,7.05,7.14,7.00,7.07,123800,6.889946
2016-01-07,7.06,7.12,6.95,7.03,170000,6.850964
2016-01-06,7.19,7.26,7.15,7.22,109500,7.036125
2016-01-05,7.40,7.46,7.21,7.31,72400,7.123833
2016-01-04,7.20,7.39,7.17,7.38,126500,7.192051
2015-12-31,7.14,7.38,7.10,7.31,163400,7.123833
2015-12-30,7.08,7.15,7.00,7.13,127900,6.948418
2015-12-29,7.15,7.23,7.00,7.14,188100,6.958163
2015-12-28,7.37,7.42,7.10,7.10,185000,6.919181
