Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.988,10.999,10.87,10.89,22100,10.89
2016-03-10,10.93,11.00,10.887,10.99,26000,10.99
2016-03-09,10.93,10.949,10.86,10.899,12300,10.899
2016-03-08,10.94,11.00,10.94,10.98,41700,10.98
2016-03-07,11.02,11.02,10.87,10.88,103700,10.88
2016-03-04,10.92,10.98,10.89,10.929,31300,10.929
2016-03-03,10.88,10.89,10.87,10.886,10100,10.886
2016-03-02,10.78,10.808,10.778,10.808,4700,10.808
2016-03-01,10.76,10.784,10.75,10.766,6800,10.766
2016-02-29,10.79,10.80,10.74,10.80,4900,10.80
2016-02-26,10.80,10.80,10.678,10.745,11300,10.745
2016-02-25,10.76,10.78,10.741,10.76,3900,10.76
2016-02-24,10.73,10.828,10.68,10.73,22700,10.73
2016-02-23,10.64,10.74,10.612,10.66,19200,10.66
2016-02-22,10.48,10.66,10.48,10.62,15600,10.62
2016-02-19,10.712,10.712,10.63,10.634,18800,10.634
2016-02-18,10.61,10.717,10.57,10.66,6600,10.66
2016-02-17,10.75,10.803,10.75,10.78,47800,10.613
2016-02-16,10.82,10.82,10.70,10.71,18100,10.544084
2016-02-12,10.70,10.883,10.70,10.78,20600,10.613
2016-02-11,11.09,11.09,10.78,10.82,43400,10.65238
2016-02-10,10.73,10.817,10.73,10.817,8900,10.649427
2016-02-09,10.86,10.86,10.74,10.75,21100,10.583465
2016-02-08,10.77,10.87,10.74,10.783,56400,10.615953
2016-02-05,11.05,11.05,10.752,10.82,12000,10.65238
2016-02-04,10.78,10.843,10.749,10.843,41300,10.675024
2016-02-03,10.752,10.79,10.742,10.742,8700,10.575588
2016-02-02,10.75,10.759,10.69,10.725,11500,10.558852
2016-02-01,10.70,10.76,10.70,10.743,20700,10.576573
2016-01-29,10.641,10.73,10.641,10.70,22100,10.534239
2016-01-28,10.65,10.69,10.63,10.69,30400,10.524394
2016-01-27,10.676,10.70,10.634,10.70,8100,10.534239
2016-01-26,10.72,10.72,10.64,10.71,14700,10.544084
2016-01-25,10.65,10.65,10.60,10.64,15500,10.475169
2016-01-22,10.57,10.57,10.556,10.556,4400,10.39247
2016-01-21,10.52,10.59,10.48,10.579,20300,10.415114
2016-01-20,10.62,10.62,10.55,10.58,13700,10.416098
2016-01-19,10.45,10.50,10.45,10.48,30300,10.317647
2016-01-15,10.46,10.519,10.45,10.479,37900,10.316663
2016-01-14,10.57,10.59,10.41,10.472,19700,10.233964
2016-01-13,10.619,10.63,10.542,10.564,6900,10.323873
2016-01-12,10.60,10.60,10.52,10.531,7800,10.291623
2016-01-11,10.65,10.65,10.542,10.60,7600,10.359055
2016-01-08,10.63,10.65,10.607,10.65,14200,10.407918
2016-01-07,10.61,10.74,10.61,10.68,112900,10.437236
2016-01-06,10.49,10.61,10.49,10.57,25700,10.329736
