Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.40,9.46,9.37,9.46,106100,9.46
2016-03-10,9.45,9.45,9.29,9.31,90400,9.31
2016-03-09,9.32,9.41,9.30,9.40,85600,9.40
2016-03-08,9.43,9.48,9.32,9.32,78200,9.32
2016-03-07,9.39,9.46,9.36,9.44,128200,9.44
2016-03-04,9.37,9.44,9.37,9.42,84200,9.42
2016-03-03,9.26,9.37,9.24,9.37,84800,9.37
2016-03-02,9.31,9.31,9.21,9.23,77600,9.23
2016-03-01,9.23,9.33,9.14,9.33,179500,9.33
2016-02-29,9.15,9.21,9.10,9.15,80600,9.15
2016-02-26,9.06,9.12,9.02,9.12,70000,9.12
2016-02-25,8.92,9.08,8.87,9.08,76100,9.08
2016-02-24,8.92,8.96,8.85,8.85,102000,8.85
2016-02-23,9.05,9.05,8.89,8.97,66100,8.97
2016-02-22,9.08,9.11,9.00,9.04,96800,9.04
2016-02-19,8.99,8.99,8.90,8.94,72600,8.94
2016-02-18,9.08,9.08,8.94,9.01,79300,9.01
2016-02-17,9.05,9.06,8.94,9.02,106000,9.02
2016-02-16,9.04,9.04,8.91,9.04,84800,8.94
2016-02-12,8.96,9.00,8.80,9.00,115500,8.900442
2016-02-11,8.78,8.98,8.67,8.82,216300,8.722433
2016-02-10,8.90,8.99,8.84,8.88,79200,8.78177
2016-02-09,8.91,8.96,8.84,8.87,169200,8.77188
2016-02-08,9.15,9.15,8.91,8.95,162500,8.850995
2016-02-05,9.45,9.45,9.19,9.25,108900,9.147677
2016-02-04,9.37,9.47,9.30,9.47,114500,9.365243
2016-02-03,9.43,9.44,9.30,9.44,162300,9.335575
2016-02-02,9.43,9.43,9.32,9.34,112400,9.236681
2016-02-01,9.39,9.52,9.34,9.51,309400,9.404801
2016-01-29,9.35,9.45,9.27,9.40,199800,9.296017
2016-01-28,9.18,9.27,9.15,9.25,163400,9.147677
2016-01-27,9.24,9.26,9.14,9.14,110600,9.038894
2016-01-26,9.08,9.23,9.05,9.20,148900,9.09823
2016-01-25,9.09,9.25,9.04,9.12,162600,9.019115
2016-01-22,9.02,9.27,9.02,9.25,265800,9.147677
2016-01-21,8.95,9.06,8.94,8.97,917200,8.870774
2016-01-20,8.95,9.07,8.88,8.94,969400,8.841106
2016-01-19,9.36,9.36,9.20,9.27,392200,9.167456
2016-01-15,9.51,9.52,9.24,9.24,780200,9.137787
2016-01-14,9.63,9.74,9.53,9.72,172500,9.612478
2016-01-13,9.94,9.99,9.62,9.65,187100,9.543252
2016-01-12,10.00,10.11,9.94,10.05,282700,9.839934
2016-01-11,10.10,10.10,9.90,10.03,170800,9.820352
2016-01-08,10.28,10.48,10.03,10.04,142900,9.830143
2016-01-07,10.14,10.14,10.03,10.09,223900,9.879098
2016-01-06,10.26,10.26,10.17,10.22,205600,10.006381
2016-01-05,10.37,10.49,10.26,10.29,214600,10.074917
2016-01-04,10.16,10.34,10.13,10.29,299300,10.074917
2015-12-31,10.35,10.52,10.35,10.44,260500,10.221782
2015-12-30,10.51,10.52,10.44,10.47,222100,10.251155
2015-12-29,10.50,10.58,10.50,10.51,280600,10.290319
2015-12-28,10.55,10.55,10.45,10.51,151600,10.290319
2015-12-24,10.46,10.55,10.45,10.55,157200,10.329483
2015-12-23,10.45,10.58,10.45,10.51,344600,10.290319
2015-12-22,10.35,10.46,10.35,10.44,237600,10.221782
2015-12-21,10.37,10.39,10.29,10.35,232200,10.133664
2015-12-18,10.34,10.39,10.30,10.33,242700,10.114081
2015-12-17,10.38,10.42,10.30,10.36,330700,10.143454
2015-12-16,10.34,10.40,10.30,10.40,198000,10.182618
2015-12-15,10.26,10.38,10.26,10.35,281600,10.035754
2015-12-14,10.38,10.44,10.20,10.25,307100,9.938789
2015-12-11,10.50,10.50,10.32,10.36,261900,10.045449
2015-12-10,10.60,10.63,10.54,10.57,122300,10.249073
2015-12-09,10.62,10.71,10.56,10.59,198400,10.268466
2015-12-08,10.51,10.64,10.51,10.62,263200,10.297555
2015-12-07,10.81,10.82,10.64,10.64,178400,10.316949
2015-12-04,10.80,10.88,10.78,10.85,376600,10.520573
2015-12-03,10.95,10.99,10.84,10.86,103100,10.530268
2015-12-02,11.01,11.05,10.98,10.98,114700,10.646625
2015-12-01,10.88,11.05,10.88,11.05,211900,10.7145
2015-11-30,10.97,10.98,10.85,10.85,182900,10.520573
2015-11-27,10.86,10.94,10.82,10.93,31100,10.598144
2015-11-25,11.00,11.00,10.87,10.87,105700,10.539965
2015-11-24,10.93,11.01,10.90,10.99,99500,10.656321
2015-11-23,10.97,11.00,10.92,10.94,111500,10.607839
2015-11-20,11.00,11.06,10.92,10.95,90000,10.617536
2015-11-19,11.02,11.06,11.00,11.00,106500,10.666018
2015-11-18,10.94,11.02,10.94,11.00,91200,10.666018
2015-11-17,11.03,11.04,10.94,10.96,83800,10.627232
2015-11-16,11.09,11.17,11.05,11.11,96100,10.675714
2015-11-13,11.09,11.09,11.05,11.06,68300,10.627669
2015-11-12,11.14,11.17,11.08,11.11,53800,10.675714
2015-11-11,11.28,11.29,11.16,11.16,77000,10.72376
2015-11-10,11.27,11.35,11.27,11.29,112600,10.848678
2015-11-09,11.50,11.55,11.32,11.33,149300,10.887115
2015-11-06,11.57,11.64,11.50,11.52,238300,11.069688
2015-11-05,11.40,11.57,11.40,11.55,578100,11.098515
2015-11-04,11.21,11.40,11.13,11.39,811900,10.94477
2015-11-03,11.30,11.31,11.19,11.21,154500,10.771805
2015-11-02,11.29,11.39,11.20,11.36,178600,10.915942
2015-10-30,11.14,11.32,11.12,11.25,232500,10.810242
2015-10-29,11.13,11.15,11.07,11.09,97600,10.656496
2015-10-28,11.04,11.17,11.04,11.14,80400,10.704542
2015-10-27,11.13,11.15,11.07,11.09,79000,10.656496
2015-10-26,11.26,11.29,11.13,11.13,83100,10.694933
2015-10-23,11.44,11.44,11.31,11.31,64400,10.867897
2015-10-22,11.39,11.41,11.31,11.32,156600,10.877505
2015-10-21,11.46,11.46,11.32,11.32,80600,10.877505
2015-10-20,11.44,11.45,11.37,11.40,119600,10.954378
2015-10-19,11.27,11.41,11.25,11.41,299400,10.963987
2015-10-16,11.19,11.29,11.19,11.29,271300,10.848678
2015-10-15,10.98,11.17,10.95,11.17,321600,10.733369
2015-10-14,10.92,10.98,10.87,10.94,178500,10.512359
2015-10-13,11.10,11.12,11.02,11.02,108000,10.493142
2015-10-12,11.08,11.14,11.07,11.09,96000,10.559795
2015-10-09,11.16,11.16,11.05,11.12,189400,10.58836
2015-10-08,11.00,11.16,11.00,11.14,134800,10.607405
2015-10-07,10.91,11.12,10.87,11.08,358700,10.550273
2015-10-06,10.90,10.96,10.89,10.94,94400,10.416966
2015-10-05,10.80,10.99,10.80,10.98,128000,10.455053
2015-10-02,10.63,10.79,10.62,10.79,176800,10.274138
2015-10-01,10.71,10.72,10.62,10.70,166300,10.18844
2015-09-30,10.72,10.78,10.70,10.70,252800,10.18844
2015-09-29,10.71,10.79,10.63,10.65,204000,10.140831
2015-09-28,10.89,10.91,10.72,10.76,265000,10.245572
2015-09-25,11.00,11.08,10.95,10.97,93500,10.445532
2015-09-24,10.93,10.99,10.90,10.99,94200,10.464576
2015-09-23,10.99,11.05,10.99,11.02,69700,10.493142
2015-09-22,11.06,11.06,10.97,11.01,94100,10.48362
2015-09-21,11.10,11.19,11.09,11.10,52000,10.569317
2015-09-18,11.14,11.17,11.06,11.07,101500,10.540751
2015-09-17,11.14,11.25,11.13,11.19,67700,10.655014
2015-09-16,11.14,11.19,11.06,11.18,56700,10.645492
2015-09-15,11.15,11.23,11.15,11.21,102800,10.578838
2015-09-14,11.21,11.21,11.12,11.14,104000,10.51278
2015-09-11,11.16,11.18,11.12,11.18,85500,10.550528
2015-09-10,11.17,11.22,11.14,11.20,120000,10.569401
2015-09-09,11.34,11.34,11.12,11.16,143100,10.531653
2015-09-08,11.26,11.30,11.23,11.25,294100,10.616586
2015-09-04,11.07,11.14,11.03,11.14,166200,10.51278
2015-09-03,11.17,11.26,11.17,11.22,257700,10.588276
2015-09-02,11.01,11.17,10.96,11.17,335200,10.541091
2015-09-01,10.95,11.03,10.88,10.94,365900,10.32404
2015-08-31,11.24,11.25,11.16,11.17,408100,10.541091
2015-08-28,11.19,11.30,11.15,11.27,251400,10.635461
2015-08-27,11.24,11.37,11.23,11.29,635100,10.654334
2015-08-26,11.23,11.34,11.13,11.22,429200,10.588276
2015-08-25,11.34,11.38,11.13,11.16,507800,10.531653
2015-08-24,11.16,11.18,10.86,11.15,199300,10.522216
2015-08-21,11.81,11.92,11.55,11.64,162700,10.984628
2015-08-20,12.03,12.16,11.92,11.92,116200,11.248863
2015-08-19,12.10,12.12,12.03,12.08,71800,11.399854
2015-08-18,12.13,12.13,12.07,12.11,77300,11.428165
2015-08-17,11.99,12.10,11.99,12.10,61100,11.418729
2015-08-14,12.09,12.15,12.07,12.15,144000,11.371544
2015-08-13,12.13,12.19,11.98,12.07,101500,11.296669
2015-08-12,11.99,12.12,11.96,12.12,77800,11.343466
2015-08-11,12.15,12.16,12.05,12.08,109600,11.306029
2015-08-10,12.23,12.27,12.20,12.23,55700,11.446418
2015-08-07,12.28,12.28,12.20,12.20,38100,11.41834
2015-08-06,12.31,12.36,12.25,12.28,62100,11.493214
2015-08-05,12.44,12.49,12.32,12.36,64700,11.568089
2015-08-04,12.45,12.46,12.38,12.43,55900,11.633604
2015-08-03,12.32,12.43,12.27,12.41,91700,11.614885
2015-07-31,12.36,12.36,12.26,12.31,102300,11.521293
2015-07-30,12.24,12.33,12.24,12.27,42800,11.483856
2015-07-29,12.20,12.33,12.15,12.30,136500,11.511933
2015-07-28,12.08,12.23,12.08,12.16,51100,11.380903
2015-07-27,12.18,12.22,12.07,12.07,58200,11.296669
2015-07-24,12.35,12.36,12.26,12.26,18800,11.474496
2015-07-23,12.40,12.40,12.31,12.36,93200,11.568089
2015-07-22,12.35,12.37,12.30,12.33,53700,11.540011
2015-07-21,12.36,12.36,12.30,12.36,70800,11.568089
2015-07-20,12.42,12.42,12.35,12.35,61600,11.55873
2015-07-17,12.39,12.39,12.32,12.39,40400,11.596167
2015-07-16,12.39,12.40,12.30,12.39,82100,11.596167
2015-07-15,12.37,12.39,12.31,12.36,100100,11.568089
2015-07-14,12.39,12.47,12.39,12.44,55300,11.54937
2015-07-13,12.32,12.42,12.32,12.40,45000,11.512233
2015-07-10,12.34,12.34,12.24,12.28,98200,11.400825
2015-07-09,12.33,12.36,12.19,12.23,91300,11.354404
2015-07-08,12.26,12.30,12.18,12.22,140600,11.345121
2015-07-07,12.32,12.40,12.18,12.38,186400,11.493666
2015-07-06,12.18,12.27,12.15,12.27,77500,11.391541
2015-07-02,12.28,12.30,12.16,12.25,101400,11.372973
2015-07-01,12.12,12.29,12.09,12.29,159100,11.410109
2015-06-30,12.18,12.18,12.05,12.05,185100,11.187292
2015-06-29,12.26,12.27,12.05,12.05,98400,11.187292
2015-06-26,12.41,12.41,12.33,12.37,116700,11.484381
2015-06-25,12.39,12.42,12.35,12.38,53000,11.493666
2015-06-24,12.40,12.44,12.37,12.40,43100,11.512233
2015-06-23,12.46,12.49,12.42,12.44,65500,11.54937
2015-06-22,12.44,12.46,12.42,12.44,80900,11.54937
2015-06-19,12.40,12.49,12.36,12.38,72500,11.493666
2015-06-18,12.38,12.47,12.38,12.44,106300,11.54937
2015-06-17,12.42,12.48,12.35,12.39,45500,11.50295
2015-06-16,12.36,12.43,12.35,12.43,64800,11.540086
2015-06-15,12.44,12.48,12.41,12.46,74500,11.475098
2015-06-12,12.49,12.49,12.42,12.47,93900,11.484308
2015-06-11,12.50,12.52,12.48,12.48,76300,11.493517
2015-06-10,12.49,12.53,12.46,12.50,74100,11.511936
2015-06-09,12.41,12.45,12.39,12.44,71300,11.456678
2015-06-08,12.50,12.51,12.38,12.44,80600,11.456678
2015-06-05,12.41,12.48,12.41,12.48,161600,11.493517
2015-06-04,12.43,12.46,12.38,12.46,149100,11.475098
2015-06-03,12.41,12.47,12.40,12.47,141500,11.484308
2015-06-02,12.38,12.48,12.37,12.48,69100,11.493517
2015-06-01,12.30,12.46,12.29,12.42,167900,11.43826
2015-05-29,12.44,12.44,12.20,12.20,115200,11.235649
2015-05-28,12.45,12.45,12.36,12.40,155000,11.41984
2015-05-27,12.47,12.51,12.47,12.50,90100,11.511936
2015-05-26,12.53,12.57,12.42,12.46,58700,11.475098
2015-05-22,12.54,12.60,12.51,12.54,86400,11.548774
2015-05-21,12.55,12.60,12.49,12.58,73600,11.585612
2015-05-20,12.50,12.56,12.43,12.56,90000,11.567194
2015-05-19,12.41,12.47,12.40,12.47,81800,11.484308
2015-05-18,12.37,12.42,12.30,12.40,56800,11.41984
2015-05-15,12.37,12.37,12.30,12.36,113100,11.383002
2015-05-14,12.27,12.34,12.27,12.34,82800,11.364583
2015-05-13,12.36,12.38,12.31,12.33,1116100,11.263278
2015-05-12,12.35,12.37,12.28,12.37,952800,11.299817
2015-05-11,12.38,12.41,12.32,12.36,152000,11.290682
2015-05-08,12.38,12.42,12.36,12.42,79300,11.345492
2015-05-07,12.23,12.29,12.23,12.28,287000,11.217603
2015-05-06,12.32,12.37,12.24,12.27,585500,11.208469
2015-05-05,12.46,12.49,12.32,12.35,107300,11.281548
2015-05-04,12.55,12.64,12.50,12.50,112300,11.418571
2015-05-01,12.49,12.60,12.45,12.60,146700,11.509919
2015-04-30,12.55,12.55,12.42,12.47,108300,11.391166
2015-04-29,12.47,12.59,12.47,12.52,74900,11.436841
2015-04-28,12.58,12.62,12.45,12.62,100900,11.528189
2015-04-27,12.71,12.74,12.63,12.63,56900,11.537324
2015-04-24,12.73,12.75,12.67,12.74,45500,11.637807
2015-04-23,12.85,12.85,12.75,12.75,69700,11.646942
2015-04-22,12.75,12.81,12.72,12.81,99700,11.701752
2015-04-21,12.71,12.76,12.61,12.70,105300,11.601268
2015-04-20,12.69,12.73,12.68,12.71,61200,11.610403
2015-04-17,12.72,12.72,12.60,12.64,52300,11.546459
2015-04-16,12.82,12.86,12.70,12.73,97000,11.628672
2015-04-15,12.73,12.86,12.73,12.86,154400,11.747425
2015-04-14,12.74,12.84,12.73,12.82,85900,11.619537
2015-04-13,12.81,12.85,12.71,12.74,61200,11.547028
2015-04-10,12.82,12.82,12.74,12.75,115600,11.556092
2015-04-09,12.60,12.78,12.60,12.78,73300,11.583282
2015-04-08,12.56,12.62,12.55,12.60,87900,11.420138
2015-04-07,12.59,12.65,12.57,12.63,113400,11.447329
2015-04-06,12.48,12.72,12.48,12.65,88300,11.465456
2015-04-02,12.55,12.59,12.50,12.57,125200,11.392947
2015-04-01,12.52,12.62,12.46,12.62,151500,11.438265
2015-03-31,12.56,12.56,12.46,12.46,170600,11.293247
2015-03-30,12.52,12.60,12.52,12.59,53500,11.411074
2015-03-27,12.50,12.54,12.47,12.48,78700,11.311374
2015-03-26,12.57,12.59,12.53,12.55,62200,11.37482
2015-03-25,12.62,12.65,12.59,12.64,121400,11.456393
2015-03-24,12.63,12.66,12.60,12.62,68200,11.438265
2015-03-23,12.63,12.71,12.60,12.65,93800,11.465456
2015-03-20,12.65,12.72,12.64,12.65,76600,11.465456
2015-03-19,12.69,12.69,12.60,12.66,63000,11.474519
2015-03-18,12.60,12.74,12.55,12.74,73600,11.547028
2015-03-17,12.62,12.64,12.57,12.63,91600,11.447329
2015-03-16,12.62,12.68,12.62,12.67,77600,11.483583
2015-03-13,12.71,12.71,12.59,12.66,43000,11.383883
2015-03-12,12.60,12.69,12.57,12.69,60200,11.410859
2015-03-11,12.52,12.54,12.47,12.54,91100,11.275979
2015-03-10,12.61,12.61,12.47,12.48,151800,11.222027
2015-03-09,12.65,12.67,12.62,12.65,157300,11.374891
2015-03-06,12.58,12.70,12.57,12.63,135500,11.356908
2015-03-05,12.63,12.70,12.63,12.70,83900,11.419851
2015-03-04,12.60,12.65,12.58,12.65,113300,11.374891
2015-03-03,12.62,12.67,12.59,12.65,86500,11.374891
2015-03-02,12.59,12.68,12.58,12.68,181400,11.401868
2015-02-27,12.50,12.59,12.50,12.56,184100,11.293964
2015-02-26,12.51,12.53,12.48,12.48,144400,11.222027
2015-02-25,12.46,12.54,12.45,12.53,94800,11.266987
2015-02-24,12.40,12.49,12.40,12.49,137900,11.231019
2015-02-23,12.40,12.44,12.40,12.42,91500,11.168075
2015-02-20,12.33,12.45,12.30,12.45,94400,11.195051
2015-02-19,12.31,12.34,12.26,12.34,131300,11.096139
2015-02-18,12.25,12.30,12.25,12.30,80000,11.060171
2015-02-17,12.30,12.30,12.24,12.30,141600,11.060171
2015-02-13,12.33,12.35,12.28,12.30,134500,11.060171
2015-02-12,12.29,12.32,12.21,12.30,191400,11.060171
2015-02-11,12.20,12.31,12.20,12.31,184500,10.979244
2015-02-10,12.21,12.25,12.14,12.23,152000,10.907891
2015-02-09,12.15,12.24,12.15,12.22,262500,10.898973
2015-02-06,12.24,12.28,12.20,12.24,336000,10.916811
2015-02-05,12.06,12.27,12.06,12.26,276000,10.934649
2015-02-04,12.09,12.09,12.00,12.06,166200,10.75627
2015-02-03,12.04,12.15,12.01,12.15,143000,10.83654
2015-02-02,11.93,12.04,11.86,12.04,197500,10.738432
2015-01-30,11.99,12.06,11.91,11.91,170100,10.622485
2015-01-29,11.95,12.04,11.89,12.02,558900,10.720594
2015-01-28,12.10,12.12,11.95,11.97,162100,10.675999
2015-01-27,12.04,12.07,12.01,12.05,165900,10.747351
2015-01-26,12.02,12.10,12.01,12.07,123500,10.765188
2015-01-23,12.07,12.10,12.01,12.05,142000,10.747351
2015-01-22,12.07,12.09,12.01,12.07,133300,10.765188
