Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.76,10.98,10.76,10.93,53900,10.93
2016-03-10,10.74,10.77,10.66,10.71,36400,10.71
2016-03-09,10.75,10.87,10.66,10.70,52900,10.70
2016-03-08,10.75,10.80,10.69,10.76,49500,10.76
2016-03-07,10.81,10.86,10.75,10.84,29800,10.84
2016-03-04,10.81,10.92,10.79,10.89,31500,10.89
2016-03-03,10.73,10.86,10.73,10.78,34600,10.78
2016-03-02,10.66,10.74,10.66,10.72,20800,10.72
2016-03-01,10.53,10.72,10.52,10.67,50900,10.67
2016-02-29,10.51,10.58,10.47,10.48,38300,10.48
2016-02-26,10.46,10.58,10.44,10.52,42100,10.52
2016-02-25,10.32,10.37,10.19,10.37,52900,10.37
2016-02-24,10.22,10.30,10.10,10.27,160200,10.27
2016-02-23,10.39,10.41,10.28,10.34,35800,10.34
2016-02-22,10.45,10.45,10.39,10.41,12900,10.41
2016-02-19,10.33,10.35,10.26,10.33,20500,10.33
2016-02-18,10.36,10.43,10.27,10.32,18800,10.32
2016-02-17,10.39,10.45,10.35,10.36,33800,10.36
2016-02-16,10.31,10.43,10.29,10.37,29200,10.255
2016-02-12,10.27,10.29,10.14,10.25,45300,10.136331
2016-02-11,10.19,10.23,10.05,10.12,50300,10.007772
2016-02-10,10.41,10.41,10.28,10.28,34200,10.165998
2016-02-09,10.19,10.36,10.19,10.28,28600,10.165998
2016-02-08,10.55,10.55,10.25,10.28,45300,10.165998
2016-02-05,10.90,10.90,10.61,10.62,47400,10.502227
2016-02-04,10.85,10.97,10.78,10.89,43600,10.769234
2016-02-03,10.95,10.96,10.73,10.96,68900,10.838457
2016-02-02,10.94,11.03,10.82,10.82,38100,10.700009
2016-02-01,11.01,11.10,10.85,11.05,74700,10.927459
2016-01-29,10.94,11.12,10.80,11.00,56700,10.878013
2016-01-28,10.69,10.86,10.63,10.86,46300,10.739566
2016-01-27,10.82,10.83,10.57,10.67,39900,10.551673
2016-01-26,10.55,10.79,10.51,10.77,66600,10.650565
2016-01-25,10.73,10.81,10.56,10.65,42600,10.531895
2016-01-22,10.60,10.83,10.54,10.83,49200,10.709899
2016-01-21,10.49,10.61,10.45,10.53,59600,10.413225
2016-01-20,10.62,10.70,10.26,10.43,101600,10.314335
2016-01-19,10.87,10.99,10.72,10.80,70700,10.680232
2016-01-15,11.04,11.24,10.75,10.79,176500,10.670342
2016-01-14,11.28,11.40,11.26,11.37,48000,11.24391
2016-01-13,11.56,11.61,11.29,11.29,47200,11.164797
2016-01-12,11.71,11.76,11.57,11.68,67600,11.436748
2016-01-11,11.78,11.80,11.62,11.63,48500,11.387789
2016-01-08,11.96,11.97,11.75,11.76,40500,11.515082
2016-01-07,11.91,12.04,11.80,11.94,75300,11.691332
2016-01-06,12.09,12.24,12.05,12.17,54700,11.916543
2016-01-05,12.41,12.49,12.20,12.21,51100,11.95571
2016-01-04,12.30,12.46,12.25,12.40,50300,12.141752
2015-12-31,12.57,12.60,12.47,12.53,81000,12.269045
2015-12-30,12.63,12.69,12.55,12.56,86100,12.298421
2015-12-29,12.82,12.83,12.56,12.68,54900,12.415922
2015-12-28,12.83,12.86,12.62,12.69,92900,12.425713
2015-12-24,12.81,12.93,12.66,12.88,71900,12.611756
2015-12-23,12.60,12.79,12.58,12.79,85100,12.52363
2015-12-22,12.61,12.70,12.50,12.61,89800,12.347379
2015-12-21,12.56,12.58,12.48,12.56,135600,12.298421
2015-12-18,12.48,12.61,12.48,12.56,143900,12.298421
2015-12-17,12.43,12.53,12.39,12.52,109900,12.259254
2015-12-16,12.42,12.50,12.34,12.47,125600,12.210295
2015-12-15,12.27,12.41,12.20,12.40,145300,12.029148
2015-12-14,12.22,12.28,12.12,12.19,132600,11.825428
2015-12-11,12.37,12.37,12.21,12.26,122200,11.893335
2015-12-10,12.43,12.45,12.36,12.38,101800,12.009746
2015-12-09,12.43,12.54,12.41,12.46,112100,12.087354
2015-12-08,12.30,12.52,12.29,12.48,155600,12.106755
2015-12-07,12.62,12.67,12.45,12.46,105900,12.087354
2015-12-04,12.46,12.75,12.41,12.66,215700,12.281372
2015-12-03,12.66,12.66,12.50,12.50,75000,12.126157
2015-12-02,12.71,12.76,12.66,12.71,126200,12.329877
2015-12-01,12.52,12.72,12.50,12.72,325700,12.339578
2015-11-30,12.50,12.55,12.45,12.50,79600,12.126157
2015-11-27,12.41,12.52,12.40,12.48,23200,12.106755
2015-11-25,12.43,12.46,12.43,12.45,56200,12.077653
2015-11-24,12.46,12.50,12.41,12.43,107500,12.058251
2015-11-23,12.46,12.50,12.46,12.46,68800,12.087354
2015-11-20,12.52,12.56,12.48,12.48,88800,12.106755
2015-11-19,12.49,12.56,12.49,12.56,78300,12.184363
2015-11-18,12.37,12.48,12.37,12.44,117000,12.067951
2015-11-17,12.44,12.46,12.36,12.40,73600,12.029148
2015-11-16,12.46,12.54,12.44,12.51,259500,12.024298
2015-11-13,12.49,12.56,12.43,12.49,96000,12.005074
2015-11-12,12.56,12.57,12.44,12.51,84400,12.024298
2015-11-11,12.70,12.76,12.66,12.66,49400,12.168473
2015-11-10,12.63,12.78,12.63,12.73,103400,12.235755
2015-11-09,12.88,12.88,12.70,12.72,97300,12.226144
2015-11-06,12.86,12.95,12.82,12.86,75000,12.360708
2015-11-05,12.85,12.89,12.78,12.86,118500,12.360708
2015-11-04,12.90,12.90,12.76,12.82,94500,12.322261
2015-11-03,12.95,13.07,12.76,12.88,480300,12.379932
2015-11-02,12.94,13.00,12.90,13.00,103000,12.495273
2015-10-30,12.79,12.94,12.76,12.92,53300,12.418379
2015-10-29,12.77,12.82,12.69,12.82,44900,12.322261
2015-10-28,12.77,12.85,12.76,12.82,95500,12.322261
2015-10-27,12.92,12.93,12.82,12.82,72100,12.322261
2015-10-26,13.01,13.01,12.84,12.89,83600,12.389544
2015-10-23,13.21,13.21,13.08,13.09,38200,12.581779
2015-10-22,13.12,13.20,13.09,13.18,48100,12.668285
2015-10-21,13.17,13.26,13.09,13.09,27200,12.581779
2015-10-20,13.20,13.30,13.14,13.19,70500,12.677896
2015-10-19,13.10,13.25,13.05,13.24,71300,12.725955
2015-10-16,13.08,13.15,13.03,13.10,73600,12.591391
2015-10-15,12.81,13.05,12.77,13.05,221300,12.543332
2015-10-14,12.82,12.88,12.78,12.82,52900,12.322261
2015-10-13,12.97,13.07,12.90,12.94,41200,12.327067
2015-10-12,12.94,12.99,12.91,12.94,16300,12.327067
2015-10-09,12.96,13.03,12.81,12.97,29300,12.355647
2015-10-08,12.85,12.95,12.78,12.91,68600,12.298488
2015-10-07,12.87,12.91,12.79,12.90,39600,12.288962
2015-10-06,12.86,12.89,12.82,12.87,39600,12.260383
2015-10-05,12.84,12.99,12.84,12.94,52300,12.327067
2015-10-02,12.62,12.79,12.57,12.77,71500,12.16512
2015-10-01,12.62,12.69,12.56,12.68,43000,12.079383
2015-09-30,12.66,12.73,12.63,12.66,48500,12.06033
2015-09-29,12.70,12.74,12.48,12.60,73600,12.003173
2015-09-28,13.00,13.00,12.66,12.70,78000,12.098435
2015-09-25,13.23,13.27,13.10,13.10,21400,12.479489
2015-09-24,13.16,13.16,12.99,13.13,39800,12.508068
2015-09-23,13.10,13.36,13.10,13.22,31300,12.593805
2015-09-22,13.12,13.22,13.11,13.13,27600,12.508068
2015-09-21,13.25,13.43,13.25,13.28,21200,12.650962
2015-09-18,13.29,13.50,13.25,13.25,18500,12.622384
2015-09-17,13.33,13.54,13.27,13.42,25800,12.784331
2015-09-16,13.33,13.44,13.27,13.38,17200,12.746226
2015-09-15,13.33,13.46,13.22,13.45,23500,12.703357
2015-09-14,13.37,13.42,13.27,13.38,15700,12.637243
2015-09-11,13.46,13.46,13.32,13.40,16200,12.656132
2015-09-10,13.37,13.51,13.35,13.47,36000,12.722247
2015-09-09,13.64,13.64,13.42,13.42,25000,12.675022
2015-09-08,13.50,13.58,13.45,13.54,18200,12.788361
2015-09-04,13.41,13.53,13.34,13.35,39800,12.608909
2015-09-03,13.52,13.62,13.51,13.51,27100,12.760027
2015-09-02,13.44,13.50,13.34,13.43,47800,12.684468
2015-09-01,13.38,13.44,13.23,13.28,55200,12.542794
2015-08-31,13.62,13.74,13.54,13.63,34500,12.873365
2015-08-28,13.49,13.70,13.49,13.69,48600,12.930034
2015-08-27,13.70,13.77,13.51,13.61,116600,12.854475
2015-08-26,13.44,13.55,13.32,13.51,58700,12.760027
2015-08-25,13.25,13.65,13.22,13.41,99200,12.665577
2015-08-24,13.48,13.48,11.37,13.16,99500,12.429456
2015-08-21,14.21,14.46,13.84,13.92,93100,13.147266
2015-08-20,14.45,14.46,14.30,14.30,38200,13.506172
2015-08-19,14.48,14.57,14.41,14.50,70700,13.695069
2015-08-18,14.51,14.62,14.48,14.57,30800,13.761183
2015-08-17,14.55,14.60,14.48,14.59,20000,13.780073
2015-08-14,14.59,14.75,14.54,14.73,15400,13.803685
2015-08-13,14.48,14.63,14.45,14.56,71800,13.644377
2015-08-12,14.47,14.57,14.44,14.55,25400,13.635005
2015-08-11,14.70,14.70,14.47,14.52,43900,13.606892
2015-08-10,14.79,14.87,14.72,14.77,39800,13.841171
2015-08-07,14.91,14.91,14.76,14.78,19900,13.850541
2015-08-06,14.95,14.97,14.86,14.86,17200,13.92551
