Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.40,11.54,11.40,11.50,20000,11.50
2016-03-10,11.44,11.45,11.33,11.36,19800,11.36
2016-03-09,11.44,11.52,11.32,11.38,38500,11.38
2016-03-08,11.49,11.49,11.42,11.45,14900,11.45
2016-03-07,11.45,11.51,11.45,11.49,13200,11.49
2016-03-04,11.53,11.55,11.45,11.49,39900,11.49
2016-03-03,11.36,11.46,11.25,11.46,41100,11.46
2016-03-02,11.32,11.37,11.30,11.36,19700,11.36
2016-03-01,11.28,11.36,11.17,11.31,45300,11.31
2016-02-29,11.17,11.18,11.11,11.17,19100,11.17
2016-02-26,11.12,11.15,11.06,11.13,31500,11.13
2016-02-25,10.90,11.03,10.88,11.03,19800,11.03
2016-02-24,10.86,10.94,10.83,10.92,33000,10.92
2016-02-23,10.98,11.06,10.92,10.93,33000,10.93
2016-02-22,10.98,11.05,10.98,11.00,25900,11.00
2016-02-19,11.00,11.00,10.84,10.91,17500,10.91
2016-02-18,11.00,11.04,11.00,11.03,21600,11.03
2016-02-17,10.99,11.06,10.92,11.05,27500,11.05
2016-02-16,10.85,11.05,10.78,11.00,22500,10.88
2016-02-12,10.76,10.89,10.71,10.84,28900,10.721746
2016-02-11,10.81,10.81,10.61,10.72,21500,10.603055
2016-02-10,10.98,11.04,10.90,10.94,33400,10.820654
2016-02-09,10.92,11.06,10.79,10.95,34300,10.830545
2016-02-08,11.16,11.26,10.97,11.04,36200,10.919564
2016-02-05,11.62,11.62,11.28,11.35,24400,11.226182
2016-02-04,11.55,11.60,11.51,11.59,21500,11.463564
2016-02-03,11.56,11.65,11.47,11.63,29300,11.503128
2016-02-02,11.67,11.67,11.54,11.54,7900,11.414109
2016-02-01,11.72,11.85,11.48,11.81,38300,11.681164
2016-01-29,11.53,11.73,11.51,11.73,47900,11.602036
2016-01-28,11.28,11.40,11.17,11.39,18600,11.265746
2016-01-27,11.31,11.48,11.09,11.24,63700,11.117382
2016-01-26,11.16,11.30,10.99,11.29,96000,11.166836
2016-01-25,11.37,11.37,11.20,11.20,33100,11.077818
2016-01-22,11.21,11.39,11.14,11.36,74800,11.236073
2016-01-21,11.10,11.17,11.04,11.14,78200,11.018473
2016-01-20,11.26,11.26,10.85,11.05,81000,10.929455
2016-01-19,11.64,11.75,11.30,11.36,60200,11.236073
2016-01-15,11.68,11.75,11.49,11.54,60900,11.414109
2016-01-14,11.92,12.00,11.85,11.96,40100,11.829527
2016-01-13,12.19,12.19,11.86,11.94,86500,11.809745
2016-01-12,12.29,12.44,12.12,12.30,81200,12.047127
2016-01-11,12.33,12.53,12.21,12.25,42200,11.998155
2016-01-08,12.61,12.87,12.36,12.36,37300,12.105893
2016-01-07,12.86,12.92,12.49,12.57,141100,12.311576
2016-01-06,13.13,13.21,13.04,13.04,20500,12.771914
2016-01-05,13.46,13.46,13.22,13.24,19000,12.967802
2016-01-04,13.32,13.41,13.09,13.38,46300,13.104924
2015-12-31,13.45,13.57,13.36,13.47,29300,13.193074
2015-12-30,13.65,13.65,13.33,13.52,34700,13.242046
2015-12-29,13.70,13.74,13.19,13.73,87200,13.447728
2015-12-28,13.50,13.58,13.44,13.58,21400,13.300812
2015-12-24,13.47,13.63,13.34,13.59,83400,13.310606
2015-12-23,13.00,13.43,12.99,13.34,93700,13.065746
2015-12-22,13.07,13.09,12.90,13.04,93300,12.771914
2015-12-21,12.92,12.99,12.74,12.84,26900,12.576025
2015-12-18,12.97,12.97,12.78,12.86,36100,12.595614
2015-12-17,12.85,13.05,12.74,13.05,74900,12.781708
2015-12-16,12.83,12.88,12.63,12.88,81500,12.615203
2015-12-15,12.76,12.84,12.56,12.81,50900,12.42911
2015-12-14,12.57,12.68,12.50,12.63,69000,12.254462
2015-12-11,12.69,12.75,12.48,12.67,66000,12.293272
2015-12-10,12.78,12.91,12.74,12.82,52100,12.438812
2015-12-09,12.86,12.98,12.82,12.89,20500,12.506731
2015-12-08,12.95,12.95,12.78,12.91,45600,12.526136
2015-12-07,13.07,13.07,12.91,12.91,41600,12.526136
2015-12-04,12.93,13.13,12.90,13.12,43900,12.729892
2015-12-03,13.15,13.21,12.92,12.99,36800,12.603757
2015-12-02,13.25,13.38,13.15,13.15,36500,12.759
2015-12-01,13.14,13.31,13.09,13.20,65900,12.807513
2015-11-30,13.19,13.19,13.05,13.14,24500,12.749298
2015-11-27,13.07,13.15,13.07,13.15,8200,12.759
2015-11-25,13.03,13.13,12.97,13.07,20700,12.681378
2015-11-24,12.99,13.15,12.91,13.01,56400,12.623163
2015-11-23,13.08,13.12,12.92,13.04,36500,12.652271
2015-11-20,13.09,13.16,13.00,13.05,42900,12.661974
2015-11-19,13.22,13.23,13.04,13.10,37100,12.710487
2015-11-18,13.06,13.14,12.87,13.12,65100,12.729892
2015-11-17,13.07,13.29,13.00,13.11,14000,12.720189
2015-11-16,13.08,13.17,13.04,13.15,25500,12.642568
2015-11-13,13.18,13.20,13.02,13.04,18300,12.536813
2015-11-12,13.29,13.43,13.13,13.13,14700,12.62334
2015-11-11,13.52,13.52,13.33,13.36,20200,12.844464
2015-11-10,13.38,13.50,13.37,13.47,10300,12.95022
2015-11-09,13.58,13.58,13.39,13.41,15200,12.892535
2015-11-06,13.56,13.76,13.53,13.53,25000,13.007904
2015-11-05,13.68,13.80,13.54,13.70,42700,13.171344
2015-11-04,13.62,13.66,13.38,13.65,37700,13.123274
2015-11-03,13.62,13.64,13.48,13.58,46600,13.055975
2015-11-02,13.57,13.78,13.53,13.62,42400,13.094432
2015-10-30,13.49,13.66,13.37,13.60,28200,13.075204
2015-10-29,13.38,13.50,13.18,13.46,73800,12.940606
2015-10-28,13.21,13.37,13.20,13.35,28000,12.834851
2015-10-27,13.28,13.32,13.16,13.26,32300,12.748324
2015-10-26,13.46,13.48,13.24,13.26,25800,12.748324
2015-10-23,13.65,13.65,13.48,13.50,20100,12.979062
2015-10-22,13.47,13.66,13.47,13.60,25500,13.075204
2015-10-21,13.56,13.70,13.45,13.45,18100,12.930991
2015-10-20,13.55,13.63,13.54,13.57,26700,13.046361
2015-10-19,13.48,13.62,13.48,13.53,68500,13.007904
2015-10-16,13.45,13.63,13.44,13.54,62000,13.017519
2015-10-15,13.15,13.46,13.10,13.46,57700,12.940606
2015-10-14,13.13,13.31,13.07,13.18,44900,12.671411
2015-10-13,13.30,13.44,13.26,13.31,17800,12.681025
2015-10-12,13.32,13.44,13.26,13.31,17400,12.681025
2015-10-09,13.30,13.38,13.28,13.37,27400,12.738189
2015-10-08,13.20,13.30,13.19,13.27,15000,12.642915
2015-10-07,13.19,13.25,13.09,13.25,26600,12.62386
2015-10-06,13.28,13.30,13.18,13.19,8300,12.566695
2015-10-05,13.19,13.32,13.19,13.29,24000,12.661969
2015-10-02,13.05,13.15,13.00,13.14,28200,12.519058
