Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,26.549999,27.00,26.290001,26.889999,19100,26.889999
2016-03-10,27.50,27.50,26.059999,26.35,26700,26.35
2016-03-09,27.25,27.52,26.950001,27.10,34600,27.10
2016-03-08,27.59,27.92,26.950001,27.00,45900,27.00
2016-03-07,27.15,27.91,27.15,27.82,21700,27.82
2016-03-04,27.049999,27.309999,26.98,27.209999,38600,27.209999
2016-03-03,27.00,27.40,26.65,27.200001,59700,27.200001
2016-03-02,25.83,27.17,25.530001,26.889999,53800,26.889999
2016-03-01,25.67,26.00,25.40,25.969999,15400,25.969999
2016-02-29,24.74,25.559999,23.90,25.26,47800,25.26
2016-02-26,25.450001,25.799999,25.139999,25.690001,26700,25.690001
2016-02-25,25.030001,25.43,24.950001,25.379999,13100,25.379999
2016-02-24,24.85,25.33,24.530001,25.32,17700,25.32
2016-02-23,25.17,25.790001,24.82,25.219999,27100,25.219999
2016-02-22,25.40,25.959999,25.049999,25.07,23600,25.07
2016-02-19,25.389999,25.75,25.129999,25.25,24500,25.25
2016-02-18,25.48,25.969999,25.33,25.40,35800,25.40
2016-02-17,25.23,25.73,25.030001,25.50,45400,25.50
2016-02-16,24.799999,25.209999,24.59,24.90,21800,24.90
2016-02-12,24.34,24.92,24.25,24.610001,26400,24.610001
2016-02-11,23.41,24.35,23.41,24.00,74500,24.00
2016-02-10,23.74,23.870001,23.52,23.719999,52000,23.719999
2016-02-09,23.719999,23.98,23.24,23.75,52100,23.645
2016-02-08,23.190001,24.309999,22.889999,24.040001,72900,23.933719
2016-02-05,24.16,24.700001,23.25,23.299999,55400,23.196989
2016-02-04,23.799999,24.77,23.799999,24.059999,20700,23.953629
2016-02-03,24.40,24.440001,23.620001,23.870001,23200,23.76447
2016-02-02,24.15,24.26,23.66,24.030001,23600,23.923763
2016-02-01,25.17,25.77,24.34,24.450001,22100,24.341906
2016-01-29,24.40,25.42,24.40,25.42,75700,25.307617
2016-01-28,24.42,24.690001,23.870001,24.09,29900,23.983497
2016-01-27,23.530001,24.459999,22.98,24.030001,51300,23.923763
2016-01-26,22.74,23.68,22.67,23.51,47400,23.406061
2016-01-25,22.379999,22.74,22.200001,22.559999,41500,22.46026
2016-01-22,22.23,22.93,22.02,22.41,74000,22.310924
2016-01-21,23.15,23.15,21.09,21.26,66500,21.166009
2016-01-20,22.01,23.49,21.889999,23.34,38000,23.236813
