Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,3.92,4.03,3.92,3.97,16700,3.97
2016-03-10,4.01,4.05,3.92,3.92,7900,3.92
2016-03-09,3.98,4.05,3.94,3.98,8000,3.98
2016-03-08,4.03,4.10,3.95,3.98,26400,3.98
2016-03-07,3.97,4.09,3.94,3.99,18300,3.99
2016-03-04,4.02,4.10,3.89,3.90,41900,3.90
2016-03-03,4.11,4.13,3.93,3.95,143800,3.95
2016-03-02,4.05,4.08,4.03,4.08,25400,4.08
2016-03-01,3.86,4.08,3.86,3.99,106500,3.99
2016-02-29,3.78,3.94,3.71,3.77,29800,3.77
2016-02-26,3.82,3.87,3.72,3.80,27800,3.80
2016-02-25,3.83,3.83,3.64,3.79,65700,3.79
2016-02-24,3.78,3.83,3.68,3.74,26900,3.74
2016-02-23,3.68,3.77,3.63,3.74,30600,3.74
2016-02-22,3.65,3.80,3.61,3.75,53000,3.75
2016-02-19,3.68,3.70,3.58,3.66,29000,3.66
2016-02-18,3.63,3.65,3.54,3.65,70900,3.635
2016-02-17,3.46,3.59,3.46,3.58,55700,3.565288
2016-02-16,3.38,3.53,3.37,3.51,104400,3.495575
2016-02-12,3.37,3.39,3.25,3.30,9700,3.286438
2016-02-11,3.26,3.34,3.25,3.34,11700,3.326274
2016-02-10,3.27,3.35,3.27,3.30,9600,3.286438
2016-02-09,3.22,3.32,3.22,3.28,27700,3.266521
2016-02-08,3.29,3.32,3.25,3.27,40200,3.256562
2016-02-05,3.35,3.38,3.23,3.31,17300,3.296397
2016-02-04,3.43,3.67,3.25,3.35,145200,3.336233
2016-02-03,3.48,3.57,3.36,3.47,38200,3.45574
2016-02-02,3.47,3.55,3.47,3.47,6900,3.45574
2016-02-01,3.26,3.53,3.22,3.52,64000,3.505534
2016-01-29,3.76,3.77,3.24,3.40,119600,3.386028
2016-01-28,3.85,3.85,3.67,3.73,44900,3.714671
2016-01-27,3.75,3.80,3.67,3.75,34000,3.734589
2016-01-26,3.74,3.82,3.70,3.74,27700,3.72463
2016-01-25,3.72,3.83,3.70,3.70,21900,3.684795
2016-01-22,3.87,3.87,3.68,3.77,19300,3.754507
2016-01-21,3.60,3.64,3.50,3.59,17200,3.575247
2016-01-20,3.60,3.62,3.41,3.58,91800,3.565288
2016-01-19,3.70,3.70,3.65,3.67,35500,3.654918
2016-01-15,3.77,3.78,3.65,3.65,38100,3.635
2016-01-14,3.71,3.93,3.65,3.85,52500,3.834178
2016-01-13,3.84,3.92,3.70,3.76,66300,3.744548
2016-01-12,3.85,3.97,3.75,3.83,12300,3.81426
2016-01-11,4.10,4.10,3.73,3.77,77800,3.754507
2016-01-08,3.87,4.08,3.83,4.07,43000,4.053274
2016-01-07,4.00,4.04,3.81,3.91,37000,3.893932
2016-01-06,3.97,4.04,3.83,3.99,27200,3.973603
2016-01-05,3.99,4.08,3.89,3.94,28800,3.923808
2016-01-04,4.00,4.01,3.90,3.92,38900,3.903891
2015-12-31,4.10,4.10,3.96,4.01,53300,3.993521
2015-12-30,3.81,4.07,3.81,4.06,52600,4.043315
2015-12-29,3.86,3.93,3.71,3.82,120000,3.804301
2015-12-28,3.70,3.85,3.62,3.74,88900,3.72463
2015-12-24,3.78,3.93,3.78,3.84,12700,3.824219
2015-12-23,3.81,3.98,3.81,3.85,39100,3.834178
2015-12-22,3.86,3.93,3.76,3.82,22800,3.804301
2015-12-21,3.87,3.90,3.73,3.83,19900,3.81426
2015-12-18,4.00,4.00,3.75,3.75,82400,3.734589
2015-12-17,3.93,4.05,3.82,3.95,25000,3.933767
2015-12-16,3.80,3.98,3.80,3.86,35200,3.844137
2015-12-15,3.90,4.07,3.83,3.85,67600,3.834178
2015-12-14,4.00,4.00,3.70,3.90,134500,3.883973
2015-12-11,3.96,4.10,3.96,3.98,6900,3.963644
2015-12-10,3.96,4.09,3.95,4.07,23800,4.053274
2015-12-09,4.08,4.21,3.95,4.01,40300,3.993521
2015-12-08,4.15,4.22,4.03,4.07,22100,4.053274
2015-12-07,4.16,4.22,4.02,4.15,13900,4.132945
2015-12-04,4.10,4.20,4.06,4.13,22000,4.113028
2015-12-03,4.25,4.25,4.05,4.05,40900,4.033356
2015-12-02,4.25,4.28,4.15,4.26,17100,4.242493
2015-12-01,4.17,4.30,4.15,4.27,40000,4.252452
2015-11-30,4.18,4.23,4.05,4.21,61200,4.192699
2015-11-27,4.00,4.17,3.99,4.14,35000,4.122986
2015-11-25,4.00,4.14,3.94,3.96,85100,3.943726
2015-11-24,4.01,4.03,3.85,3.95,62400,3.933767
2015-11-23,4.10,4.10,3.85,4.01,64800,3.993521
2015-11-20,3.89,4.03,3.85,3.95,16000,3.933767
2015-11-19,3.75,4.03,3.75,3.90,108600,3.869034
2015-11-18,3.77,3.79,3.72,3.72,25000,3.690463
2015-11-17,3.78,3.80,3.70,3.77,43300,3.740066
2015-11-16,3.81,3.86,3.67,3.74,46000,3.710305
2015-11-13,3.74,3.80,3.70,3.80,38100,3.769828
2015-11-12,3.80,3.85,3.70,3.75,32300,3.720225
2015-11-11,3.75,3.79,3.67,3.76,41000,3.730146
2015-11-10,3.80,3.87,3.71,3.75,94700,3.720225
2015-11-09,3.90,4.04,3.81,3.82,52000,3.789669
2015-11-06,3.90,3.90,3.80,3.88,36400,3.849193
2015-11-05,3.85,4.03,3.76,3.85,89100,3.819431
2015-11-04,4.02,4.20,3.78,3.87,141500,3.839272
2015-11-03,4.28,4.33,4.10,4.10,146800,4.067446
2015-11-02,3.91,4.23,3.86,4.18,301500,4.146811
2015-10-30,3.60,3.98,3.57,3.78,205300,3.749987
2015-10-29,3.40,3.44,3.28,3.42,18600,3.392845
2015-10-28,3.34,3.40,3.20,3.39,17800,3.363084
2015-10-27,3.34,3.37,3.27,3.30,15200,3.273798
2015-10-26,3.34,3.35,3.28,3.28,25200,3.253957
2015-10-23,3.32,3.37,3.21,3.32,66300,3.293639
2015-10-22,3.32,3.34,3.27,3.34,8700,3.313481
2015-10-21,3.30,3.32,3.25,3.32,13200,3.293639
2015-10-20,3.32,3.32,3.27,3.32,1500,3.293639
2015-10-19,3.26,3.32,3.26,3.28,5100,3.253957
2015-10-16,3.30,3.32,3.25,3.32,20600,3.293639
2015-10-15,3.30,3.33,3.28,3.33,24200,3.30356
2015-10-14,3.23,3.32,3.23,3.26,25100,3.234116
2015-10-13,3.30,3.32,3.25,3.25,20100,3.224195
2015-10-12,3.32,3.32,3.25,3.28,19100,3.253957
2015-10-09,3.27,3.32,3.23,3.30,17400,3.273798
2015-10-08,3.30,3.33,3.28,3.33,2100,3.30356
2015-10-07,3.29,3.33,3.23,3.25,10700,3.224195
2015-10-06,3.21,3.33,3.21,3.31,8100,3.283719
2015-10-05,3.26,3.32,3.15,3.30,21700,3.273798
2015-10-02,3.28,3.28,3.20,3.20,15900,3.174592
2015-10-01,3.32,3.33,3.20,3.20,15100,3.174592
2015-09-30,3.18,3.30,3.16,3.28,14400,3.253957
2015-09-29,3.37,3.37,3.13,3.14,61700,3.115069
2015-09-28,3.32,3.32,3.28,3.29,29300,3.263878
2015-09-25,3.37,3.37,3.30,3.30,10700,3.273798
2015-09-24,3.36,3.44,3.33,3.34,4600,3.313481
2015-09-23,3.46,3.46,3.31,3.32,5200,3.293639
2015-09-22,3.35,3.36,3.28,3.34,29900,3.313481
2015-09-21,3.30,3.40,3.30,3.40,37100,3.373004
2015-09-18,3.38,3.38,3.30,3.30,43200,3.273798
2015-09-17,3.35,3.40,3.30,3.37,19900,3.343242
2015-09-16,3.35,3.45,3.30,3.38,23400,3.353163
2015-09-15,3.44,3.46,3.35,3.38,22000,3.353163
2015-09-14,3.50,3.53,3.37,3.39,25900,3.363084
2015-09-11,3.50,3.55,3.48,3.54,10400,3.511893
2015-09-10,3.49,3.56,3.49,3.56,29100,3.531734
2015-09-09,3.56,3.60,3.48,3.48,45700,3.452369
2015-09-08,3.50,3.60,3.44,3.44,15100,3.412687
2015-09-04,3.38,3.55,3.38,3.39,33100,3.363084
2015-09-03,3.36,3.40,3.30,3.36,26400,3.333322
2015-09-02,3.44,3.44,3.28,3.28,8100,3.253957
2015-09-01,3.33,3.43,3.33,3.39,8500,3.363084
2015-08-31,3.31,3.45,3.29,3.34,10300,3.313481
2015-08-28,3.28,3.38,3.28,3.31,24000,3.283719
2015-08-27,3.40,3.42,3.31,3.35,12600,3.323401
2015-08-26,3.27,3.38,3.27,3.37,13600,3.343242
2015-08-25,3.44,3.44,3.30,3.34,10500,3.313481
2015-08-24,3.15,3.33,3.13,3.32,90500,3.293639
2015-08-21,3.39,3.47,3.14,3.38,68100,3.353163
2015-08-20,3.35,3.45,3.31,3.35,56900,3.323401
2015-08-19,3.26,3.53,3.23,3.52,28100,3.477171
2015-08-18,3.44,3.50,3.27,3.30,35900,3.259847
2015-08-17,3.44,3.44,3.33,3.39,29800,3.348752
2015-08-14,3.39,3.44,3.35,3.38,25500,3.338874
2015-08-13,3.49,3.50,3.39,3.39,43600,3.348752
2015-08-12,3.47,3.53,3.36,3.49,21700,3.447536
2015-08-11,3.50,3.50,3.42,3.44,25700,3.398144
2015-08-10,3.40,3.50,3.38,3.48,84400,3.437657
2015-08-07,3.42,3.46,3.35,3.39,32300,3.348752
2015-08-06,3.40,3.48,3.35,3.39,20000,3.348752
2015-08-05,3.41,3.43,3.38,3.39,17200,3.348752
2015-08-04,3.48,3.48,3.32,3.33,20800,3.289482
2015-08-03,3.50,3.55,3.18,3.50,59400,3.457414
2015-07-31,3.50,3.63,3.50,3.54,150300,3.496927
2015-07-30,3.20,3.42,3.19,3.34,31600,3.299361
2015-07-29,3.15,3.27,3.15,3.18,21200,3.141308
2015-07-28,3.16,3.38,3.15,3.16,92100,3.121551
2015-07-27,3.20,3.20,3.17,3.17,5400,3.131429
2015-07-24,3.30,3.30,3.18,3.21,19400,3.170943
2015-07-23,3.32,3.34,3.29,3.29,4000,3.249969
2015-07-22,3.35,3.35,3.25,3.27,7100,3.230212
2015-07-21,3.28,3.32,3.19,3.31,15700,3.269726
2015-07-20,3.36,3.40,3.15,3.21,27200,3.170943
2015-07-17,3.28,3.30,3.22,3.30,4900,3.259847
2015-07-16,3.25,3.40,3.20,3.31,22400,3.269726
2015-07-15,3.35,3.35,3.22,3.22,5800,3.180821
2015-07-14,3.38,3.38,3.25,3.25,3500,3.210456
2015-07-13,3.25,3.37,3.17,3.28,14700,3.240091
2015-07-10,3.19,3.20,3.15,3.16,9600,3.121551
2015-07-09,3.24,3.24,3.17,3.17,7700,3.131429
2015-07-08,3.21,3.27,3.19,3.20,11500,3.161064
2015-07-07,3.30,3.33,3.17,3.24,6600,3.200577
2015-07-06,3.19,3.30,3.19,3.27,9400,3.230212
2015-07-02,3.20,3.25,3.15,3.25,40100,3.210456
2015-07-01,3.35,3.35,3.15,3.22,18600,3.180821
2015-06-30,3.41,3.41,3.26,3.29,11000,3.249969
2015-06-29,3.41,3.44,3.30,3.30,14300,3.259847
2015-06-26,3.16,3.44,3.16,3.37,70000,3.328996
2015-06-25,3.26,3.30,3.15,3.16,25100,3.121551
2015-06-24,3.43,3.43,3.25,3.35,8800,3.309239
2015-06-23,3.40,3.47,3.27,3.41,20700,3.368509
2015-06-22,3.30,3.47,3.25,3.41,44000,3.368509
2015-06-19,3.26,3.35,3.25,3.35,15200,3.309239
2015-06-18,3.18,3.35,3.18,3.31,37000,3.269726
2015-06-17,3.29,3.29,3.18,3.18,19700,3.141308
2015-06-16,3.07,3.34,3.07,3.18,29300,3.141308
2015-06-15,3.12,3.15,3.08,3.09,13000,3.052402
2015-06-12,3.07,3.11,3.07,3.11,10800,3.072159
2015-06-11,3.15,3.19,3.10,3.10,5800,3.062281
2015-06-10,3.14,3.15,3.09,3.15,17300,3.111673
2015-06-09,3.19,3.19,3.12,3.15,9700,3.111673
2015-06-08,3.21,3.23,3.17,3.17,24700,3.131429
2015-06-05,3.22,3.24,3.15,3.19,6500,3.151186
2015-06-04,3.25,3.25,3.18,3.19,3300,3.151186
2015-06-03,3.17,3.24,3.14,3.22,28300,3.180821
2015-06-02,3.14,3.18,3.14,3.17,18900,3.131429
2015-06-01,3.11,3.18,3.11,3.14,26200,3.101794
2015-05-29,3.15,3.20,3.11,3.13,20300,3.091916
2015-05-28,3.20,3.20,3.10,3.12,42500,3.082037
2015-05-27,3.10,3.18,3.10,3.11,32700,3.072159
2015-05-26,3.27,3.33,3.09,3.15,32900,3.111673
2015-05-22,3.21,3.33,3.21,3.23,11400,3.190699
2015-05-21,3.24,3.33,3.24,3.25,12000,3.210456
2015-05-20,3.37,3.37,3.22,3.29,62200,3.249969
