Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.55,10.65,10.40,10.40,23500,10.40
2016-03-10,10.45,10.62,10.42,10.52,7300,10.52
2016-03-09,10.36,10.46,10.23,10.37,8200,10.37
2016-03-08,10.47,10.47,10.29,10.33,20700,10.33
2016-03-07,10.40,10.48,10.40,10.45,10500,10.45
2016-03-04,10.39,10.63,10.24,10.40,21900,10.40
2016-03-03,10.53,10.53,10.30,10.31,14200,10.31
2016-03-02,10.34,10.54,10.25,10.49,10400,10.49
2016-03-01,10.45,10.45,10.24,10.31,13800,10.31
2016-02-29,10.38,10.45,10.18,10.37,28300,10.37
2016-02-26,10.15,10.43,10.15,10.38,6500,10.38
2016-02-25,10.16,10.32,10.16,10.20,4800,10.20
2016-02-24,10.00,10.15,10.00,10.11,15200,10.11
2016-02-23,10.12,10.25,10.01,10.11,5300,10.11
2016-02-22,10.09,10.34,10.09,10.11,3400,10.11
2016-02-19,10.05,10.33,10.04,10.09,12700,10.09
2016-02-18,10.21,10.21,10.05,10.07,4900,10.07
2016-02-17,10.09,10.45,10.06,10.14,15200,10.14
2016-02-16,10.23,10.23,10.02,10.07,14900,10.07
2016-02-12,10.17,10.45,10.06,10.35,10400,10.237
2016-02-11,10.10,10.26,10.07,10.13,12000,10.019402
2016-02-10,10.20,10.45,10.08,10.15,14600,10.039183
2016-02-09,10.04,10.45,10.00,10.15,16800,10.039183
2016-02-08,10.04,10.57,10.00,10.11,26900,9.99962
2016-02-05,10.14,10.36,10.00,10.02,25800,9.910603
2016-02-04,10.40,10.40,10.01,10.07,44700,9.960056
2016-02-03,10.24,10.36,10.18,10.30,8200,10.187546
2016-02-02,10.19,10.23,10.10,10.20,5500,10.088637
2016-02-01,10.26,10.45,10.11,10.13,16700,10.019402
2016-01-29,10.79,10.88,10.27,10.49,25100,10.375471
2016-01-28,10.71,10.97,10.59,10.71,18300,10.593069
2016-01-27,10.55,10.92,10.40,10.81,20100,10.691978
2016-01-26,10.82,10.85,10.44,10.55,12100,10.434816
2016-01-25,11.04,11.04,10.66,10.70,6400,10.583178
2016-01-22,10.58,11.17,10.58,11.03,18900,10.909575
2016-01-21,10.46,10.90,10.32,10.42,17900,10.306236
2016-01-20,10.86,10.86,9.93,10.41,52000,10.296344
2016-01-19,10.90,11.21,10.85,10.97,14800,10.850231
2016-01-15,11.01,11.38,10.56,10.78,31600,10.662305
2016-01-14,11.14,11.41,11.05,11.24,12100,11.117283
2016-01-13,11.22,11.55,11.03,11.03,27700,10.909575
2016-01-12,11.57,11.57,11.17,11.28,54600,11.156846
2016-01-11,12.00,12.04,11.34,11.67,43800,11.430822
2016-01-08,11.84,12.04,11.71,11.89,8800,11.646313
2016-01-07,11.86,12.16,11.72,11.74,45700,11.499387
2016-01-06,11.75,11.99,11.75,11.91,8400,11.665903
2016-01-05,11.71,11.87,11.70,11.85,25100,11.607133
2016-01-04,11.72,11.72,11.54,11.63,7500,11.391642
2015-12-31,11.55,11.86,11.55,11.73,15800,11.489592
2015-12-30,11.55,11.73,11.54,11.57,5500,11.332871
2015-12-29,11.53,11.64,11.46,11.59,17900,11.352462
2015-12-28,11.50,11.50,11.47,11.50,24300,11.264306
2015-12-24,11.48,11.81,11.37,11.50,7500,11.264306
2015-12-23,11.25,11.77,11.25,11.46,20600,11.225126
2015-12-22,11.23,11.85,11.21,11.29,34300,11.05861
2015-12-21,11.08,11.31,10.97,11.13,35100,10.901889
2015-12-18,11.33,11.39,10.99,11.03,69900,10.803939
2015-12-17,11.50,11.51,11.05,11.36,46900,11.127175
2015-12-16,11.55,11.64,11.10,11.58,22100,11.342666
2015-12-15,10.75,11.85,10.75,11.50,71300,11.264306
2015-12-14,11.96,11.97,10.66,10.97,131000,10.634485
2015-12-11,12.07,12.19,11.81,12.12,30100,11.749312
2015-12-10,12.00,12.27,11.90,12.19,30900,11.817171
2015-12-09,11.98,12.04,11.92,12.00,12700,11.632982
2015-12-08,11.84,12.10,11.80,12.02,13500,11.652371
2015-12-07,11.89,11.92,11.70,11.92,27800,11.555429
2015-12-04,11.81,11.91,11.80,11.91,10400,11.545735
2015-12-03,11.95,11.97,11.68,11.85,41100,11.48757
2015-12-02,11.95,11.98,11.77,11.98,10200,11.613594
2015-12-01,11.91,12.00,11.88,11.97,8400,11.6039
2015-11-30,11.94,12.00,11.70,11.83,19900,11.468182
2015-11-27,11.92,12.09,11.79,11.80,5500,11.439099
2015-11-25,11.73,11.93,11.59,11.88,12900,11.516653
2015-11-24,11.63,11.87,11.63,11.77,13800,11.410017
2015-11-23,11.58,11.80,11.51,11.77,35100,11.410017
2015-11-20,11.95,11.99,11.65,11.65,35500,11.293687
2015-11-19,11.98,12.00,11.80,11.82,21100,11.458487
2015-11-18,12.01,12.03,11.80,11.80,14000,11.439099
