Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.95,15.21,14.95,15.21,43200,15.21
2016-03-10,14.83,14.96,14.77,14.86,70800,14.86
2016-03-09,14.89,14.89,14.72,14.72,44200,14.72
2016-03-08,14.84,14.84,14.70,14.80,35300,14.80
2016-03-07,14.66,14.86,14.63,14.81,47800,14.81
2016-03-04,14.46,14.67,14.38,14.67,49700,14.67
2016-03-03,14.30,14.43,14.25,14.42,74200,14.42
2016-03-02,14.18,14.31,14.18,14.25,34000,14.25
2016-03-01,14.12,14.21,14.10,14.18,47700,14.18
2016-02-29,14.06,14.12,14.01,14.04,29800,14.04
2016-02-26,14.05,14.09,13.94,14.01,41300,14.01
2016-02-25,13.95,13.99,13.90,13.99,35700,13.99
2016-02-24,13.84,13.91,13.82,13.89,57400,13.89
2016-02-23,13.95,13.95,13.84,13.88,20300,13.88
2016-02-22,13.89,13.99,13.80,13.90,48400,13.90
2016-02-19,13.77,13.78,13.70,13.76,32100,13.76
2016-02-18,13.85,13.85,13.74,13.75,21600,13.75
2016-02-17,13.78,13.78,13.70,13.75,21200,13.75
2016-02-16,13.69,13.71,13.63,13.69,35200,13.69
2016-02-12,13.85,13.85,13.70,13.74,74000,13.624999
2016-02-11,13.80,13.89,13.70,13.70,62400,13.585334
2016-02-10,13.88,13.99,13.73,13.92,52000,13.803493
2016-02-09,13.81,13.87,13.72,13.80,29200,13.684498
2016-02-08,13.95,13.95,13.78,13.85,27600,13.734079
2016-02-05,14.12,14.13,13.90,13.94,40600,13.823325
2016-02-04,14.17,14.24,14.10,14.10,19100,13.981987
2016-02-03,14.32,14.32,14.12,14.15,48400,14.031568
2016-02-02,14.29,14.29,14.16,14.16,18800,14.041484
2016-02-01,14.34,14.34,14.15,14.31,43200,14.190229
2016-01-29,14.25,14.31,14.22,14.28,32100,14.16048
2016-01-28,14.23,14.25,14.10,14.20,136200,14.081149
2016-01-27,14.14,14.19,14.02,14.05,30200,13.932405
2016-01-26,13.96,14.11,13.61,14.10,83800,13.981987
2016-01-25,14.10,14.13,13.85,13.89,35000,13.773745
2016-01-22,14.15,14.33,14.03,14.10,40800,13.981987
2016-01-21,13.88,13.98,13.70,13.98,25400,13.862991
2016-01-20,13.80,13.89,13.47,13.89,54100,13.773745
2016-01-19,13.95,13.95,13.64,13.92,129700,13.803493
2016-01-15,13.76,14.09,13.75,13.85,63100,13.734079
2016-01-14,13.92,14.21,13.85,14.21,47000,14.091066
2016-01-13,14.16,14.21,13.96,13.96,38600,13.843158
2016-01-12,14.36,14.36,14.09,14.20,46100,14.081149
2016-01-11,14.37,14.37,14.22,14.25,52700,14.130731
2016-01-08,14.43,14.48,14.27,14.29,29200,14.170396
2016-01-07,14.53,14.64,14.42,14.42,49900,14.299308
2016-01-06,14.55,14.62,14.52,14.60,52000,14.477802
2016-01-05,14.60,14.64,14.52,14.60,74800,14.477802
2016-01-04,14.49,14.54,14.36,14.45,55600,14.329057
2015-12-31,14.62,14.65,14.50,14.59,52300,14.467886
2015-12-30,14.50,14.73,14.43,14.67,78400,14.547216
2015-12-29,14.72,14.72,14.39,14.45,50100,14.329057
2015-12-28,14.85,14.85,14.67,14.72,101100,14.48276
2015-12-24,14.77,14.84,14.74,14.82,41800,14.581148
2015-12-23,14.71,14.90,14.57,14.84,142500,14.600826
2015-12-22,14.44,14.59,14.36,14.59,76000,14.354855
2015-12-21,14.10,14.36,14.10,14.36,187700,14.128562
2015-12-18,14.02,14.06,13.93,14.02,90500,13.794042
2015-12-17,13.71,13.95,13.71,13.89,98700,13.666137
2015-12-16,13.56,13.85,13.56,13.76,92600,13.538232
2015-12-15,13.39,13.57,13.39,13.53,60100,13.311939
2015-12-14,13.40,13.51,13.31,13.35,94600,13.13484
2015-12-11,13.65,13.78,13.51,13.59,132900,13.370972
2015-12-10,13.80,13.95,13.79,13.88,46900,13.656298
2015-12-09,14.02,14.05,13.95,13.95,44500,13.612024
2015-12-08,13.90,14.07,13.90,13.96,35500,13.621782
2015-12-07,14.14,14.18,14.04,14.04,34800,13.699843
2015-12-04,14.14,14.22,14.13,14.20,54600,13.855967
2015-12-03,14.19,14.24,14.15,14.23,50700,13.88524
2015-12-02,14.22,14.31,14.22,14.29,36100,13.943786
2015-12-01,14.06,14.29,14.06,14.27,77700,13.924271
2015-11-30,14.13,14.21,14.07,14.16,54400,13.816936
2015-11-27,14.18,14.21,14.11,14.20,12300,13.855967
2015-11-25,14.05,14.15,14.01,14.15,17200,13.807178
2015-11-24,13.99,14.10,13.99,14.05,24200,13.709601
2015-11-23,14.01,14.08,13.97,14.01,36900,13.67057
2015-11-20,14.14,14.19,13.92,13.97,90800,13.63154
2015-11-19,14.14,14.22,14.04,14.10,49400,13.75839
2015-11-18,14.14,14.32,14.12,14.18,62200,13.836452
2015-11-17,14.12,14.19,14.09,14.11,37900,13.768147
2015-11-16,14.20,14.20,14.08,14.15,35000,13.807178
2015-11-13,14.26,14.32,14.16,14.27,31100,13.812057
2015-11-12,14.32,14.38,14.12,14.21,55100,13.753982
2015-11-11,14.41,14.52,14.32,14.32,43400,13.860452
2015-11-10,14.50,14.59,14.43,14.47,27800,14.005639
2015-11-09,14.77,14.80,14.34,14.48,51700,14.015317
2015-11-06,14.81,14.85,14.72,14.73,29600,14.257294
2015-11-05,14.63,14.88,14.60,14.86,78500,14.383123
2015-11-04,15.08,15.09,14.62,14.69,182600,14.218578
2015-11-03,15.38,15.38,15.29,15.30,19200,14.809003
2015-11-02,15.30,15.42,15.30,15.33,31000,14.83804
2015-10-30,15.27,15.33,15.18,15.27,37400,14.779966
2015-10-29,15.20,15.22,15.13,15.21,26900,14.721891
2015-10-28,15.12,15.20,15.05,15.20,31000,14.712212
2015-10-27,15.15,15.15,15.05,15.09,26100,14.605742
2015-10-26,15.38,15.43,15.11,15.11,40400,14.6251
2015-10-23,15.32,15.49,15.32,15.42,38700,14.925152
2015-10-22,15.32,15.36,15.28,15.36,40700,14.867077
2015-10-21,15.29,15.29,15.16,15.27,31300,14.779966
2015-10-20,15.20,15.24,15.15,15.24,14500,14.750928
2015-10-19,15.22,15.22,15.10,15.20,22600,14.712212
2015-10-16,15.05,15.18,15.00,15.18,14600,14.692854
2015-10-15,14.90,15.01,14.90,14.99,30100,14.508951
2015-10-14,15.09,15.11,14.89,14.89,35800,14.412161
2015-10-13,15.24,15.24,15.13,15.16,24500,14.542828
2015-10-12,15.25,15.33,15.17,15.20,18000,14.581199
2015-10-09,15.03,15.40,15.03,15.27,59100,14.64835
2015-10-08,14.74,15.08,14.74,15.08,105400,14.466085
2015-10-07,14.73,14.89,14.73,14.89,46600,14.28382
2015-10-06,14.74,14.79,14.65,14.79,39000,14.187891
2015-10-05,14.63,14.73,14.60,14.70,65000,14.101554
2015-10-02,14.48,14.69,14.48,14.69,37000,14.091961
2015-10-01,14.71,14.71,14.59,14.67,31200,14.072776
2015-09-30,14.59,14.77,14.46,14.77,73600,14.168705
2015-09-29,14.66,14.75,14.62,14.63,38300,14.034404
2015-09-28,14.83,14.85,14.73,14.74,38400,14.139926
2015-09-25,14.98,14.98,14.84,14.93,18000,14.322192
2015-09-24,14.86,14.97,14.86,14.95,21000,14.341377
2015-09-23,14.93,15.03,14.89,14.96,21200,14.35097
2015-09-22,14.92,14.99,14.90,14.99,42100,14.379748
2015-09-21,15.00,15.04,14.98,15.03,11000,14.41812
2015-09-18,14.95,15.00,14.90,15.00,11100,14.389341
2015-09-17,14.75,14.92,14.75,14.91,23800,14.303005
2015-09-16,14.73,14.83,14.73,14.79,45600,14.187891
2015-09-15,14.83,14.83,14.76,14.80,26000,14.197484
2015-09-14,15.04,15.07,14.89,14.92,16100,14.183095
