Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,20.549999,20.58,20.459999,20.52,44300,20.52
2016-03-10,20.57,20.57,20.309999,20.440001,34200,20.440001
2016-03-09,20.459999,20.540001,20.41,20.52,45100,20.52
2016-03-08,20.50,20.530001,20.42,20.48,47000,20.34
2016-03-07,20.33,20.57,20.200001,20.48,73400,20.34
2016-03-04,20.35,20.370001,20.23,20.370001,76400,20.230753
2016-03-03,20.200001,20.379999,20.129999,20.33,106600,20.191025
2016-03-02,20.15,20.209999,20.110001,20.17,80500,20.032119
2016-03-01,20.309999,20.309999,20.15,20.15,63900,20.012255
2016-02-29,20.110001,20.27,20.040001,20.23,71100,20.091709
2016-02-26,20.00,20.120001,19.950001,20.040001,31800,19.903009
2016-02-25,19.950001,20.030001,19.889999,19.969999,46900,19.833486
2016-02-24,19.700001,20.030001,19.68,19.959999,124500,19.823554
2016-02-23,19.57,19.809999,19.51,19.790001,31600,19.654718
2016-02-22,19.65,19.690001,19.57,19.59,62100,19.456084
2016-02-19,19.440001,19.59,19.35,19.549999,42000,19.416357
2016-02-18,19.450001,19.51,19.35,19.459999,48700,19.326972
2016-02-17,19.280001,19.42,19.190001,19.32,56700,19.187929
2016-02-16,19.10,19.27,18.950001,19.139999,75900,19.00916
2016-02-12,19.110001,19.190001,18.99,19.02,66800,18.889981
2016-02-11,19.309999,19.35,19.00,19.01,101100,18.880049
2016-02-10,19.57,19.60,19.440001,19.469999,30900,19.336904
2016-02-09,19.450001,19.610001,19.190001,19.440001,58800,19.30711
2016-02-08,19.99,20.10,19.59,19.700001,88700,19.42629
2016-02-05,20.27,20.280001,20.02,20.110001,73600,19.830593
2016-02-04,20.25,20.299999,20.18,20.26,46100,19.978509
2016-02-03,20.219999,20.25,20.059999,20.25,88500,19.968647
2016-02-02,19.98,20.07,19.90,20.059999,57400,19.781287
2016-02-01,19.959999,20.02,19.91,20.01,60700,19.731982
2016-01-29,19.799999,19.969999,19.65,19.959999,56500,19.682676
2016-01-28,19.540001,19.73,19.33,19.700001,95200,19.42629
2016-01-27,19.32,19.40,19.32,19.389999,43900,19.120595
2016-01-26,19.25,19.370001,19.25,19.360001,33900,19.091013
2016-01-25,19.389999,19.389999,19.200001,19.209999,33500,18.943096
2016-01-22,19.27,19.43,19.110001,19.389999,37900,19.120595
2016-01-21,19.120001,19.18,18.85,19.040001,49300,18.77546
2016-01-20,18.940001,18.99,18.49,18.969999,112400,18.706431
2016-01-19,19.43,19.43,19.030001,19.040001,55200,18.77546
2016-01-15,19.08,19.309999,18.99,19.26,54700,18.992403
2016-01-14,19.370001,19.49,19.209999,19.23,59300,18.962819
2016-01-13,19.91,19.91,19.33,19.33,87800,19.06143
2016-01-12,19.92,19.940001,19.790001,19.84,39600,19.564344
2016-01-11,20.00,20.129999,19.85,19.969999,67200,19.554482
2016-01-08,19.90,20.08,19.82,20.02,68900,19.603443
2016-01-07,19.85,19.91,19.809999,19.82,64700,19.407603
2016-01-06,19.82,20.040001,19.780001,19.99,63900,19.574066
2016-01-05,19.639999,19.98,19.639999,19.90,116600,19.485939
2016-01-04,19.469999,19.700001,19.35,19.700001,66600,19.290101
2015-12-31,19.629999,19.700001,19.57,19.610001,48100,19.201974
2015-12-30,19.51,19.65,19.51,19.629999,46400,19.221556
2015-12-29,19.440001,19.51,19.389999,19.50,51200,19.094262
2015-12-28,19.51,19.549999,19.450001,19.459999,30200,19.055093
2015-12-24,19.49,19.549999,19.440001,19.49,15800,19.08447
2015-12-23,19.40,19.50,19.379999,19.49,41000,19.08447
2015-12-22,19.129999,19.299999,19.129999,19.280001,47200,18.87884
2015-12-21,19.10,19.17,19.059999,19.139999,39300,18.741752
2015-12-18,19.040001,19.200001,19.01,19.15,65700,18.751544
2015-12-17,18.99,19.07,18.959999,19.040001,90000,18.643834
2015-12-16,18.75,18.969999,18.700001,18.940001,45900,18.545914
2015-12-15,18.41,18.690001,18.41,18.66,84300,18.27174
2015-12-14,18.780001,18.799999,18.40,18.40,82600,18.017149
2015-12-11,19.030001,19.07,18.84,18.870001,65400,18.477371
2015-12-10,19.01,19.18,19.01,19.08,20800,18.683001
2015-12-09,19.200001,19.32,19.030001,19.049999,31600,18.653624
