Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,21.459999,21.58,21.370001,21.450001,57900,21.450001
2016-03-10,21.35,21.51,21.139999,21.43,87700,21.43
2016-03-09,21.10,21.40,21.049999,21.280001,86800,21.280001
2016-03-08,21.200001,21.219999,21.059999,21.139999,51900,21.00
2016-03-07,20.90,21.200001,20.90,21.190001,58000,21.04967
2016-03-04,20.98,21.01,20.889999,20.99,62800,20.850994
2016-03-03,20.85,21.049999,20.85,20.959999,112000,20.821192
2016-03-02,20.860001,20.99,20.809999,20.90,88600,20.76159
2016-03-01,21.030001,21.049999,20.91,20.91,70900,20.771524
2016-02-29,20.889999,21.040001,20.85,20.98,71600,20.84106
2016-02-26,20.780001,20.889999,20.67,20.84,48800,20.701987
2016-02-25,20.65,20.790001,20.639999,20.77,68000,20.632451
2016-02-24,20.57,20.780001,20.50,20.73,97400,20.592715
2016-02-23,20.360001,20.68,20.280001,20.620001,52900,20.483445
2016-02-22,20.40,20.48,20.360001,20.370001,48700,20.235101
2016-02-19,20.10,20.34,20.059999,20.33,31000,20.195365
2016-02-18,20.18,20.25,20.059999,20.209999,53100,20.076159
2016-02-17,19.98,20.24,19.98,20.110001,79800,19.976822
2016-02-16,19.870001,20.049999,19.68,19.940001,65200,19.807948
2016-02-12,19.82,19.879999,19.73,19.809999,50200,19.678808
2016-02-11,19.889999,19.99,19.629999,19.77,83700,19.639074
2016-02-10,20.059999,20.24,20.00,20.040001,67400,19.907286
2016-02-09,19.98,20.23,19.77,20.030001,102700,19.897352
2016-02-08,20.459999,20.459999,20.16,20.34,162600,20.066225
2016-02-05,20.629999,20.690001,20.50,20.58,51900,20.302995
2016-02-04,20.629999,20.75,20.559999,20.700001,67900,20.42138
2016-02-03,20.620001,20.65,20.41,20.639999,80300,20.362187
2016-02-02,20.33,20.57,20.299999,20.48,80200,20.20434
2016-02-01,20.280001,20.440001,20.25,20.440001,88300,20.16488
2016-01-29,20.10,20.309999,20.07,20.299999,107500,20.026763
2016-01-28,19.85,20.10,19.719999,20.10,130900,19.829456
2016-01-27,19.76,19.84,19.700001,19.780001,61500,19.513763
2016-01-26,19.73,19.82,19.700001,19.799999,59900,19.533493
2016-01-25,19.82,19.83,19.65,19.690001,50600,19.424975
2016-01-22,19.65,19.84,19.559999,19.83,85700,19.56309
2016-01-21,19.469999,19.610001,19.25,19.549999,57200,19.286858
2016-01-20,19.58,19.58,18.90,19.440001,147100,19.17834
2016-01-19,19.870001,19.92,19.700001,19.73,63000,19.464435
2016-01-15,19.74,19.93,19.540001,19.870001,77600,19.602552
2016-01-14,20.00,20.059999,19.879999,19.93,58500,19.661744
2016-01-13,20.32,20.379999,19.99,19.99,60200,19.720936
2016-01-12,20.370001,20.40,20.24,20.360001,48000,20.085957
2016-01-11,20.379999,20.459999,20.17,20.42,107200,20.007033
2016-01-08,20.200001,20.35,20.129999,20.309999,51200,19.899257
2016-01-07,20.129999,20.35,20.07,20.190001,101900,19.781684
2016-01-06,20.15,20.35,20.15,20.35,49500,19.938449
2016-01-05,20.059999,20.32,20.059999,20.25,84600,19.840471
2016-01-04,19.90,20.049999,19.799999,19.98,88200,19.57593
2015-12-31,20.02,20.07,19.950001,20.02,57700,19.615122
2015-12-30,19.780001,20.040001,19.780001,20.02,71400,19.615122
2015-12-29,19.76,19.870001,19.76,19.83,49000,19.428964
2015-12-28,19.799999,19.870001,19.75,19.75,41200,19.350582
2015-12-24,19.85,19.91,19.82,19.889999,10500,19.48775
2015-12-23,19.639999,19.85,19.639999,19.84,44400,19.438762
2015-12-22,19.50,19.700001,19.50,19.68,63300,19.281998
2015-12-21,19.43,19.549999,19.370001,19.530001,77100,19.135032
2015-12-18,19.34,19.52,19.25,19.43,44700,19.037054
2015-12-17,19.209999,19.41,19.200001,19.389999,57200,18.997862
2015-12-16,18.879999,19.209999,18.879999,19.139999,67100,18.752918
2015-12-15,18.75,19.030001,18.75,18.85,141700,18.468784
2015-12-14,19.309999,19.35,18.719999,18.73,153500,18.35121
2015-12-11,19.50,19.540001,19.33,19.33,63700,18.939076
2015-12-10,19.540001,19.629999,19.51,19.549999,35200,19.154626
2015-12-09,19.690001,19.799999,19.540001,19.549999,44300,19.154626
2015-12-08,19.73,19.809999,19.719999,19.790001,49500,19.252606
2015-12-07,19.98,19.98,19.75,19.780001,69600,19.242877
2015-12-04,19.799999,20.030001,19.799999,20.00,49300,19.456903
2015-12-03,19.93,19.93,19.799999,19.84,52300,19.301248
2015-12-02,19.879999,19.98,19.85,19.98,64800,19.437445
2015-12-01,19.809999,19.969999,19.809999,19.93,50000,19.388804
2015-11-30,19.75,19.91,19.73,19.809999,60900,19.272062
2015-11-27,19.639999,19.709999,19.610001,19.68,18400,19.145593
2015-11-25,19.77,19.780001,19.629999,19.68,41500,19.145593
2015-11-24,19.690001,19.799999,19.67,19.719999,36700,19.184505
2015-11-23,19.67,19.700001,19.620001,19.68,39400,19.145593
2015-11-20,19.620001,19.709999,19.60,19.610001,64100,19.077494
2015-11-19,19.629999,19.709999,19.610001,19.610001,32000,19.077494
2015-11-18,19.709999,19.709999,19.620001,19.639999,45400,19.106678
2015-11-17,19.709999,19.709999,19.629999,19.65,29500,19.116407
2015-11-16,19.73,19.73,19.620001,19.639999,58600,19.106678
2015-11-13,19.65,19.74,19.620001,19.700001,49100,19.16505
2015-11-12,19.719999,19.77,19.639999,19.700001,59600,19.16505
2015-11-11,19.780001,19.82,19.73,19.76,39100,19.22342
2015-11-10,19.74,19.84,19.690001,19.709999,49300,19.174777
2015-11-09,19.90,19.90,19.68,19.719999,72100,19.184505
2015-11-06,20.15,20.15,19.90,20.030001,69700,19.34989
2015-11-05,20.190001,20.24,20.18,20.219999,29700,19.533437
2015-11-04,20.190001,20.200001,20.120001,20.15,55700,19.465814
2015-11-03,20.18,20.209999,20.10,20.17,49500,19.485135
2015-11-02,19.860001,20.17,19.85,20.139999,88500,19.456153
2015-10-30,19.879999,19.93,19.809999,19.91,51100,19.233963
2015-10-29,19.879999,19.889999,19.799999,19.83,47800,19.15668
2015-10-28,19.91,19.93,19.83,19.92,58600,19.243624
2015-10-27,19.940001,20.00,19.879999,19.98,76800,19.301586
2015-10-26,19.809999,19.950001,19.799999,19.93,61000,19.253285
2015-10-23,19.889999,19.92,19.75,19.77,46100,19.098718
2015-10-22,19.90,19.99,19.870001,19.879999,37400,19.204981
2015-10-21,19.83,19.91,19.76,19.91,43200,19.233963
2015-10-20,19.66,19.75,19.629999,19.75,34400,19.079396
2015-10-19,19.629999,19.719999,19.610001,19.639999,29400,18.973131
2015-10-16,19.620001,19.620001,19.540001,19.610001,19500,18.94415
2015-10-15,19.459999,19.57,19.450001,19.57,48100,18.905508
2015-10-14,19.459999,19.48,19.41,19.450001,24200,18.789583
2015-10-13,19.379999,19.459999,19.360001,19.450001,50200,18.789583
2015-10-12,19.290001,19.40,19.290001,19.35,41900,18.692978
2015-10-09,19.379999,19.459999,19.27,19.35,46200,18.692978
2015-10-08,19.379999,19.50,19.309999,19.360001,37500,18.702639
2015-10-07,19.440001,19.50,19.40,19.440001,67000,18.644676
2015-10-06,19.48,19.50,19.370001,19.440001,34100,18.644676
2015-10-05,19.309999,19.469999,19.26,19.450001,38300,18.654268
2015-10-02,19.190001,19.26,19.09,19.26,38600,18.47204
2015-10-01,19.290001,19.370001,19.17,19.209999,70400,18.424085
2015-09-30,19.299999,19.33,19.16,19.33,62900,18.539176
2015-09-29,19.309999,19.34,19.10,19.18,45800,18.395313
2015-09-28,19.41,19.43,19.25,19.299999,48900,18.510403
2015-09-25,19.41,19.50,19.360001,19.43,46600,18.635085
2015-09-24,19.379999,19.40,19.33,19.389999,29500,18.596721
2015-09-23,19.309999,19.40,19.24,19.40,35700,18.606312
2015-09-22,19.16,19.280001,19.139999,19.26,53200,18.47204
2015-09-21,19.26,19.299999,19.190001,19.209999,50000,18.424085
2015-09-18,19.00,19.209999,18.99,19.16,32900,18.376131
2015-09-17,18.92,19.120001,18.90,19.08,71800,18.299404
2015-09-16,18.92,19.120001,18.90,18.98,65700,18.203495
2015-09-15,18.99,18.99,18.84,18.91,62400,18.136359
2015-09-14,19.120001,19.129999,18.860001,18.90,39500,18.126768
2015-09-11,19.15,19.200001,19.129999,19.16,28700,18.376131
2015-09-10,19.25,19.26,19.200001,19.209999,32400,18.424085
2015-09-09,19.309999,19.34,19.17,19.219999,50400,18.433676
2015-09-08,19.389999,19.389999,19.309999,19.379999,34000,18.452858
2015-09-04,19.34,19.35,19.24,19.280001,26500,18.357643
2015-09-03,19.440001,19.450001,19.33,19.389999,35100,18.46238
2015-09-02,19.309999,19.40,19.25,19.379999,70000,18.452858
2015-09-01,19.25,19.40,19.25,19.280001,63200,18.357643
2015-08-31,19.40,19.42,19.280001,19.40,71700,18.471901
2015-08-28,19.25,19.40,19.25,19.389999,128800,18.46238
2015-08-27,19.129999,19.26,19.049999,19.24,90700,18.319556
2015-08-26,19.10,19.17,18.870001,19.07,113400,18.157689
2015-08-25,18.950001,19.01,18.77,18.940001,99200,18.033909
2015-08-24,19.040001,19.08,18.18,18.59,431200,17.700652
2015-08-21,19.35,19.51,19.280001,19.280001,67200,18.357643
2015-08-20,19.549999,19.66,19.540001,19.549999,63200,18.614725
2015-08-19,19.690001,19.77,19.549999,19.629999,28500,18.690898
2015-08-18,19.700001,19.780001,19.700001,19.74,42000,18.795636
2015-08-17,19.65,19.83,19.65,19.74,69500,18.795636
2015-08-14,19.639999,19.719999,19.639999,19.700001,44600,18.75755
2015-08-13,19.90,19.91,19.610001,19.639999,65900,18.700419
2015-08-12,19.549999,20.00,19.549999,20.00,130200,19.043198
2015-08-11,19.719999,19.719999,19.57,19.620001,54300,18.681378
2015-08-10,19.809999,19.879999,19.74,19.879999,46700,18.795635
2015-08-07,19.780001,19.82,19.690001,19.700001,52200,18.625455
2015-08-06,19.889999,19.889999,19.790001,19.799999,22200,18.719999
2015-08-05,19.969999,20.01,19.860001,19.860001,57500,18.776728
2015-08-04,19.85,19.950001,19.84,19.85,71300,18.767273
2015-08-03,19.76,19.940001,19.75,19.85,92400,18.767273
2015-07-31,19.76,19.83,19.620001,19.76,66900,18.682182
2015-07-30,19.629999,19.719999,19.629999,19.67,68400,18.597091
2015-07-29,19.540001,19.68,19.540001,19.66,62000,18.587636
2015-07-28,19.67,19.67,19.50,19.58,125400,18.512
2015-07-27,19.459999,19.50,19.41,19.49,45400,18.426909
2015-07-24,19.65,19.690001,19.52,19.540001,43500,18.474183
2015-07-23,19.719999,19.719999,19.58,19.60,48400,18.530909
2015-07-22,19.690001,19.83,19.629999,19.66,53500,18.587636
2015-07-21,19.84,19.84,19.67,19.73,47400,18.653818
2015-07-20,19.84,19.860001,19.719999,19.74,38000,18.663272
2015-07-17,19.75,19.860001,19.700001,19.82,54600,18.738909
2015-07-16,19.68,19.799999,19.67,19.76,35200,18.682182
2015-07-15,19.60,19.709999,19.60,19.690001,41200,18.616
2015-07-14,19.629999,19.65,19.50,19.629999,60500,18.559272
2015-07-13,19.540001,19.65,19.540001,19.58,28100,18.512
2015-07-10,19.57,19.60,19.530001,19.549999,50100,18.483635
2015-07-09,19.450001,19.549999,19.40,19.530001,33300,18.464728
2015-07-08,19.58,19.58,19.50,19.52,28000,18.322909
2015-07-07,19.65,19.73,19.52,19.610001,33900,18.40739
2015-07-06,19.51,19.719999,19.41,19.639999,52100,18.435549
2015-07-02,19.469999,19.629999,19.469999,19.50,41300,18.304136
2015-07-01,19.43,19.52,19.40,19.40,49700,18.210268
2015-06-30,19.23,19.450001,19.23,19.389999,82600,18.200881
2015-06-29,19.33,19.41,19.15,19.200001,74800,18.022534
2015-06-26,19.74,19.76,19.440001,19.450001,48600,18.257203
2015-06-25,19.82,19.90,19.73,19.780001,100800,18.566965
2015-06-24,19.610001,19.790001,19.610001,19.790001,67400,18.576352
2015-06-23,19.700001,19.709999,19.629999,19.629999,38000,18.426162
2015-06-22,19.74,19.790001,19.60,19.719999,56100,18.510643
2015-06-19,19.75,19.889999,19.73,19.75,44300,18.538804
2015-06-18,19.709999,19.969999,19.709999,19.82,60900,18.604511
2015-06-17,19.790001,19.83,19.66,19.719999,59600,18.510643
2015-06-16,19.58,19.75,19.58,19.75,74400,18.538804
2015-06-15,19.60,19.639999,19.540001,19.60,41800,18.398003
2015-06-12,19.610001,19.68,19.60,19.639999,40000,18.435549
2015-06-11,19.68,19.76,19.639999,19.690001,56100,18.482484
2015-06-10,19.84,19.84,19.58,19.629999,126800,18.426162
2015-06-09,20.01,20.02,19.83,19.83,125200,18.613898
2015-06-08,20.18,20.190001,20.059999,20.17,53300,18.801633
2015-06-05,20.110001,20.200001,20.030001,20.190001,64900,18.820276
2015-06-04,20.190001,20.26,20.129999,20.209999,67000,18.838918
2015-06-03,20.440001,20.49,20.190001,20.209999,116700,18.838918
2015-06-02,20.51,20.620001,20.41,20.49,106100,19.099923
2015-06-01,20.620001,20.66,20.559999,20.559999,52400,19.165174
2015-05-29,20.57,20.66,20.540001,20.620001,54300,19.221105
2015-05-28,20.629999,20.68,20.50,20.59,40800,19.193139
2015-05-27,20.540001,20.73,20.48,20.73,53200,19.323641
2015-05-26,20.540001,20.639999,20.51,20.52,50500,19.127889
2015-05-22,20.65,20.700001,20.549999,20.559999,28800,19.165174
2015-05-21,20.629999,20.68,20.60,20.66,39900,19.25839
2015-05-20,20.459999,20.629999,20.459999,20.610001,33100,19.211783
2015-05-19,20.49,20.549999,20.370001,20.50,43500,19.109245
2015-05-18,20.60,20.620001,20.51,20.620001,51400,19.221105
2015-05-15,20.559999,20.65,20.52,20.60,51800,19.202461
2015-05-14,20.35,20.65,20.35,20.60,92500,19.202461
2015-05-13,20.290001,20.33,20.190001,20.27,71000,18.894849
2015-05-12,20.26,20.32,20.16,20.25,58700,18.876205
2015-05-11,20.40,20.48,20.33,20.34,48900,18.9601
2015-05-08,20.389999,20.540001,20.33,20.48,35700,19.090601
2015-05-07,20.42,20.49,20.129999,20.26,98200,18.885527
2015-05-06,20.93,20.950001,20.43,20.549999,143900,19.02535
2015-05-05,20.93,20.950001,20.799999,20.950001,65300,19.395675
2015-05-04,20.91,20.959999,20.91,20.92,43100,19.3679
2015-05-01,21.02,21.02,20.92,20.950001,59500,19.395675
2015-04-30,20.93,21.02,20.889999,20.99,54100,19.432706
2015-04-29,20.91,20.98,20.870001,20.959999,47600,19.404931
2015-04-28,20.860001,21.030001,20.860001,21.01,74500,19.451223
2015-04-27,21.23,21.299999,20.780001,20.83,201100,19.284577
2015-04-24,21.129999,21.23,21.120001,21.209999,31100,19.636383
2015-04-23,21.08,21.129999,21.07,21.110001,46600,19.543804
2015-04-22,21.27,21.27,20.950001,21.059999,116900,19.497512
2015-04-21,21.15,21.290001,21.139999,21.25,45000,19.673416
2015-04-20,21.16,21.23,21.139999,21.139999,46900,19.571577
2015-04-17,21.18,21.27,21.15,21.17,28300,19.599352
2015-04-16,21.27,21.27,21.23,21.24,28200,19.664158
2015-04-15,21.16,21.290001,21.129999,21.26,50400,19.682675
2015-04-14,21.200001,21.27,21.15,21.16,42300,19.590094
2015-04-13,21.360001,21.360001,21.190001,21.190001,58800,19.617868
2015-04-10,21.23,21.309999,21.15,21.290001,76100,19.71045
2015-04-09,21.219999,21.24,21.18,21.190001,28700,19.617868
2015-04-08,21.33,21.379999,21.27,21.280001,62400,19.571577
2015-04-07,21.35,21.35,21.27,21.290001,41700,19.580775
2015-04-06,21.219999,21.33,21.219999,21.299999,81600,19.58997
2015-04-02,21.280001,21.299999,21.209999,21.23,39800,19.525591
2015-04-01,21.25,21.280001,21.18,21.27,55000,19.56238
2015-03-31,21.25,21.280001,21.17,21.17,55700,19.470408
2015-03-30,21.18,21.280001,21.18,21.200001,57500,19.498
2015-03-27,21.15,21.25,21.15,21.17,28500,19.470408
2015-03-26,21.139999,21.26,21.129999,21.15,75800,19.452013
2015-03-25,21.07,21.15,21.07,21.110001,42000,19.415225
2015-03-24,21.08,21.15,21.040001,21.09,60000,19.396831
2015-03-23,21.030001,21.09,21.00,21.059999,54000,19.369239
2015-03-20,20.940001,21.02,20.93,21.02,32300,19.332451
2015-03-19,21.030001,21.030001,20.91,20.940001,52000,19.258874
2015-03-18,20.809999,20.99,20.700001,20.99,90800,19.304859
2015-03-17,20.93,20.93,20.709999,20.77,96600,19.102522
2015-03-16,20.879999,20.99,20.85,20.879999,52000,19.203689
2015-03-13,20.85,20.959999,20.790001,20.879999,53800,19.203689
2015-03-12,20.98,21.00,20.870001,20.90,25200,19.222084
2015-03-11,20.969999,21.00,20.85,20.889999,65300,19.212887
2015-03-10,20.790001,20.940001,20.709999,20.90,61200,19.222084
2015-03-09,20.85,20.969999,20.75,20.92,57000,19.111718
2015-03-06,21.01,21.10,20.73,20.74,108200,18.947277
2015-03-05,21.17,21.32,21.10,21.120001,76900,19.294431
2015-03-04,21.129999,21.209999,21.08,21.190001,67000,19.358381
2015-03-03,21.059999,21.129999,21.02,21.120001,89700,19.294431
2015-03-02,21.040001,21.120001,21.00,21.049999,76200,19.230481
2015-02-27,21.00,21.040001,20.959999,20.98,48800,19.166532
2015-02-26,20.92,20.959999,20.879999,20.93,55000,19.120854
2015-02-25,20.92,20.98,20.879999,20.969999,54400,19.157396
2015-02-24,20.82,20.92,20.809999,20.85,45200,19.047769
2015-02-23,20.75,20.879999,20.75,20.809999,41500,19.011226
2015-02-20,20.73,20.76,20.639999,20.76,49100,18.965549
2015-02-19,20.73,20.780001,20.629999,20.67,54800,18.883328
2015-02-18,20.60,20.75,20.50,20.719999,74700,18.929005
2015-02-17,20.860001,20.969999,20.559999,20.60,170000,18.819379
2015-02-13,20.93,20.93,20.879999,20.90,29000,19.093447
2015-02-12,20.90,20.93,20.860001,20.870001,36900,19.066041
2015-02-11,20.870001,20.93,20.84,20.90,48000,19.093447
2015-02-10,20.93,20.93,20.76,20.870001,96800,19.066041
2015-02-09,20.950001,21.110001,20.950001,21.059999,90400,19.111718
2015-02-06,20.870001,21.030001,20.809999,20.969999,190700,19.030044
2015-02-05,20.83,20.93,20.82,20.92,42400,18.98467
2015-02-04,20.799999,20.92,20.76,20.84,84200,18.912071
2015-02-03,20.889999,20.940001,20.85,20.879999,63200,18.94837
2015-02-02,20.889999,20.889999,20.75,20.879999,113200,18.94837
2015-01-30,20.85,20.90,20.82,20.84,109000,18.912071
2015-01-29,20.68,20.93,20.66,20.83,102100,18.902996
2015-01-28,20.74,20.780001,20.66,20.67,112800,18.757798
2015-01-27,20.76,20.77,20.68,20.74,100300,18.821322
2015-01-26,20.879999,20.90,20.76,20.780001,119800,18.857622
2015-01-23,20.77,20.889999,20.77,20.870001,98200,18.939296
2015-01-22,20.74,20.799999,20.719999,20.790001,77400,18.866697
2015-01-21,20.709999,20.77,20.65,20.709999,81400,18.794096
2015-01-20,20.639999,20.780001,20.639999,20.719999,77100,18.803171
2015-01-16,20.51,20.66,20.51,20.629999,93500,18.721497
2015-01-15,20.559999,20.66,20.52,20.530001,84800,18.63075
2015-01-14,20.66,20.790001,20.559999,20.559999,63800,18.657973
2015-01-13,20.98,21.00,20.77,20.77,115500,18.848547
2015-01-12,21.00,21.040001,20.870001,20.98,55900,19.039119
2015-01-09,20.889999,21.040001,20.83,21.00,97300,19.057269
2015-01-08,20.85,20.98,20.82,20.93,57400,18.993745
2015-01-07,20.690001,20.809999,20.67,20.809999,95900,18.884846
2015-01-06,20.690001,20.74,20.549999,20.66,96300,18.748723
2015-01-05,20.540001,20.66,20.41,20.66,74300,18.748723
2015-01-02,20.440001,20.57,20.34,20.57,89500,18.667048
2014-12-31,20.549999,20.690001,20.41,20.41,86400,18.52185
2014-12-30,20.52,20.639999,20.51,20.59,45400,18.685199
2014-12-29,20.530001,20.780001,20.530001,20.610001,94100,18.703349
2014-12-26,20.60,20.66,20.530001,20.59,32500,18.685199
2014-12-24,20.50,20.77,20.50,20.639999,134300,18.730572
2014-12-23,20.76,20.879999,20.639999,20.639999,72400,18.603524
2014-12-22,20.809999,20.85,20.68,20.780001,84500,18.729712
2014-12-19,20.540001,20.780001,20.530001,20.719999,36500,18.675631
2014-12-18,20.51,20.60,20.48,20.559999,76900,18.531418
2014-12-17,20.15,20.40,20.15,20.379999,54600,18.369177
2014-12-16,20.15,20.26,20.129999,20.15,75900,18.161871
2014-12-15,20.280001,20.35,20.209999,20.24,54400,18.242991
2014-12-12,20.23,20.389999,20.23,20.26,65800,18.261018
2014-12-11,20.129999,20.49,20.129999,20.450001,64000,18.432272
2014-12-10,20.50,20.559999,20.190001,20.209999,98000,18.215951
2014-12-09,20.610001,20.610001,20.459999,20.59,58100,18.558458
