Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,18.639999,18.74,18.549999,18.58,49800,18.58
2016-03-10,18.68,18.709999,18.459999,18.52,97400,18.52
2016-03-09,18.77,18.83,18.50,18.67,90200,18.67
2016-03-08,18.93,18.93,18.66,18.77,116400,18.648001
2016-03-07,18.68,18.950001,18.549999,18.90,120400,18.777155
2016-03-04,18.85,18.860001,18.66,18.780001,100400,18.657936
2016-03-03,18.76,18.93,18.639999,18.860001,72200,18.737416
2016-03-02,18.76,18.82,18.58,18.780001,79600,18.657936
2016-03-01,18.799999,18.860001,18.709999,18.780001,119900,18.657936
2016-02-29,18.43,18.77,18.389999,18.67,132600,18.548651
2016-02-26,18.33,18.41,18.290001,18.360001,82100,18.240666
2016-02-25,18.27,18.34,18.219999,18.309999,51700,18.19099
2016-02-24,18.25,18.290001,18.16,18.26,103600,18.141316
2016-02-23,18.040001,18.33,17.940001,18.309999,100600,18.19099
2016-02-22,18.139999,18.200001,18.07,18.08,64800,17.962485
2016-02-19,17.879999,18.18,17.82,18.09,101200,17.97242
2016-02-18,17.74,18.00,17.709999,17.90,59400,17.783655
2016-02-17,17.559999,17.860001,17.559999,17.84,70800,17.724045
2016-02-16,17.58,17.68,17.280001,17.52,80100,17.406126
2016-02-12,17.530001,17.60,17.379999,17.41,135100,17.29684
2016-02-11,17.450001,17.59,17.25,17.43,180300,17.31671
2016-02-10,17.59,17.77,17.559999,17.66,58000,17.545215
2016-02-09,17.51,17.76,17.32,17.59,157500,17.47567
2016-02-08,18.01,18.01,17.65,17.84,136300,17.602838
2016-02-05,18.219999,18.290001,18.040001,18.08,86300,17.839647
2016-02-04,18.34,18.40,18.26,18.280001,69000,18.036989
2016-02-03,18.33,18.360001,18.120001,18.35,81200,18.106058
2016-02-02,18.18,18.280001,18.08,18.25,80100,18.007387
2016-02-01,18.07,18.25,17.959999,18.200001,83700,17.958052
2016-01-29,17.950001,18.120001,17.870001,18.040001,102600,17.80018
2016-01-28,17.77,17.870001,17.719999,17.85,73100,17.612705
2016-01-27,17.629999,17.74,17.629999,17.700001,55800,17.464699
2016-01-26,17.629999,17.66,17.58,17.639999,67800,17.405496
2016-01-25,17.549999,17.65,17.450001,17.540001,55900,17.306827
2016-01-22,17.23,17.559999,17.17,17.559999,69900,17.326559
2016-01-21,16.950001,17.290001,16.84,17.17,95000,16.941744
2016-01-20,17.07,17.15,16.639999,16.950001,163700,16.72467
2016-01-19,17.60,17.620001,17.200001,17.219999,118100,16.991079
2016-01-15,17.26,17.440001,17.16,17.440001,96000,17.208156
2016-01-14,17.549999,17.709999,17.370001,17.42,99100,17.188421
2016-01-13,17.98,17.98,17.530001,17.540001,76300,17.306827
2016-01-12,17.98,18.00,17.809999,17.91,79300,17.671907
2016-01-11,18.25,18.25,17.809999,17.99,159800,17.630465
2016-01-08,17.98,18.190001,17.959999,18.18,142600,17.816668
2016-01-07,17.879999,17.98,17.85,17.93,109400,17.571665
2016-01-06,17.809999,18.030001,17.809999,17.93,138000,17.571665
