Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.90,12.03,11.34,11.76,93900,11.76
2016-03-10,11.75,11.96,11.70,11.82,109400,11.82
2016-03-09,11.33,11.71,11.33,11.58,98500,11.58
2016-03-08,11.66,11.66,11.25,11.36,39200,11.36
2016-03-07,11.18,11.74,11.18,11.66,56800,11.66
2016-03-04,11.01,11.52,11.01,11.20,55400,11.20
2016-03-03,11.15,11.27,11.05,11.24,59500,11.24
2016-03-02,10.99,11.15,10.93,11.02,44200,11.02
2016-03-01,10.89,11.31,10.62,11.16,96300,11.16
2016-02-29,10.39,10.75,10.34,10.74,51700,10.74
2016-02-26,10.20,10.54,10.16,10.35,62000,10.35
2016-02-25,10.12,10.18,9.94,10.14,21900,10.14
2016-02-24,10.00,10.11,9.91,10.11,29600,10.11
2016-02-23,10.08,10.17,10.00,10.01,17900,10.01
2016-02-22,10.04,10.11,10.00,10.10,23200,10.10
2016-02-19,9.87,10.04,9.87,10.01,28600,10.01
2016-02-18,10.02,10.03,9.90,10.00,26100,10.00
2016-02-17,10.23,10.23,9.95,10.14,97000,10.025
2016-02-16,9.84,10.04,9.79,10.04,34800,9.926134
2016-02-12,9.49,9.87,9.45,9.63,55300,9.520784
2016-02-11,9.70,9.74,9.36,9.42,60600,9.313166
2016-02-10,9.55,9.87,9.55,9.81,42900,9.698743
2016-02-09,9.65,9.81,9.51,9.53,42900,9.421918
2016-02-08,9.67,10.12,9.60,9.73,30500,9.61965
2016-02-05,10.02,10.28,9.73,9.79,64200,9.678969
2016-02-04,10.00,10.22,9.89,10.03,50500,9.916247
2016-02-03,10.00,10.00,9.75,9.87,53900,9.758062
2016-02-02,10.20,10.47,9.96,9.98,67200,9.866814
2016-02-01,10.09,10.26,10.04,10.20,36600,10.084319
2016-01-29,9.99,10.27,9.91,10.12,64600,10.005227
2016-01-28,9.87,9.88,9.65,9.78,24800,9.669083
2016-01-27,10.01,10.11,9.71,9.75,102200,9.639423
2016-01-26,10.04,10.27,9.96,10.23,34800,10.113979
2016-01-25,10.07,10.16,9.77,10.03,56400,9.916247
2016-01-22,9.90,10.16,9.86,10.07,141700,9.955794
2016-01-21,9.51,10.34,9.49,9.69,120000,9.580103
2016-01-20,9.63,9.63,9.01,9.42,116400,9.313166
2016-01-19,10.16,10.27,9.75,9.79,97500,9.678969
2016-01-15,10.07,10.21,9.76,10.15,146300,9.92119
2016-01-14,10.64,10.64,10.03,10.37,139400,10.136231
2016-01-13,11.32,11.42,10.63,10.70,144400,10.458792
2016-01-12,11.63,11.73,11.17,11.20,106300,10.947521
2016-01-11,11.93,11.93,11.36,11.48,80700,11.221208
2016-01-08,11.84,12.11,11.80,11.83,54100,11.563319
2016-01-07,11.93,12.01,11.75,11.78,45200,11.514446
2016-01-06,12.02,12.04,11.91,12.02,30700,11.749036
2016-01-05,11.95,12.05,11.72,11.96,43600,11.690388
2016-01-04,11.53,11.90,11.51,11.85,56600,11.582868
2015-12-31,11.77,11.84,11.73,11.73,73400,11.465573
2015-12-30,11.96,12.07,11.73,11.84,46600,11.573094
2015-12-29,12.28,12.35,11.71,11.89,138200,11.621967
2015-12-28,11.76,12.34,11.44,12.32,151600,12.042273
2015-12-24,11.80,11.80,11.62,11.76,29700,11.494897
2015-12-23,11.50,11.87,11.41,11.72,97400,11.455799
2015-12-22,11.39,11.58,11.26,11.40,73700,11.143012
2015-12-21,11.30,11.34,11.02,11.24,84500,10.986619
2015-12-18,11.51,11.70,11.32,11.32,50800,11.064815
2015-12-17,11.82,11.85,11.53,11.57,78800,11.30918
2015-12-16,11.28,11.90,11.17,11.89,116700,11.621967
2015-12-15,11.21,11.51,10.98,11.25,158900,10.883986
2015-12-14,11.57,11.75,11.19,11.31,149800,10.942035
2015-12-11,11.79,11.85,11.45,11.56,97700,11.183901
2015-12-10,11.61,11.88,11.61,11.85,73800,11.464466
2015-12-09,11.50,11.82,11.50,11.60,70400,11.2226
2015-12-08,11.75,11.89,11.51,11.60,87200,11.2226
2015-12-07,12.03,12.03,11.65,11.92,77300,11.532188
2015-12-04,12.22,12.22,11.81,11.97,73700,11.580562
2015-12-03,12.50,12.55,11.95,12.13,114500,11.735356
2015-12-02,12.34,12.44,12.22,12.41,65100,12.006246
2015-12-01,12.27,12.44,12.19,12.38,78400,11.977223
2015-11-30,12.20,12.25,12.11,12.16,100300,11.76438
2015-11-27,12.22,12.25,12.07,12.13,25700,11.735356
2015-11-25,12.08,12.23,12.01,12.13,67800,11.735356
2015-11-24,12.08,12.20,12.06,12.07,55100,11.677308
2015-11-23,12.00,12.13,11.95,12.04,96000,11.648284
2015-11-20,11.79,12.01,11.79,11.95,57500,11.561212
2015-11-19,11.71,11.88,11.65,11.80,28100,11.416093
2015-11-18,11.93,11.93,11.69,11.72,60400,11.338695
2015-11-17,12.00,12.06,11.71,11.86,72000,11.47414
2015-11-16,11.42,12.07,11.39,12.04,134700,11.537026
2015-11-13,11.40,11.48,11.26,11.38,58800,10.904597
2015-11-12,11.42,11.57,11.25,11.32,44200,10.847103
2015-11-11,11.25,11.68,11.20,11.46,98600,10.981255
2015-11-10,11.03,11.49,10.86,11.16,165300,10.693788
2015-11-09,10.75,10.94,10.75,10.86,71000,10.40632
2015-11-06,10.61,10.91,10.54,10.77,59100,10.320081
2015-11-05,10.47,10.85,10.47,10.77,91600,10.320081
2015-11-04,10.14,10.58,10.11,10.49,106100,10.051777
2015-11-03,9.88,10.16,9.88,10.07,44600,9.649323
2015-11-02,9.75,9.93,9.61,9.87,62200,9.457678
2015-10-30,9.69,9.84,9.47,9.76,95300,9.352273
2015-10-29,9.71,9.74,9.57,9.64,27300,9.237287
2015-10-28,9.84,9.90,9.70,9.74,29500,9.333108
2015-10-27,9.81,9.84,9.72,9.75,34100,9.342691
2015-10-26,9.91,9.98,9.85,9.85,30300,9.438514
2015-10-23,9.91,10.01,9.90,9.95,37800,9.534336
2015-10-22,9.78,9.94,9.75,9.88,28100,9.46726
2015-10-21,9.91,9.92,9.74,9.74,44100,9.333108
2015-10-20,9.94,10.01,9.92,9.93,19900,9.515172
2015-10-19,9.93,10.01,9.91,9.97,23500,9.553501
2015-10-16,9.95,10.06,9.90,9.94,35300,9.524753
2015-10-15,10.09,10.09,9.95,10.00,66700,9.472051
2015-10-14,9.95,10.05,9.90,10.01,45400,9.481524
2015-10-13,9.98,10.01,9.97,9.98,29900,9.453107
2015-10-12,10.03,10.03,9.97,10.03,39900,9.500467
2015-10-09,10.02,10.02,9.95,10.01,38800,9.481524
2015-10-08,9.95,10.05,9.81,9.98,49800,9.453107
2015-10-07,9.73,9.97,9.65,9.95,48200,9.424691
2015-10-06,9.63,9.74,9.50,9.67,65900,9.159474
2015-10-05,9.40,9.66,9.40,9.60,55000,9.09317
2015-10-02,9.25,9.47,9.25,9.44,25600,8.941616
2015-10-01,9.11,9.34,9.10,9.32,91100,8.827951
2015-09-30,9.07,9.30,9.04,9.05,82000,8.572207
2015-09-29,9.26,9.46,9.05,9.07,103600,8.59115
2015-09-28,9.62,9.62,9.16,9.17,89300,8.685871
2015-09-25,9.80,9.80,9.60,9.62,48500,9.112113
2015-09-24,9.79,9.79,9.58,9.67,49700,9.159474
2015-09-23,9.82,10.09,9.79,9.79,36700,9.273138
2015-09-22,9.82,9.94,9.82,9.86,38500,9.339442
2015-09-21,9.87,9.96,9.87,9.90,42600,9.37733
2015-09-18,9.87,10.14,9.85,9.86,101000,9.339442
2015-09-17,9.99,10.04,9.90,9.96,74800,9.434163
2015-09-16,10.07,10.15,9.96,10.06,45500,9.528884
2015-09-15,10.20,10.30,10.09,10.11,57300,9.467315
