Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,22.93,22.93,22.42,22.559999,139200,22.559999
2016-03-10,22.799999,22.85,22.719999,22.77,86800,22.77
2016-03-09,22.59,22.860001,22.42,22.719999,83000,22.719999
2016-03-08,22.209999,22.59,22.209999,22.59,57500,22.469
2016-03-07,22.450001,22.58,22.200001,22.290001,92900,22.170607
2016-03-04,22.219999,22.559999,22.139999,22.559999,81400,22.43916
2016-03-03,22.280001,22.280001,22.02,22.17,65800,22.051249
2016-03-02,22.16,22.34,22.02,22.34,79800,22.220339
2016-03-01,21.719999,22.290001,21.719999,22.209999,110200,22.091034
2016-02-29,21.84,22.00,21.629999,21.690001,143900,21.573821
2016-02-26,21.620001,21.85,21.49,21.790001,68500,21.673286
2016-02-25,21.450001,21.610001,21.24,21.58,74400,21.464409
2016-02-24,21.030001,21.379999,21.00,21.379999,125100,21.26548
2016-02-23,20.93,21.200001,20.889999,21.09,126100,20.977034
2016-02-22,21.00,21.00,20.68,20.860001,104300,20.748267
2016-02-19,20.809999,20.98,20.50,20.77,107000,20.658749
2016-02-18,20.59,20.950001,20.469999,20.809999,89400,20.698533
2016-02-17,20.01,20.58,20.01,20.57,59800,20.459819
2016-02-16,20.02,20.10,19.879999,19.889999,86100,19.783461
2016-02-12,20.10,20.290001,19.92,19.92,50900,19.813301
2016-02-11,19.870001,20.360001,19.860001,20.16,161800,20.052015
2016-02-10,20.379999,20.68,19.889999,19.950001,102400,19.843141
2016-02-09,20.610001,20.75,20.33,20.33,119500,20.221105
2016-02-08,21.01,21.01,20.83,20.92,83900,20.687594
2016-02-05,20.98,21.16,20.92,21.120001,102900,20.885373
2016-02-04,21.040001,21.17,21.00,21.030001,62600,20.796372
2016-02-03,21.049999,21.200001,20.98,21.09,116600,20.855705
2016-02-02,20.709999,21.030001,20.700001,21.00,110400,20.766705
2016-02-01,20.559999,20.98,20.559999,20.879999,148300,20.648037
2016-01-29,20.51,20.74,20.309999,20.719999,137200,20.489815
2016-01-28,20.27,20.51,20.16,20.35,129200,20.123926
2016-01-27,19.959999,20.25,19.940001,20.18,140200,19.955815
2016-01-26,19.959999,20.15,19.889999,20.02,121900,19.797592
2016-01-25,19.90,20.129999,19.690001,19.860001,137400,19.63937
2016-01-22,19.34,20.030001,19.34,20.02,147900,19.797592
2016-01-21,19.040001,19.370001,19.040001,19.190001,108000,18.976813
2016-01-20,19.299999,19.33,18.57,18.950001,165900,18.73948
2016-01-19,19.549999,19.629999,19.43,19.530001,98600,19.313036
2016-01-15,19.49,19.690001,19.33,19.50,165800,19.283369
2016-01-14,19.700001,19.98,19.629999,19.860001,102900,19.63937
2016-01-13,19.950001,20.00,19.709999,19.76,119100,19.540481
2016-01-12,20.24,20.24,19.790001,19.969999,76500,19.748147
2016-01-11,20.07,20.190001,19.969999,20.07,90200,19.847036
2016-01-08,20.299999,20.309999,20.040001,20.040001,131200,19.817371
2016-01-07,20.370001,20.559999,20.24,20.280001,105900,20.054704
2016-01-06,20.49,20.67,20.48,20.57,122500,20.341482
2016-01-05,20.48,20.57,20.360001,20.559999,65100,20.331592
2016-01-04,20.280001,20.440001,20.219999,20.42,135500,20.193148
2015-12-31,20.83,20.879999,20.559999,20.57,78300,20.341482
2015-12-30,20.66,20.91,20.66,20.889999,101800,20.657926
2015-12-29,20.60,20.719999,20.59,20.709999,64200,20.479926
2015-12-28,20.379999,20.549999,20.379999,20.549999,66800,20.321703
2015-12-24,20.530001,20.629999,20.379999,20.549999,38900,20.202048
2015-12-23,20.290001,20.49,20.23,20.49,68100,20.143064
