Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.030001,17.049999,16.92,16.92,80700,16.92
2016-03-10,17.00,17.040001,16.99,17.01,27700,17.01
2016-03-09,17.030001,17.129999,17.030001,17.040001,121500,16.970001
2016-03-08,17.02,17.08,17.01,17.040001,44500,16.970001
2016-03-07,16.99,17.049999,16.98,16.99,67300,16.920206
2016-03-04,17.07,17.10,16.99,16.99,131800,16.920206
2016-03-03,17.01,17.07,16.959999,17.07,72500,16.999877
2016-03-02,17.040001,17.120001,16.90,16.969999,199900,16.900287
2016-03-01,17.16,17.17,17.08,17.110001,65000,17.039714
2016-02-29,17.07,17.15,17.02,17.129999,94700,17.05963
2016-02-26,16.940001,17.07,16.879999,17.040001,111100,16.970001
2016-02-25,17.07,17.08,17.030001,17.08,54200,17.009836
2016-02-24,17.030001,17.059999,17.01,17.02,60700,16.950083
2016-02-23,16.83,17.01,16.83,16.959999,76100,16.890328
2016-02-22,16.85,16.92,16.85,16.860001,119100,16.790741
2016-02-19,16.76,16.91,16.76,16.879999,69800,16.810657
2016-02-18,16.74,16.870001,16.709999,16.799999,108000,16.730986
2016-02-17,16.66,16.709999,16.620001,16.629999,164700,16.561684
2016-02-16,16.940001,16.940001,16.73,16.73,276400,16.661274
2016-02-12,17.10,17.18,16.98,16.98,75700,16.910247
2016-02-11,17.18,17.25,17.10,17.10,134800,17.029754
2016-02-10,17.200001,17.23,17.16,17.17,102900,17.099467
2016-02-09,17.110001,17.25,17.07,17.25,158700,17.109425
2016-02-08,17.08,17.120001,17.049999,17.07,153500,16.930892
2016-02-05,17.09,17.18,17.059999,17.10,149400,16.960648
2016-02-04,17.02,17.09,16.950001,17.02,116200,16.8813
2016-02-03,17.040001,17.08,17.00,17.02,110300,16.8813
2016-02-02,16.940001,17.049999,16.940001,17.040001,67200,16.901137
2016-02-01,16.940001,17.040001,16.92,16.940001,200500,16.801952
2016-01-29,16.860001,16.98,16.860001,16.940001,145600,16.801952
2016-01-28,16.809999,16.889999,16.799999,16.85,119800,16.712685
2016-01-27,16.790001,16.889999,16.790001,16.799999,104700,16.663092
2016-01-26,16.75,16.84,16.719999,16.799999,94600,16.663092
2016-01-25,16.67,16.799999,16.66,16.700001,91600,16.563908
2016-01-22,16.700001,16.90,16.66,16.690001,217800,16.553989
2016-01-21,16.73,16.860001,16.58,16.690001,262200,16.553989
2016-01-20,16.469999,16.73,16.120001,16.700001,755700,16.563908
2016-01-19,16.58,16.58,16.389999,16.40,102200,16.266352
2016-01-15,16.49,16.66,16.370001,16.52,261300,16.385375
2016-01-14,16.440001,16.49,16.40,16.48,114200,16.3457
2016-01-13,16.49,16.549999,16.43,16.440001,123900,16.306027
2016-01-12,16.610001,16.66,16.52,16.549999,138800,16.345699
2016-01-11,16.60,16.629999,16.559999,16.58,105500,16.375329
2016-01-08,16.52,16.620001,16.52,16.57,119700,16.365453
2016-01-07,16.43,16.58,16.43,16.52,158300,16.316071
2016-01-06,16.41,16.51,16.379999,16.41,147100,16.207428
2016-01-05,16.389999,16.41,16.33,16.389999,139900,16.187674
2016-01-04,16.33,16.379999,16.280001,16.360001,98200,16.158046
2015-12-31,16.290001,16.35,16.25,16.25,110400,16.049403
2015-12-30,16.120001,16.25,16.120001,16.25,110300,16.049403
2015-12-29,16.129999,16.190001,16.10,16.110001,89200,15.911132
2015-12-28,16.049999,16.25,16.01,16.219999,155300,16.019773
2015-12-24,16.040001,16.08,16.01,16.030001,23800,15.83212
2015-12-23,16.030001,16.110001,16.01,16.02,83500,15.822243
2015-12-22,16.030001,16.049999,15.96,16.030001,91100,15.83212
2015-12-21,15.96,16.00,15.91,16.00,41800,15.802489
2015-12-18,15.89,16.030001,15.83,15.95,99100,15.753106
2015-12-17,15.76,15.87,15.74,15.86,115200,15.664217
2015-12-16,15.65,15.76,15.61,15.76,66200,15.565452
2015-12-15,15.56,15.71,15.53,15.68,110000,15.48644
2015-12-14,15.83,15.85,15.60,15.61,143600,15.417303
2015-12-11,15.85,15.92,15.85,15.86,86800,15.664217
2015-12-10,15.84,15.87,15.77,15.85,71400,15.654341
2015-12-09,15.76,15.86,15.71,15.80,118600,15.604958
2015-12-08,15.70,15.79,15.64,15.78,144800,15.516069
2015-12-07,15.83,15.84,15.64,15.66,115900,15.398076
2015-12-04,15.77,15.89,15.75,15.80,119400,15.535735
2015-12-03,15.94,15.94,15.75,15.76,101400,15.496404
2015-12-02,15.97,15.99,15.83,15.99,101600,15.722556
2015-12-01,15.73,15.97,15.73,15.97,146600,15.702891
2015-11-30,15.75,15.78,15.60,15.64,184900,15.378411
2015-11-27,15.82,15.83,15.70,15.71,31400,15.44724
2015-11-25,15.76,15.93,15.75,15.75,103200,15.486571
2015-11-24,15.72,15.81,15.70,15.78,77400,15.516069
2015-11-23,15.60,15.68,15.60,15.65,72600,15.388243
2015-11-20,15.68,15.68,15.62,15.63,52300,15.368578
2015-11-19,15.68,15.74,15.62,15.64,70500,15.378411
2015-11-18,15.64,15.67,15.60,15.64,71900,15.378411
2015-11-17,15.65,15.66,15.59,15.64,48500,15.378411
2015-11-16,15.80,15.80,15.67,15.68,82000,15.417742
2015-11-13,15.70,15.76,15.65,15.76,72500,15.496404
2015-11-12,15.63,15.67,15.60,15.66,60700,15.398076
