Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,33.419998,33.639999,33.150002,33.560001,206400,33.560001
2016-03-10,33.25,33.509998,32.349998,32.700001,306600,32.700001
2016-03-09,33.529999,34.00,33.23,33.32,275900,33.32
2016-03-08,33.419998,33.529999,32.73,33.110001,265600,33.110001
2016-03-07,33.200001,34.00,33.119999,33.57,336500,33.57
2016-03-04,32.82,33.209999,32.610001,33.139999,272500,33.139999
2016-03-03,32.279999,33.040001,32.18,32.669998,296200,32.669998
2016-03-02,31.809999,32.400002,31.190001,32.349998,289000,32.349998
2016-03-01,32.110001,32.400002,31.690001,32.150002,238500,32.046001
2016-02-29,31.690001,32.299999,31.51,31.860001,240500,31.756938
2016-02-26,32.139999,32.34,31.280001,31.57,241300,31.467875
2016-02-25,31.219999,31.629999,30.700001,31.50,206800,31.398102
2016-02-24,29.870001,31.450001,29.790001,31.299999,335700,31.198748
2016-02-23,30.950001,31.24,30.190001,30.90,301200,30.800042
2016-02-22,31.32,31.799999,31.08,31.27,357700,31.168846
2016-02-19,30.129999,30.969999,29.950001,30.82,364100,30.720301
2016-02-18,31.35,31.370001,30.360001,30.719999,246100,30.620624
2016-02-17,30.16,30.959999,29.809999,30.93,354600,30.829946
2016-02-16,30.299999,30.370001,29.24,29.60,299900,29.504248
2016-02-12,29.60,30.17,29.190001,29.67,397600,29.574022
2016-02-11,29.129999,29.75,28.469999,29.120001,379100,29.025802
2016-02-10,30.299999,30.66,29.68,29.73,335700,29.633827
2016-02-09,30.76,31.059999,30.10,30.58,581900,30.481078
2016-02-08,30.50,31.49,30.290001,31.24,323300,31.138943
2016-02-05,31.440001,31.879999,30.90,31.40,626900,31.298425
2016-02-04,31.030001,31.83,30.959999,31.76,544500,31.657261
2016-02-03,30.049999,30.75,28.74,30.74,608700,30.64056
2016-02-02,28.50,29.40,28.27,29.26,622100,29.165348
2016-02-01,30.09,30.209999,29.209999,29.98,299400,29.883018
2016-01-29,30.700001,30.870001,30.02,30.610001,417100,30.510981
2016-01-28,29.780001,30.75,29.450001,30.60,573000,30.501014
2016-01-27,28.84,29.67,28.299999,28.870001,489600,28.77661
2016-01-26,28.40,29.18,28.07,28.93,277200,28.836416
2016-01-25,28.65,28.940001,27.58,27.639999,460900,27.550588
2016-01-22,27.93,29.16,27.93,29.030001,775400,28.936093
2016-01-21,26.540001,27.540001,26.209999,27.120001,697000,27.032271
2016-01-20,26.370001,26.879999,25.549999,26.50,679300,26.414276
2016-01-19,28.07,28.370001,26.790001,27.25,578200,27.16185
2016-01-15,28.35,28.780001,27.780001,28.690001,417000,28.597192
2016-01-14,28.32,29.59,28.290001,29.379999,361100,29.284959
2016-01-13,29.41,29.629999,27.870001,28.15,282400,28.058938
2016-01-12,29.290001,29.42,28.049999,29.10,735800,29.005866
2016-01-11,30.10,30.200001,28.85,28.98,561500,28.886253
2016-01-08,30.120001,30.27,29.360001,29.93,262500,29.833181
2016-01-07,30.200001,30.92,29.959999,30.09,234200,29.992663
2016-01-06,31.34,31.620001,30.90,31.030001,235600,30.929623
2016-01-05,31.870001,32.279999,31.51,32.060001,343700,31.956292
2016-01-04,32.310001,32.669998,31.780001,32.150002,369700,32.046001
2015-12-31,32.209999,32.75,32.209999,32.52,155000,32.414803
2015-12-30,32.720001,32.880001,32.150002,32.450001,165700,32.345029
2015-12-29,32.950001,33.32,32.599998,32.91,331300,32.80354
2015-12-28,32.200001,32.869999,31.99,32.619999,246300,32.514478
2015-12-24,32.799999,33.060001,32.580002,32.830002,85300,32.723801
2015-12-23,31.84,32.959999,31.84,32.84,314900,32.733767
2015-12-22,30.98,31.530001,30.40,31.459999,299400,31.35823
2015-12-21,31.030001,31.57,30.629999,30.879999,241100,30.780107
2015-12-18,30.32,31.719999,30.24,31.15,398500,31.049234
2015-12-17,30.389999,30.66,30.110001,30.48,416100,30.381401
2015-12-16,30.059999,30.870001,29.879999,30.620001,479700,30.520949
2015-12-15,29.92,30.629999,29.92,30.32,288400,30.221919
2015-12-14,28.91,29.799999,28.66,29.73,338200,29.633827
2015-12-11,29.48,29.549999,28.879999,28.969999,282000,28.876285
2015-12-10,29.700001,30.58,29.65,30.01,181100,29.912922
2015-12-09,29.77,31.02,29.74,29.99,208400,29.892986
2015-12-08,29.41,30.18,29.299999,29.790001,288600,29.693634
2015-12-07,30.76,30.76,29.75,29.92,286400,29.823213
2015-12-04,31.639999,31.879999,30.98,31.32,260100,31.218684
2015-12-03,32.110001,32.41,31.90,32.060001,214100,31.956292
2015-12-02,32.23,32.73,31.73,31.84,286900,31.737002
2015-12-01,32.43,32.939999,32.43,32.639999,231400,32.534413
2015-11-30,31.93,32.610001,31.91,32.43,470900,32.220434
2015-11-27,31.879999,32.00,31.629999,31.809999,72300,31.60444
2015-11-25,32.290001,32.610001,31.92,32.209999,493900,32.001855
2015-11-24,32.040001,32.950001,31.959999,32.529999,316900,32.319787
2015-11-23,31.16,32.209999,31.01,31.690001,293600,31.485217
2015-11-20,31.76,32.049999,31.299999,31.370001,160300,31.167285
2015-11-19,31.84,32.25,31.52,31.889999,222300,31.683923
2015-11-18,32.290001,32.650002,31.67,32.00,470900,31.793213
2015-11-17,32.029999,32.419998,31.610001,32.169998,260500,31.962113
2015-11-16,31.08,32.09,31.01,31.99,208500,31.783277
2015-11-13,31.059999,31.50,30.799999,31.049999,208200,30.849351
2015-11-12,31.440001,31.99,31.16,31.27,237100,31.067931
2015-11-11,32.419998,32.720001,31.84,31.959999,248200,31.75347
2015-11-10,32.040001,32.48,31.870001,32.450001,215600,32.240306
2015-11-09,32.790001,33.310001,31.879999,32.240002,470500,32.031664
2015-11-06,33.360001,33.630001,32.68,32.810001,816700,32.59798
2015-11-05,33.73,34.32,33.700001,33.790001,748100,33.571647
2015-11-04,34.080002,34.41,33.59,33.889999,668300,33.670999
2015-11-03,33.529999,34.41,33.360001,34.34,550900,34.118092
2015-11-02,33.259998,33.509998,33.18,33.389999,599700,33.17423
2015-10-30,33.650002,33.700001,33.049999,33.25,697500,33.035135
2015-10-29,33.18,33.709999,33.060001,33.509998,479700,33.293453
2015-10-28,32.779999,33.560001,32.709999,33.240002,469400,33.025202
2015-10-27,32.810001,33.139999,32.459999,32.599998,554300,32.389334
2015-10-26,33.09,33.470001,32.970001,33.189999,700700,32.975522
2015-10-23,33.200001,33.599998,32.91,33.189999,258100,32.975522
2015-10-22,33.380001,33.900002,33.23,33.490002,490800,33.273586
2015-10-21,33.240002,33.419998,32.889999,33.16,275000,32.945717
2015-10-20,33.360001,33.970001,32.98,33.48,249100,33.263649
2015-10-19,34.259998,34.349998,33.080002,33.240002,395800,33.025202
2015-10-16,34.790001,35.00,34.259998,34.580002,298800,34.356542
2015-10-15,34.540001,34.860001,34.119999,34.639999,223100,34.416152
2015-10-14,34.25,34.970001,34.25,34.779999,249000,34.555247
2015-10-13,34.130001,34.849998,33.869999,34.27,281200,34.048544
2015-10-12,34.82,35.049999,34.00,34.450001,455600,34.227382
2015-10-09,34.830002,35.400002,34.759998,35.25,408100,35.022211
2015-10-08,33.619999,34.939999,33.459999,34.740002,352000,34.515508
2015-10-07,34.099998,34.849998,33.349998,33.59,493800,33.372938
2015-10-06,32.450001,33.830002,32.389999,33.700001,366200,33.482228
2015-10-05,32.299999,32.799999,32.130001,32.419998,513900,32.210497
2015-10-02,31.01,31.92,31.01,31.83,347200,31.624311
2015-10-01,32.389999,32.560001,30.92,31.16,393200,30.958641
2015-09-30,31.389999,32.02,30.950001,31.610001,366000,31.405734
2015-09-29,30.84,31.549999,30.780001,31.17,235000,30.968577
2015-09-28,31.01,31.17,30.74,30.76,301300,30.561226
2015-09-25,31.389999,31.440001,30.91,31.27,402500,31.067931
2015-09-24,30.379999,31.120001,30.35,31.040001,519200,30.839417
2015-09-23,32.310001,32.529999,31.00,31.040001,347500,30.839417
2015-09-22,31.99,32.310001,31.719999,32.139999,277500,31.932308
2015-09-21,32.049999,32.73,31.83,32.470001,398000,32.260177
2015-09-18,32.049999,32.209999,31.309999,31.889999,408500,31.683923
2015-09-17,32.040001,32.84,31.370001,32.290001,553300,32.08134
2015-09-16,31.049999,32.18,31.049999,32.09,661400,31.882631
2015-09-15,31.459999,31.99,30.60,30.66,584500,30.461872
2015-09-14,31.73,31.73,30.950001,31.24,445200,31.038124
2015-09-11,32.290001,32.419998,31.74,31.77,253700,31.5647
2015-09-10,32.490002,32.990002,32.110001,32.66,213900,32.448948
2015-09-09,33.48,33.970001,32.389999,32.470001,287500,32.260177
2015-09-08,33.400002,33.779999,33.009998,33.400002,229500,33.184167
2015-09-04,32.52,33.27,32.50,32.98,284500,32.76688
2015-09-03,33.529999,34.529999,32.950001,33.130001,665300,32.915912
2015-09-02,33.889999,34.049999,32.439999,33.59,523700,33.372938
2015-09-01,34.32,34.599998,33.470001,33.75,434900,33.426588
2015-08-31,34.00,35.490002,32.779999,35.25,625500,34.912214
2015-08-28,32.59,34.889999,32.59,34.48,673900,34.149592
2015-08-27,32.330002,33.360001,32.290001,33.23,2114900,32.91157
2015-08-26,32.34,32.549999,31.59,31.790001,1239400,31.485371
2015-08-25,33.599998,33.82,31.700001,31.77,873600,31.465562
2015-08-24,32.119999,33.740002,32.110001,32.700001,1214900,32.38665
2015-08-21,34.439999,35.16,34.009998,34.009998,332500,33.684095
2015-08-20,35.09,35.32,34.669998,34.73,214200,34.397197
2015-08-19,36.150002,36.240002,34.799999,35.310001,360600,34.97164
2015-08-18,36.240002,36.68,35.77,36.400002,269800,36.051196
2015-08-17,36.419998,36.580002,36.09,36.310001,181700,35.962058
2015-08-14,36.889999,37.189999,36.599998,36.73,291300,36.378031
2015-08-13,37.200001,37.41,36.18,36.610001,361700,36.259182
2015-08-12,37.75,38.02,37.16,37.599998,287500,37.239694
2015-08-11,37.099998,37.599998,36.59,37.599998,418800,37.239694
2015-08-10,36.48,37.73,36.240002,37.599998,290300,37.239694
2015-08-07,36.990002,37.00,36.259998,36.450001,248000,36.100716
2015-08-06,36.25,37.07,36.009998,37.009998,386200,36.655347
2015-08-05,36.52,36.91,36.02,36.360001,352900,36.011578
2015-08-04,36.16,37.009998,36.16,36.18,385200,35.833303
2015-08-03,36.709999,36.950001,36.00,36.130001,477400,35.783782
2015-07-31,37.470001,37.610001,36.639999,37.02,506900,36.665253
2015-07-30,35.98,37.330002,35.950001,37.23,467600,36.87324
2015-07-29,35.389999,36.150002,35.029999,36.009998,322100,35.66493
2015-07-28,34.630001,35.490002,34.380001,35.400002,440500,35.060778
2015-07-27,34.66,35.009998,34.400002,34.619999,260900,34.28825
