Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.90,12.90,12.86,12.86,90300,12.86
2016-03-10,12.86,12.92,12.86,12.90,103500,12.90
2016-03-09,12.93,12.99,12.92,12.92,90800,12.856
2016-03-08,12.94,12.96,12.93,12.93,84300,12.865951
2016-03-07,12.95,12.98,12.88,12.93,146200,12.865951
2016-03-04,12.98,13.02,12.92,12.92,159900,12.856
2016-03-03,12.94,13.00,12.94,12.98,99000,12.915702
2016-03-02,12.98,12.98,12.92,12.94,80800,12.8759
2016-03-01,12.99,13.00,12.94,12.98,173000,12.915702
2016-02-29,12.95,12.98,12.92,12.98,117400,12.915702
2016-02-26,12.96,12.96,12.91,12.91,105400,12.846049
2016-02-25,12.99,13.01,12.97,12.99,152800,12.925653
2016-02-24,12.98,13.01,12.93,12.98,73600,12.915702
2016-02-23,12.87,12.97,12.86,12.97,73000,12.905753
2016-02-22,12.94,12.94,12.82,12.87,157700,12.806248
2016-02-19,12.94,12.94,12.86,12.90,107300,12.836099
2016-02-18,12.94,12.94,12.87,12.91,193100,12.846049
2016-02-17,12.89,12.91,12.84,12.88,113700,12.816198
2016-02-16,12.86,12.95,12.84,12.84,127500,12.776396
2016-02-12,13.02,13.05,12.90,12.99,165700,12.925653
2016-02-11,13.08,13.08,12.99,13.00,296300,12.935604
2016-02-10,13.07,13.10,13.03,13.04,118500,12.975405
2016-02-09,13.03,13.09,13.00,13.09,177500,12.961475
2016-02-08,13.02,13.03,12.97,13.03,70800,12.902064
2016-02-05,13.02,13.03,12.95,13.02,135700,12.892163
2016-02-04,13.00,13.03,12.97,13.02,107900,12.892163
2016-02-03,12.99,13.02,12.97,12.98,102100,12.852555
2016-02-02,12.98,13.03,12.94,12.96,113100,12.832752
2016-02-01,12.94,13.00,12.93,12.98,89100,12.852555
2016-01-29,12.94,12.99,12.91,12.97,166000,12.842654
2016-01-28,12.86,12.94,12.82,12.94,70200,12.812947
2016-01-27,12.82,12.87,12.81,12.85,44600,12.723832
2016-01-26,12.77,12.85,12.74,12.77,120000,12.644618
2016-01-25,12.88,12.88,12.80,12.80,59500,12.674323
2016-01-22,12.79,12.92,12.76,12.84,80300,12.71393
2016-01-21,12.73,12.74,12.67,12.73,69700,12.605009
2016-01-20,12.76,12.76,12.55,12.72,131800,12.595108
