Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,6.54,6.65,6.53,6.65,164600,6.65
2016-03-10,6.56,6.62,6.42,6.45,234100,6.45
2016-03-09,6.66,6.78,6.54,6.55,183400,6.55
2016-03-08,6.81,6.85,6.59,6.63,343500,6.63
2016-03-07,6.79,6.88,6.67,6.88,274200,6.88
2016-03-04,6.85,7.01,6.74,6.77,269500,6.77
2016-03-03,6.60,6.87,6.57,6.85,286400,6.85
2016-03-02,6.47,6.60,6.46,6.57,222200,6.57
2016-03-01,6.50,6.52,6.41,6.45,188300,6.45
2016-02-29,6.41,6.61,6.40,6.43,167500,6.43
2016-02-26,6.55,6.62,6.43,6.45,130500,6.45
2016-02-25,6.32,6.54,6.32,6.51,139700,6.51
2016-02-24,6.25,6.50,6.23,6.38,259000,6.32
2016-02-23,6.43,6.69,6.33,6.34,313400,6.280377
2016-02-22,6.78,6.78,6.49,6.50,334700,6.438872
2016-02-19,6.80,6.90,6.67,6.70,315500,6.636991
2016-02-18,6.60,6.84,6.60,6.80,411700,6.736051
2016-02-17,6.54,6.56,6.48,6.50,215800,6.438872
2016-02-16,6.47,6.55,6.31,6.46,156500,6.399248
2016-02-12,6.22,6.27,6.12,6.22,215700,6.161505
2016-02-11,6.19,6.27,6.16,6.18,248100,6.121881
2016-02-10,6.27,6.54,6.20,6.27,193900,6.211035
2016-02-09,6.33,6.45,6.27,6.27,179800,6.211035
2016-02-08,6.50,6.68,6.28,6.39,178700,6.329906
2016-02-05,6.70,6.74,6.55,6.56,164300,6.498307
2016-02-04,6.72,6.88,6.68,6.70,171900,6.636991
2016-02-03,6.81,6.82,6.68,6.71,176800,6.646897
2016-02-02,6.79,6.83,6.70,6.73,163100,6.666709
2016-02-01,6.78,6.95,6.75,6.80,161100,6.736051
2016-01-29,6.76,6.90,6.76,6.81,313100,6.745956
2016-01-28,6.76,6.92,6.67,6.70,162900,6.636991
2016-01-27,6.94,6.94,6.65,6.72,182800,6.656802
2016-01-26,6.92,7.14,6.86,6.98,147100,6.854922
2016-01-25,6.93,6.99,6.82,6.85,208200,6.727251
2016-01-22,6.92,7.03,6.86,6.88,340600,6.756714
2016-01-21,6.96,7.13,6.77,6.81,254400,6.687968
2016-01-20,6.63,6.95,6.10,6.87,654200,6.746893
2016-01-19,7.04,7.04,6.61,6.70,307500,6.579939
2016-01-15,6.87,7.04,6.71,6.98,246600,6.854922
2016-01-14,6.90,7.07,6.86,7.02,219900,6.894205
2016-01-13,7.11,7.15,6.81,6.84,234500,6.71743
2016-01-12,7.23,7.23,6.97,7.11,192700,6.982592
2016-01-11,7.20,7.29,7.14,7.15,132500,7.021875
2016-01-08,7.31,7.34,7.14,7.20,201600,7.070979
2016-01-07,7.41,7.48,7.30,7.32,175100,7.188829
2016-01-06,7.46,7.78,7.43,7.50,165800,7.365603
2016-01-05,7.47,7.57,7.39,7.46,217600,7.32632
2016-01-04,7.47,7.55,7.32,7.48,216800,7.345962
2015-12-31,7.60,7.69,7.50,7.51,129900,7.375424
2015-12-30,7.77,7.86,7.57,7.57,138700,7.434349
2015-12-29,7.70,7.78,7.67,7.75,125800,7.611124
2015-12-28,7.73,7.81,7.57,7.71,227100,7.512916
2015-12-24,7.83,7.87,7.73,7.75,60800,7.551893
2015-12-23,7.67,7.86,7.67,7.78,214100,7.581127
2015-12-22,7.67,7.81,7.58,7.65,161900,7.45445
2015-12-21,7.94,7.94,7.59,7.67,76800,7.473938
2015-12-18,7.63,7.94,7.46,7.94,1376000,7.737036
2015-12-17,7.74,7.81,7.63,7.66,96900,7.464194
2015-12-16,7.52,7.74,7.39,7.70,239100,7.503171
2015-12-15,7.20,7.55,7.17,7.53,265900,7.337517
2015-12-14,7.30,7.35,6.90,7.15,333900,6.967231
2015-12-11,7.15,7.34,7.15,7.27,203700,7.084163
2015-12-10,7.30,7.44,7.20,7.22,135100,7.035441
2015-12-09,7.23,7.48,7.13,7.26,165700,7.074419
2015-12-08,7.59,7.59,6.88,7.08,615500,6.89902
2015-12-07,7.61,7.71,7.53,7.67,157500,7.473938
2015-12-04,7.65,7.78,7.53,7.64,125900,7.444705
2015-12-03,7.67,7.71,7.61,7.66,216900,7.464194
2015-12-02,7.76,7.84,7.63,7.68,101700,7.483682
2015-12-01,7.86,7.93,7.72,7.81,105600,7.610359
2015-11-30,7.87,7.95,7.80,7.82,109100,7.620104
2015-11-27,7.70,7.85,7.68,7.84,55200,7.639593
2015-11-25,7.62,7.70,7.41,7.70,104200,7.503171
2015-11-24,7.55,7.58,7.43,7.55,134300,7.298539
2015-11-23,7.44,7.59,7.41,7.56,127600,7.308206
2015-11-20,7.51,7.59,7.43,7.47,108600,7.221204
2015-11-19,7.55,7.55,7.43,7.45,77800,7.20187
2015-11-18,7.49,7.50,7.37,7.44,92100,7.192203
2015-11-17,7.33,7.62,7.29,7.44,196800,7.192203
2015-11-16,7.28,7.41,7.21,7.31,268100,7.066533
2015-11-13,7.57,7.66,7.28,7.31,403200,7.066533
2015-11-12,7.89,7.94,7.60,7.62,180000,7.366208
2015-11-11,7.93,8.00,7.92,7.96,116100,7.694884
2015-11-10,7.89,8.01,7.89,7.97,138700,7.70455
2015-11-09,8.07,8.07,7.86,7.91,149900,7.646549
2015-11-06,8.00,8.08,7.86,8.07,209900,7.80122
2015-11-05,8.07,8.09,7.92,7.99,133200,7.723884
2015-11-04,8.09,8.11,7.94,8.08,211800,7.810887
2015-11-03,8.08,8.13,8.05,8.10,379200,7.830221
2015-11-02,8.08,8.10,7.87,8.05,459500,7.781886
2015-10-30,7.65,7.87,7.62,7.84,322100,7.578881
2015-10-29,7.52,7.72,7.52,7.65,240400,7.395209
2015-10-28,7.48,7.70,7.47,7.68,237800,7.424209
2015-10-27,7.52,7.60,7.40,7.55,385400,7.240538
2015-10-26,7.72,7.72,7.49,7.55,98900,7.240538
2015-10-23,7.75,7.77,7.66,7.71,158900,7.39398
2015-10-22,7.54,7.66,7.46,7.65,168900,7.336439
2015-10-21,7.61,7.72,7.46,7.47,131200,7.163817
2015-10-20,7.59,7.69,7.59,7.62,245300,7.307668
2015-10-19,7.44,7.63,7.43,7.61,155900,7.298079
2015-10-16,7.57,7.60,7.50,7.52,156400,7.211767
2015-10-15,7.39,7.53,7.31,7.52,146900,7.211767
2015-10-14,7.45,7.50,7.31,7.32,121900,7.019965
2015-10-13,7.50,7.58,7.45,7.45,72700,7.144636
2015-10-12,7.55,7.57,7.50,7.55,134700,7.240538
2015-10-09,7.64,7.65,7.50,7.60,98100,7.288488
2015-10-08,7.45,7.61,7.45,7.58,290600,7.269308
2015-10-07,7.46,7.57,7.44,7.50,170000,7.192587
2015-10-06,7.42,7.50,7.35,7.39,112800,7.087096
2015-10-05,7.41,7.45,7.26,7.41,162300,7.106276
2015-10-02,7.17,7.28,7.12,7.24,236200,6.943244
2015-10-01,7.23,7.23,7.01,7.15,257100,6.856933
2015-09-30,7.02,7.23,6.99,7.21,272600,6.914474
2015-09-29,7.15,7.30,6.98,6.98,247500,6.693901
2015-09-28,7.66,7.78,7.14,7.14,961400,6.847343
2015-09-25,7.79,7.93,7.65,7.73,700800,7.388225
2015-09-24,7.75,7.93,7.68,7.74,236800,7.397783
2015-09-23,7.68,7.79,7.57,7.76,139000,7.416899
2015-09-22,7.69,7.88,7.61,7.70,89900,7.359551
2015-09-21,7.95,7.98,7.73,7.79,183600,7.445572
2015-09-18,7.46,7.96,7.44,7.89,347200,7.541151
2015-09-17,7.30,7.76,7.30,7.49,180900,7.158836
2015-09-16,7.25,7.49,7.20,7.27,154400,6.948564
2015-09-15,7.09,7.40,7.09,7.25,126100,6.929448
2015-09-14,7.05,7.12,7.01,7.11,92600,6.795638
2015-09-11,6.97,7.09,6.96,7.04,110700,6.728733
2015-09-10,7.10,7.13,6.95,7.05,215100,6.705794
2015-09-09,7.28,7.37,7.10,7.11,185200,6.762865
2015-09-08,7.31,7.35,7.22,7.29,103900,6.934076
2015-09-04,7.17,7.26,7.15,7.20,120400,6.84847
2015-09-03,7.32,7.41,7.22,7.22,110800,6.867494
2015-09-02,7.24,7.36,7.16,7.36,140200,7.000659
2015-09-01,7.28,7.36,7.15,7.19,124400,6.838959
2015-08-31,7.40,7.48,7.23,7.41,151400,7.048217
2015-08-28,7.42,7.54,7.27,7.44,79000,7.076753
2015-08-27,7.32,7.54,7.24,7.46,222100,7.095776
2015-08-26,7.35,7.37,7.15,7.31,233400,6.896029
2015-08-25,7.49,7.49,7.20,7.23,250300,6.82056
2015-08-24,7.35,7.40,7.20,7.29,324100,6.877162
2015-08-21,7.62,7.75,7.58,7.58,193800,7.150739
2015-08-20,7.89,7.89,7.73,7.76,120100,7.320546
2015-08-19,7.89,8.03,7.80,7.92,155700,7.471485
2015-08-18,8.04,8.08,7.83,7.96,113600,7.509219
2015-08-17,7.99,8.14,7.95,8.10,144800,7.641291
2015-08-14,7.94,8.02,7.91,8.02,97200,7.565822
2015-08-13,7.95,7.99,7.89,7.97,64600,7.518653
2015-08-12,8.01,8.01,7.81,7.96,154000,7.509219
2015-08-11,7.82,8.01,7.58,8.01,111100,7.556388
2015-08-10,7.89,7.89,7.78,7.86,100900,7.414883
2015-08-07,7.88,7.94,7.79,7.83,76500,7.386581
2015-08-06,8.05,8.05,7.80,7.94,94000,7.490352
2015-08-05,8.22,8.22,7.93,8.05,151700,7.594123
2015-08-04,8.09,8.17,7.97,8.11,121500,7.650724
2015-08-03,8.23,8.23,8.01,8.14,116100,7.679026
2015-07-31,8.30,8.38,8.06,8.17,212100,7.707327
2015-07-30,8.07,8.20,7.95,8.14,301400,7.679026
2015-07-29,7.45,8.18,7.45,8.15,419100,7.688459
2015-07-28,7.50,7.65,7.36,7.40,306000,6.92433
2015-07-27,7.56,7.63,7.46,7.51,153800,7.02726
2015-07-24,7.60,7.70,7.56,7.56,122200,7.074046
2015-07-23,7.81,7.83,7.60,7.60,280200,7.111474
2015-07-22,7.82,7.93,7.81,7.85,114300,7.345404
2015-07-21,7.88,7.97,7.75,7.81,147000,7.307976
2015-07-20,8.07,8.57,7.82,7.85,192700,7.345404
2015-07-17,8.02,8.13,7.94,8.09,155800,7.569978
2015-07-16,8.00,8.13,7.95,8.02,179900,7.504477
2015-07-15,7.96,8.05,7.87,7.98,121000,7.467048
2015-07-14,7.91,7.95,7.86,7.94,107500,7.429619
2015-07-13,7.96,8.06,7.87,7.89,163100,7.382833
