Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.47,13.64,13.34,13.34,47700,13.34
2016-03-10,13.45,13.639,13.45,13.61,30700,13.478
2016-03-09,13.46,13.62,13.45,13.49,45100,13.359164
2016-03-08,13.20,13.49,13.20,13.46,88200,13.329455
2016-03-07,13.25,13.28,13.15,13.20,125100,13.071976
2016-03-04,13.31,13.32,13.21,13.28,83400,13.1512
2016-03-03,12.84,13.37,12.79,13.37,69600,13.240328
2016-03-02,12.88,12.94,12.77,12.91,69700,12.784789
2016-03-01,12.65,12.82,12.59,12.82,71500,12.695662
2016-02-29,12.48,12.62,12.43,12.60,63600,12.477796
2016-02-26,12.42,12.58,12.42,12.50,75400,12.378766
2016-02-25,12.44,12.50,12.33,12.40,133600,12.279735
2016-02-24,12.25,12.43,12.25,12.40,46500,12.279735
2016-02-23,12.40,12.40,12.29,12.31,61200,12.190609
2016-02-22,12.40,12.43,12.32,12.34,26700,12.220318
2016-02-19,12.21,12.29,12.19,12.27,22400,12.150997
2016-02-18,12.29,12.29,12.15,12.25,33800,12.13119
2016-02-17,12.18,12.26,12.05,12.26,45800,12.141094
2016-02-16,12.10,12.14,12.07,12.11,37400,11.992548
2016-02-12,12.04,12.13,11.889,12.12,57200,12.002451
2016-02-11,11.98,12.07,11.91,12.05,102400,11.93313
2016-02-10,12.19,12.22,12.09,12.12,74800,12.002451
2016-02-09,12.28,12.39,12.145,12.25,49200,12.00047
2016-02-08,12.68,12.68,12.40,12.46,51500,12.206193
2016-02-05,12.78,12.821,12.70,12.78,48900,12.519674
2016-02-04,12.83,12.92,12.80,12.80,76900,12.539267
2016-02-03,12.85,13.09,12.819,12.93,54900,12.666619
2016-02-02,12.89,13.00,12.679,12.83,65300,12.568656
2016-02-01,12.58,12.99,12.51,12.99,71700,12.725396
2016-01-29,12.55,12.80,12.55,12.64,78300,12.382526
2016-01-28,12.49,12.59,12.48,12.51,71100,12.255174
2016-01-27,12.48,12.52,12.38,12.39,68800,12.137619
2016-01-26,12.28,12.53,12.28,12.44,40800,12.1866
2016-01-25,12.37,12.49,12.26,12.27,58000,12.020063
2016-01-22,12.29,12.47,12.20,12.47,98500,12.215989
2016-01-21,12.26,12.37,11.96,12.18,119900,11.931897
2016-01-20,12.35,12.35,11.98,12.15,76800,11.902507
2016-01-19,12.65,12.692,12.36,12.38,88400,12.127822
2016-01-15,12.89,12.90,12.585,12.65,67500,12.392322
2016-01-14,13.05,13.09,12.93,13.03,81000,12.764582
2016-01-13,13.48,13.48,13.00,13.01,83100,12.74499
2016-01-12,13.51,13.58,13.48,13.55,106400,13.144679
2016-01-11,13.62,13.69,13.53,13.56,215800,13.15438
2016-01-08,13.71,13.73,13.58,13.67,79400,13.261089
2016-01-07,13.71,13.847,13.70,13.73,90600,13.319294
2016-01-06,13.75,13.86,13.72,13.84,76400,13.426004
2016-01-05,13.70,13.93,13.70,13.80,53600,13.387201
2016-01-04,13.68,13.83,13.55,13.75,37100,13.338696
2015-12-31,13.72,13.81,13.59,13.74,103600,13.328995
2015-12-30,13.60,13.70,13.52,13.67,118900,13.261089
2015-12-29,13.68,13.72,13.57,13.65,125600,13.241687
2015-12-28,13.71,13.71,13.53,13.62,54500,13.212585
2015-12-24,13.74,13.74,13.65,13.71,45800,13.299893
2015-12-23,13.48,13.83,13.48,13.74,123000,13.328995
2015-12-22,13.50,13.51,13.37,13.45,79800,13.04767
2015-12-21,13.67,13.67,13.46,13.48,175200,13.076772
2015-12-18,13.55,13.631,13.52,13.53,71100,13.125277
2015-12-17,13.43,13.57,13.40,13.52,127400,13.115577
2015-12-16,13.20,13.46,13.19,13.43,190100,13.028269
2015-12-15,13.07,13.27,13.07,13.15,207100,12.756644
2015-12-14,13.02,13.14,13.01,13.07,146200,12.679037
2015-12-11,13.54,13.54,13.11,13.13,126300,12.737242
2015-12-10,13.85,13.90,13.69,13.69,87900,13.152439
2015-12-09,13.75,13.99,13.69,13.87,100400,13.325372
2015-12-08,13.86,14.14,13.83,13.92,152800,13.373408
2015-12-07,14.10,14.175,14.00,14.04,67200,13.488696
2015-12-04,14.20,14.285,14.20,14.20,52500,13.642413
2015-12-03,14.20,14.24,14.16,14.20,76600,13.642413
2015-12-02,14.38,14.38,14.25,14.26,82200,13.700058
2015-12-01,14.35,14.438,14.327,14.36,78300,13.796131
2015-11-30,14.32,14.34,14.27,14.32,55000,13.757701
2015-11-27,14.43,14.43,14.30,14.33,13800,13.767309
2015-11-25,14.36,14.46,14.35,14.36,51300,13.796131
2015-11-24,14.44,14.45,14.30,14.32,51100,13.757701
2015-11-23,14.33,14.38,14.26,14.34,85400,13.776916
2015-11-20,14.50,14.524,14.32,14.32,53700,13.757701
2015-11-19,14.48,14.61,14.47,14.49,57400,13.921026
2015-11-18,14.57,14.64,14.51,14.55,62100,13.97867
2015-11-17,14.52,14.60,14.52,14.55,49200,13.97867
2015-11-16,14.62,14.66,14.54,14.60,39100,14.026707
2015-11-13,14.71,14.71,14.60,14.66,48300,14.084351
2015-11-12,14.80,14.87,14.70,14.71,50100,14.132388
2015-11-11,14.95,14.95,14.73,14.82,52000,14.238068
2015-11-10,15.01,15.01,14.88,14.94,45600,14.353356
2015-11-09,15.10,15.24,15.10,15.10,53300,14.380257
2015-11-06,15.20,15.30,15.12,15.26,38400,14.53263
2015-11-05,15.17,15.40,15.08,15.40,216800,14.665957
2015-11-04,15.08,15.20,15.08,15.18,26900,14.456444
2015-11-03,15.30,15.31,15.02,15.09,29200,14.370733
2015-11-02,15.18,15.31,15.14,15.31,79000,14.580247
2015-10-30,14.94,15.17,14.91,15.15,33900,14.427873
2015-10-29,15.00,15.04,14.91,14.94,31600,14.227883
2015-10-28,15.01,15.15,14.98,15.045,48500,14.327878
2015-10-27,15.06,15.10,14.96,15.01,37100,14.294547
2015-10-26,15.06,15.14,15.05,15.09,23500,14.370733
2015-10-23,15.08,15.13,15.07,15.09,48300,14.370733
2015-10-22,15.04,15.24,15.04,15.12,27500,14.399303
2015-10-21,15.08,15.12,15.06,15.10,22000,14.380257
2015-10-20,15.02,15.16,15.02,15.10,48100,14.380257
2015-10-19,15.03,15.16,14.99,15.15,69900,14.427873
2015-10-16,14.91,15.05,14.83,15.04,52000,14.323117
2015-10-15,14.97,15.09,14.90,15.08,28400,14.36121
2015-10-14,15.07,15.071,15.00,15.04,26100,14.323117
2015-10-13,14.90,15.15,14.85,15.06,48700,14.342164
2015-10-12,15.08,15.18,15.06,15.16,39700,14.311689
2015-10-09,14.88,15.34,14.82,15.27,128500,14.415534
2015-10-08,14.62,14.94,14.62,14.92,91800,14.085119
2015-10-07,14.53,14.75,14.53,14.65,123300,13.830227
2015-10-06,14.42,14.54,14.35,14.54,101700,13.726382
2015-10-05,14.25,14.44,14.23,14.42,122900,13.613097
2015-10-02,14.04,14.48,13.88,14.25,127200,13.45261
2015-10-01,14.42,14.42,14.06,14.14,55000,13.348766
2015-09-30,14.39,14.48,14.22,14.42,115800,13.613097
2015-09-29,14.54,14.57,14.25,14.39,89700,13.584776
2015-09-28,14.82,14.82,14.64,14.65,42200,13.830227
2015-09-25,14.90,14.90,14.78,14.80,70300,13.971834
2015-09-24,14.96,14.97,14.73,14.86,76500,14.028476
2015-09-23,14.95,15.02,14.92,15.00,22800,14.160642
2015-09-22,14.91,15.05,14.90,15.01,54800,14.170083
2015-09-21,15.07,15.11,15.02,15.065,51500,14.222004
2015-09-18,14.95,15.13,14.90,15.10,75800,14.255047
2015-09-17,14.90,15.05,14.90,15.05,116700,14.207844
2015-09-16,15.00,15.03,14.85,14.97,85000,14.132321
2015-09-15,15.03,15.06,15.00,15.00,90800,14.160642
2015-09-14,15.10,15.10,15.04,15.04,89300,14.198404
2015-09-11,15.15,15.15,15.045,15.05,40800,14.207844
2015-09-10,15.31,15.31,15.23,15.28,59400,14.30036
2015-09-09,15.26,15.30,15.15,15.27,59200,14.291002
2015-09-08,15.27,15.28,15.22,15.28,23000,14.30036
2015-09-04,15.20,15.28,15.20,15.26,55900,14.281643
2015-09-03,15.23,15.40,15.23,15.26,67900,14.281643
2015-09-02,15.20,15.33,15.10,15.21,86800,14.234848
2015-09-01,15.13,15.21,15.12,15.18,73900,14.206772
2015-08-31,15.17,15.33,15.17,15.17,67700,14.197413
2015-08-28,15.16,15.20,15.07,15.14,66100,14.169336
2015-08-27,15.08,15.197,15.01,15.16,78700,14.188054
2015-08-26,14.96,15.07,14.87,15.05,93900,14.085106
2015-08-25,14.03,14.95,14.03,14.84,84100,13.88857
2015-08-24,14.46,14.839,13.91,14.76,207600,13.813699
2015-08-21,15.43,15.43,15.20,15.20,189700,14.225489
2015-08-20,15.45,15.49,15.26,15.48,88700,14.487537
2015-08-19,15.45,15.60,15.32,15.56,81500,14.562409
2015-08-18,15.30,15.48,15.27,15.45,129800,14.459461
2015-08-17,15.32,15.39,15.25,15.36,124200,14.375231
2015-08-14,15.42,15.54,15.34,15.42,93100,14.431385
2015-08-13,15.55,15.62,15.44,15.49,78100,14.496896
2015-08-12,15.70,15.73,15.46,15.57,95000,14.571767
2015-08-11,15.85,15.91,15.70,15.86,55500,14.719637
2015-08-10,15.74,15.93,15.69,15.92,55200,14.775323
2015-08-07,15.81,15.88,15.68,15.78,52400,14.645389
2015-08-06,15.81,15.88,15.75,15.83,67700,14.691794
2015-08-05,15.90,16.02,15.90,15.90,90700,14.756761
