Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.97,10.01,9.95,10.00,74200,10.00
2016-03-10,10.008,10.05,9.95,9.95,64000,9.899
2016-03-09,10.00,10.08,9.96,9.99,165100,9.938795
2016-03-08,10.03,10.09,10.00,10.01,44700,9.958693
2016-03-07,10.011,10.03,9.987,10.00,41300,9.948744
2016-03-04,9.983,10.03,9.983,10.00,61000,9.948744
2016-03-03,10.02,10.02,9.92,10.01,81200,9.958693
2016-03-02,10.05,10.05,9.95,9.98,96500,9.928846
2016-03-01,10.00,10.09,9.94,10.03,90900,9.97859
2016-02-29,10.00,10.00,9.95,10.00,100100,9.948744
2016-02-26,10.00,10.05,9.97,10.00,37600,9.948744
2016-02-25,10.05,10.09,10.00,10.00,87300,9.948744
2016-02-24,10.00,10.05,10.00,10.05,19700,9.998487
2016-02-23,10.04,10.05,10.00,10.05,34800,9.998487
2016-02-22,10.04,10.09,9.98,10.01,42800,9.958693
2016-02-19,10.01,10.09,9.95,10.08,99600,10.028333
2016-02-18,9.97,10.08,9.86,10.02,53600,9.968642
2016-02-17,9.98,10.03,9.98,10.03,72300,9.97859
2016-02-16,9.869,10.10,9.85,9.97,71300,9.918898
2016-02-12,9.97,9.97,9.84,9.90,68800,9.849256
2016-02-11,9.95,9.993,9.84,9.85,124300,9.799513
2016-02-10,10.13,10.13,9.94,9.94,63600,9.889051
2016-02-09,10.10,10.14,9.99,10.04,30200,9.9378
2016-02-08,10.04,10.15,10.00,10.02,119600,9.918004
2016-02-05,10.10,10.15,10.00,10.05,95800,9.947698
2016-02-04,10.01,10.10,10.00,10.01,43400,9.908106
2016-02-03,9.98,10.08,9.98,10.00,80200,9.898207
2016-02-02,10.03,10.05,9.975,9.999,49700,9.897217
2016-02-01,10.09,10.09,9.99,10.00,53500,9.898207
2016-01-29,9.958,10.00,9.95,9.96,36000,9.858614
2016-01-28,9.92,10.00,9.91,9.97,26400,9.868513
2016-01-27,9.89,10.00,9.82,9.915,38900,9.814072
2016-01-26,9.97,10.00,9.75,9.77,122900,9.670549
2016-01-25,10.00,10.07,9.90,9.96,59800,9.858614
2016-01-22,10.07,10.07,9.91,10.00,82800,9.898207
2016-01-21,9.84,9.95,9.78,9.90,76200,9.799225
2016-01-20,9.90,10.05,9.79,9.84,146600,9.739836
2016-01-19,9.94,10.00,9.92,9.95,50600,9.848716
2016-01-15,10.10,10.10,9.95,9.97,35100,9.868513
2016-01-14,9.94,10.12,9.94,10.00,97700,9.898207
2016-01-13,10.00,10.15,9.978,10.00,51800,9.898207
2016-01-12,10.17,10.17,10.00,10.068,39900,9.915034
2016-01-11,10.08,10.15,10.06,10.10,54000,9.946548
2016-01-08,10.18,10.18,9.91,10.02,57500,9.867764
2016-01-07,10.18,10.18,9.96,9.99,44200,9.838219
2016-01-06,10.05,10.50,9.97,10.08,82200,9.926852
2016-01-05,10.20,10.25,10.014,10.018,78000,9.865793
2016-01-04,10.10,10.12,9.95,10.097,46300,9.943594
2015-12-31,10.01,10.12,9.955,10.078,65900,9.924882
2015-12-30,10.06,10.14,10.01,10.033,79000,9.880566
2015-12-29,10.00,10.20,10.00,10.09,77400,9.9367
2015-12-28,10.02,10.07,9.90,9.90,67000,9.749586
2015-12-24,10.013,10.05,10.013,10.04,17600,9.887459
2015-12-23,10.03,10.10,10.00,10.01,84400,9.857915
2015-12-22,10.04,10.15,10.015,10.03,66500,9.877611
2015-12-21,9.98,10.05,9.98,10.00,86600,9.848067
2015-12-18,10.049,10.10,10.00,10.00,69900,9.848067
2015-12-17,10.00,10.01,10.00,10.01,65200,9.857915
2015-12-16,10.00,10.05,10.00,10.01,42600,9.857915
2015-12-15,10.05,10.05,10.00,10.02,101500,9.867764
2015-12-14,10.07,10.075,9.81,10.00,246800,9.848067
2015-12-11,10.078,10.10,10.03,10.05,78400,9.897308
2015-12-10,10.01,10.15,10.01,10.14,20400,9.98594
2015-12-09,10.11,10.18,10.06,10.10,55200,9.946548
2015-12-08,10.09,10.12,10.04,10.06,91300,9.907156
2015-12-07,10.10,10.18,10.00,10.04,114100,9.887459
2015-12-04,10.20,10.20,10.00,10.05,331600,9.897308
2015-12-03,10.19,10.50,10.15,10.26,101600,10.104117
2015-12-02,10.18,10.19,10.12,10.18,81800,10.025333
2015-12-01,10.12,10.19,10.11,10.13,26000,9.976092
2015-11-30,10.15,10.15,10.06,10.15,115200,9.995788
2015-11-27,10.15,10.15,10.11,10.15,14100,9.995788
2015-11-25,10.20,10.20,10.13,10.13,95400,9.976092
2015-11-24,10.15,10.20,10.10,10.20,114000,10.045028
2015-11-23,10.13,10.20,10.11,10.146,80100,9.991849
2015-11-20,10.165,10.20,10.10,10.20,73600,10.045028
2015-11-19,10.06,10.19,10.06,10.17,47200,10.015484
2015-11-18,10.10,10.12,10.06,10.07,79900,9.917003
2015-11-17,10.05,10.18,10.05,10.12,68100,9.966244
2015-11-16,10.06,10.06,10.00,10.06,113700,9.907156
2015-11-13,10.00,10.06,10.00,10.01,470700,9.857915
