Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,22.52,22.52,22.32,22.48,27800,22.48
2016-03-10,22.620001,22.620001,22.52,22.52,6100,22.393
2016-03-09,22.60,22.639999,22.59,22.60,15600,22.472549
2016-03-08,22.60,22.65,22.559999,22.629999,32400,22.502379
2016-03-07,22.58,22.59,22.559999,22.59,19300,22.462605
2016-03-04,22.50,22.58,22.50,22.559999,21700,22.432774
2016-03-03,22.530001,22.559999,22.50,22.559999,20500,22.432774
2016-03-02,22.559999,22.559999,22.440001,22.50,28900,22.373113
2016-03-01,22.450001,22.51,22.41,22.48,35800,22.353225
2016-02-29,22.41,22.469999,22.32,22.440001,15200,22.313452
2016-02-26,22.50,22.52,22.32,22.450001,26200,22.323395
2016-02-25,22.299999,22.49,22.26,22.48,31000,22.353225
2016-02-24,22.23,22.35,22.209999,22.27,9700,22.14441
2016-02-23,22.27,22.35,22.27,22.34,32200,22.214015
2016-02-22,22.26,22.440001,22.25,22.360001,28400,22.233903
2016-02-19,22.110001,22.379999,22.10,22.23,31500,22.104635
2016-02-18,22.10,22.25,22.02,22.219999,29600,22.094691
2016-02-17,22.049999,22.18,21.93,22.15,49400,22.025086
2016-02-16,22.40,22.40,21.959999,22.059999,39800,21.935594
2016-02-12,22.459999,22.459999,22.07,22.18,55400,22.054918
2016-02-11,22.25,22.450001,22.25,22.389999,38400,22.263732
2016-02-10,22.60,22.60,22.459999,22.50,27200,22.373113
2016-02-09,22.52,22.709999,22.52,22.57,15600,22.316434
2016-02-08,22.870001,22.90,22.629999,22.73,32200,22.474636
2016-02-05,23.049999,23.049999,22.90,22.90,90600,22.642726
2016-02-04,22.90,23.040001,22.90,23.030001,92900,22.771267
2016-02-03,22.889999,23.00,22.83,22.99,74200,22.731715
2016-02-02,22.540001,22.83,22.540001,22.809999,69900,22.553737
2016-02-01,22.73,22.73,22.549999,22.700001,76200,22.444974
2016-01-29,22.549999,22.77,22.50,22.75,62800,22.494412
2016-01-28,22.780001,22.99,22.469999,22.549999,128100,22.296658
2016-01-27,22.639999,22.700001,22.610001,22.67,22500,22.415311
2016-01-26,22.73,22.84,22.629999,22.66,23900,22.405423
2016-01-25,22.860001,22.860001,22.65,22.75,38100,22.494412
2016-01-22,22.629999,22.860001,22.620001,22.83,35900,22.573513
2016-01-21,22.27,22.700001,22.27,22.68,34600,22.425199
2016-01-20,22.309999,22.50,22.209999,22.34,59900,22.089018
2016-01-19,22.57,22.57,22.32,22.48,54200,22.227445
2016-01-15,22.040001,22.51,22.040001,22.43,40000,22.178007
2016-01-14,22.440001,22.59,22.41,22.559999,39400,22.306546
2016-01-13,22.60,22.620001,22.469999,22.51,107500,22.257108
2016-01-12,22.84,22.84,22.65,22.700001,71700,22.319401
2016-01-11,22.68,22.790001,22.65,22.700001,57200,22.319401
2016-01-08,22.780001,22.860001,22.67,22.76,41100,22.378395
2016-01-07,22.60,22.870001,22.60,22.809999,63000,22.427556
2016-01-06,22.639999,22.98,22.639999,22.90,110800,22.516047
2016-01-05,22.83,22.85,22.809999,22.85,60100,22.466886
2016-01-04,22.59,22.75,22.59,22.73,93600,22.348897
2015-12-31,22.83,22.90,22.700001,22.709999,71700,22.329232
2015-12-30,22.90,22.90,22.75,22.77,84200,22.388228
2015-12-29,22.76,22.98,22.76,22.950001,37400,22.56521
2015-12-28,22.75,22.959999,22.68,22.85,42100,22.466886
2015-12-24,22.879999,22.889999,22.780001,22.84,31700,22.457054
2015-12-23,22.93,22.969999,22.860001,22.889999,52800,22.506214
2015-12-22,22.860001,22.92,22.809999,22.84,52100,22.457054
2015-12-21,22.73,22.940001,22.73,22.85,32000,22.466886
2015-12-18,22.75,22.959999,22.639999,22.84,63100,22.457054
