Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.16,7.19,7.10,7.10,261900,7.10
2016-03-10,7.20,7.21,7.16,7.20,113200,7.11
2016-03-09,7.19,7.20,7.17,7.20,123700,7.11
2016-03-08,7.17,7.20,7.11,7.19,263000,7.100125
2016-03-07,7.08,7.20,7.08,7.20,327500,7.11
2016-03-04,7.06,7.09,7.06,7.08,207700,6.9915
2016-03-03,7.08,7.09,7.04,7.06,507600,6.97175
2016-03-02,7.03,7.10,7.01,7.04,1514900,6.952
2016-03-01,6.00,6.00,5.90,6.00,22600,5.925
2016-02-29,5.80,6.04,5.80,5.98,62500,5.90525
2016-02-26,5.71,5.84,5.65,5.79,66700,5.717625
2016-02-25,5.55,5.70,5.54,5.63,31700,5.559625
2016-02-24,5.59,5.67,5.46,5.63,30100,5.559625
2016-02-23,5.55,5.67,5.52,5.54,29300,5.47075
2016-02-22,5.48,5.72,5.47,5.52,33200,5.451
2016-02-19,5.50,5.66,5.46,5.46,25400,5.39175
2016-02-18,5.56,5.66,5.46,5.54,32300,5.47075
2016-02-17,5.49,5.55,5.46,5.50,36800,5.43125
2016-02-16,5.36,5.49,5.36,5.39,58700,5.322625
2016-02-12,5.22,5.38,5.20,5.32,28800,5.2535
2016-02-11,5.40,5.46,5.15,5.17,83700,5.105375
2016-02-10,5.45,5.60,5.43,5.51,29900,5.441125
2016-02-09,5.80,5.87,5.50,5.54,88200,5.381875
2016-02-08,6.03,6.05,5.81,5.90,119500,5.7316
2016-02-05,6.10,6.16,6.03,6.05,27300,5.877319
2016-02-04,6.08,6.24,6.07,6.12,39300,5.94532
2016-02-03,6.07,6.14,6.06,6.11,55700,5.935606
2016-02-02,6.09,6.13,6.04,6.04,54700,5.867604
2016-02-01,6.11,6.14,6.04,6.09,107200,5.916177
2016-01-29,6.20,6.25,6.11,6.14,98400,5.96475
2016-01-28,5.92,6.17,5.92,6.06,34600,5.887033
2016-01-27,5.84,5.92,5.70,5.80,60900,5.634454
2016-01-26,5.59,5.90,5.53,5.81,38900,5.644169
2016-01-25,5.83,5.94,5.58,5.60,55700,5.440162
2016-01-22,5.69,5.96,5.62,5.92,49100,5.751029
2016-01-21,5.50,5.84,5.50,5.55,89500,5.39159
2016-01-20,5.85,5.85,5.06,5.46,208800,5.304159
2016-01-19,6.27,6.32,5.85,5.90,83300,5.7316
2016-01-15,6.15,6.36,6.00,6.20,133600,6.023037
2016-01-14,6.11,6.34,6.03,6.24,62000,6.061895
2016-01-13,6.17,6.36,6.03,6.12,147700,5.94532
2016-01-12,6.50,6.60,6.31,6.36,171400,6.091039
2016-01-11,6.64,6.64,6.44,6.50,92900,6.225119
2016-01-08,6.71,6.76,6.62,6.63,63000,6.349621
2016-01-07,6.97,6.97,6.61,6.68,133100,6.397506
2016-01-06,6.72,7.07,6.72,7.03,103800,6.732705
2016-01-05,6.57,6.84,6.57,6.77,52300,6.483701
2016-01-04,6.26,6.61,6.26,6.57,131500,6.292159
2015-12-31,6.27,6.41,6.13,6.27,60100,6.004845
2015-12-30,6.52,6.52,6.40,6.40,56500,6.129348
2015-12-29,6.67,6.70,6.47,6.48,30900,6.205964
2015-12-28,6.61,6.74,6.50,6.63,28500,6.349621
2015-12-24,6.66,6.74,6.51,6.65,34400,6.368775
2015-12-23,6.78,6.78,6.62,6.70,78500,6.416661
2015-12-22,6.60,6.75,6.51,6.70,62900,6.416661
2015-12-21,6.30,6.60,6.30,6.53,59000,6.25385
2015-12-18,6.44,6.67,6.27,6.30,336000,6.033577
2015-12-17,6.17,6.48,6.17,6.38,78900,6.110194
2015-12-16,6.25,6.29,6.14,6.23,130200,5.966537
2015-12-15,5.61,6.30,5.56,6.22,127100,5.95696
2015-12-14,5.79,5.96,5.54,5.56,133100,5.324871
2015-12-11,6.02,6.05,5.76,5.87,111000,5.535567
2015-12-10,6.02,6.10,6.00,6.07,46100,5.724172
2015-12-09,6.05,6.11,5.95,5.95,61200,5.611009
2015-12-08,6.14,6.21,6.01,6.05,53100,5.705312
2015-12-07,6.17,6.25,6.10,6.22,43300,5.865626
2015-12-04,6.18,6.29,6.01,6.17,67600,5.818475
2015-12-03,6.30,6.35,6.17,6.22,36300,5.865626
2015-12-02,6.32,6.37,6.23,6.27,31600,5.912778
2015-12-01,6.50,6.50,6.33,6.35,51400,5.98822
2015-11-30,6.60,6.60,6.41,6.43,71700,6.063662
2015-11-27,6.54,6.57,6.43,6.53,67000,6.157965
2015-11-25,6.38,6.50,6.30,6.47,43500,6.101383
2015-11-24,6.29,6.36,6.21,6.33,25200,5.969359
2015-11-23,6.15,6.39,6.05,6.29,34600,5.931638
2015-11-20,6.13,6.23,6.11,6.14,68800,5.790184
2015-11-19,6.00,6.15,5.92,6.12,45100,5.771323
2015-11-18,5.99,6.05,5.92,6.00,43200,5.65816
2015-11-17,6.03,6.05,5.96,5.99,42600,5.64873
