Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.27,9.33,9.24,9.27,340800,9.27
2016-03-10,9.34,9.36,9.26,9.27,216700,9.203001
2016-03-09,9.37,9.39,9.30,9.30,348000,9.232784
2016-03-08,9.33,9.35,9.30,9.35,201300,9.282422
2016-03-07,9.33,9.36,9.26,9.34,342600,9.272494
2016-03-04,9.32,9.34,9.26,9.33,247400,9.262566
2016-03-03,9.23,9.33,9.21,9.32,579000,9.252638
2016-03-02,9.23,9.25,9.17,9.20,170900,9.133506
2016-03-01,9.26,9.30,9.19,9.19,417300,9.123578
2016-02-29,9.14,9.27,9.14,9.26,272100,9.193073
2016-02-26,9.23,9.24,9.08,9.16,233500,9.093795
2016-02-25,9.11,9.38,9.11,9.22,516200,9.153362
2016-02-24,9.04,9.14,9.01,9.11,374800,9.044156
2016-02-23,8.93,9.08,8.90,9.07,299500,9.004445
2016-02-22,9.04,9.09,8.91,8.91,349500,8.845602
2016-02-19,8.99,9.11,8.91,9.00,308900,8.934952
2016-02-18,9.02,9.09,8.99,9.02,213700,8.954808
2016-02-17,8.86,9.02,8.85,8.99,405400,8.925024
2016-02-16,8.93,8.94,8.82,8.83,322200,8.76618
2016-02-12,8.64,8.85,8.59,8.84,431500,8.776108
2016-02-11,8.83,8.85,8.58,8.62,686600,8.557698
2016-02-10,8.98,9.02,8.87,8.91,460400,8.845602
2016-02-09,9.15,9.21,8.93,9.02,1038900,8.888291
2016-02-08,9.31,9.33,9.11,9.29,569000,9.154348
2016-02-05,9.48,9.48,9.39,9.39,343700,9.252889
2016-02-04,9.45,9.49,9.42,9.49,272700,9.351428
2016-02-03,9.42,9.47,9.36,9.45,291800,9.312012
2016-02-02,9.34,9.46,9.33,9.43,295900,9.292305
2016-02-01,9.39,9.39,9.33,9.38,329400,9.243034
2016-01-29,9.33,9.41,9.30,9.34,489900,9.203619
2016-01-28,9.30,9.30,9.21,9.30,195000,9.164203
2016-01-27,9.30,9.32,9.17,9.25,362400,9.114933
2016-01-26,9.25,9.33,9.23,9.28,255500,9.144494
2016-01-25,9.29,9.30,9.21,9.24,335200,9.105078
2016-01-22,9.07,9.33,9.06,9.33,347700,9.193764
2016-01-21,8.95,9.06,8.92,9.01,244500,8.878437
2016-01-20,9.01,9.06,8.80,8.95,780700,8.819313
2016-01-19,9.23,9.24,9.05,9.09,361200,8.957269
2016-01-15,9.12,9.18,9.08,9.17,318600,9.036101
2016-01-14,9.25,9.29,9.17,9.20,443100,9.065662
2016-01-13,9.42,9.44,9.24,9.25,321300,9.114933
2016-01-12,9.39,9.47,9.30,9.46,373200,9.255845
2016-01-11,9.49,9.49,9.29,9.34,453400,9.138435
2016-01-08,9.43,9.50,9.41,9.48,559700,9.275413
2016-01-07,9.36,9.43,9.34,9.41,590800,9.206924
