Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,23.25,23.450001,23.15,23.32,91700,23.32
2016-03-10,23.10,23.25,22.91,23.25,46700,23.087
2016-03-09,22.969999,23.10,22.950001,23.049999,37300,22.888401
2016-03-08,22.98,23.02,22.84,22.84,25600,22.679874
2016-03-07,22.809999,23.059999,22.790001,22.870001,47300,22.709665
2016-03-04,22.969999,23.059999,22.93,23.02,39800,22.858613
2016-03-03,22.700001,22.940001,22.65,22.93,38900,22.769244
2016-03-02,22.73,22.77,22.610001,22.639999,30600,22.481276
2016-03-01,22.719999,22.73,22.559999,22.68,51600,22.520996
2016-02-29,22.43,22.59,22.42,22.540001,37900,22.381978
2016-02-26,22.34,22.43,22.309999,22.43,29700,22.272749
2016-02-25,22.290001,22.360001,22.219999,22.280001,104600,22.123801
2016-02-24,22.40,22.459999,22.25,22.290001,106100,22.133731
2016-02-23,22.15,22.52,22.15,22.450001,57100,22.292609
2016-02-22,22.50,22.530001,22.16,22.34,53700,22.18338
2016-02-19,22.33,22.549999,22.280001,22.34,60200,22.18338
2016-02-18,22.629999,22.82,22.379999,22.42,83300,22.262819
2016-02-17,22.40,22.82,22.40,22.559999,68700,22.401837
2016-02-16,22.48,22.48,22.33,22.33,36100,22.17345
2016-02-12,22.00,22.370001,21.76,22.26,54700,22.103941
2016-02-11,22.43,22.49,21.75,21.75,109100,21.597516
2016-02-10,22.60,22.940001,22.51,22.65,65300,22.491206
2016-02-09,22.469999,22.73,22.280001,22.690001,103800,22.369069
2016-02-08,23.00,23.059999,22.60,22.620001,88800,22.300059
2016-02-05,23.370001,23.379999,23.18,23.190001,79200,22.861997
2016-02-04,23.450001,23.57,23.360001,23.389999,92800,23.059167
2016-02-03,23.48,23.59,23.309999,23.459999,145400,23.128177
2016-02-02,23.65,23.67,23.48,23.48,87100,23.147894
2016-02-01,23.67,23.719999,23.530001,23.67,71100,23.335207
2016-01-29,23.379999,23.76,23.379999,23.639999,131700,23.305631
2016-01-28,23.41,23.43,23.32,23.35,86800,23.019734
2016-01-27,23.299999,23.33,23.26,23.27,53800,22.940865
2016-01-26,23.26,23.40,23.26,23.280001,91000,22.950724
2016-01-25,23.440001,23.440001,23.209999,23.309999,58500,22.980299
2016-01-22,23.209999,23.50,23.10,23.469999,96200,23.138035
2016-01-21,23.09,23.219999,22.93,23.129999,57900,22.802844
2016-01-20,23.07,23.110001,22.629999,22.969999,111800,22.645107
2016-01-19,23.17,23.41,23.120001,23.24,72600,22.911289
2016-01-15,23.01,23.280001,22.85,23.190001,62200,22.861997
2016-01-14,23.25,23.35,23.030001,23.129999,90400,22.802844
2016-01-13,23.48,23.639999,23.25,23.33,70700,23.000016
2016-01-12,23.549999,23.67,23.35,23.65,49200,23.154795
2016-01-11,23.610001,23.610001,23.32,23.48,57700,22.988355
2016-01-08,23.469999,23.59,23.370001,23.58,93300,23.086261
2016-01-07,23.33,23.60,23.33,23.389999,75200,22.900239
2016-01-06,23.10,23.459999,23.10,23.440001,75300,22.949193
2016-01-05,22.950001,23.200001,22.719999,23.15,35900,22.665265
2016-01-04,23.139999,23.139999,22.379999,22.92,92400,22.440081
2015-12-31,23.139999,23.139999,22.65,22.76,92400,22.283431
2015-12-30,22.959999,23.139999,22.83,22.91,52700,22.43029
2015-12-29,23.00,23.25,22.950001,22.98,107900,22.498824
2015-12-28,22.85,23.01,22.700001,22.950001,52400,22.469454
2015-12-24,22.93,22.98,22.809999,22.84,16800,22.361756
2015-12-23,22.85,23.10,22.690001,22.809999,67600,22.332384
2015-12-22,22.84,22.93,22.799999,22.860001,53800,22.200211
2015-12-21,22.799999,22.92,22.799999,22.82,32100,22.161365
2015-12-18,22.68,22.870001,22.50,22.790001,115300,22.132232
2015-12-17,22.629999,22.870001,22.530001,22.620001,58000,21.967138
2015-12-16,22.49,22.690001,22.24,22.690001,40700,22.035118
2015-12-15,21.940001,22.60,21.940001,22.33,81000,21.685507
2015-12-14,22.41,22.49,21.82,21.879999,134500,21.248495
2015-12-11,23.040001,23.040001,22.43,22.43,54200,21.782622
2015-12-10,23.110001,23.42,23.110001,23.139999,31300,22.313833
2015-12-09,23.18,23.25,23.10,23.129999,31200,22.30419
2015-12-08,23.030001,23.25,22.889999,23.129999,34900,22.30419
2015-12-07,23.10,23.26,23.01,23.09,49600,22.265619
2015-12-04,22.959999,23.219999,22.959999,23.200001,26800,22.371692
2015-12-03,23.030001,23.040001,22.92,22.950001,33000,22.130618
2015-12-02,23.10,23.10,22.93,23.08,81800,22.255976
2015-12-01,23.299999,23.299999,22.879999,23.07,52700,22.246333
2015-11-30,22.90,23.049999,22.83,22.889999,120500,22.072759
2015-11-27,23.040001,23.08,22.93,23.07,17200,22.246333
2015-11-25,22.85,23.16,22.85,22.940001,83300,22.120975
2015-11-24,22.92,22.959999,22.799999,22.809999,34000,21.995615
2015-11-23,23.049999,23.049999,22.93,22.93,56600,22.111332
2015-11-20,22.879999,23.139999,22.77,22.98,309300,22.159546
2015-11-19,22.93,22.969999,22.799999,22.83,30600,22.014902
2015-11-18,23.10,23.10,22.90,22.950001,25100,22.130618
2015-11-17,23.129999,23.190001,23.02,23.059999,43200,22.23669
2015-11-16,23.18,23.25,22.969999,23.049999,36300,22.227046
2015-11-13,22.91,23.24,22.870001,23.049999,130400,22.227046
2015-11-12,22.99,23.00,22.799999,22.85,45700,22.034188
2015-11-11,22.950001,23.139999,22.950001,23.02,43700,22.198119
2015-11-10,22.790001,23.16,22.790001,22.90,47500,22.082402
2015-11-09,23.25,23.440001,22.90,22.99,377400,22.012009
2015-11-06,23.629999,23.709999,23.10,23.32,84300,22.327971
2015-11-05,23.790001,23.790001,23.66,23.690001,44200,22.682232
2015-11-04,23.790001,23.790001,23.620001,23.700001,40700,22.691807
2015-11-03,23.58,23.76,23.50,23.76,62000,22.749254
2015-11-02,23.43,23.58,23.370001,23.51,78100,22.509889
2015-10-30,23.42,23.42,23.35,23.389999,65300,22.394993
2015-10-29,23.33,23.41,23.299999,23.370001,62700,22.375845
2015-10-28,23.299999,23.34,23.26,23.299999,78300,22.308821
2015-10-27,23.299999,23.299999,23.16,23.27,54000,22.280098
2015-10-26,23.25,23.33,23.23,23.26,54900,22.270524
2015-10-23,23.17,23.27,23.139999,23.18,53900,22.193927
2015-10-22,23.299999,23.440001,23.120001,23.139999,99300,22.155628
2015-10-21,23.32,23.440001,23.280001,23.33,104900,22.337546
2015-10-20,23.219999,23.360001,23.129999,23.360001,93200,22.36627
2015-10-19,23.15,23.219999,23.01,23.200001,83300,22.213077
2015-10-16,23.09,23.25,22.950001,23.209999,66800,22.22265
2015-10-15,23.030001,23.09,22.809999,23.07,64700,22.088606
2015-10-14,23.129999,23.129999,22.99,23.059999,75900,22.079031
2015-10-13,22.690001,23.049999,22.690001,23.040001,146800,22.059883
2015-10-12,22.719999,23.040001,22.700001,22.940001,159200,21.808071
2015-10-09,22.639999,22.65,22.540001,22.610001,33000,21.494354
2015-10-08,22.540001,22.60,22.33,22.51,85200,21.399288
2015-10-07,22.34,22.50,22.27,22.49,101300,21.380275
2015-10-06,21.98,22.370001,21.93,22.34,124100,21.237676
2015-10-05,21.99,22.110001,21.950001,21.969999,64200,20.885933
2015-10-02,21.93,21.959999,21.75,21.879999,103800,20.800373
2015-10-01,21.959999,22.00,21.90,21.98,56400,20.895439
2015-09-30,21.860001,22.030001,21.790001,21.91,77300,20.828894
2015-09-29,22.190001,22.190001,21.780001,21.860001,87800,20.781362
2015-09-28,22.280001,22.280001,22.120001,22.120001,56700,21.028533
2015-09-25,22.209999,22.290001,22.200001,22.24,43000,21.14261
2015-09-24,22.200001,22.309999,22.139999,22.190001,90900,21.095078
2015-09-23,22.40,22.459999,22.360001,22.389999,34200,21.285209
2015-09-22,22.379999,22.43,22.34,22.40,55800,21.294715
2015-09-21,22.50,22.50,22.32,22.379999,31100,21.275702
2015-09-18,22.379999,22.440001,22.26,22.35,93300,21.247183
2015-09-17,22.17,22.540001,22.120001,22.40,75100,21.294715
2015-09-16,22.120001,22.290001,22.120001,22.26,31200,21.161624
2015-09-15,22.40,22.43,22.10,22.139999,55500,21.047544
2015-09-14,22.33,22.450001,22.309999,22.35,21000,21.247183
2015-09-11,22.32,22.450001,22.32,22.370001,25100,21.266197
2015-09-10,22.57,22.68,22.42,22.49,46300,21.225317
2015-09-09,22.50,22.58,22.48,22.530001,24400,21.263069
2015-09-08,22.66,22.66,22.51,22.530001,35600,21.263069
2015-09-04,22.57,22.700001,22.57,22.610001,25400,21.33857
2015-09-03,22.620001,22.73,22.52,22.709999,31600,21.432945
2015-09-02,22.59,22.700001,22.49,22.700001,45700,21.423509
2015-09-01,22.32,22.66,22.26,22.43,101200,21.168692
2015-08-31,22.35,22.469999,22.25,22.450001,37200,21.187567
2015-08-28,22.389999,22.43,22.25,22.27,72100,21.017689
2015-08-27,22.23,22.50,22.08,22.299999,59400,21.046001
2015-08-26,21.83,22.16,21.75,22.059999,163800,20.819497
2015-08-25,21.799999,22.040001,21.76,21.780001,60300,20.555244
2015-08-24,22.27,22.32,21.639999,21.639999,144400,20.423115
2015-08-21,22.27,22.32,21.889999,22.059999,97200,20.819497
2015-08-20,22.280001,22.290001,22.23,22.23,35700,20.979938
2015-08-19,22.34,22.41,22.299999,22.33,29900,21.074315
2015-08-18,22.290001,22.43,22.290001,22.389999,66800,21.13094
2015-08-17,22.27,22.43,22.27,22.389999,31600,21.13094
2015-08-14,22.219999,22.33,22.219999,22.280001,23300,21.027127
2015-08-13,22.389999,22.389999,22.25,22.25,52200,20.998813
2015-08-12,22.209999,22.309999,22.129999,22.290001,77700,21.036565
2015-08-11,22.299999,22.379999,22.280001,22.379999,30000,20.967668
2015-08-10,22.360001,22.440001,22.32,22.34,32700,20.930193
2015-08-07,22.389999,22.40,22.27,22.379999,53700,20.967668
2015-08-06,22.450001,22.450001,22.35,22.370001,46900,20.958301
2015-08-05,22.48,22.60,22.48,22.50,42800,21.080096
2015-08-04,22.370001,22.57,22.34,22.559999,34500,21.136309
2015-08-03,22.34,22.469999,22.290001,22.370001,67800,20.958301
2015-07-31,22.299999,22.33,22.200001,22.280001,53000,20.87398
2015-07-30,22.290001,22.35,22.219999,22.25,58800,20.845873
2015-07-29,22.17,22.42,22.15,22.34,71200,20.930193
2015-07-28,22.190001,22.209999,22.08,22.120001,61700,20.724078
2015-07-27,22.120001,22.129999,22.08,22.10,61500,20.705339
2015-07-24,22.280001,22.299999,22.110001,22.18,52400,20.780291
2015-07-23,22.41,22.41,22.27,22.360001,60800,20.948932
2015-07-22,22.309999,22.43,22.26,22.26,37800,20.855242
2015-07-21,22.389999,22.48,22.27,22.35,56100,20.939563
2015-07-20,22.540001,22.559999,22.26,22.32,43800,20.911455
2015-07-17,22.549999,22.549999,22.43,22.43,36700,21.014514
2015-07-16,22.41,22.540001,22.389999,22.50,73700,21.080096
2015-07-15,22.41,22.440001,22.379999,22.41,32600,20.995776
2015-07-14,22.35,22.42,22.299999,22.370001,25400,20.958301
2015-07-13,22.48,22.50,22.389999,22.389999,35200,20.977037
2015-07-10,22.450001,22.65,22.40,22.620001,45800,21.039811
2015-07-09,22.42,22.440001,22.35,22.40,64500,20.835179
2015-07-08,22.32,22.360001,22.26,22.309999,30600,20.751466
2015-07-07,22.459999,22.469999,22.360001,22.360001,45900,20.797974
2015-07-06,22.200001,22.360001,22.200001,22.309999,40700,20.751466
2015-07-02,22.32,22.42,22.26,22.280001,56600,20.723563
2015-07-01,22.48,22.48,22.33,22.33,60700,20.770069
2015-06-30,22.34,22.35,22.200001,22.24,100600,20.686356
2015-06-29,22.40,22.42,22.18,22.18,97300,20.630548
2015-06-26,22.59,22.639999,22.450001,22.450001,47400,20.881687
2015-06-25,22.780001,22.780001,22.549999,22.58,30200,21.002605
2015-06-24,22.639999,22.799999,22.610001,22.75,76500,21.160729
2015-06-23,22.65,22.690001,22.58,22.690001,65900,21.104921
2015-06-22,22.74,22.780001,22.610001,22.65,57300,21.067714
2015-06-19,22.65,22.709999,22.65,22.690001,42400,21.104921
2015-06-18,22.620001,22.719999,22.610001,22.629999,39600,21.049111
2015-06-17,22.77,22.77,22.59,22.639999,43100,21.058413
2015-06-16,22.67,22.73,22.639999,22.709999,37200,21.123522
2015-06-15,22.809999,22.809999,22.629999,22.629999,58300,21.049111
2015-06-12,22.790001,22.799999,22.719999,22.76,28100,21.17003
2015-06-11,22.940001,22.940001,22.75,22.780001,55200,21.188634
2015-06-10,23.040001,23.049999,22.91,23.02,61000,21.260255
2015-06-09,23.08,23.09,22.98,23.059999,78800,21.297196
2015-06-08,23.02,23.07,22.90,23.040001,75900,21.278726
2015-06-05,23.120001,23.120001,22.950001,22.99,65600,21.232547
2015-06-04,23.08,23.209999,23.08,23.120001,45100,21.352611
2015-06-03,23.370001,23.389999,23.08,23.10,76800,21.334139
2015-06-02,23.389999,23.389999,23.299999,23.360001,58600,21.574264
2015-06-01,23.379999,23.440001,23.280001,23.440001,66900,21.648148
2015-05-29,23.25,23.32,23.18,23.32,44800,21.537321
2015-05-28,23.18,23.25,23.15,23.24,32300,21.463436
2015-05-27,23.16,23.25,23.129999,23.23,53500,21.454201
2015-05-26,23.049999,23.139999,23.049999,23.139999,43600,21.37108
2015-05-22,23.10,23.129999,23.030001,23.08,53300,21.315668
2015-05-21,23.200001,23.27,23.059999,23.08,37900,21.315668
2015-05-20,23.030001,23.17,23.030001,23.129999,42900,21.361845
2015-05-19,23.200001,23.200001,23.030001,23.049999,43200,21.28796
2015-05-18,23.24,23.25,23.08,23.129999,47900,21.361845
2015-05-15,23.32,23.32,23.110001,23.16,43500,21.389552
2015-05-14,22.700001,23.280001,22.700001,23.209999,78400,21.435729
2015-05-13,23.23,23.23,23.07,23.139999,63800,21.37108
2015-05-12,23.17,23.440001,23.07,23.26,78500,21.334138
2015-05-11,23.459999,23.459999,23.190001,23.290001,40700,21.361655
2015-05-08,23.309999,23.450001,23.24,23.43,77000,21.490063
2015-05-07,23.18,23.25,23.10,23.18,52400,21.260762
2015-05-06,23.50,23.60,23.15,23.27,81100,21.34331
2015-05-05,23.67,23.709999,23.51,23.58,52500,21.627643
2015-05-04,23.700001,23.75,23.66,23.73,58000,21.765223
2015-05-01,23.68,23.719999,23.60,23.719999,57500,21.756051
2015-04-30,23.68,23.68,23.549999,23.66,61600,21.701019
2015-04-29,23.66,23.709999,23.620001,23.68,45200,21.719363
2015-04-28,23.68,23.700001,23.60,23.66,47700,21.701019
2015-04-27,23.57,23.68,23.57,23.620001,54500,21.664332
2015-04-24,23.629999,23.66,23.57,23.60,25000,21.645987
2015-04-23,23.58,23.629999,23.559999,23.559999,27200,21.609298
2015-04-22,23.65,23.90,23.57,23.59,26900,21.636815
2015-04-21,23.51,23.65,23.49,23.639999,31000,21.682674
2015-04-20,23.66,23.709999,23.49,23.50,24900,21.554267
2015-04-17,23.60,23.60,23.49,23.57,36300,21.61847
2015-04-16,23.620001,23.620001,23.549999,23.58,39200,21.627643
2015-04-15,23.57,23.620001,23.50,23.60,27700,21.645987
2015-04-14,23.58,23.66,23.540001,23.58,62900,21.627643
2015-04-13,23.51,23.620001,23.51,23.620001,39400,21.664332
2015-04-10,23.709999,23.709999,23.58,23.68,73100,21.572612
2015-04-09,23.540001,23.67,23.540001,23.67,68600,21.563502
2015-04-08,23.41,23.530001,23.41,23.51,66300,21.417741
2015-04-07,23.52,23.58,23.34,23.379999,64200,21.299309
2015-04-06,23.40,23.58,23.34,23.51,54800,21.417741
2015-04-02,23.43,23.52,23.35,23.389999,68300,21.308419
2015-04-01,23.49,23.559999,23.43,23.52,44300,21.426851
2015-03-31,23.389999,23.51,23.32,23.43,51800,21.34486
2015-03-30,23.450001,23.530001,23.440001,23.440001,23100,21.353971
2015-03-27,23.469999,23.51,23.43,23.469999,27200,21.3813
2015-03-26,23.379999,23.440001,23.309999,23.43,35800,21.34486
2015-03-25,23.40,23.43,23.360001,23.360001,28600,21.28109
2015-03-24,23.450001,23.530001,23.10,23.42,64900,21.33575
2015-03-23,23.58,23.58,23.40,23.540001,43900,21.445072
2015-03-20,23.450001,23.60,23.379999,23.60,30100,21.499731
2015-03-19,23.540001,23.540001,23.33,23.379999,32400,21.299309
2015-03-18,23.26,23.51,23.17,23.51,45500,21.417741
2015-03-17,23.18,23.26,23.110001,23.26,34200,21.189989
2015-03-16,23.370001,23.40,23.23,23.24,40700,21.171769
2015-03-13,23.379999,23.379999,23.25,23.299999,18700,21.226429
2015-03-12,23.24,23.41,23.24,23.360001,45600,21.28109
2015-03-11,23.35,23.35,23.15,23.190001,46100,21.126219
2015-03-10,23.33,23.469999,23.32,23.389999,34900,21.162658
2015-03-09,23.290001,23.42,23.280001,23.34,69200,21.11742
2015-03-06,23.60,23.610001,23.25,23.290001,64400,21.072182
2015-03-05,23.67,23.76,23.59,23.639999,30700,21.388851
2015-03-04,23.709999,23.74,23.66,23.68,50200,21.425043
2015-03-03,23.709999,23.75,23.66,23.75,55400,21.488377
2015-03-02,23.68,23.709999,23.60,23.690001,41000,21.434091
2015-02-27,23.48,23.620001,23.469999,23.59,38300,21.343613
2015-02-26,23.58,23.58,23.50,23.50,32800,21.262184
2015-02-25,23.469999,23.57,23.469999,23.49,48500,21.253136
2015-02-24,23.459999,23.50,23.42,23.469999,42700,21.23504
2015-02-23,23.48,23.48,23.40,23.450001,50100,21.216946
2015-02-20,23.379999,23.440001,23.35,23.43,57100,21.19885
2015-02-19,23.290001,23.34,23.280001,23.33,34000,21.108372
2015-02-18,23.17,23.360001,23.040001,23.280001,83500,21.063134
2015-02-17,23.450001,23.450001,23.00,23.120001,146400,20.91837
2015-02-13,23.440001,23.440001,23.40,23.41,32000,21.180754
2015-02-12,23.40,23.440001,23.370001,23.379999,53300,21.15361
2015-02-11,23.33,23.42,23.27,23.379999,57800,21.15361
2015-02-10,23.440001,23.459999,23.40,23.450001,59500,21.072181
2015-02-09,23.379999,23.459999,23.379999,23.41,64700,21.036237
2015-02-06,23.290001,23.389999,23.290001,23.389999,38400,21.018264
2015-02-05,23.40,23.43,23.360001,23.41,37100,21.036237
2015-02-04,23.41,23.440001,23.190001,23.43,108500,21.054209
2015-02-03,23.440001,23.450001,23.280001,23.40,80400,21.02725
2015-02-02,23.40,23.440001,23.34,23.440001,81100,21.063195
2015-01-30,23.379999,23.389999,23.280001,23.370001,74100,21.000293
2015-01-29,23.15,23.360001,23.10,23.35,74800,20.982321
2015-01-28,23.290001,23.290001,23.08,23.120001,76500,20.775643
2015-01-27,23.10,23.209999,23.00,23.17,64500,20.820573
2015-01-26,23.129999,23.15,23.08,23.139999,33400,20.793614
2015-01-23,23.07,23.139999,23.030001,23.139999,39800,20.793614
2015-01-22,23.09,23.09,22.99,23.059999,57700,20.721726
2015-01-21,22.959999,23.030001,22.940001,23.01,43700,20.676797
2015-01-20,22.889999,22.950001,22.879999,22.950001,95400,20.622881
2015-01-16,22.719999,22.879999,22.719999,22.860001,60600,20.542007
2015-01-15,22.76,22.889999,22.76,22.870001,55500,20.550993
2015-01-14,22.84,22.860001,22.75,22.83,78700,20.515048
2015-01-13,22.98,22.99,22.809999,22.889999,77200,20.568964
2015-01-12,22.92,23.10,22.92,23.030001,58300,20.550993
2015-01-09,22.98,23.02,22.809999,23.02,79300,20.542069
2015-01-08,22.690001,22.969999,22.620001,22.959999,130700,20.488527
2015-01-07,22.57,22.68,22.49,22.65,140200,20.211896
2015-01-06,22.389999,22.540001,22.33,22.360001,201100,19.953114
2015-01-05,22.48,22.530001,22.32,22.389999,126300,19.979883
2015-01-02,22.450001,22.58,22.450001,22.559999,68600,20.131584
2014-12-31,22.549999,22.57,22.450001,22.450001,95000,20.033426
2014-12-30,22.50,22.60,22.379999,22.41,156700,19.997731
2014-12-29,22.559999,22.60,22.49,22.51,161600,20.086967
2014-12-26,22.540001,22.58,22.48,22.559999,65800,20.131584
2014-12-24,22.58,22.620001,22.43,22.450001,37500,20.033426
2014-12-23,22.620001,22.68,22.51,22.52,101700,20.095891
2014-12-22,22.65,22.700001,22.52,22.700001,65100,20.233314
2014-12-19,22.700001,22.85,22.52,22.700001,110600,20.233314
2014-12-18,22.690001,22.860001,22.639999,22.74,73700,20.268966
2014-12-17,22.389999,22.629999,22.290001,22.629999,182200,20.170919
2014-12-16,22.540001,22.59,22.209999,22.41,110700,19.974825
2014-12-15,22.74,22.74,22.40,22.450001,106200,20.01048
2014-12-12,22.76,22.82,22.540001,22.540001,85400,20.0907
2014-12-11,22.870001,22.98,22.75,22.76,92800,20.286793
2014-12-10,23.02,23.049999,22.84,22.93,72700,20.297491
2014-12-09,22.870001,23.01,22.870001,22.969999,57000,20.332897
2014-12-08,23.110001,23.110001,23.01,23.059999,49300,20.412565
2014-12-05,23.059999,23.16,23.059999,23.10,50100,20.447974
2014-12-04,23.200001,23.209999,23.08,23.10,71600,20.447974
2014-12-03,23.15,23.209999,23.139999,23.16,43400,20.501085
2014-12-02,23.219999,23.299999,23.10,23.129999,288900,20.474528
2014-12-01,23.309999,23.33,23.10,23.280001,104900,20.607309
2014-11-28,23.17,23.209999,23.110001,23.209999,26900,20.545344
2014-11-26,23.15,23.190001,23.09,23.120001,50600,20.465678
2014-11-25,23.129999,23.17,23.049999,23.110001,121500,20.456826
2014-11-24,23.200001,23.209999,23.15,23.18,68600,20.518789
2014-11-21,23.190001,23.219999,23.17,23.209999,37800,20.545344
2014-11-20,23.219999,23.25,23.15,23.17,54300,20.509937
2014-11-19,23.24,23.290001,23.17,23.219999,55400,20.554196
2014-11-18,23.200001,23.34,23.200001,23.33,54100,20.651568
2014-11-17,23.360001,23.360001,23.190001,23.219999,48100,20.554196
2014-11-14,23.360001,23.459999,23.33,23.370001,50300,20.686976
2014-11-13,23.40,23.41,23.27,23.360001,58200,20.678124
2014-11-12,23.280001,23.370001,23.209999,23.35,33200,20.669272
2014-11-11,23.360001,23.389999,23.33,23.360001,99600,20.538262
2014-11-10,23.50,23.51,23.34,23.43,48400,20.599807
2014-11-07,23.440001,23.50,23.42,23.50,52600,20.661351
2014-11-06,23.450001,23.49,23.309999,23.450001,49300,20.617391
2014-11-05,23.41,23.49,23.33,23.469999,48600,20.634974
2014-11-04,23.370001,23.41,23.309999,23.41,34500,20.582222
2014-11-03,23.26,23.42,23.219999,23.41,89700,20.582222
2014-10-31,23.290001,23.290001,23.09,23.209999,56700,20.40638
2014-10-30,23.09,23.16,23.040001,23.08,37200,20.292084
2014-10-29,23.07,23.110001,22.98,23.09,79000,20.300876
2014-10-28,23.040001,23.049999,22.969999,23.01,99500,20.23054
2014-10-27,23.059999,23.16,22.92,22.950001,287500,20.177788
2014-10-24,23.08,23.190001,23.040001,23.07,42700,20.283292
2014-10-23,23.10,23.24,23.02,23.059999,65400,20.2745
2014-10-22,23.09,23.09,22.950001,23.02,54900,20.239332
2014-10-21,23.00,23.10,22.940001,23.030001,96900,20.248124
2014-10-20,23.09,23.219999,22.940001,22.940001,54600,20.168996
2014-10-17,22.889999,23.10,22.889999,23.00,69600,20.221748
2014-10-16,22.51,23.00,22.51,22.889999,68200,20.125034
2014-10-15,22.75,22.75,22.50,22.690001,109200,19.949194
2014-10-14,22.98,22.99,22.719999,22.77,99800,20.019531
2014-10-13,22.99,23.08,22.73,22.83,85200,20.072282
2014-10-10,23.120001,23.17,22.809999,22.809999,163700,20.054698
2014-10-09,23.219999,23.290001,22.950001,23.09,91500,20.161962
2014-10-08,23.129999,23.25,23.07,23.219999,82500,20.275476
2014-10-07,23.139999,23.15,23.040001,23.09,61600,20.161962
2014-10-06,23.120001,23.120001,23.01,23.10,50700,20.170695
2014-10-03,22.889999,23.030001,22.879999,22.959999,68800,20.048447
2014-10-02,22.92,23.02,22.75,22.82,77600,19.926201
2014-10-01,23.040001,23.08,22.82,22.860001,77500,19.961129
2014-09-30,22.74,22.969999,22.709999,22.91,83000,20.004788
2014-09-29,22.629999,22.780001,22.58,22.709999,56300,19.830149
2014-09-26,22.59,22.790001,22.18,22.75,103200,19.865078
2014-09-25,22.889999,22.92,22.610001,22.639999,79600,19.769026
2014-09-24,22.940001,22.950001,22.85,22.90,45900,19.996056
2014-09-23,22.889999,22.959999,22.809999,22.879999,68100,19.978592
2014-09-22,22.959999,22.959999,22.809999,22.870001,47300,19.969861
2014-09-19,22.969999,23.030001,22.93,22.93,47100,20.022252
2014-09-18,22.969999,23.040001,22.940001,22.940001,67400,20.030984
2014-09-17,23.00,23.110001,22.950001,22.959999,88600,20.048447
2014-09-16,22.889999,23.00,22.85,22.99,38600,20.074643
2014-09-15,22.92,23.040001,22.83,22.83,55000,19.934933
2014-09-12,23.120001,23.16,22.950001,23.030001,77600,20.109571
2014-09-11,23.27,23.27,22.93,23.18,69900,20.24055
2014-09-10,23.41,23.440001,23.33,23.43,69800,20.320883
2014-09-09,23.370001,23.42,23.35,23.379999,57400,20.277517
2014-09-08,23.379999,23.43,23.370001,23.389999,58200,20.28619
