Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.79,14.91,14.79,14.91,4100,14.91
2016-03-10,14.75,14.92,14.73,14.92,9000,14.802
2016-03-09,14.69,14.79,14.69,14.76,11500,14.643266
2016-03-08,14.59,14.70,14.59,14.69,12000,14.573819
2016-03-07,14.39,14.61,14.39,14.61,21700,14.494452
2016-03-04,14.34,14.53,14.34,14.51,5400,14.395243
2016-03-03,14.31,14.39,14.31,14.39,4700,14.276192
2016-03-02,14.30,14.44,14.29,14.33,6100,14.216667
2016-03-01,14.28,14.33,14.18,14.33,11100,14.216667
2016-02-29,14.11,14.33,14.05,14.23,10900,14.117457
2016-02-26,13.97,14.07,13.97,14.07,10400,13.958723
2016-02-25,13.86,14.03,13.86,14.00,3500,13.889277
2016-02-24,13.79,13.89,13.79,13.86,3500,13.750383
2016-02-23,13.83,13.84,13.82,13.82,2700,13.7107
2016-02-22,13.83,13.95,13.78,13.87,18000,13.760305
2016-02-19,13.69,13.85,13.69,13.83,6600,13.720621
2016-02-18,13.68,13.98,13.60,13.85,5800,13.740463
2016-02-17,13.56,13.78,13.56,13.72,6100,13.611491
2016-02-16,13.29,13.58,13.16,13.56,12500,13.452757
2016-02-12,13.14,13.35,13.14,13.24,4300,13.135287
2016-02-11,13.46,13.46,12.98,13.14,34800,13.036078
2016-02-10,13.60,13.65,13.48,13.53,28500,13.422993
2016-02-09,13.88,13.90,13.60,13.68,15800,13.45474
2016-02-08,14.22,14.22,13.86,14.03,10800,13.798976
2016-02-05,14.23,14.23,14.07,14.23,22900,13.995683
2016-02-04,14.32,14.38,14.26,14.31,23100,14.074367
2016-02-03,14.29,14.42,14.25,14.37,8900,14.133378
2016-02-02,14.19,14.33,14.12,14.33,17900,14.094037
2016-02-01,14.25,14.32,14.16,14.32,5200,14.084201
2016-01-29,14.22,14.23,14.19,14.20,4500,13.966177
2016-01-28,13.99,14.12,13.99,14.10,8100,13.867824
2016-01-27,13.85,14.01,13.85,13.98,12000,13.7498
2016-01-26,13.70,13.85,13.70,13.85,7100,13.621941
2016-01-25,13.73,13.79,13.70,13.70,1600,13.47441
2016-01-22,13.35,13.78,13.35,13.78,25000,13.553093
2016-01-21,13.29,13.50,13.18,13.35,19300,13.130174
2016-01-20,13.68,13.72,13.15,13.34,32200,13.120339
2016-01-19,14.01,14.01,13.70,13.78,14100,13.553093
2016-01-15,13.61,13.93,13.61,13.92,39300,13.690788
2016-01-14,14.24,14.24,14.09,14.18,20200,13.946507
2016-01-13,14.52,14.57,14.28,14.28,21000,14.04486
2016-01-12,14.77,14.79,14.64,14.64,12600,14.282876
2016-01-11,14.81,14.88,14.67,14.85,12900,14.487753
2016-01-08,14.82,14.87,14.80,14.85,3500,14.487753
2016-01-07,14.77,14.90,14.77,14.84,11800,14.477997
2016-01-06,14.73,14.94,14.73,14.90,14300,14.536533
2016-01-05,14.76,14.90,14.72,14.87,14700,14.507265
2016-01-04,14.64,14.76,14.16,14.76,18300,14.399949
2015-12-31,14.95,15.05,14.67,14.67,38200,14.312144
2015-12-30,14.86,14.96,14.80,14.93,28400,14.565802
2015-12-29,14.86,14.91,14.86,14.89,4200,14.526778
2015-12-28,14.82,14.93,14.80,14.87,14300,14.507265
2015-12-24,14.80,14.94,14.80,14.82,2700,14.458485
2015-12-23,14.65,14.92,14.65,14.80,15700,14.438973
2015-12-22,14.63,14.73,14.63,14.68,9200,14.3219
2015-12-21,14.59,14.75,14.59,14.64,9600,14.282876
2015-12-18,14.58,14.64,14.41,14.61,15000,14.253607
2015-12-17,14.46,14.64,14.46,14.58,7500,14.224339
2015-12-16,14.23,14.48,14.23,14.48,17800,14.126778
2015-12-15,14.26,14.31,14.05,14.25,25400,13.902389
2015-12-14,14.74,14.74,14.23,14.23,11700,13.882877
2015-12-11,14.77,14.79,14.66,14.66,8500,14.302388
2015-12-10,15.09,15.09,14.82,14.95,21400,14.470192
2015-12-09,15.02,15.10,15.01,15.08,7400,14.59602
2015-12-08,15.11,15.12,15.02,15.02,4100,14.537946
2015-12-07,15.19,15.23,15.14,15.16,15700,14.673452
2015-12-04,15.24,15.26,15.23,15.23,2200,14.741205
2015-12-03,15.26,15.28,15.26,15.28,3800,14.789601
2015-12-02,15.30,15.31,15.26,15.27,9000,14.779922
2015-12-01,15.32,15.40,15.31,15.35,2100,14.857355
2015-11-30,15.29,15.33,15.25,15.28,12900,14.789601
2015-11-27,15.18,15.26,15.16,15.21,800,14.721848
2015-11-25,15.17,15.26,15.17,15.21,10400,14.721848
2015-11-24,15.09,15.23,15.09,15.19,12700,14.702489
2015-11-23,15.03,15.19,15.03,15.17,28300,14.683131
2015-11-20,14.96,15.03,14.96,15.02,10100,14.537946
2015-11-19,15.04,15.07,14.97,14.98,12200,14.499229
2015-11-18,15.06,15.11,15.02,15.06,10900,14.576662
2015-11-17,15.01,15.11,14.96,15.07,20200,14.58634
2015-11-16,15.18,15.18,14.97,15.05,18500,14.566983
2015-11-13,15.21,15.21,15.07,15.16,16700,14.673452
2015-11-12,15.26,15.35,15.19,15.23,34000,14.741205
2015-11-11,15.25,15.33,15.25,15.33,4300,14.837996
2015-11-10,15.25,15.32,15.25,15.32,6000,14.828317
2015-11-09,15.39,15.42,15.33,15.40,9200,14.791536
2015-11-06,15.61,15.61,15.41,15.49,11100,14.87798
2015-11-05,15.59,15.63,15.55,15.58,10300,14.964425
2015-11-04,15.57,15.71,15.53,15.57,1700,14.95482
2015-11-03,15.50,15.65,15.49,15.55,12700,14.93561
2015-11-02,15.47,15.55,15.43,15.53,8500,14.9164
2015-10-30,15.37,15.48,15.27,15.46,13200,14.849166
2015-10-29,15.38,15.41,15.29,15.37,16300,14.762722
2015-10-28,15.43,15.43,15.18,15.39,15700,14.781932
2015-10-27,15.36,15.56,15.36,15.43,24100,14.820352
2015-10-26,15.53,15.57,15.47,15.52,3200,14.906796
2015-10-23,15.56,15.60,15.56,15.57,3100,14.95482
2015-10-22,15.44,15.59,15.44,15.56,8300,14.945215
2015-10-21,15.42,15.48,15.40,15.47,11600,14.858771
2015-10-20,15.44,15.52,15.39,15.45,17400,14.839561
2015-10-19,15.38,15.48,15.38,15.45,15200,14.839561
2015-10-16,15.39,15.42,15.37,15.42,21500,14.810747
2015-10-15,15.34,15.46,15.26,15.43,34400,14.820352
2015-10-14,15.30,15.39,15.30,15.37,10400,14.762722
2015-10-13,15.21,15.37,15.21,15.34,16000,14.733907
2015-10-12,15.36,15.38,15.28,15.36,39600,14.639779
2015-10-09,15.22,15.37,15.21,15.37,8300,14.64931
2015-10-08,15.06,15.23,15.06,15.23,12800,14.515875
2015-10-07,14.96,15.11,14.96,15.09,30600,14.38244
2015-10-06,14.94,14.95,14.88,14.95,6700,14.249004
2015-10-05,14.79,14.97,14.65,14.97,19500,14.268066
2015-10-02,14.65,14.95,14.50,14.79,158400,14.096506
2015-10-01,14.82,14.82,14.64,14.75,21000,14.058382
2015-09-30,14.84,14.87,14.69,14.85,17200,14.153693
2015-09-29,14.92,14.99,14.80,14.84,8000,14.144162
2015-09-28,15.21,15.25,14.92,14.99,5500,14.287128
2015-09-25,15.30,15.30,15.20,15.23,4900,14.515875
2015-09-24,15.29,15.29,15.09,15.29,22500,14.573062
2015-09-23,15.29,15.38,15.24,15.30,11000,14.582593
2015-09-22,15.26,15.31,15.21,15.29,19200,14.573062
2015-09-21,15.26,15.33,15.14,15.30,17900,14.582593
2015-09-18,15.28,15.42,15.28,15.31,125200,14.592124
2015-09-17,15.34,15.34,15.30,15.31,5200,14.592124
2015-09-16,15.42,15.42,15.29,15.30,3600,14.582593
2015-09-15,15.41,15.44,15.37,15.38,4100,14.658842
2015-09-14,15.44,15.44,15.37,15.37,2700,14.64931
2015-09-11,15.43,15.44,15.30,15.40,4000,14.677903
2015-09-10,15.54,15.59,15.50,15.51,13900,14.670279
2015-09-09,15.60,15.62,15.57,15.60,8800,14.755407
2015-09-08,15.50,15.56,15.50,15.56,8800,14.717572
2015-09-04,15.49,15.53,15.49,15.50,1600,14.66082
2015-09-03,15.51,15.51,15.48,15.51,6700,14.670279
2015-09-02,15.52,15.53,15.42,15.46,1600,14.622986
2015-09-01,15.48,15.54,15.42,15.53,7700,14.689196
2015-08-31,15.55,15.60,15.42,15.57,7300,14.72703
2015-08-28,15.46,15.55,15.46,15.50,4500,14.66082
2015-08-27,15.25,15.42,15.13,15.41,13900,14.575693
2015-08-26,15.32,15.38,15.11,15.21,17300,14.386521
2015-08-25,15.21,15.22,14.90,15.12,15800,14.301394
2015-08-24,15.71,15.71,15.06,15.06,43500,14.244643
2015-08-21,15.71,15.86,15.70,15.70,13900,14.849992
2015-08-20,15.98,16.059999,15.91,15.91,6800,15.048622
2015-08-19,16.07,16.08,15.91,16.02,28300,15.152668
2015-08-18,16.17,16.209999,16.08,16.08,5300,15.209419
2015-08-17,16.08,16.27,16.08,16.200001,2100,15.322923
2015-08-14,16.120001,16.209999,16.10,16.16,5200,15.285087
2015-08-13,16.15,16.280001,16.15,16.16,6300,15.285087
2015-08-12,16.15,16.24,16.139999,16.18,12100,15.304005
2015-08-11,16.26,16.35,16.200001,16.299999,22400,15.298329
2015-08-10,16.450001,16.450001,16.299999,16.32,4800,15.317101
2015-08-07,16.450001,16.57,16.450001,16.469999,8600,15.457882
2015-08-06,16.41,16.450001,16.17,16.450001,7000,15.439113
2015-08-05,16.40,16.559999,16.34,16.42,14900,15.410956
2015-08-04,16.219999,16.40,16.219999,16.40,23900,15.392184
2015-08-03,16.209999,16.370001,16.209999,16.27,15000,15.270174
2015-07-31,16.23,16.309999,16.18,16.299999,25900,15.298329
2015-07-30,16.27,16.34,16.209999,16.280001,9900,15.27956
2015-07-29,16.120001,16.33,16.030001,16.290001,12300,15.288945
2015-07-28,16.23,16.299999,16.120001,16.17,5700,15.176319
2015-07-27,16.309999,16.370001,16.17,16.27,9300,15.270174
2015-07-24,16.459999,16.459999,16.280001,16.32,4400,15.317101
2015-07-23,16.549999,16.60,16.440001,16.48,5500,15.467268
2015-07-22,16.620001,16.700001,16.549999,16.58,10600,15.561123
2015-07-21,16.610001,16.68,16.51,16.67,15700,15.645593
2015-07-20,16.59,16.73,16.559999,16.610001,4800,15.58928
2015-07-17,16.68,16.74,16.52,16.549999,18100,15.532966
2015-07-16,16.68,16.790001,16.68,16.780001,3200,15.748834
2015-07-15,16.51,16.65,16.51,16.639999,3500,15.617436
2015-07-14,16.58,16.68,16.50,16.52,4900,15.504811
2015-07-13,16.530001,16.610001,16.469999,16.58,7800,15.561123
2015-07-10,16.52,16.639999,16.49,16.610001,9700,15.471023
2015-07-09,16.48,16.57,16.469999,16.48,7100,15.349936
2015-07-08,16.360001,16.709999,16.34,16.52,15700,15.387194
2015-07-07,16.540001,16.629999,16.469999,16.52,13200,15.387194
2015-07-06,16.67,16.75,16.58,16.700001,7000,15.554852
2015-07-02,16.469999,16.76,16.440001,16.67,7900,15.526908
2015-07-01,16.309999,16.49,16.309999,16.450001,13500,15.321995
2015-06-30,16.40,16.40,16.02,16.23,33900,15.117079
2015-06-29,16.58,16.59,16.35,16.360001,15400,15.238166
