Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.71,14.85,14.71,14.85,32900,14.85
2016-03-10,14.66,14.71,14.61,14.71,16600,14.60
2016-03-09,14.57,14.66,14.56,14.63,34900,14.520599
2016-03-08,14.63,14.74,14.55,14.60,35400,14.490823
2016-03-07,14.70,14.73,14.57,14.68,15300,14.570225
2016-03-04,14.53,14.69,14.52,14.63,28100,14.520599
2016-03-03,14.39,14.59,14.36,14.53,46300,14.421346
2016-03-02,14.26,14.51,14.24,14.37,25700,14.262543
2016-03-01,14.07,14.44,14.04,14.32,62500,14.212916
2016-02-29,14.01,14.13,13.93,13.99,43800,13.885384
2016-02-26,13.97,14.10,13.97,14.01,27900,13.905235
2016-02-25,13.87,14.00,13.87,13.99,18300,13.885384
2016-02-24,13.91,13.99,13.73,13.89,40900,13.786133
2016-02-23,13.99,14.03,13.93,13.93,21200,13.825833
2016-02-22,13.84,13.98,13.84,13.93,17100,13.825833
2016-02-19,13.76,13.84,13.69,13.77,33900,13.66703
2016-02-18,13.63,13.89,13.63,13.76,37800,13.657105
2016-02-17,13.58,13.72,13.55,13.65,28900,13.547927
2016-02-16,13.38,13.56,13.35,13.50,57800,13.399049
2016-02-12,13.49,13.51,13.27,13.34,39800,13.240245
2016-02-11,13.20,13.34,13.03,13.29,37200,13.190619
2016-02-10,13.59,13.80,13.47,13.47,47600,13.369273
2016-02-09,13.69,13.80,13.52,13.59,34500,13.36431
2016-02-08,14.01,14.08,13.66,13.71,43300,13.482317
2016-02-05,14.23,14.33,14.12,14.23,31500,13.993681
2016-02-04,14.22,14.31,14.15,14.24,37100,14.003515
2016-02-03,14.17,14.26,13.96,14.13,71100,13.895343
2016-02-02,14.08,14.23,14.00,14.12,71600,13.885508
2016-02-01,14.25,14.43,14.08,14.38,67200,14.141191
2016-01-29,13.85,14.26,13.85,14.26,54400,14.023184
2016-01-28,13.62,13.96,13.62,13.84,97500,13.610159
2016-01-27,13.60,13.79,13.52,13.60,65600,13.374145
