Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.33,10.45,10.29,10.38,59200,10.38
2016-03-10,10.54,10.58,10.33,10.45,103500,10.21
2016-03-09,10.41,10.48,10.38,10.45,43400,10.21
2016-03-08,10.53,10.53,10.38,10.38,33000,10.141608
2016-03-07,10.48,10.52,10.45,10.50,48300,10.258852
2016-03-04,10.50,10.51,10.41,10.50,63700,10.258852
2016-03-03,10.45,10.50,10.31,10.50,79200,10.258852
2016-03-02,10.26,10.41,10.22,10.41,67600,10.170919
2016-03-01,9.99,10.26,9.99,10.26,80100,10.024364
2016-02-29,9.98,10.08,9.90,10.00,53600,9.770335
2016-02-26,9.96,10.01,9.89,9.99,30200,9.760564
2016-02-25,9.85,9.99,9.85,9.99,40500,9.760564
2016-02-24,9.74,9.84,9.70,9.84,25900,9.61401
2016-02-23,9.81,9.86,9.77,9.77,49300,9.545618
2016-02-22,9.76,9.93,9.71,9.93,42300,9.701943
2016-02-19,9.51,9.65,9.44,9.65,37500,9.428373
2016-02-18,9.59,9.62,9.46,9.62,54200,9.399062
2016-02-17,9.45,9.54,9.36,9.50,50900,9.281818
2016-02-16,9.22,9.44,9.15,9.44,106100,9.223196
2016-02-12,9.28,9.28,9.06,9.22,114200,9.008249
2016-02-11,9.18,9.20,9.09,9.14,91500,8.930086
2016-02-10,9.24,9.40,9.24,9.31,65900,9.096182
2016-02-09,9.45,9.48,9.10,9.10,77200,8.891005
2016-02-08,9.68,9.78,9.42,9.46,113900,9.242737
2016-02-05,10.00,10.01,9.80,9.80,54000,9.574928
2016-02-04,9.94,10.05,9.92,10.01,54600,9.780106
2016-02-03,9.95,10.03,9.84,9.92,91200,9.692172
2016-02-02,9.96,9.96,9.77,9.85,59100,9.62378
2016-02-01,9.93,10.04,9.89,10.04,40800,9.809416
2016-01-29,9.73,10.00,9.73,9.92,53700,9.692172
2016-01-28,9.91,9.94,9.56,9.77,83100,9.545618
2016-01-27,9.86,9.98,9.79,9.85,75700,9.62378
2016-01-26,9.72,9.95,9.72,9.90,101100,9.672631
2016-01-25,9.80,9.91,9.72,9.72,89600,9.496766
2016-01-22,9.61,9.89,9.61,9.85,43600,9.62378
2016-01-21,9.55,9.68,9.48,9.58,234600,9.359981
2016-01-20,9.79,9.85,9.20,9.45,152200,9.232966
2016-01-19,9.76,9.89,9.73,9.85,143500,9.62378
2016-01-15,9.97,9.97,9.74,9.80,68200,9.574928
2016-01-14,10.06,10.12,9.97,10.07,54300,9.838727
2016-01-13,10.30,10.33,10.03,10.08,80000,9.848498
2016-01-12,10.38,10.42,10.19,10.25,67900,10.014593
2016-01-11,10.51,10.51,10.32,10.37,145400,10.131837
2016-01-08,10.50,10.58,10.41,10.50,69900,10.258852
2016-01-07,10.56,10.56,10.44,10.50,101700,10.258852
2016-01-06,10.57,10.65,10.52,10.61,94800,10.366325
2016-01-05,10.56,10.66,10.48,10.62,82900,10.376096
2016-01-04,10.47,10.62,10.36,10.62,100200,10.376096
2015-12-31,10.68,10.68,10.54,10.62,91900,10.376096
2015-12-30,10.55,10.63,10.53,10.62,96800,10.376096
2015-12-29,10.59,10.65,10.52,10.58,108300,10.337014
2015-12-28,10.57,10.57,10.46,10.55,54700,10.307704
2015-12-24,10.51,10.52,10.46,10.52,18900,10.278393
2015-12-23,10.42,10.53,10.42,10.49,56300,10.249081
2015-12-22,10.48,10.52,10.39,10.42,82100,10.180689
2015-12-21,10.43,10.49,10.29,10.45,31900,10.21
2015-12-18,10.32,10.47,10.03,10.42,85700,10.180689
2015-12-17,10.34,10.49,10.34,10.35,200800,10.112297
2015-12-16,10.20,10.39,10.20,10.35,114500,10.112297
2015-12-15,10.00,10.21,10.00,10.20,66800,9.965741
2015-12-14,10.01,10.11,9.95,10.05,100400,9.819187
2015-12-11,10.15,10.21,9.97,10.05,114000,9.819187
2015-12-10,10.41,10.50,10.35,10.35,62200,9.877809
2015-12-09,10.50,10.55,10.40,10.44,31200,9.963702
2015-12-08,10.54,10.56,10.45,10.50,57800,10.020965
2015-12-07,10.65,10.65,10.54,10.63,66000,10.145035
2015-12-04,10.45,10.62,10.45,10.59,33200,10.106859
2015-12-03,10.55,10.59,10.42,10.49,41300,10.011421
2015-12-02,10.64,10.71,10.59,10.61,59100,10.125947
2015-12-01,10.55,10.71,10.55,10.71,54300,10.221385
2015-11-30,10.56,10.69,10.55,10.59,32200,10.106859
2015-11-27,10.57,10.64,10.53,10.59,17900,10.106859
2015-11-25,10.50,10.59,10.50,10.56,33800,10.078228
2015-11-24,10.53,10.59,10.45,10.52,38400,10.040053
2015-11-23,10.63,10.69,10.58,10.63,48000,10.145035
