Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.61,14.70,14.57,14.70,48000,14.70
2016-03-10,14.62,14.63,14.56,14.58,12900,14.483
2016-03-09,14.50,14.63,14.50,14.57,42500,14.473066
2016-03-08,14.51,14.53,14.47,14.49,18200,14.393599
2016-03-07,14.45,14.51,14.43,14.51,21600,14.413466
2016-03-04,14.40,14.50,14.31,14.50,63100,14.403532
2016-03-03,14.21,14.40,14.17,14.40,98400,14.304197
2016-03-02,14.20,14.20,14.09,14.20,46300,14.105528
2016-03-01,14.05,14.16,14.02,14.16,28000,14.065794
2016-02-29,13.89,14.01,13.89,13.99,32900,13.896925
2016-02-26,13.89,13.98,13.86,13.90,42000,13.807524
2016-02-25,13.90,13.93,13.82,13.93,29300,13.837325
2016-02-24,13.86,13.97,13.73,13.94,39000,13.847257
2016-02-23,13.93,13.93,13.83,13.88,26600,13.787657
2016-02-22,13.86,13.88,13.80,13.87,21700,13.777723
2016-02-19,13.80,13.85,13.72,13.85,26900,13.757857
2016-02-18,13.85,13.85,13.76,13.85,84200,13.757857
2016-02-17,13.74,13.85,13.68,13.83,64600,13.73799
2016-02-16,13.87,13.87,13.65,13.65,25500,13.559187
2016-02-12,13.71,13.82,13.71,13.75,31400,13.658522
2016-02-11,13.70,13.82,13.70,13.72,19200,13.628722
2016-02-10,13.85,13.90,13.73,13.83,55100,13.73799
2016-02-09,13.93,13.98,13.74,13.87,160900,13.681369
2016-02-08,14.10,14.11,13.99,13.99,17100,13.799737
2016-02-05,14.32,14.32,14.11,14.11,25400,13.918105
2016-02-04,14.36,14.46,14.28,14.28,16000,14.085793
2016-02-03,14.38,14.38,14.26,14.38,37400,14.184433
2016-02-02,14.47,14.47,14.25,14.25,36200,14.056201
2016-02-01,14.50,14.58,14.34,14.44,44300,14.243617
2016-01-29,14.38,14.47,14.37,14.40,99600,14.204161
2016-01-28,14.47,14.47,14.23,14.37,54500,14.174569
2016-01-27,14.39,14.39,14.12,14.31,51800,14.115385
2016-01-26,14.21,14.34,14.05,14.34,26900,14.144977
2016-01-25,14.14,14.23,14.06,14.12,45100,13.927969
2016-01-22,14.11,14.19,14.00,14.12,22400,13.927969
2016-01-21,14.10,14.10,13.89,14.01,62400,13.819465
2016-01-20,14.05,14.05,13.76,13.99,41900,13.799737
2016-01-19,14.23,14.28,14.07,14.10,68700,13.908241
2016-01-15,14.28,14.30,14.08,14.18,42700,13.987153
2016-01-14,14.39,14.45,14.30,14.44,75200,14.243617
2016-01-13,14.66,14.69,14.40,14.48,80000,14.283073
2016-01-12,14.86,14.86,14.73,14.76,41600,14.463585
2016-01-11,14.73,14.79,14.73,14.79,65100,14.492982
2016-01-08,14.77,14.82,14.72,14.73,53800,14.434186
2016-01-07,14.81,14.93,14.75,14.82,29600,14.522379
2016-01-06,14.83,15.00,14.79,14.94,38700,14.639969
2016-01-05,14.89,14.89,14.82,14.89,9700,14.590974
2016-01-04,14.75,14.90,14.63,14.84,48500,14.541978
2015-12-31,14.74,14.90,14.69,14.83,65500,14.532179
2015-12-30,14.81,14.94,14.77,14.80,67700,14.502781
2015-12-29,14.79,14.96,14.73,14.81,64600,14.512581
2015-12-28,15.01,15.01,14.72,14.77,69300,14.473384
2015-12-24,14.98,15.06,14.94,15.00,34100,14.698765
2015-12-23,14.80,15.10,14.76,15.00,160500,14.698765
2015-12-22,14.55,14.84,14.49,14.72,46500,14.39401
2015-12-21,14.51,14.61,14.42,14.53,48000,14.208218
2015-12-18,14.53,14.64,14.37,14.49,84900,14.169104
2015-12-17,14.40,14.55,14.36,14.46,85300,14.139768
2015-12-16,14.05,14.46,14.05,14.42,48500,14.100654
2015-12-15,13.98,14.26,13.98,14.12,45100,13.807298
2015-12-14,14.14,14.17,13.93,13.94,119500,13.631284
2015-12-11,14.47,14.47,14.05,14.17,120600,13.856191
2015-12-10,14.51,14.59,14.50,14.53,49200,14.113366
2015-12-09,14.73,14.81,14.57,14.57,53200,14.152219
2015-12-08,14.64,14.78,14.61,14.73,56200,14.307631
2015-12-07,14.67,14.73,14.61,14.70,78600,14.278491
2015-12-04,14.74,14.93,14.74,14.80,46800,14.375624
2015-12-03,14.90,14.97,14.81,14.86,31100,14.433903
2015-12-02,14.94,15.04,14.91,14.91,48300,14.48247
2015-12-01,15.04,15.08,14.98,14.99,33300,14.560176
2015-11-30,14.96,15.13,14.96,15.10,28600,14.667022
2015-11-27,15.03,15.06,14.95,14.97,26600,14.540749
2015-11-25,14.81,14.95,14.78,14.93,52600,14.501896
2015-11-24,14.66,14.94,14.66,14.83,78500,14.404764
2015-11-23,14.83,14.97,14.75,14.79,91900,14.365911
2015-11-20,14.80,14.84,14.75,14.84,49400,14.414477
2015-11-19,14.81,14.83,14.74,14.83,25100,14.404764
2015-11-18,14.79,14.87,14.74,14.76,26300,14.336771
2015-11-17,14.80,14.84,14.70,14.72,41100,14.297918
2015-11-16,14.81,14.90,14.77,14.85,25200,14.42419
2015-11-13,14.85,14.97,14.77,14.87,24600,14.443617
2015-11-12,14.82,14.90,14.76,14.87,59300,14.443617
2015-11-11,14.85,14.89,14.75,14.82,36900,14.39505
2015-11-10,14.91,14.98,14.78,14.87,46400,14.443617
2015-11-09,15.09,15.13,14.92,14.98,52300,14.456244
2015-11-06,15.17,15.17,15.09,15.12,23400,14.591349
2015-11-05,15.26,15.26,15.15,15.25,94000,14.716804
2015-11-04,15.21,15.22,15.16,15.19,40600,14.658901
2015-11-03,15.24,15.25,15.19,15.22,62200,14.687853
2015-11-02,15.18,15.28,15.17,15.26,38900,14.726455
2015-10-30,15.12,15.25,15.12,15.23,42000,14.697503
2015-10-29,15.22,15.28,15.16,15.17,54900,14.639601
2015-10-28,15.18,15.24,15.16,15.19,65700,14.658901
2015-10-27,15.04,15.24,15.04,15.19,32200,14.658901
2015-10-26,15.37,15.40,15.20,15.20,34200,14.668552
2015-10-23,15.39,15.46,15.38,15.38,18400,14.842259
2015-10-22,15.29,15.40,15.27,15.40,27300,14.861559
2015-10-21,15.26,15.34,15.24,15.26,20500,14.726455
2015-10-20,15.32,15.39,15.24,15.29,26000,14.755405
2015-10-19,15.26,15.50,15.25,15.39,26000,14.851909
2015-10-16,15.25,15.25,15.21,15.25,22200,14.716804
2015-10-15,15.28,15.28,15.15,15.26,21400,14.726455
2015-10-14,15.25,15.32,15.25,15.30,21100,14.765056
2015-10-13,15.28,15.32,15.25,15.27,10800,14.736105
2015-10-12,15.38,15.51,15.37,15.39,28100,14.758301
2015-10-09,15.40,15.52,15.36,15.46,38000,14.825428
2015-10-08,15.10,15.45,15.10,15.42,94800,14.787069
2015-10-07,15.09,15.14,15.04,15.13,13800,14.508973
2015-10-06,15.09,15.11,15.01,15.04,28000,14.422667
2015-10-05,15.03,15.09,15.00,15.06,37100,14.441846
2015-10-02,14.97,15.08,14.93,15.03,29800,14.413077
2015-10-01,15.14,15.19,15.00,15.07,29300,14.451435
2015-09-30,15.30,15.30,15.02,15.21,71500,14.585689
2015-09-29,15.39,15.45,15.23,15.23,13700,14.604868
2015-09-28,15.45,15.51,15.34,15.35,16600,14.719943
2015-09-25,15.48,15.55,15.46,15.52,17200,14.882965
2015-09-24,15.53,15.57,15.48,15.50,14500,14.863786
2015-09-23,15.54,15.64,15.53,15.60,15100,14.959681
2015-09-22,15.41,15.59,15.41,15.51,19900,14.873375
2015-09-21,15.65,15.66,15.57,15.61,15100,14.96927
2015-09-18,15.60,15.66,15.60,15.60,10800,14.959681
2015-09-17,15.55,15.68,15.46,15.68,29200,15.036398
2015-09-16,15.52,15.57,15.51,15.57,14800,14.930912
2015-09-15,15.51,15.56,15.51,15.52,15300,14.882965
2015-09-14,15.51,15.59,15.49,15.51,28200,14.873375
2015-09-11,15.75,15.76,15.59,15.59,20600,14.950092
2015-09-10,15.73,15.84,15.73,15.81,36600,15.068043
2015-09-09,15.66,15.82,15.65,15.65,21000,14.91555
2015-09-08,15.69,15.95,15.67,15.72,88600,14.982266
2015-09-04,15.67,15.80,15.67,15.73,41400,14.991796
2015-09-03,15.67,15.78,15.67,15.76,51800,15.020389
2015-09-02,15.72,15.78,15.67,15.75,29000,15.010858
2015-09-01,15.70,15.78,15.70,15.72,27400,14.982266
2015-08-31,15.78,15.85,15.70,15.82,26100,15.077573
2015-08-28,15.69,15.83,15.64,15.83,12500,15.087103
2015-08-27,15.63,15.80,15.61,15.77,19600,15.02992
2015-08-26,15.67,15.71,15.46,15.61,24200,14.877428
2015-08-25,15.65,15.67,15.45,15.60,28500,14.867898
2015-08-24,15.61,15.61,15.12,15.38,32500,14.658222
2015-08-21,15.87,15.90,15.80,15.83,12600,15.087103
2015-08-20,15.77,15.90,15.77,15.86,18400,15.115695
2015-08-19,15.89,15.91,15.84,15.84,37900,15.096634
2015-08-18,15.93,15.96,15.83,15.93,34700,15.182411
2015-08-17,15.99,15.99,15.93,15.94,22800,15.191941
2015-08-14,16.00,16.040001,15.96,16.02,24000,15.268187
2015-08-13,16.110001,16.15,16.01,16.030001,29300,15.277718
2015-08-12,16.040001,16.129999,15.99,16.09,28900,15.334902
2015-08-11,16.18,16.290001,16.059999,16.190001,24500,15.337761
2015-08-10,16.190001,16.32,16.139999,16.23,28800,15.375655
2015-08-07,16.360001,16.41,16.09,16.219999,32400,15.366181
2015-08-06,16.440001,16.50,16.360001,16.389999,19100,15.527232
2015-08-05,16.440001,16.51,16.42,16.51,11300,15.640916
2015-08-04,16.40,16.469999,16.40,16.450001,26200,15.584075
2015-08-03,16.360001,16.440001,16.32,16.440001,10200,15.574602
2015-07-31,16.370001,16.450001,16.33,16.41,16800,15.54618
2015-07-30,16.26,16.450001,16.26,16.41,30000,15.54618
2015-07-29,16.17,16.370001,16.16,16.34,20200,15.479865
2015-07-28,16.18,16.280001,16.15,16.17,12300,15.318814
2015-07-27,16.24,16.24,16.01,16.219999,35600,15.366181
2015-07-24,16.450001,16.450001,16.24,16.24,25000,15.385129
2015-07-23,16.559999,16.559999,16.43,16.450001,27700,15.584075
2015-07-22,16.549999,16.58,16.49,16.49,12600,15.621969
2015-07-21,16.530001,16.57,16.48,16.57,16800,15.697758
2015-07-20,16.57,16.60,16.43,16.50,18100,15.631443
2015-07-17,16.66,16.73,16.58,16.60,15400,15.726179
2015-07-16,16.66,16.690001,16.59,16.639999,31400,15.764072
2015-07-15,16.639999,16.73,16.59,16.610001,26700,15.735653
2015-07-14,16.59,16.629999,16.559999,16.629999,13600,15.754599
2015-07-13,16.58,16.620001,16.549999,16.60,18400,15.726179
2015-07-10,16.60,16.60,16.549999,16.60,18400,15.634285
2015-07-09,16.74,16.74,16.48,16.530001,46900,15.568358
2015-07-08,16.709999,16.709999,16.58,16.639999,30700,15.671957
2015-07-07,16.700001,16.74,16.57,16.709999,24500,15.737884
2015-07-06,16.610001,16.690001,16.58,16.66,36400,15.690794
2015-07-02,16.629999,16.639999,16.530001,16.610001,19500,15.643703
2015-07-01,16.709999,16.73,16.530001,16.60,26700,15.634285
2015-06-30,16.41,16.49,16.33,16.48,22000,15.521265
2015-06-29,16.50,16.50,16.299999,16.379999,42000,15.427082
2015-06-26,16.719999,16.719999,16.50,16.549999,44300,15.587193
2015-06-25,16.799999,16.84,16.700001,16.719999,40100,15.747303
2015-06-24,16.879999,16.90,16.76,16.84,36500,15.860323
2015-06-23,16.92,16.959999,16.860001,16.90,21700,15.916832
2015-06-22,16.879999,16.940001,16.85,16.889999,24800,15.907413
2015-06-19,16.860001,16.99,16.82,16.879999,17700,15.897995
2015-06-18,16.99,17.01,16.860001,16.860001,37700,15.87916
2015-06-17,17.01,17.02,16.870001,16.91,16900,15.92625
2015-06-16,17.030001,17.049999,16.92,16.969999,23500,15.982759
2015-06-15,17.08,17.08,16.969999,16.99,31700,16.001596
2015-06-12,17.08,17.120001,17.040001,17.040001,12600,16.048688
2015-06-11,17.16,17.17,17.08,17.10,9000,16.105197
