Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,25.799999,26.040001,25.799999,26.040001,1200,26.040001
2016-03-10,25.50,25.50,25.50,25.50,700,25.50
2016-03-09,25.738001,25.799999,25.690001,25.799999,5400,25.799999
2016-03-08,26.360001,26.360001,25.75,25.75,4400,25.75
2016-03-07,26.219999,26.219999,26.219999,26.219999,300,26.219999
2016-03-04,26.290001,26.290001,26.190001,26.200001,7200,26.200001
2016-03-03,25.98,26.09,25.889999,26.09,5500,26.09
2016-03-02,25.65,25.724001,25.65,25.724001,600,25.724001
2016-03-01,25.42,25.620001,25.42,25.615999,500,25.615999
2016-02-29,25.539,25.60,25.35,25.35,2500,25.35
2016-02-26,26.629999,26.629999,25.417,25.417,3500,25.417
2016-02-25,25.450001,25.450001,25.07,25.24,11600,25.24
