Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,8.19,8.29,8.19,8.23,172800,8.23
2016-03-10,8.22,8.27,8.18,8.25,130100,8.195
2016-03-09,8.19,8.26,8.17,8.23,174200,8.175133
2016-03-08,8.23,8.24,8.19,8.19,103100,8.1354
2016-03-07,8.24,8.25,8.20,8.22,108300,8.1652
2016-03-04,8.19,8.25,8.16,8.25,72200,8.195
2016-03-03,8.13,8.20,8.09,8.20,352100,8.145333
2016-03-02,8.12,8.13,8.07,8.09,279600,8.036067
2016-03-01,8.16,8.17,8.06,8.07,287300,8.0162
2016-02-29,8.13,8.15,8.10,8.11,272600,8.055933
2016-02-26,8.12,8.16,8.10,8.16,176200,8.1056
2016-02-25,8.04,8.17,8.04,8.14,141800,8.085734
2016-02-24,8.01,8.14,8.01,8.06,95800,8.006267
2016-02-23,7.99,8.09,7.99,8.09,150800,8.036067
2016-02-22,8.08,8.12,7.99,7.99,173900,7.936733
2016-02-19,8.01,8.11,8.01,8.07,143300,8.0162
2016-02-18,8.06,8.10,8.02,8.06,103900,8.006267
2016-02-17,7.94,8.05,7.93,8.05,148600,7.996334
2016-02-16,8.00,8.00,7.87,7.92,157400,7.8672
2016-02-12,7.86,7.96,7.75,7.94,247200,7.887067
2016-02-11,7.89,7.91,7.79,7.83,450700,7.7778
2016-02-10,8.01,8.08,7.97,7.99,143400,7.936733
2016-02-09,8.09,8.15,8.00,8.03,170600,7.921833
2016-02-08,8.24,8.25,8.00,8.22,327300,8.109274
2016-02-05,8.30,8.33,8.26,8.29,105800,8.178331
2016-02-04,8.33,8.36,8.30,8.32,119900,8.207927
2016-02-03,8.41,8.41,8.31,8.36,150700,8.247388
2016-02-02,8.36,8.40,8.31,8.36,225400,8.247388
2016-02-01,8.35,8.41,8.29,8.38,327300,8.267119
2016-01-29,8.19,8.39,8.17,8.39,259200,8.276985
2016-01-28,8.18,8.20,8.11,8.19,297000,8.079678
2016-01-27,8.10,8.16,8.06,8.15,329900,8.040217
2016-01-26,8.08,8.16,8.06,8.16,108700,8.050082
2016-01-25,8.18,8.23,8.10,8.11,140000,8.000756
2016-01-22,8.04,8.23,8.04,8.18,161600,8.069813
2016-01-21,7.96,8.05,7.86,8.03,162800,7.921833
2016-01-20,8.01,8.03,7.85,7.94,321100,7.833046
2016-01-19,8.01,8.10,8.00,8.07,183800,7.961294
2016-01-15,7.99,8.06,7.93,8.05,233200,7.941564
2016-01-14,8.05,8.09,8.00,8.05,208800,7.941564
2016-01-13,8.13,8.20,8.05,8.05,188900,7.941564
2016-01-12,8.19,8.25,8.19,8.23,153100,8.06488
2016-01-11,8.23,8.27,8.16,8.21,237200,8.045281
2016-01-08,8.28,8.30,8.22,8.23,195800,8.06488
2016-01-07,8.29,8.31,8.20,8.26,261200,8.094279
2016-01-06,8.26,8.33,8.22,8.32,174300,8.153074
2016-01-05,8.27,8.30,8.25,8.27,131700,8.104078
