Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.68,19.440001,17.540001,18.950001,309000,18.950001
2016-03-10,17.42,17.52,17.120001,17.52,81100,17.52
2016-03-09,17.24,17.459999,17.190001,17.41,60800,17.41
2016-03-08,17.10,17.33,17.02,17.18,100100,17.18
2016-03-07,17.040001,17.35,16.76,17.209999,73800,17.209999
2016-03-04,16.59,17.059999,16.59,17.030001,134100,17.030001
2016-03-03,16.799999,17.15,16.58,16.709999,88500,16.709999
2016-03-02,16.59,16.940001,16.24,16.92,90800,16.92
2016-03-01,16.42,16.860001,16.42,16.690001,90800,16.690001
2016-02-29,16.709999,16.790001,16.50,16.629999,139800,16.629999
2016-02-26,16.98,17.41,16.629999,16.790001,113900,16.790001
2016-02-25,18.26,18.26,16.870001,17.129999,144000,17.014999
2016-02-24,17.75,18.48,16.860001,18.200001,231500,18.077817
2016-02-23,17.60,18.26,17.51,18.040001,133600,17.918891
2016-02-22,17.299999,17.780001,17.299999,17.559999,121300,17.442112
2016-02-19,17.24,17.50,17.200001,17.26,69000,17.144127
2016-02-18,16.860001,17.26,16.68,17.190001,127800,17.074597
2016-02-17,16.549999,16.889999,16.549999,16.75,104600,16.637551
2016-02-16,16.360001,16.60,16.200001,16.50,140100,16.389229
2016-02-12,15.99,16.35,15.94,16.18,57100,16.071378
2016-02-11,15.68,15.99,15.50,15.94,63400,15.832988
2016-02-10,15.98,16.40,15.98,16.01,51100,15.902519
2016-02-09,15.60,16.040001,15.60,15.78,74000,15.674062
2016-02-08,15.35,15.93,15.27,15.84,140300,15.73366
2016-02-05,16.16,16.17,15.50,15.50,117500,15.395942
2016-02-04,16.49,16.76,16.17,16.219999,40400,16.111108
2016-02-03,16.139999,16.67,15.86,16.530001,110200,16.419028
2016-02-02,15.99,16.25,15.79,15.99,66900,15.882653
2016-02-01,16.00,16.540001,15.75,16.299999,140400,16.190571
2016-01-29,15.88,16.25,15.79,16.00,166100,15.892586
2016-01-28,16.219999,16.40,15.65,15.81,86500,15.703862
2016-01-27,16.16,16.309999,15.90,16.10,91900,15.991915
2016-01-26,16.01,16.50,16.01,16.379999,75300,16.270034
2016-01-25,16.540001,16.65,15.82,15.85,79100,15.743593
2016-01-22,16.75,16.90,16.50,16.75,72600,16.637551
2016-01-21,16.700001,16.90,16.33,16.50,171000,16.389229
2016-01-20,15.50,16.99,15.45,16.75,191700,16.637551
2016-01-19,15.95,15.95,15.42,15.81,97800,15.703862
2016-01-15,16.120001,16.26,14.75,15.68,317000,15.574734
2016-01-14,16.379999,17.290001,15.95,16.549999,477700,16.438893
2016-01-13,19.50,19.889999,15.35,16.35,564100,16.240236
2016-01-12,19.639999,19.690001,19.08,19.50,167600,19.369089
2016-01-11,19.77,19.969999,19.299999,19.58,214900,19.448552
2016-01-08,19.66,20.059999,19.58,19.780001,153100,19.64721
2016-01-07,20.01,20.18,19.66,19.719999,87100,19.587611
2016-01-06,20.780001,20.959999,20.32,20.370001,63000,20.233249
2016-01-05,21.00,21.25,20.809999,21.049999,187600,20.908682
2016-01-04,21.040001,21.15,20.23,20.92,152600,20.779556
2015-12-31,21.41,21.58,21.209999,21.32,112800,21.17687
2015-12-30,21.52,21.700001,21.389999,21.43,107400,21.286132
2015-12-29,21.50,21.52,21.370001,21.50,208000,21.355662
2015-12-28,21.90,21.90,21.49,21.52,64400,21.375528
2015-12-24,21.93,22.049999,21.790001,21.940001,68900,21.792709
2015-12-23,21.48,21.889999,21.48,21.889999,201100,21.743043
2015-12-22,21.65,21.65,21.35,21.48,164400,21.335796
2015-12-21,21.85,21.90,21.60,21.620001,119600,21.474857
2015-12-18,22.030001,22.10,21.60,21.82,199400,21.673514
2015-12-17,22.40,22.450001,22.00,22.059999,73300,21.911902
2015-12-16,22.50,22.50,22.290001,22.40,116800,22.24962
2015-12-15,22.799999,22.799999,22.309999,22.33,106100,22.18009
2015-12-14,22.90,23.07,22.59,22.709999,136600,22.557538
2015-12-11,23.280001,23.379999,22.610001,22.90,159400,22.746263
2015-12-10,23.76,23.98,23.57,23.75,148100,23.590557
2015-12-09,24.32,24.629999,23.459999,23.639999,102700,23.481295
2015-12-08,24.639999,24.870001,24.309999,24.59,53500,24.424918
2015-12-07,24.879999,25.190001,24.43,24.719999,64100,24.554044
2015-12-04,24.77,25.26,24.77,24.90,67000,24.732836
2015-12-03,25.280001,25.459999,24.52,24.84,113100,24.67324
2015-12-02,25.24,25.74,25.08,25.16,57100,24.991091
2015-12-01,25.200001,25.41,25.01,25.190001,122300,25.02089
2015-11-30,25.440001,25.51,25.00,25.09,178600,24.921561
2015-11-27,24.879999,25.440001,24.27,25.35,22200,25.179816
2015-11-25,24.780001,25.129999,24.76,24.93,63300,24.762635
2015-11-24,24.709999,24.84,24.60,24.75,78700,24.583844
2015-11-23,24.68,25.059999,24.00,24.74,52600,24.57391
2015-11-20,25.309999,25.309999,24.780001,24.83,47700,24.663306
2015-11-19,25.209999,25.26,25.10,25.129999,45800,24.961292
2015-11-18,25.209999,25.370001,24.940001,25.34,209800,25.169883
2015-11-17,25.209999,25.209999,24.75,25.110001,67200,24.941427
2015-11-16,24.280001,25.209999,24.280001,25.129999,87200,24.961292
2015-11-13,24.870001,25.02,24.40,24.440001,91500,24.275925
2015-11-12,25.299999,25.41,25.049999,25.129999,94200,24.961292
2015-11-11,25.610001,26.040001,25.35,25.379999,71700,25.209613
2015-11-10,25.32,25.66,25.190001,25.50,158200,25.328809
2015-11-09,25.799999,25.799999,24.98,25.24,232600,25.070554
2015-11-06,22.129999,26.190001,22.129999,25.92,530900,25.745989
2015-11-05,34.02,34.290001,25.25,25.92,1127400,25.636728
2015-11-04,34.400002,34.639999,33.889999,34.209999,65700,33.836129
2015-11-03,33.98,34.50,33.529999,34.380001,67100,34.004273
2015-11-02,33.639999,34.720001,32.790001,34.110001,74000,33.737223
2015-10-30,34.099998,34.450001,33.470001,33.639999,57700,33.272358
