Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.30,12.37,12.23,12.36,31500,12.36
2016-03-10,12.23,12.27,12.10,12.18,48500,12.18
2016-03-09,12.15,12.20,12.14,12.16,29900,12.16
2016-03-08,12.22,12.23,12.09,12.21,55900,12.131
2016-03-07,12.19,12.23,12.10,12.21,31200,12.131
2016-03-04,12.03,12.22,11.99,12.19,47300,12.111129
2016-03-03,11.81,11.99,11.81,11.98,70300,11.902488
2016-03-02,11.71,11.82,11.69,11.77,49800,11.693848
2016-03-01,11.52,11.68,11.50,11.67,18800,11.594494
2016-02-29,11.40,11.50,11.37,11.40,24700,11.326241
2016-02-26,11.47,11.51,11.40,11.44,36900,11.365982
2016-02-25,11.27,11.38,11.25,11.37,19700,11.296435
2016-02-24,11.22,11.29,11.11,11.29,40800,11.216953
2016-02-23,11.39,11.45,11.30,11.31,23500,11.236824
2016-02-22,11.54,11.54,11.41,11.43,52800,11.356047
2016-02-19,11.31,11.32,11.26,11.31,34400,11.236824
2016-02-18,11.32,11.39,11.30,11.30,31400,11.226888
2016-02-17,11.18,11.36,11.18,11.30,40600,11.226888
2016-02-16,11.01,11.10,10.99,11.07,52600,10.998376
2016-02-12,10.76,10.95,10.76,10.91,37700,10.839411
2016-02-11,10.80,10.87,10.59,10.82,17400,10.749993
2016-02-10,11.08,11.13,10.98,11.02,19700,10.9487
2016-02-09,11.04,11.16,11.04,11.10,20100,10.949693
2016-02-08,11.23,11.24,11.10,11.21,26800,11.058204
2016-02-05,11.55,11.55,11.35,11.36,27300,11.206172
2016-02-04,11.50,11.69,11.50,11.61,12900,11.452787
2016-02-03,11.63,11.63,11.38,11.58,11500,11.423193
2016-02-02,11.83,11.83,11.49,11.55,25900,11.3936
2016-02-01,11.66,11.85,11.64,11.84,20600,11.679673
2016-01-29,11.55,11.79,11.55,11.79,34600,11.63035
2016-01-28,11.48,11.55,11.41,11.53,21600,11.37387
2016-01-27,11.43,11.54,11.38,11.38,9300,11.225902
2016-01-26,11.37,11.52,11.32,11.51,45300,11.354141
2016-01-25,11.47,11.47,11.26,11.29,25300,11.13712
2016-01-22,11.42,11.55,11.33,11.51,46400,11.354141
2016-01-21,11.08,11.25,11.08,11.20,18800,11.048339
2016-01-20,11.15,11.16,10.69,11.11,75300,10.959557
2016-01-19,11.55,11.55,11.35,11.39,98700,11.235767
2016-01-15,11.54,11.54,11.38,11.45,17000,11.294954
2016-01-14,11.67,11.82,11.57,11.79,55400,11.63035
2016-01-13,12.00,12.07,11.65,11.65,32800,11.492245
2016-01-12,12.02,12.06,11.80,11.94,36700,11.778318
2016-01-11,12.06,12.06,11.79,11.95,24500,11.788183
2016-01-08,12.18,12.21,11.96,11.96,78300,11.798048
2016-01-07,12.43,12.46,12.16,12.16,62500,11.917409
2016-01-06,12.55,12.60,12.52,12.58,22000,12.32903
2016-01-05,12.78,12.83,12.70,12.73,23500,12.476037
2016-01-04,12.88,12.89,12.62,12.81,33900,12.554442
2015-12-31,13.12,13.12,12.94,13.08,48700,12.819055
2015-12-30,13.03,13.17,13.01,13.08,47800,12.819055
2015-12-29,12.95,13.14,12.95,13.10,67400,12.838657
2015-12-28,12.91,13.00,12.86,12.95,62500,12.691648
2015-12-24,12.95,13.03,12.84,13.00,34400,12.740651
2015-12-23,12.83,12.93,12.80,12.91,61600,12.652446
2015-12-22,12.56,12.71,12.56,12.71,47300,12.456437
2015-12-21,12.57,12.62,12.51,12.58,55000,12.32903
2015-12-18,12.65,12.65,12.49,12.54,37100,12.289828
2015-12-17,12.70,12.80,12.52,12.63,42600,12.378033
2015-12-16,12.62,12.72,12.56,12.68,33700,12.427035
2015-12-15,12.41,12.52,12.32,12.51,33700,12.260427
2015-12-14,12.49,12.49,12.26,12.32,39900,12.074217
2015-12-11,12.63,12.67,12.47,12.48,48600,12.231025
2015-12-10,12.80,12.86,12.75,12.75,23100,12.495639
2015-12-09,12.92,13.01,12.78,12.79,19900,12.534841
2015-12-08,13.06,13.07,12.94,12.99,23000,12.639706
2015-12-07,13.16,13.16,13.03,13.09,27600,12.737009
