Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,8.71,8.82,8.71,8.81,6600,8.81
2016-03-10,8.66,8.72,8.60,8.66,13900,8.66
2016-03-09,8.65,8.68,8.58,8.65,12400,8.65
2016-03-08,8.78,8.78,8.64,8.70,19500,8.643
2016-03-07,8.68,8.76,8.68,8.76,14700,8.702607
2016-03-04,8.56,8.73,8.56,8.70,16100,8.643
2016-03-03,8.47,8.59,8.45,8.59,28200,8.533721
2016-03-02,8.34,8.45,8.34,8.43,18100,8.374769
2016-03-01,8.24,8.39,8.24,8.38,18700,8.325097
2016-02-29,8.18,8.23,8.14,8.14,17600,8.086669
2016-02-26,8.23,8.24,8.16,8.17,24700,8.116472
2016-02-25,8.06,8.16,8.04,8.15,22600,8.096603
2016-02-24,7.97,8.06,7.94,8.06,22300,8.007193
2016-02-23,8.15,8.15,8.05,8.06,29200,8.007193
2016-02-22,8.10,8.16,8.10,8.12,22100,8.0668
2016-02-19,7.99,8.04,7.95,8.02,37500,7.967455
2016-02-18,8.05,8.09,8.02,8.02,26600,7.967455
2016-02-17,7.93,8.05,7.93,8.01,19200,7.957521
2016-02-16,7.75,7.90,7.75,7.85,30400,7.798569
2016-02-12,7.76,7.78,7.69,7.75,54600,7.699224
2016-02-11,7.69,7.71,7.62,7.68,50400,7.629682
2016-02-10,7.95,7.95,7.82,7.82,32300,7.768766
2016-02-09,7.87,7.93,7.83,7.93,52500,7.821418
2016-02-08,8.06,8.06,7.88,7.96,13200,7.851008
2016-02-05,8.23,8.23,8.08,8.08,20800,7.969365
2016-02-04,8.20,8.29,8.18,8.23,30400,8.11731
2016-02-03,8.09,8.17,7.98,8.14,31300,8.028543
2016-02-02,8.14,8.14,7.95,8.07,79500,7.959501
2016-02-01,8.11,8.25,8.08,8.25,62400,8.137037
2016-01-29,8.03,8.19,8.02,8.16,41300,8.048269
2016-01-28,7.92,7.99,7.87,7.98,75400,7.870734
2016-01-27,7.88,7.96,7.82,7.83,29000,7.722788
2016-01-26,7.77,7.88,7.76,7.87,166400,7.76224
