Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.91,14.91,14.91,14.91,000,14.91
2016-03-10,15.02,15.02,14.91,14.91,1500,14.91
2016-03-09,14.92,14.92,14.92,14.92,000,14.92
2016-03-08,14.92,14.92,14.92,14.92,000,14.92
2016-03-07,14.70,14.99,14.70,14.92,5400,14.92
2016-03-04,14.77,14.77,14.77,14.77,800,14.77
2016-03-03,14.96,15.01,14.96,15.01,2100,15.01
2016-03-02,15.01,15.01,14.83,14.96,1100,14.96
2016-03-01,15.18,15.18,14.89,14.91,2000,14.91
2016-02-29,15.00,15.00,14.90,14.92,2100,14.92
2016-02-26,14.95,14.95,14.75,14.85,1900,14.85
2016-02-25,14.86,14.90,14.86,14.87,900,14.87
2016-02-24,14.85,14.85,14.74,14.79,2300,14.79
2016-02-23,14.71,14.80,14.71,14.75,2400,14.75
2016-02-22,14.45,14.72,14.45,14.69,9700,14.69
2016-02-19,14.92,14.92,14.74,14.74,300,14.74
2016-02-18,14.83,14.83,14.81,14.81,300,14.81
2016-02-17,14.99,14.99,14.99,14.99,300,14.936
2016-02-16,15.02,15.21,14.95,14.95,3200,14.896144
2016-02-12,14.99,15.19,14.94,15.19,3500,15.135279
2016-02-11,15.05,15.23,15.05,15.23,2500,15.175135
2016-02-10,15.19,15.19,15.19,15.19,500,15.135279
2016-02-09,15.04,15.04,14.95,15.04,3500,14.98582
2016-02-08,15.05,15.05,15.05,15.05,600,14.995784
2016-02-05,15.05,15.05,14.96,14.96,2000,14.906108
2016-02-04,15.05,15.05,14.95,15.05,2100,14.995784
2016-02-03,15.04,15.05,14.81,15.05,3400,14.995784
2016-02-02,14.80,15.02,14.79,15.02,1700,14.965893
2016-02-01,14.89,14.90,14.78,14.84,4100,14.786541
2016-01-29,14.91,14.93,14.78,14.88,4800,14.826397
2016-01-28,14.58,14.93,14.58,14.79,500,14.736721
2016-01-27,14.93,14.93,14.45,14.55,5500,14.497585
2016-01-26,14.36,14.65,14.36,14.65,9400,14.597225
2016-01-25,14.34,14.48,14.34,14.47,3300,14.417874
2016-01-22,14.50,14.50,14.35,14.40,3600,14.348125
2016-01-21,14.28,14.44,14.28,14.38,3500,14.328198
