Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.35,12.39,12.29,12.35,55100,12.35
2016-03-10,12.36,12.39,12.33,12.37,31900,12.309
2016-03-09,12.41,12.44,12.31,12.32,70000,12.259246
2016-03-08,12.47,12.50,12.42,12.43,37800,12.368705
2016-03-07,12.42,12.47,12.37,12.46,46400,12.398556
2016-03-04,12.40,12.43,12.36,12.42,40000,12.358754
2016-03-03,12.35,12.42,12.33,12.37,22400,12.309
2016-03-02,12.38,12.40,12.31,12.39,46400,12.328902
2016-03-01,12.49,12.49,12.38,12.42,78000,12.358754
2016-02-29,12.33,12.42,12.32,12.42,36400,12.358754
2016-02-26,12.32,12.37,12.28,12.28,45400,12.219444
2016-02-25,12.36,12.44,12.36,12.40,43600,12.338852
2016-02-24,12.42,12.42,12.34,12.39,49300,12.328902
2016-02-23,12.23,12.40,12.23,12.39,69700,12.328902
2016-02-22,12.26,12.30,12.15,12.25,60800,12.189592
2016-02-19,12.16,12.27,12.16,12.27,49200,12.209494
2016-02-18,12.15,12.19,12.15,12.18,28300,12.119937
2016-02-17,12.05,12.14,12.03,12.10,86300,12.040332
2016-02-16,12.27,12.27,12.06,12.06,154700,12.000529
2016-02-12,12.40,12.51,12.23,12.27,60000,12.209494
2016-02-11,12.55,12.55,12.36,12.43,93900,12.368705
2016-02-10,12.50,12.55,12.48,12.52,42400,12.397562
2016-02-09,12.41,12.50,12.37,12.50,97500,12.377757
2016-02-08,12.30,12.40,12.30,12.39,53800,12.268833
2016-02-05,12.33,12.33,12.26,12.33,38500,12.209419
2016-02-04,12.31,12.31,12.26,12.28,63000,12.159908
2016-02-03,12.43,12.44,12.26,12.27,178100,12.150007
2016-02-02,12.48,12.63,12.44,12.50,103500,12.377757
2016-02-01,12.44,12.49,12.40,12.48,77500,12.357952
2016-01-29,12.38,12.53,12.38,12.38,67400,12.25893
2016-01-28,12.36,12.39,12.31,12.36,75100,12.239126
2016-01-27,12.24,12.32,12.23,12.27,71400,12.150007
2016-01-26,12.19,12.25,12.12,12.25,71400,12.130202
2016-01-25,12.18,12.21,12.15,12.17,66100,12.050984
2016-01-22,12.16,12.17,12.11,12.14,64300,12.021278
2016-01-21,12.06,12.16,12.06,12.10,35800,11.981669
2016-01-20,12.08,12.09,11.96,12.06,69300,11.94206
2016-01-19,12.16,12.16,12.06,12.06,53600,11.94206
2016-01-15,12.10,12.19,12.10,12.13,35600,12.011375
2016-01-14,12.09,12.15,12.05,12.08,73000,11.961864
2016-01-13,12.17,12.17,12.04,12.04,33400,11.922255
2016-01-12,12.15,12.23,12.12,12.19,58500,12.010384
2016-01-11,12.14,12.19,12.06,12.14,72800,11.961122
2016-01-08,12.15,12.15,12.05,12.11,94300,11.931563
2016-01-07,12.20,12.22,12.14,12.18,72900,12.000533
2016-01-06,12.17,12.26,12.10,12.17,132700,11.99068
2016-01-05,11.94,12.11,11.93,12.08,76200,11.902006
2016-01-04,11.82,11.91,11.82,11.91,67000,11.73451
2015-12-31,11.87,11.96,11.84,11.85,105800,11.675395
2015-12-30,11.92,11.92,11.80,11.85,60100,11.675395
2015-12-29,11.94,11.94,11.83,11.92,99500,11.744363
2015-12-28,11.76,11.88,11.72,11.88,98300,11.704953
2015-12-24,11.70,11.83,11.70,11.80,27800,11.626132
2015-12-23,11.72,11.76,11.67,11.70,66800,11.527605
2015-12-22,11.74,11.74,11.64,11.71,26300,11.537458
2015-12-21,11.73,11.77,11.69,11.70,101500,11.527605
2015-12-18,11.74,11.75,11.64,11.71,81400,11.537458
2015-12-17,11.63,11.74,11.59,11.73,95200,11.557162
2015-12-16,11.40,11.61,11.39,11.60,88000,11.429079
2015-12-15,11.47,11.50,11.40,11.46,68600,11.291141
2015-12-14,11.54,11.57,11.42,11.42,65500,11.251731
2015-12-11,11.61,11.67,11.53,11.54,62400,11.369962
2015-12-10,11.66,11.66,11.53,11.60,69700,11.429079
2015-12-09,11.59,11.70,11.58,11.69,62700,11.457651
2015-12-08,11.55,11.64,11.52,11.64,71500,11.408645
2015-12-07,11.56,11.57,11.52,11.55,32500,11.320434
2015-12-04,11.44,11.56,11.43,11.53,77200,11.300831
2015-12-03,11.53,11.53,11.41,11.47,130800,11.242024
2015-12-02,11.58,11.62,11.51,11.57,92100,11.340036
2015-12-01,11.61,11.66,11.56,11.60,77600,11.36944
2015-11-30,11.56,11.59,11.55,11.58,47400,11.349837
2015-11-27,11.55,11.61,11.55,11.58,14400,11.349837
2015-11-25,11.56,11.58,11.52,11.57,58300,11.340036
2015-11-24,11.52,11.56,11.49,11.56,31500,11.330235
2015-11-23,11.47,11.55,11.46,11.49,42300,11.261626
2015-11-20,11.51,11.58,11.42,11.42,82100,11.193017
2015-11-19,11.50,11.50,11.43,11.48,59000,11.251824
2015-11-18,11.50,11.50,11.46,11.49,17800,11.261626
2015-11-17,11.41,11.50,11.40,11.48,60200,11.251824
2015-11-16,11.49,11.50,11.45,11.47,51300,11.242024
2015-11-13,11.47,11.50,11.41,11.50,48500,11.271427
2015-11-12,11.37,11.45,11.36,11.44,41000,11.212619
2015-11-11,11.39,11.45,11.38,11.41,46200,11.123429
2015-11-10,11.34,11.45,11.28,11.38,155900,11.094182
2015-11-09,11.47,11.49,11.34,11.43,67700,11.142927
2015-11-06,11.64,11.68,11.47,11.53,177100,11.240415
2015-11-05,11.70,11.77,11.65,11.69,35900,11.396396
2015-11-04,11.82,11.83,11.70,11.70,99400,11.406145
2015-11-03,11.88,11.88,11.79,11.80,58200,11.503634
2015-11-02,11.84,11.85,11.77,11.84,89600,11.542629
2015-10-30,11.76,11.82,11.74,11.81,44600,11.513383
2015-10-29,11.71,11.80,11.68,11.78,53400,11.484136
2015-10-28,11.61,11.80,11.59,11.77,80700,11.474388
2015-10-27,11.61,11.69,11.57,11.62,60900,11.328154
2015-10-26,11.71,11.71,11.59,11.61,35900,11.318405
2015-10-23,11.66,11.71,11.64,11.67,60500,11.376899
2015-10-22,11.65,11.70,11.65,11.69,26300,11.396396
2015-10-21,11.70,11.73,11.64,11.64,60900,11.347653
2015-10-20,11.64,11.68,11.62,11.68,40800,11.386648
2015-10-19,11.63,11.66,11.56,11.63,57000,11.337903
2015-10-16,11.59,11.65,11.54,11.64,16500,11.347653
2015-10-15,11.62,11.66,11.59,11.59,50900,11.298908
2015-10-14,11.55,11.66,11.54,11.66,42100,11.36715
2015-10-13,11.53,11.59,11.46,11.59,37200,11.298908
2015-10-12,11.47,11.56,11.47,11.56,16700,11.210194
2015-10-09,11.53,11.63,11.43,11.43,46700,11.084128
2015-10-08,11.59,11.60,11.54,11.56,39400,11.210194
2015-10-07,11.54,11.61,11.48,11.56,59300,11.210194
2015-10-06,11.41,11.58,11.38,11.52,74000,11.171404
2015-10-05,11.42,11.43,11.38,11.38,52200,11.03564
2015-10-02,11.39,11.44,11.37,11.43,86600,11.084128
2015-10-01,11.36,11.40,11.34,11.37,66100,11.025943
2015-09-30,11.41,11.41,11.32,11.32,50600,10.977456
2015-09-29,11.45,11.48,11.30,11.38,94600,11.03564
2015-09-28,11.43,11.48,11.39,11.45,32300,11.103522
2015-09-25,11.49,11.49,11.41,11.43,12600,11.084128
2015-09-24,11.46,11.52,11.45,11.48,34100,11.132614
2015-09-23,11.49,11.49,11.43,11.45,18400,11.103522
2015-09-22,11.36,11.49,11.34,11.46,51100,11.113219
2015-09-21,11.35,11.37,11.28,11.37,22500,11.025943
2015-09-18,11.27,11.39,11.27,11.34,65600,10.996851
2015-09-17,11.26,11.38,11.21,11.33,43100,10.987153
2015-09-16,11.20,11.25,11.20,11.23,35800,10.890179
2015-09-15,11.22,11.25,11.20,11.20,33700,10.861087
2015-09-14,11.29,11.35,11.23,11.26,25800,10.919272
2015-09-11,11.22,11.31,11.22,11.31,23400,10.967759
2015-09-10,11.33,11.35,11.27,11.29,32000,10.889209
2015-09-09,11.36,11.37,11.26,11.31,54000,10.9085
2015-09-08,11.31,11.37,11.30,11.36,36700,10.956724
2015-09-04,11.30,11.38,11.27,11.36,36500,10.956724
2015-09-03,11.33,11.33,11.25,11.29,52700,10.889209
2015-09-02,11.35,11.35,11.26,11.27,38800,10.86992
2015-09-01,11.38,11.41,11.29,11.30,145800,10.898854
2015-08-31,11.25,11.36,11.18,11.34,102200,10.937434
2015-08-28,11.23,11.23,11.16,11.22,27300,10.821694
2015-08-27,11.17,11.24,11.16,11.23,31600,10.831339
2015-08-26,11.25,11.26,11.17,11.19,49900,10.792759
2015-08-25,11.21,11.26,11.17,11.23,59400,10.831339
