Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.06,15.06,14.97,14.97,52000,14.97
2016-03-10,15.06,15.11,15.03,15.11,74900,15.038
2016-03-09,15.03,15.07,15.02,15.03,35000,14.958381
2016-03-08,15.04,15.08,15.00,15.04,74000,14.968334
2016-03-07,14.92,15.02,14.91,15.02,106500,14.94843
2016-03-04,14.96,14.99,14.92,14.93,66800,14.858858
2016-03-03,15.00,15.04,14.90,14.93,204100,14.858858
2016-03-02,15.07,15.07,14.94,15.06,116000,14.988239
2016-03-01,15.07,15.10,15.03,15.07,67300,14.998191
2016-02-29,14.99,15.03,14.96,15.03,57600,14.958381
2016-02-26,14.94,15.00,14.92,14.92,83300,14.848906
2016-02-25,14.97,15.08,14.97,14.99,61900,14.918572
2016-02-24,15.05,15.07,14.96,15.02,80000,14.94843
2016-02-23,14.98,15.05,14.87,15.02,123100,14.94843
2016-02-22,14.96,15.00,14.84,15.00,84100,14.928524
2016-02-19,14.97,15.01,14.96,14.99,53400,14.918572
2016-02-18,14.86,14.96,14.80,14.96,91900,14.888715
2016-02-17,14.69,14.87,14.69,14.87,77800,14.799144
2016-02-16,14.71,14.82,14.68,14.74,78300,14.669763
2016-02-12,14.83,14.90,14.74,14.83,100000,14.759334
2016-02-11,15.05,15.07,14.83,14.85,107800,14.77924
2016-02-10,15.01,15.07,15.01,15.07,52200,14.926533
2016-02-09,15.02,15.04,14.99,15.02,56400,14.87701
2016-02-08,14.99,15.00,14.95,15.00,64600,14.8572
2016-02-05,14.95,15.00,14.92,14.99,49100,14.847295
2016-02-04,14.93,14.97,14.87,14.88,85400,14.738343
2016-02-03,14.95,15.02,14.92,14.95,72900,14.807676
2016-02-02,14.93,14.97,14.90,14.95,108700,14.807676
2016-02-01,14.93,15.02,14.88,14.92,173500,14.777962
2016-01-29,14.75,14.93,14.74,14.93,56900,14.787867
2016-01-28,14.76,14.88,14.67,14.74,165300,14.599675
2016-01-27,14.85,14.95,14.81,14.81,95900,14.669009
2016-01-26,14.60,14.83,14.60,14.83,93000,14.688818
2016-01-25,14.70,14.70,14.59,14.64,44100,14.500628
2016-01-22,14.59,14.73,14.52,14.67,56200,14.530342
2016-01-21,14.60,14.62,14.48,14.51,61600,14.371865
2016-01-20,14.59,14.64,14.46,14.51,89600,14.371865
2016-01-19,14.65,14.71,14.59,14.63,64000,14.490723
2016-01-15,14.61,14.77,14.54,14.59,163300,14.451103
2016-01-14,14.65,14.65,14.53,14.57,75700,14.431293
2016-01-13,14.66,14.66,14.54,14.62,77000,14.480818
2016-01-12,14.80,14.84,14.61,14.68,119800,14.468932
2016-01-11,14.77,14.83,14.73,14.78,41000,14.567494
2016-01-08,14.90,14.91,14.67,14.82,130200,14.606918
2016-01-07,14.74,14.90,14.66,14.90,203700,14.685768
2016-01-06,14.73,14.75,14.64,14.72,117100,14.508357
2016-01-05,14.51,14.64,14.50,14.64,99000,14.429507
2016-01-04,14.47,14.52,14.41,14.50,91500,14.29152
2015-12-31,14.45,14.53,14.43,14.53,100500,14.321088
2015-12-30,14.41,14.51,14.36,14.45,99000,14.242238
2015-12-29,14.36,14.44,14.35,14.41,70700,14.202814
2015-12-28,14.35,14.44,14.35,14.44,49100,14.232382
2015-12-24,14.37,14.41,14.37,14.41,18600,14.202814
2015-12-23,14.38,14.45,14.29,14.34,170900,14.13382
2015-12-22,14.35,14.42,14.35,14.38,47800,14.173245
2015-12-21,14.26,14.41,14.26,14.38,77800,14.173245
2015-12-18,14.26,14.31,14.25,14.28,152600,14.074683
2015-12-17,14.18,14.28,14.18,14.27,193400,14.064827
2015-12-16,14.06,14.22,14.06,14.22,105000,14.015546
2015-12-15,14.11,14.18,14.06,14.06,71400,13.857846
2015-12-14,14.28,14.30,14.06,14.06,79900,13.857846
2015-12-11,14.31,14.40,14.27,14.30,70300,14.094395
2015-12-10,14.36,14.36,14.27,14.29,23200,14.084539
2015-12-09,14.45,14.47,14.36,14.39,148500,14.112137
2015-12-08,14.30,14.45,14.30,14.45,79000,14.170978
2015-12-07,14.22,14.31,14.22,14.31,38600,14.033682
2015-12-04,14.23,14.30,14.20,14.21,52300,13.935613
2015-12-03,14.35,14.35,14.19,14.21,82600,13.935613
2015-12-02,14.33,14.41,14.31,14.35,70900,14.07291
2015-12-01,14.33,14.37,14.26,14.36,74400,14.082716
2015-11-30,14.25,14.34,14.23,14.30,88000,14.023875
2015-11-27,14.21,14.25,14.21,14.23,16300,13.955226
2015-11-25,14.19,14.26,14.19,14.23,26600,13.955226
2015-11-24,14.29,14.31,14.14,14.17,80000,13.896385
2015-11-23,14.16,14.29,14.15,14.29,42600,14.014068
2015-11-20,14.15,14.24,14.11,14.14,143100,13.866965
2015-11-19,14.25,14.27,14.17,14.20,89700,13.925805
2015-11-18,14.20,14.20,14.14,14.18,30900,13.906192
2015-11-17,14.19,14.21,14.16,14.21,46800,13.935613
2015-11-16,14.20,14.25,14.19,14.24,22500,13.965033
2015-11-13,14.20,14.24,14.13,14.21,32200,13.935613
2015-11-12,14.15,14.19,14.10,14.18,47900,13.906192
2015-11-11,14.14,14.21,14.09,14.17,49700,13.825775
2015-11-10,14.11,14.18,14.05,14.18,61600,13.835532
2015-11-09,14.15,14.17,14.03,14.13,103300,13.786747
2015-11-06,14.33,14.33,14.14,14.17,69300,13.825775
2015-11-05,14.43,14.43,14.32,14.38,49700,14.030674
2015-11-04,14.43,14.46,14.35,14.39,86500,14.040431
2015-11-03,14.51,14.51,14.41,14.45,60300,14.098973
2015-11-02,14.54,14.54,14.45,14.48,95900,14.128244
2015-10-30,14.49,14.56,14.43,14.54,93200,14.186787
2015-10-29,14.52,14.61,14.51,14.52,173800,14.167273
2015-10-28,14.45,14.50,14.42,14.48,95400,14.128244
2015-10-27,14.41,14.46,14.38,14.41,65500,14.059945
2015-10-26,14.32,14.43,14.32,14.43,57500,14.079459
2015-10-23,14.28,14.38,14.28,14.35,59700,14.001403
2015-10-22,14.33,14.37,14.29,14.30,58300,13.952617
2015-10-21,14.20,14.44,14.17,14.32,91900,13.972131
2015-10-20,14.18,14.24,14.17,14.18,46000,13.835532
2015-10-19,14.23,14.24,14.15,14.22,69100,13.874561
2015-10-16,14.25,14.25,14.19,14.24,43000,13.894074
2015-10-15,14.19,14.21,14.17,14.20,70400,13.855046
2015-10-14,14.19,14.25,14.15,14.25,71400,13.903831
2015-10-13,14.20,14.22,14.05,14.22,100700,13.874561
2015-10-12,14.22,14.28,14.21,14.25,69200,13.83358
2015-10-09,14.28,14.33,14.18,14.22,62800,13.804457
2015-10-08,14.21,14.31,14.20,14.31,64000,13.891827
2015-10-07,14.22,14.24,14.21,14.22,62400,13.804457
2015-10-06,14.23,14.29,14.20,14.27,67000,13.852996
2015-10-05,14.17,14.23,14.13,14.23,49900,13.814164
